#	startTime:1560833361481
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969de39e2fc0b4afea034	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560833361481	TYPE_WAYPOINT	81.33769	110.8353
1560833361603	TYPE_ACCELEROMETER	-1.0731812	-1.2538452	16.857437
1560833361603	TYPE_MAGNETIC_FIELD	-26.58	2.46	-30.48
1560833361603	TYPE_GYROSCOPE	-0.014022827	0.023529053	0.023925781
1560833361603	TYPE_ROTATION_VECTOR	0.0	0.05634736	-0.6988132
1560833361603	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.619997	-24.599998	-88.14
1560833361603	TYPE_GYROSCOPE_UNCALIBRATED	-0.01222229	0.022598267	0.020767212
1560833361603	TYPE_ACCELEROMETER_UNCALIBRATED	-1.347168	-1.4811554	17.471191
1560833361622	TYPE_ACCELEROMETER	-0.5048981	-0.82192993	14.121246
1560833361622	TYPE_MAGNETIC_FIELD	-26.34	2.34	-30.48
1560833361622	TYPE_GYROSCOPE	0.5014038	-0.1661377	-0.023727417
1560833361622	TYPE_ROTATION_VECTOR	-0.006816481	0.0376563	-0.7075539
1560833361622	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.859997	-24.72	-88.14
1560833361622	TYPE_GYROSCOPE_UNCALIBRATED	0.50320435	-0.16706848	-0.026885986
1560833361622	TYPE_ACCELEROMETER_UNCALIBRATED	-0.64367676	-1.085144	15.757935
1560833361641	TYPE_ACCELEROMETER	-0.34457397	-0.45584106	10.6983185
1560833361641	TYPE_MAGNETIC_FIELD	-26.039999	1.9799999	-30.42
1560833361641	TYPE_GYROSCOPE	0.9771118	-0.1502533	-0.031051636
1560833361641	TYPE_ROTATION_VECTOR	-6.8191443E-6	0.027601214	-0.72960865
1560833361641	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.159998	-25.08	-88.08
1560833361641	TYPE_GYROSCOPE_UNCALIBRATED	0.97891235	-0.15118408	-0.034210205
1560833361641	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4355011	-0.58026123	12.279968
1560833361660	TYPE_ACCELEROMETER	-0.06581116	-0.48216248	8.310272
