#	startTime:1560833384740
#	SiteID:5cd969d339e2fc0b4afe90f4	SiteName:莲花国际广场	FloorId:5cd969de39e2fc0b4afea034	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560833384741	TYPE_WAYPOINT	85.79163	108.19354
1560833385149	TYPE_ACCELEROMETER	-0.89730835	-0.6879425	6.5647125
1560833385149	TYPE_MAGNETIC_FIELD	22.8	26.519999	-36.18
1560833385149	TYPE_GYROSCOPE	1.443512	-0.13589478	0.09753418
1560833385149	TYPE_ROTATION_VECTOR	-0.025428005	-0.011431591	0.37169597
1560833385149	TYPE_MAGNETIC_FIELD_UNCALIBRATED	75.0	-0.5400009	-93.84
1560833385149	TYPE_GYROSCOPE_UNCALIBRATED	1.446228	-0.18234253	0.055267334
1560833385149	TYPE_ACCELEROMETER_UNCALIBRATED	-0.722641	-0.75613403	7.613968
1560833385169	TYPE_ACCELEROMETER	-1.1330109	-0.50608826	5.2702026
1560833385169	TYPE_MAGNETIC_FIELD	22.8	26.519999	-36.18
1560833385169	TYPE_GYROSCOPE	1.269104	-0.096191406	0.17755127
1560833385169	TYPE_ROTATION_VECTOR	-0.025428005	-0.011431591	0.37169597
1560833385169	TYPE_MAGNETIC_FIELD_UNCALIBRATED	75.0	-0.5400009	-93.84
1560833385169	TYPE_GYROSCOPE_UNCALIBRATED	1.3793335	-0.1084137	0.13652039
1560833385169	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0839539	-0.6376953	5.7882385
1560833385188	TYPE_ACCELEROMETER	-1.7419739	-0.52163696	4.4961243
1560833385188	TYPE_MAGNETIC_FIELD	22.8	26.519999	-36.18
1560833385188	TYPE_GYROSCOPE	0.9984894	-0.12214661	0.20932007
1560833385188	TYPE_ROTATION_VECTOR	-0.025428005	-0.011431591	0.37169597
1560833385188	TYPE_MAGNETIC_FIELD_UNCALIBRATED	75.0	-0.5400009	-93.84
1560833385188	TYPE_GYROSCOPE_UNCALIBRATED	0.85765076	-0.15423584	0.2037201
1560833385188	TYPE_ACCELEROMETER_UNCALIBRATED	-1.252655	-0.44985962	4.9256287
1560833385207	TYPE_ACCELEROMETER	-1.6486511	-0.34336853	4.6073914
1560833385207	TYPE_MAGNETIC_FIELD	22.619999	26.22	-36.719997
1560833385207	TYPE_GYROSCOPE	0.6903076	-0.159729	0.22215271
1560833385207	TYPE_ROTATION_VECTOR	-0.005979197	-0.0055126944	0.3734767
1560833385207	TYPE_MAGNETIC_FIELD_UNCALIBRATED	74.81999	-0.84000015	-94.38
1560833385207	TYPE_GYROSCOPE_UNCALIBRATED	0.85765076	-0.15423584	0.2037201
1560833385207	TYPE_ACCELEROMETER_UNCALIBRATED	-1.9142609	-0.43191528	4.3082886
1560833385226	TYPE_ACCELEROMETER	-1.2299042	-0.77407837	5.0273285
1560833385226	TYPE_MAGNETIC_FIELD	22.56	25.14	-37.68
1560833385226	TYPE_GYROSCOPE	0.38212585	-0.17803955	0.25543213
1560833385226	TYPE_ROTATION_VECTOR	0.015545232	-2.1519468E-4	0.3781894
1560833385226	TYPE_MAGNETIC_FIELD_UNCALIBRATED	74.759995	-1.9200001	-95.34
1560833385226	TYPE_GYROSCOPE_UNCALIBRATED	0.52137756	-0.1609497	0.24342346
1560833385226	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4524384	-0.5288086	4.8741913
1560833385246	TYPE_ACCELEROMETER	-0.70588684	-1.0827637	5.046463
1560833385246	TYPE_MAGNETIC_FIELD	22.5	24.359999	-38.219997
1560833385246	TYPE_GYROSCOPE	0.2013092	-0.14353943	0.23864746
1560833385246	TYPE_ROTATION_VECTOR	0.019610194	-4.419158E-4	0.3804332
1560833385246	TYPE_MAGNETIC_FIELD_UNCALIBRATED	74.7	-2.7000008	-95.88
1560833385246	TYPE_GYROSCOPE_UNCALIBRATED	0.27946472	-0.17929077	0.24433899
1560833385246	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9439697	-0.9523468	5.1421814
