#	startTime:1560913337435
#	SiteID:5cd56c0ce2acfd2d33b6ab27	SiteName:黄金钫	FloorId:5cd56c0de2acfd2d33b6ae5b	FloorName:B1
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560913337435	TYPE_WAYPOINT	17.453262	19.780283
1560913337611	TYPE_ACCELEROMETER	-1.0319061	-0.35673523	9.8688965
1560913337611	TYPE_MAGNETIC_FIELD	-14.5199995	27.96	-33.3
1560913337611	TYPE_GYROSCOPE	-0.10702515	0.06611633	-0.12541199
1560913337611	TYPE_ROTATION_VECTOR	-0.0038514032	0.05168975	-0.2724608
1560913337611	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.099998	26.58	-100.2
1560913337611	TYPE_GYROSCOPE_UNCALIBRATED	-0.12197876	0.07563782	-0.12251282
1560913337611	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9576874	-0.39505005	9.866501
1560913337631	TYPE_ACCELEROMETER	-1.2138672	-0.29447937	9.840164
1560913337631	TYPE_MAGNETIC_FIELD	-14.34	27.96	-33.18
1560913337631	TYPE_GYROSCOPE	-0.12460327	0.042144775	-0.15736389
1560913337631	TYPE_ROTATION_VECTOR	-3.851421E-6	0.054501463	-0.27189237
1560913337631	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.279999	26.58	-100.08
1560913337631	TYPE_GYROSCOPE_UNCALIBRATED	-0.13955688	0.05166626	-0.15446472
1560913337631	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0319061	-0.35673523	9.8688965
1560913337651	TYPE_ACCELEROMETER	-1.2449799	-0.24420166	9.80426
1560913337651	TYPE_MAGNETIC_FIELD	-14.4	27.96	-33.0
1560913337651	TYPE_GYROSCOPE	-0.14164734	0.0011291504	-0.15364075
1560913337651	TYPE_ROTATION_VECTOR	-3.852076E-9	0.062514946	-0.303637
1560913337651	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.22	26.58	-99.9
1560913337651	TYPE_GYROSCOPE_UNCALIBRATED	-0.15660095	0.010650635	-0.15074158
1560913337651	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2138672	-0.29447937	9.840164
1560913337671	TYPE_ACCELEROMETER	-1.2378082	-0.24899292	9.847351
1560913337671	TYPE_MAGNETIC_FIELD	-14.34	28.26	-33.0
1560913337671	TYPE_GYROSCOPE	-0.1421814	-0.007385254	-0.11476135
1560913337671	TYPE_ROTATION_VECTOR	0.010315562	0.06354096	-0.29152086
1560913337671	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.279999	26.880001	-99.9
1560913337671	TYPE_GYROSCOPE_UNCALIBRATED	-0.15713501	0.0021362305	-0.11186218
1560913337671	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2449799	-0.24420166	9.80426
1560913337691	TYPE_ACCELEROMETER	-1.233017	-0.3040619	9.756378
1560913337691	TYPE_MAGNETIC_FIELD	-14.34	28.26	-33.0
1560913337691	TYPE_GYROSCOPE	-0.13418579	0.006454468	-0.06788635
1560913337691	TYPE_ROTATION_VECTOR	0.00882246	0.06385942	-0.29272318
1560913337691	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.279999	26.880001	-99.9
1560913337691	TYPE_GYROSCOPE_UNCALIBRATED	-0.1491394	0.015975952	-0.06498718
1560913337691	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2378082	-0.24899292	9.847351
1560913337710	TYPE_ACCELEROMETER	-1.3934326	-0.04548645	9.050079
1560913337710	TYPE_MAGNETIC_FIELD	-14.34	28.26	-33.0
1560913337710	TYPE_GYROSCOPE	-0.14857483	0.051727295	-0.04763794
1560913337710	TYPE_ROTATION_VECTOR	0.00882246	0.06385942	-0.29272318
1560913337710	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.279999	26.880001	-99.9
1560913337710	TYPE_GYROSCOPE_UNCALIBRATED	-0.16352844	0.06124878	-0.04473877
1560913337710	TYPE_ACCELEROMETER_UNCALIBRATED	-1.233017	-0.3040619	9.756378
1560913337730	TYPE_ACCELEROMETER	-1.2497711	-0.20111084	9.222458
1560913337730	TYPE_MAGNETIC_FIELD	-14.5199995	28.199999	-33.18
1560913337730	TYPE_GYROSCOPE	-0.11022949	0.37930298	0.005630493
1560913337730	TYPE_ROTATION_VECTOR	0.0074973023	0.06431635	-0.29349348
1560913337730	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.099998	26.82	-100.08
1560913337730	TYPE_GYROSCOPE_UNCALIBRATED	-0.1251831	0.38882446	0.008529663
1560913337730	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2497711	-0.20111084	9.222458
1560913337750	TYPE_ACCELEROMETER	-0.92655945	-0.5626373	9.452301
1560913337750	TYPE_MAGNETIC_FIELD	-14.639999	28.439999	-33.3
1560913337750	TYPE_GYROSCOPE	-0.15229797	0.22857666	0.056762695
1560913337750	TYPE_ROTATION_VECTOR	0.006152671	0.06473056	-0.29388985
1560913337750	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.98	27.06	-100.2
1560913337750	TYPE_GYROSCOPE_UNCALIBRATED	-0.16725159	0.23809814	0.059661865
1560913337750	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2497711	-0.20111084	9.222458
1560913337770	TYPE_ACCELEROMETER	-1.1516113	-0.5123596	9.641449
1560913337770	TYPE_MAGNETIC_FIELD	-14.759999	28.5	-33.3
1560913337770	TYPE_GYROSCOPE	-0.26734924	-0.026565552	-0.057235718
1560913337770	TYPE_ROTATION_VECTOR	0.005359909	0.0707877	-0.2934828
1560913337770	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.86	27.12	-100.2
1560913337770	TYPE_GYROSCOPE_UNCALIBRATED	-0.28230286	-0.017044067	-0.054336548
1560913337770	TYPE_ACCELEROMETER_UNCALIBRATED	-0.92655945	-0.5626373	9.452301
1560913337790	TYPE_ACCELEROMETER	-1.3742676	-0.5793915	10.13945
1560913337790	TYPE_MAGNETIC_FIELD	-14.7	28.68	-33.48
1560913337790	TYPE_GYROSCOPE	-0.40263367	-0.2220459	-0.0716095
1560913337790	TYPE_ROTATION_VECTOR	0.0039071864	0.072482765	-0.29334965
1560913337790	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.919998	27.300001	-100.380005
1560913337790	TYPE_GYROSCOPE_UNCALIBRATED	-0.41758728	-0.21252441	-0.06871033
1560913337790	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1516113	-0.5123596	9.641449
1560913337809	TYPE_ACCELEROMETER	-1.4029999	-0.5985565	10.4028015
1560913337809	TYPE_MAGNETIC_FIELD	-14.7	28.68	-33.48
1560913337809	TYPE_GYROSCOPE	-0.37493896	-0.18902588	-0.032730103
1560913337809	TYPE_ROTATION_VECTOR	0.0039071864	0.072482765	-0.29334965
1560913337809	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.919998	27.300001	-100.380005
1560913337809	TYPE_GYROSCOPE_UNCALIBRATED	-0.38989258	-0.1795044	-0.029830933
1560913337809	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3742676	-0.5793915	10.13945
1560913337829	TYPE_ACCELEROMETER	-1.2904816	-0.58657837	10.175354
1560913337829	TYPE_MAGNETIC_FIELD	-14.7	28.8	-33.3
1560913337829	TYPE_GYROSCOPE	-0.27799988	-0.11657715	0.012557983
1560913337829	TYPE_ROTATION_VECTOR	1.5230845E-4	0.07209291	-0.29385093
1560913337829	TYPE_MAGNETIC_FIELD_UNCALIBRATED	19.919998	27.42	-100.2
1560913337829	TYPE_GYROSCOPE_UNCALIBRATED	-0.2929535	-0.107055664	0.015457153
1560913337829	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4029999	-0.5985565	10.4028015
1560913337849	TYPE_ACCELEROMETER	-1.0869751	-0.6655884	9.94072
1560913337849	TYPE_MAGNETIC_FIELD	-14.5199995	28.98	-33.12
1560913337849	TYPE_GYROSCOPE	-0.20982361	-0.0574646	0.024810791
1560913337849	TYPE_ROTATION_VECTOR	-0.004420773	0.07108907	-0.2940711
1560913337849	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.099998	27.6	-100.020004
1560913337849	TYPE_GYROSCOPE_UNCALIBRATED	-0.22477722	-0.047943115	0.027709961
1560913337849	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2904816	-0.58657837	10.175354
1560913337869	TYPE_ACCELEROMETER	-1.0366821	-0.69911194	9.68454
1560913337869	TYPE_MAGNETIC_FIELD	-14.4	29.4	-32.88
1560913337869	TYPE_GYROSCOPE	-0.16348267	0.028289795	0.011489868
1560913337869	TYPE_ROTATION_VECTOR	-0.010429293	0.0704996	-0.29350585
1560913337869	TYPE_MAGNETIC_FIELD_UNCALIBRATED	20.22	28.02	-99.78
1560913337869	TYPE_GYROSCOPE_UNCALIBRATED	-0.17843628	0.03781128	0.014389038
1560913337869	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0869751	-0.6655884	9.94072
1560913337889	TYPE_ACCELEROMETER	-0.9289551	-0.8044586	9.54808
