#	startTime:1560913994572
#	SiteID:5cd56c0ce2acfd2d33b6ab27	SiteName:黄金钫	FloorId:5cd56c0ce2acfd2d33b6acc4	FloorName:F2
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560913994572	TYPE_WAYPOINT	80.03551	50.070393
1560913994763	TYPE_ACCELEROMETER	-0.70388794	-0.0143585205	9.58638
1560913994763	TYPE_MAGNETIC_FIELD	26.82	-27.24	-18.119999
1560913994763	TYPE_GYROSCOPE	-0.27799988	0.2434845	-0.0519104
1560913994763	TYPE_ROTATION_VECTOR	-0.026433343	0.016641313	0.9323809
1560913994763	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.86	-29.34	-83.880005
1560913994763	TYPE_GYROSCOPE_UNCALIBRATED	-0.29507446	0.16671753	-0.056991577
1560913994763	TYPE_ACCELEROMETER_UNCALIBRATED	-0.70388794	-0.0143585205	9.58638
1560913994783	TYPE_ACCELEROMETER	-0.8643036	-0.17956543	9.919174
1560913994783	TYPE_MAGNETIC_FIELD	26.58	-27.0	-18.359999
1560913994783	TYPE_GYROSCOPE	-0.3509674	0.20672607	-0.06895447
1560913994783	TYPE_ROTATION_VECTOR	-0.033807173	0.008736219	0.92926943
1560913994783	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.62	-29.1	-84.12
1560913994783	TYPE_GYROSCOPE_UNCALIBRATED	-0.2929535	0.25300598	-0.04901123
1560913994783	TYPE_ACCELEROMETER_UNCALIBRATED	-0.70388794	-0.0143585205	9.58638
1560913994803	TYPE_ACCELEROMETER	-0.7876892	-0.44293213	10.357315
1560913994803	TYPE_MAGNETIC_FIELD	26.46	-26.88	-18.539999
1560913994803	TYPE_GYROSCOPE	-0.3824005	0.089019775	-0.08013916
1560913994803	TYPE_ROTATION_VECTOR	-0.043449663	0.007813834	0.9305286
1560913994803	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.5	-28.98	-84.3
1560913994803	TYPE_GYROSCOPE_UNCALIBRATED	-0.36592102	0.21624756	-0.0660553
1560913994803	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7876892	-0.44293213	10.357315
1560913994823	TYPE_ACCELEROMETER	-0.74938965	-0.56503296	10.3237915
1560913994823	TYPE_MAGNETIC_FIELD	26.22	-26.519999	-18.779999
1560913994823	TYPE_GYROSCOPE	-0.2886505	0.053329468	-0.09397888
1560913994823	TYPE_ROTATION_VECTOR	-0.04620028	0.004839636	0.93022025
1560913994823	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.26	-28.619999	-84.54
1560913994823	TYPE_GYROSCOPE_UNCALIBRATED	-0.39735413	0.09854126	-0.07723999
1560913994823	TYPE_ACCELEROMETER_UNCALIBRATED	-0.74938965	-0.56503296	10.3237915
1560913994843	TYPE_ACCELEROMETER	-0.8164215	-0.375885	9.995789
1560913994843	TYPE_MAGNETIC_FIELD	25.98	-26.279999	-18.66
1560913994843	TYPE_GYROSCOPE	-0.1618805	0.09541321	-0.102508545
1560913994843	TYPE_ROTATION_VECTOR	-0.047928903	0.001792174	0.92990243
