#	startTime:1560915404366
#	SiteID:5cd56c0ce2acfd2d33b6ab27	SiteName:黄金钫	FloorId:5cd56c0ce2acfd2d33b6acc4	FloorName:F2
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560915404368	TYPE_WAYPOINT	34.60297	31.68374
1560915404555	TYPE_ACCELEROMETER	0.03112793	-0.11730957	9.828201
1560915404555	TYPE_MAGNETIC_FIELD	-4.62	-39.899998	-60.059998
1560915404555	TYPE_GYROSCOPE	-0.13320923	0.088897705	0.085113525
1560915404555	TYPE_ROTATION_VECTOR	7.812922E-6	-0.0	-0.9984237
1560915404555	TYPE_MAGNETIC_FIELD_UNCALIBRATED	16.86	-40.499996	-115.2
1560915404555	TYPE_GYROSCOPE_UNCALIBRATED	-0.14753723	0.09854126	0.087890625
1560915404555	TYPE_ACCELEROMETER_UNCALIBRATED	0.0071868896	-0.04309082	9.80426
1560915404575	TYPE_ACCELEROMETER	-0.0095825195	-0.03112793	9.988617
1560915404575	TYPE_MAGNETIC_FIELD	-4.92	-40.2	-60.239998
1560915404575	TYPE_GYROSCOPE	-0.17422485	0.03829956	0.049957275
1560915404575	TYPE_ROTATION_VECTOR	7.813379E-9	-0.0	-0.99749184
1560915404575	TYPE_MAGNETIC_FIELD_UNCALIBRATED	16.56	-40.8	-115.38
1560915404575	TYPE_GYROSCOPE_UNCALIBRATED	-0.18855286	0.047943115	0.052734375
1560915404575	TYPE_ACCELEROMETER_UNCALIBRATED	0.03112793	-0.11730957	9.828201
1560915404595	TYPE_ACCELEROMETER	-0.12928772	0.03112793	9.950302
1560915404595	TYPE_MAGNETIC_FIELD	-4.92	-40.2	-60.239998
1560915404595	TYPE_GYROSCOPE	-0.18115234	0.019119263	0.017990112
1560915404595	TYPE_ROTATION_VECTOR	7.814345E-16	-0.0	-0.9987096
1560915404595	TYPE_MAGNETIC_FIELD_UNCALIBRATED	16.56	-40.8	-115.38
1560915404595	TYPE_GYROSCOPE_UNCALIBRATED	-0.19548035	0.028762817	0.020767212
1560915404595	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0095825195	-0.03112793	9.988617
1560915404615	TYPE_ACCELEROMETER	-0.23703003	0.1197052	9.797073
1560915404615	TYPE_MAGNETIC_FIELD	-5.16	-40.2	-60.359997
1560915404615	TYPE_GYROSCOPE	-0.17422485	0.009536743	0.010009766
1560915404615	TYPE_ROTATION_VECTOR	0.0039364337	8.917895E-4	-0.9980868
1560915404615	TYPE_MAGNETIC_FIELD_UNCALIBRATED	16.32	-40.8	-115.5
1560915404615	TYPE_GYROSCOPE_UNCALIBRATED	-0.18855286	0.019180298	0.012786865
1560915404615	TYPE_ACCELEROMETER_UNCALIBRATED	-0.23703003	0.1197052	9.797073
1560915404635	TYPE_ACCELEROMETER	-0.27772522	0.15083313	9.832993
1560915404635	TYPE_MAGNETIC_FIELD	-5.16	-40.2	-60.359997
1560915404635	TYPE_GYROSCOPE	-0.17796326	0.028717041	0.029190063
1560915404635	TYPE_ROTATION_VECTOR	0.0039364337	8.917895E-4	-0.9980868
1560915404635	TYPE_MAGNETIC_FIELD_UNCALIBRATED	16.32	-40.8	-115.5
1560915404635	TYPE_GYROSCOPE_UNCALIBRATED	-0.19229126	0.038360596	0.031967163
1560915404635	TYPE_ACCELEROMETER_UNCALIBRATED	-0.23703003	0.1197052	9.797073
1560915404654	TYPE_ACCELEROMETER	-0.27053833	0.11013794	9.969452
1560915404654	TYPE_MAGNETIC_FIELD	-4.98	-40.079998	-60.48
1560915404654	TYPE_GYROSCOPE	-0.17529297	0.046279907	0.062210083
1560915404654	TYPE_ROTATION_VECTOR	0.003987948	0.002669868	-0.99807614
1560915404654	TYPE_MAGNETIC_FIELD_UNCALIBRATED	16.5	-40.679996	-115.619995
1560915404654	TYPE_GYROSCOPE_UNCALIBRATED	-0.18962097	0.055923462	0.06498718
1560915404654	TYPE_ACCELEROMETER_UNCALIBRATED	-0.27053833	0.11013794	9.969452
1560915404674	TYPE_ACCELEROMETER	-0.296875	-0.02633667	9.904816
1560915404674	TYPE_MAGNETIC_FIELD	-4.98	-39.84	-60.359997
