#	startTime:1560915493077
#	SiteID:5cd56c0ce2acfd2d33b6ab27	SiteName:黄金钫	FloorId:5cd56c0ce2acfd2d33b6acc4	FloorName:F2
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560915493078	TYPE_WAYPOINT	41.665276	42.402187
1560915493283	TYPE_ACCELEROMETER	-0.19392395	0.56503296	9.504974
1560915493283	TYPE_MAGNETIC_FIELD	-11.58	-25.859999	-25.08
1560915493283	TYPE_GYROSCOPE	-0.32389832	0.22206116	0.104278564
1560915493283	TYPE_ROTATION_VECTOR	0.014630859	-0.03533478	-0.97699547
1560915493283	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.18	-28.739998	-92.340004
1560915493283	TYPE_GYROSCOPE_UNCALIBRATED	-0.33822632	0.23170471	0.107055664
1560915493283	TYPE_ACCELEROMETER_UNCALIBRATED	-0.13407898	0.67037964	9.18895
1560915493303	TYPE_ACCELEROMETER	-0.0023956299	0.54348755	9.928757
1560915493303	TYPE_MAGNETIC_FIELD	-11.58	-26.039999	-25.38
1560915493303	TYPE_GYROSCOPE	-0.4181671	0.11180115	0.08190918
1560915493303	TYPE_ROTATION_VECTOR	0.016009873	-0.026774466	-0.9736834
1560915493303	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.18	-28.919998	-92.64
1560915493303	TYPE_GYROSCOPE_UNCALIBRATED	-0.43249512	0.1214447	0.08468628
1560915493303	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0023956299	0.54348755	9.928757
1560915493323	TYPE_ACCELEROMETER	0.28012085	0.5698242	10.184937
1560915493323	TYPE_MAGNETIC_FIELD	-11.58	-26.039999	-25.38
1560915493323	TYPE_GYROSCOPE	-0.40219116	0.044158936	0.0717926
1560915493323	TYPE_ROTATION_VECTOR	0.016009873	-0.026774466	-0.9736834
1560915493323	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.18	-28.919998	-92.64
1560915493323	TYPE_GYROSCOPE_UNCALIBRATED	-0.41651917	0.05380249	0.0745697
1560915493323	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0023956299	0.54348755	9.928757
1560915493343	TYPE_ACCELEROMETER	0.53630066	0.6895294	9.969452
1560915493343	TYPE_MAGNETIC_FIELD	-11.58	-25.92	-25.439999
1560915493343	TYPE_GYROSCOPE	-0.26530457	0.07398987	0.071258545
1560915493343	TYPE_ROTATION_VECTOR	-0.0068000695	-0.030429408	-0.97536045
1560915493343	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.18	-28.8	-92.7
1560915493343	TYPE_GYROSCOPE_UNCALIBRATED	-0.27963257	0.08363342	0.074035645
1560915493343	TYPE_ACCELEROMETER_UNCALIBRATED	0.28012085	0.5698242	10.184937
1560915493363	TYPE_ACCELEROMETER	0.63446045	0.79008484	9.203308
1560915493363	TYPE_MAGNETIC_FIELD	-11.04	-26.16	-26.279999
1560915493363	TYPE_GYROSCOPE	-0.11936951	0.14375305	0.05581665
1560915493363	TYPE_ROTATION_VECTOR	-0.02153258	-0.034652628	-0.9885647
1560915493363	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.72	-29.039999	-93.54
1560915493363	TYPE_GYROSCOPE_UNCALIBRATED	-0.13369751	0.1533966	0.05859375
1560915493363	TYPE_ACCELEROMETER_UNCALIBRATED	0.53630066	0.6895294	9.969452
1560915493382	TYPE_ACCELEROMETER	0.52433777	0.9169769	8.712494
1560915493382	TYPE_MAGNETIC_FIELD	-11.099999	-25.74	-26.519999
1560915493382	TYPE_GYROSCOPE	-0.110839844	0.19223022	0.014266968
1560915493382	TYPE_ROTATION_VECTOR	-0.021219783	-0.031930495	-0.9885665
1560915493382	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.660001	-28.619999	-93.78
1560915493382	TYPE_GYROSCOPE_UNCALIBRATED	-0.12516785	0.20187378	0.017044067
1560915493382	TYPE_ACCELEROMETER_UNCALIBRATED	0.52433777	0.9169769	8.712494
1560915493402	TYPE_ACCELEROMETER	0.39743042	1.0606384	8.95192
1560915493402	TYPE_MAGNETIC_FIELD	-11.16	-25.619999	-26.939999
1560915493402	TYPE_GYROSCOPE	-0.24240112	0.13684082	-0.024612427
1560915493402	TYPE_ROTATION_VECTOR	-0.020012353	-0.030538889	-0.98855203
1560915493402	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.6	-28.499998	-94.2
1560915493402	TYPE_GYROSCOPE_UNCALIBRATED	-0.25672913	0.14648438	-0.021835327
1560915493402	TYPE_ACCELEROMETER_UNCALIBRATED	0.52433777	0.9169769	8.712494
1560915493422	TYPE_ACCELEROMETER	0.37348938	1.06781	9.574417
1560915493422	TYPE_MAGNETIC_FIELD	-11.16	-25.619999	-26.939999
1560915493422	TYPE_GYROSCOPE	-0.36010742	0.062805176	-0.031021118
1560915493422	TYPE_ROTATION_VECTOR	-0.020012353	-0.030538889	-0.98855203
1560915493422	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.6	-28.499998	-94.2
1560915493422	TYPE_GYROSCOPE_UNCALIBRATED	-0.37443542	0.07244873	-0.028244019
1560915493422	TYPE_ACCELEROMETER_UNCALIBRATED	0.37348938	1.06781	9.574417
1560915493442	TYPE_ACCELEROMETER	0.4692688	1.0821838	10.00058
1560915493442	TYPE_MAGNETIC_FIELD	-11.16	-25.619999	-27.42
1560915493442	TYPE_GYROSCOPE	-0.34094238	0.07292175	-0.010772705
1560915493442	TYPE_ROTATION_VECTOR	-0.018296545	-0.029174253	-0.9886001
1560915493442	TYPE_MAGNETIC_FIELD_UNCALIBRATED	15.6	-28.499998	-94.68
1560915493442	TYPE_GYROSCOPE_UNCALIBRATED	-0.3552704	0.08256531	-0.0079956055
1560915493442	TYPE_ACCELEROMETER_UNCALIBRATED	0.4692688	1.0821838	10.00058
1560915493462	TYPE_ACCELEROMETER	0.5315094	1.1037292	9.8090515
