#	startTime:1560916472118
#	SiteID:5cd56c0ce2acfd2d33b6ab27	SiteName:黄金钫	FloorId:5cd56c0ce2acfd2d33b6ad56	FloorName:F3
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560916472119	TYPE_WAYPOINT	66.12487	30.97042
1560916472306	TYPE_ACCELEROMETER	-1.2880859	0.9289551	9.696518
1560916472306	TYPE_MAGNETIC_FIELD	27.42	-6.7799997	-28.619999
1560916472306	TYPE_GYROSCOPE	-0.30366516	0.11340332	0.1612854
1560916472306	TYPE_ROTATION_VECTOR	-0.020798767	0.07999901	0.7739938
1560916472306	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.0	-9.24	-90.42
1560916472306	TYPE_GYROSCOPE_UNCALIBRATED	-0.3867035	0.049545288	0.080963135
1560916472306	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2880859	0.9289551	9.696518
1560916472326	TYPE_ACCELEROMETER	-1.0031738	0.8930359	9.528915
1560916472326	TYPE_MAGNETIC_FIELD	27.18	-6.7799997	-28.619999
1560916472326	TYPE_GYROSCOPE	-0.28874207	0.15386963	0.21028137
1560916472326	TYPE_ROTATION_VECTOR	-0.019404212	0.0787957	0.75419176
1560916472326	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.760002	-9.24	-90.42
1560916472326	TYPE_GYROSCOPE_UNCALIBRATED	-0.31799316	0.123046875	0.1640625
1560916472326	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0031738	0.8930359	9.528915
1560916472346	TYPE_ACCELEROMETER	-0.8164215	0.8236084	9.411606
1560916472346	TYPE_MAGNETIC_FIELD	27.0	-6.7799997	-28.619999
1560916472346	TYPE_GYROSCOPE	-0.31643677	0.095825195	0.19163513
1560916472346	TYPE_ROTATION_VECTOR	-0.0103244195	0.0691041	0.75192267
1560916472346	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.58	-9.24	-90.42
1560916472346	TYPE_GYROSCOPE_UNCALIBRATED	-0.30307007	0.16351318	0.21305847
1560916472346	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8164215	0.8236084	9.411606
1560916472366	TYPE_ACCELEROMETER	-0.95529175	0.82121277	9.244019
1560916472366	TYPE_MAGNETIC_FIELD	26.82	-6.66	-28.619999
1560916472366	TYPE_GYROSCOPE	-0.33135986	0.0617218	0.14263916
1560916472366	TYPE_ROTATION_VECTOR	-0.013074052	0.06772679	0.75345695
1560916472366	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.4	-9.12	-90.42
1560916472366	TYPE_GYROSCOPE_UNCALIBRATED	-0.34568787	0.07136536	0.14541626
1560916472366	TYPE_ACCELEROMETER_UNCALIBRATED	-0.95529175	0.82121277	9.244019
1560916472386	TYPE_ACCELEROMETER	-1.1564026	0.83317566	9.078812
1560916472386	TYPE_MAGNETIC_FIELD	27.0	-6.42	-28.439999
1560916472386	TYPE_GYROSCOPE	-0.31378174	0.088897705	0.12452698
1560916472386	TYPE_ROTATION_VECTOR	-0.015617939	0.06575988	0.7547336
1560916472386	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.58	-8.88	-90.24
1560916472386	TYPE_GYROSCOPE_UNCALIBRATED	-0.32810974	0.09854126	0.12730408
1560916472386	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1564026	0.83317566	9.078812
1560916472405	TYPE_ACCELEROMETER	-1.1013336	0.8307953	9.114731
1560916472405	TYPE_MAGNETIC_FIELD	27.0	-6.18	-28.14
1560916472405	TYPE_GYROSCOPE	-0.30845642	0.13204956	0.13838196
1560916472405	TYPE_ROTATION_VECTOR	-0.018140737	0.06381293	0.7557598
1560916472405	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.58	-8.639999	-89.94
1560916472405	TYPE_GYROSCOPE_UNCALIBRATED	-0.32810974	0.09854126	0.12730408
1560916472405	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1013336	0.8307953	9.114731
1560916472425	TYPE_ACCELEROMETER	-1.0151367	0.8547363	9.176971
1560916472425	TYPE_MAGNETIC_FIELD	26.82	-6.06	-28.32
1560916472425	TYPE_GYROSCOPE	-0.3159027	0.16186523	0.12239075
1560916472425	TYPE_ROTATION_VECTOR	-0.02089096	0.06223817	0.75677156
1560916472425	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.4	-8.52	-90.119995
1560916472425	TYPE_GYROSCOPE_UNCALIBRATED	-0.32278442	0.14169312	0.14115906
1560916472425	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0151367	0.8547363	9.176971
1560916472445	TYPE_ACCELEROMETER	-1.0103607	0.9433136	9.380478
1560916472445	TYPE_MAGNETIC_FIELD	26.699999	-5.8199997	-28.32
1560916472445	TYPE_GYROSCOPE	-0.3505249	0.13896179	0.08618164
1560916472445	TYPE_ROTATION_VECTOR	-0.023899212	0.060902074	0.7578014
1560916472445	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.28	-8.28	-90.119995
1560916472445	TYPE_GYROSCOPE_UNCALIBRATED	-0.3648529	0.14860535	0.08895874
1560916472445	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0103607	0.9433136	9.380478
1560916472465	TYPE_ACCELEROMETER	-0.7565613	0.9576874	9.828201
1560916472465	TYPE_MAGNETIC_FIELD	26.88	-5.58	-28.32
1560916472465	TYPE_GYROSCOPE	-0.38728333	0.054275513	0.06806946
1560916472465	TYPE_ROTATION_VECTOR	-0.027158407	0.05951629	0.7586184
1560916472465	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.46	-8.04	-90.119995
1560916472465	TYPE_GYROSCOPE_UNCALIBRATED	-0.40161133	0.06391907	0.07084656
1560916472465	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7565613	0.9576874	9.828201
1560916472485	TYPE_ACCELEROMETER	-0.6895294	1.0390778	10.129868
1560916472485	TYPE_MAGNETIC_FIELD	27.0	-5.52	-28.14
1560916472485	TYPE_GYROSCOPE	-0.35266113	0.0766449	0.036102295
1560916472485	TYPE_ROTATION_VECTOR	-0.030221686	0.057329144	0.75929266
1560916472485	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.58	-7.98	-89.94
1560916472485	TYPE_GYROSCOPE_UNCALIBRATED	-0.36698914	0.08628845	0.038879395
1560916472485	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6895294	1.0390778	10.129868
1560916472504	TYPE_ACCELEROMETER	-0.7876892	1.1827393	10.199295
1560916472504	TYPE_MAGNETIC_FIELD	27.119999	-5.2799997	-28.199999
1560916472504	TYPE_GYROSCOPE	-0.2908783	0.093688965	-0.0027770996
1560916472504	TYPE_ROTATION_VECTOR	-0.032998424	0.05482707	0.7598414
1560916472504	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.699997	-7.74	-90.0
1560916472504	TYPE_GYROSCOPE_UNCALIBRATED	-0.36698914	0.08628845	0.038879395
1560916472504	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7876892	1.1827393	10.199295
1560916472524	TYPE_ACCELEROMETER	-0.7302246	1.312027	10.21846
1560916472524	TYPE_MAGNETIC_FIELD	27.24	-5.2799997	-28.199999
1560916472524	TYPE_GYROSCOPE	-0.24667358	0.048950195	-0.026748657
1560916472524	TYPE_ROTATION_VECTOR	-0.035768725	0.053056896	0.7600751
1560916472524	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.82	-7.74	-90.0
1560916472524	TYPE_GYROSCOPE_UNCALIBRATED	-0.3052063	0.10333252	0.0
1560916472524	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7302246	1.312027	10.21846
1560916472544	TYPE_ACCELEROMETER	-0.7876892	1.395813	10.247177
1560916472544	TYPE_MAGNETIC_FIELD	27.0	-5.22	-28.199999
1560916472544	TYPE_GYROSCOPE	-0.22695923	0.028701782	-0.048049927
1560916472544	TYPE_ROTATION_VECTOR	-0.038025558	0.0514958	0.7600995
1560916472544	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.58	-7.68	-90.0
1560916472544	TYPE_GYROSCOPE_UNCALIBRATED	-0.2610016	0.05859375	-0.023971558
1560916472544	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7876892	1.395813	10.247177
1560916472564	TYPE_ACCELEROMETER	-0.8164215	1.2904816	10.39563
1560916472564	TYPE_MAGNETIC_FIELD	26.939999	-5.2799997	-28.38
1560916472564	TYPE_GYROSCOPE	-0.2440033	-0.025634766	-0.04486084
1560916472564	TYPE_ROTATION_VECTOR	-0.039805565	0.049971454	0.7599438
1560916472564	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.519997	-7.74	-90.18
1560916472564	TYPE_GYROSCOPE_UNCALIBRATED	-0.24128723	0.038345337	-0.045272827
1560916472564	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8164215	1.2904816	10.39563
1560916472584	TYPE_ACCELEROMETER	-0.73501587	1.0630188	10.663773
1560916472584	TYPE_MAGNETIC_FIELD	27.24	-4.92	-28.32
