#	startTime:1560916391907
#	SiteID:5cd56c0ce2acfd2d33b6ab27	SiteName:黄金钫	FloorId:5cd56c0ce2acfd2d33b6ad56	FloorName:F3
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560916391907	TYPE_WAYPOINT	38.390095	29.042292
1560916392093	TYPE_ACCELEROMETER	-0.40222168	-0.12210083	10.769119
1560916392093	TYPE_MAGNETIC_FIELD	-26.22	18.42	-35.7
1560916392093	TYPE_GYROSCOPE	0.14428711	0.0020751953	-0.13700867
1560916392093	TYPE_ROTATION_VECTOR	6.415118E-5	0.016576972	-0.48079312
1560916392093	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.0599995	15.4800005	-103.740005
1560916392093	TYPE_GYROSCOPE_UNCALIBRATED	0.1299591	0.01171875	-0.13423157
1560916392093	TYPE_ACCELEROMETER_UNCALIBRATED	-0.28730774	-0.26815796	11.2048645
1560916392113	TYPE_ACCELEROMETER	-0.61531067	0.03591919	10.479416
1560916392113	TYPE_MAGNETIC_FIELD	-26.4	18.72	-35.64
1560916392113	TYPE_GYROSCOPE	0.19490051	0.039367676	-0.14179993
1560916392113	TYPE_ROTATION_VECTOR	6.4154115E-8	0.01788231	-0.46678782
1560916392113	TYPE_MAGNETIC_FIELD_UNCALIBRATED	2.8799992	15.78	-103.68
1560916392113	TYPE_GYROSCOPE_UNCALIBRATED	0.18057251	0.04901123	-0.13902283
1560916392113	TYPE_ACCELEROMETER_UNCALIBRATED	-0.40222168	-0.12210083	10.769119
