#	startTime:1560916374156
#	SiteID:5cd56c0ce2acfd2d33b6ab27	SiteName:黄金钫	FloorId:5cd56c0ce2acfd2d33b6ad56	FloorName:F3
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560916374156	TYPE_WAYPOINT	38.390095	29.042292
1560916374335	TYPE_ACCELEROMETER	-1.4460907	1.0582428	9.895233
1560916374335	TYPE_MAGNETIC_FIELD	-5.46	22.14	-43.2
1560916374335	TYPE_GYROSCOPE	-0.09593201	-0.047470093	-0.017684937
1560916374335	TYPE_ROTATION_VECTOR	0.06604091	0.056566432	-0.1806713
1560916374335	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.82	19.199999	-111.240005
1560916374335	TYPE_GYROSCOPE_UNCALIBRATED	-0.11026001	-0.037826538	-0.014907837
1560916374335	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4460907	1.0582428	9.895233
1560916374355	TYPE_ACCELEROMETER	-1.4915924	1.0055695	9.531311
1560916374355	TYPE_MAGNETIC_FIELD	-5.58	22.26	-43.079998
1560916374355	TYPE_GYROSCOPE	-0.044265747	-0.008041382	0.0025482178
1560916374355	TYPE_ROTATION_VECTOR	0.065383025	0.05939426	-0.20905422
1560916374355	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.699999	19.32	-111.119995
1560916374355	TYPE_GYROSCOPE_UNCALIBRATED	-0.05859375	0.0016021729	0.0053253174
1560916374355	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4915924	1.0055695	9.531311
1560916374375	TYPE_ACCELEROMETER	-1.4556732	0.9505005	9.48822
1560916374375	TYPE_MAGNETIC_FIELD	-5.58	22.26	-43.079998
1560916374375	TYPE_GYROSCOPE	-0.059173584	0.013259888	0.017471313
1560916374375	TYPE_ROTATION_VECTOR	0.065383025	0.05939426	-0.20905422
1560916374375	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.699999	19.32	-111.119995
1560916374375	TYPE_GYROSCOPE_UNCALIBRATED	-0.07350159	0.022903442	0.020248413
1560916374375	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4915924	1.0055695	9.531311
1560916374395	TYPE_ACCELEROMETER	-1.4269409	0.8930359	9.629486
1560916374395	TYPE_MAGNETIC_FIELD	-5.7599998	22.5	-42.899998
1560916374395	TYPE_GYROSCOPE	-0.09700012	0.018066406	0.02758789
1560916374395	TYPE_ROTATION_VECTOR	0.06394608	0.06289192	-0.21351993
1560916374395	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.519999	19.56	-110.94
1560916374395	TYPE_GYROSCOPE_UNCALIBRATED	-0.111328125	0.027709961	0.03036499
1560916374395	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4269409	0.8930359	9.629486
1560916374415	TYPE_ACCELEROMETER	-1.3862457	0.83317566	9.720459
1560916374415	TYPE_MAGNETIC_FIELD	-5.8799996	23.4	-42.48
1560916374415	TYPE_GYROSCOPE	-0.12522888	-0.0069732666	0.021728516
1560916374415	TYPE_ROTATION_VECTOR	0.057636507	0.06291518	-0.19023174
1560916374415	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.4	20.46	-110.520004
1560916374415	TYPE_GYROSCOPE_UNCALIBRATED	-0.13955688	0.002670288	0.024505615
1560916374415	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3862457	0.83317566	9.720459
1560916374434	TYPE_ACCELEROMETER	-1.2737122	0.7876892	9.890442
1560916374434	TYPE_MAGNETIC_FIELD	-5.8799996	23.64	-42.36
1560916374434	TYPE_GYROSCOPE	-0.13587952	-0.03147888	0.017990112
