#	startTime:1560916287460
#	SiteID:5cd56c0ce2acfd2d33b6ab27	SiteName:黄金钫	FloorId:5cd56c0ce2acfd2d33b6ad56	FloorName:F3
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560916287460	TYPE_WAYPOINT	31.061655	17.351608
1560916287647	TYPE_ACCELEROMETER	0.27293396	0.42616272	9.550476
1560916287647	TYPE_MAGNETIC_FIELD	-20.699999	1.5	-54.899998
1560916287647	TYPE_GYROSCOPE	-0.033615112	0.05055237	0.0041503906
1560916287647	TYPE_ROTATION_VECTOR	9.061868E-6	-0.027910905	-0.64908254
1560916287647	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.42000008	3.3600001	-112.02
1560916287647	TYPE_GYROSCOPE_UNCALIBRATED	-0.085754395	0.022369385	0.026107788
1560916287647	TYPE_ACCELEROMETER_UNCALIBRATED	0.27293396	0.42616272	9.550476
1560916287667	TYPE_ACCELEROMETER	0.06463623	0.44770813	9.203308
1560916287667	TYPE_MAGNETIC_FIELD	-20.699999	1.5	-54.899998
1560916287667	TYPE_GYROSCOPE	-0.05065918	0.098480225	0.01373291
1560916287667	TYPE_ROTATION_VECTOR	9.061868E-6	-0.027910905	-0.64908254
1560916287667	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.42000008	3.3600001	-112.02
1560916287667	TYPE_GYROSCOPE_UNCALIBRATED	-0.047943115	0.060195923	0.0069274902
1560916287667	TYPE_ACCELEROMETER_UNCALIBRATED	0.06463623	0.44770813	9.203308
1560916287687	TYPE_ACCELEROMETER	0.04309082	0.40222168	9.176971
1560916287687	TYPE_MAGNETIC_FIELD	-20.699999	1.14	-55.379997
1560916287687	TYPE_GYROSCOPE	-0.124694824	0.11819458	0.033981323
1560916287687	TYPE_ROTATION_VECTOR	0.014038599	-0.016968397	-0.65992975
1560916287687	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.42000008	3.0	-112.5
1560916287687	TYPE_GYROSCOPE_UNCALIBRATED	-0.13902283	0.12783813	0.036758423
1560916287687	TYPE_ACCELEROMETER_UNCALIBRATED	0.04309082	0.40222168	9.176971
1560916287707	TYPE_ACCELEROMETER	0.09336853	0.33998108	9.466675
1560916287707	TYPE_MAGNETIC_FIELD	-20.699999	1.1999999	-55.32
1560916287707	TYPE_GYROSCOPE	-0.19180298	0.09794617	0.03717041
1560916287707	TYPE_ROTATION_VECTOR	0.01562628	-0.015629211	-0.6293287
1560916287707	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.42000008	3.06	-112.44
1560916287707	TYPE_GYROSCOPE_UNCALIBRATED	-0.13902283	0.12783813	0.036758423
1560916287707	TYPE_ACCELEROMETER_UNCALIBRATED	0.09336853	0.33998108	9.466675
1560916287727	TYPE_ACCELEROMETER	0.17237854	0.25138855	9.914383
1560916287727	TYPE_MAGNETIC_FIELD	-20.699999	1.1999999	-55.32
1560916287727	TYPE_GYROSCOPE	-0.19766235	0.081970215	0.0398407
1560916287727	TYPE_ROTATION_VECTOR	0.01562628	-0.015629211	-0.6293287
1560916287727	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.42000008	3.06	-112.44
1560916287727	TYPE_GYROSCOPE_UNCALIBRATED	-0.20613098	0.10758972	0.03994751
1560916287727	TYPE_ACCELEROMETER_UNCALIBRATED	0.17237854	0.25138855	9.914383
1560916287746	TYPE_ACCELEROMETER	0.15562439	0.1771698	9.96228
1560916287746	TYPE_MAGNETIC_FIELD	-20.16	1.02	-55.68
1560916287746	TYPE_GYROSCOPE	-0.13269043	0.15228271	0.047302246
1560916287746	TYPE_ROTATION_VECTOR	0.0053888033	-0.012289921	-0.6400961
1560916287746	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.9599991	2.88	-112.8
1560916287746	TYPE_GYROSCOPE_UNCALIBRATED	-0.21199036	0.09161377	0.042617798
1560916287746	TYPE_ACCELEROMETER_UNCALIBRATED	0.15562439	0.1771698	9.96228
1560916287766	TYPE_ACCELEROMETER	-0.04788208	0.16998291	9.722855
1560916287766	TYPE_MAGNETIC_FIELD	-20.1	0.96	-55.92
1560916287766	TYPE_GYROSCOPE	-0.115112305	0.22364807	0.06539917
1560916287766	TYPE_ROTATION_VECTOR	0.0045528524	-0.010337542	-0.63983065
1560916287766	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.0199986	2.82	-113.03999
1560916287766	TYPE_GYROSCOPE_UNCALIBRATED	-0.12944031	0.23329163	0.06817627
1560916287766	TYPE_ACCELEROMETER_UNCALIBRATED	-0.04788208	0.16998291	9.722855
1560916287786	TYPE_ACCELEROMETER	-0.07901001	0.13647461	9.811432
1560916287786	TYPE_MAGNETIC_FIELD	-20.4	1.1999999	-55.98
1560916287786	TYPE_GYROSCOPE	-0.17901611	0.16879272	0.073394775
1560916287786	TYPE_ROTATION_VECTOR	0.0035092628	-0.0064707203	-0.6391887
1560916287786	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.7199993	3.06	-113.1
1560916287786	TYPE_GYROSCOPE_UNCALIBRATED	-0.19334412	0.17843628	0.076171875
1560916287786	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07901001	0.13647461	9.811432
1560916287806	TYPE_ACCELEROMETER	0.0095825195	0.04548645	10.172958
1560916287806	TYPE_MAGNETIC_FIELD	-20.4	1.1999999	-55.98
1560916287806	TYPE_GYROSCOPE	-0.18487549	0.10966492	0.053146362
1560916287806	TYPE_ROTATION_VECTOR	0.0035092628	-0.0064707203	-0.6391887
1560916287806	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.7199993	3.06	-113.1
1560916287806	TYPE_GYROSCOPE_UNCALIBRATED	-0.19334412	0.17843628	0.076171875
1560916287806	TYPE_ACCELEROMETER_UNCALIBRATED	0.0095825195	0.04548645	10.172958
1560916287826	TYPE_ACCELEROMETER	-0.21069336	0.07421875	10.07959
1560916287826	TYPE_MAGNETIC_FIELD	-20.4	1.5	-56.1
1560916287826	TYPE_GYROSCOPE	-0.1348114	0.108078	0.043563843
1560916287826	TYPE_ROTATION_VECTOR	0.004042781	-0.0040427167	-0.6386889
1560916287826	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.7199993	3.3600001	-113.22
1560916287826	TYPE_GYROSCOPE_UNCALIBRATED	-0.1491394	0.11772156	0.046340942
1560916287826	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21069336	0.07421875	10.07959
1560916287845	TYPE_ACCELEROMETER	-0.32321167	0.13168335	9.672577
1560916287845	TYPE_MAGNETIC_FIELD	-20.1	2.04	-55.98
1560916287845	TYPE_GYROSCOPE	-0.110321045	0.08517456	0.07019043
1560916287845	TYPE_ROTATION_VECTOR	0.0037515287	-0.0016326706	-0.6381293
1560916287845	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.0199986	3.9	-113.1
1560916287845	TYPE_GYROSCOPE_UNCALIBRATED	-0.12464905	0.094818115	0.07296753
1560916287845	TYPE_ACCELEROMETER_UNCALIBRATED	-0.32321167	0.13168335	9.672577
