#	startTime:1560916178830
#	SiteID:5cd56c0ce2acfd2d33b6ab27	SiteName:黄金钫	FloorId:5cd56c0ce2acfd2d33b6ad56	FloorName:F3
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560916178830	TYPE_WAYPOINT	13.726707	22.423597
1560916179027	TYPE_ACCELEROMETER	-0.21548462	0.69192505	9.414001
1560916179027	TYPE_MAGNETIC_FIELD	-11.88	-31.619999	-27.9
1560916179027	TYPE_GYROSCOPE	-0.08421326	0.018066406	0.016937256
1560916179027	TYPE_ROTATION_VECTOR	0.019110639	-0.033137646	-0.9814934
1560916179027	TYPE_MAGNETIC_FIELD_UNCALIBRATED	16.380001	-32.94	-91.02
1560916179027	TYPE_GYROSCOPE_UNCALIBRATED	-0.07243347	0.03994751	0.029830933
1560916179027	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21548462	0.69192505	9.414001
1560916179047	TYPE_ACCELEROMETER	-0.28730774	0.67037964	9.540894
1560916179047	TYPE_MAGNETIC_FIELD	-11.639999	-31.619999	-27.9
1560916179047	TYPE_GYROSCOPE	-0.14120483	0.004211426	0.005218506
1560916179047	TYPE_ROTATION_VECTOR	0.016971111	-0.034242034	-0.98351634
1560916179047	TYPE_MAGNETIC_FIELD_UNCALIBRATED	16.62	-32.94	-91.02
1560916179047	TYPE_GYROSCOPE_UNCALIBRATED	-0.09854126	0.027709961	0.019714355
1560916179047	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21548462	0.69192505	9.414001
1560916179067	TYPE_ACCELEROMETER	-0.26576233	0.5961609	9.758759
1560916179067	TYPE_MAGNETIC_FIELD	-11.46	-31.56	-27.9
