#	startTime:1560916243686
#	SiteID:5cd56c0ce2acfd2d33b6ab27	SiteName:黄金钫	FloorId:5cd56c0ce2acfd2d33b6ad56	FloorName:F3
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1560916243687	TYPE_WAYPOINT	16.894894	18.667006
1560916243875	TYPE_ACCELEROMETER	-0.65122986	0.04548645	9.64624
1560916243875	TYPE_MAGNETIC_FIELD	-25.68	-11.28	-40.2
1560916243875	TYPE_GYROSCOPE	-0.014434814	0.0846405	-0.03793335
1560916243875	TYPE_ROTATION_VECTOR	0.022094112	0.015627893	-0.825317
1560916243875	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.8599987	-13.139999	-97.979996
1560916243875	TYPE_GYROSCOPE_UNCALIBRATED	-0.028762817	0.09428406	-0.03515625
1560916243875	TYPE_ACCELEROMETER_UNCALIBRATED	-0.65122986	0.04548645	9.64624
1560916243895	TYPE_ACCELEROMETER	-0.6943207	0.13168335	9.847351
1560916243895	TYPE_MAGNETIC_FIELD	-25.68	-11.04	-40.32
1560916243895	TYPE_GYROSCOPE	-0.079422	0.030838013	-0.055511475
1560916243895	TYPE_ROTATION_VECTOR	0.027394528	0.014974408	-0.81288135
1560916243895	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.8599987	-12.9	-98.1
1560916243895	TYPE_GYROSCOPE_UNCALIBRATED	-0.09375	0.040481567	-0.052734375
1560916243895	TYPE_ACCELEROMETER_UNCALIBRATED	-0.65122986	0.04548645	9.64624
1560916243915	TYPE_ACCELEROMETER	-0.66319275	0.21786499	10.132263
1560916243915	TYPE_MAGNETIC_FIELD	-25.68	-11.04	-40.32
1560916243915	TYPE_GYROSCOPE	-0.066101074	0.022323608	-0.045928955
1560916243915	TYPE_ROTATION_VECTOR	0.027394528	0.014974408	-0.81288135
1560916243915	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.8599987	-12.9	-98.1
1560916243915	TYPE_GYROSCOPE_UNCALIBRATED	-0.08042908	0.031967163	-0.043151855
1560916243915	TYPE_ACCELEROMETER_UNCALIBRATED	-0.66319275	0.21786499	10.132263
1560916243935	TYPE_ACCELEROMETER	-0.62727356	0.2561798	10.046066
1560916243935	TYPE_MAGNETIC_FIELD	-25.68	-11.28	-40.8
1560916243935	TYPE_GYROSCOPE	-0.008056641	0.06971741	-0.024612427
1560916243935	TYPE_ROTATION_VECTOR	0.032899186	0.011719329	-0.8311457
1560916243935	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.8599987	-13.139999	-98.58
1560916243935	TYPE_GYROSCOPE_UNCALIBRATED	-0.08042908	0.031967163	-0.043151855
1560916243935	TYPE_ACCELEROMETER_UNCALIBRATED	-0.62727356	0.2561798	10.046066
1560916243955	TYPE_ACCELEROMETER	-0.6201019	0.28970337	9.832993
1560916243955	TYPE_MAGNETIC_FIELD	-25.98	-11.34	-41.04
1560916243955	TYPE_GYROSCOPE	0.02178955	0.077178955	-0.0017089844
1560916243955	TYPE_ROTATION_VECTOR	0.03258303	0.012510323	-0.8314205
1560916243955	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.5599995	-13.2	-98.82
1560916243955	TYPE_GYROSCOPE_UNCALIBRATED	0.007461548	0.08682251	0.0010681152
1560916243955	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6201019	0.28970337	9.832993
1560916243974	TYPE_ACCELEROMETER	-0.49560547	0.26576233	9.6510315
1560916243974	TYPE_MAGNETIC_FIELD	-26.22	-11.34	-40.739998
1560916243974	TYPE_GYROSCOPE	0.005264282	0.06173706	-1.0681152E-4
1560916243974	TYPE_ROTATION_VECTOR	0.032739982	0.013083364	-0.8316012
1560916243974	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.3199997	-13.2	-98.52
1560916243974	TYPE_GYROSCOPE_UNCALIBRATED	0.007461548	0.08682251	0.0010681152
1560916243974	TYPE_ACCELEROMETER_UNCALIBRATED	-0.49560547	0.26576233	9.6510315
1560916243994	TYPE_ACCELEROMETER	-0.41419983	0.2561798	9.715668
1560916243994	TYPE_MAGNETIC_FIELD	-26.22	-11.34	-40.739998
1560916243994	TYPE_GYROSCOPE	-0.02029419	0.048950195	-0.0075683594
1560916243994	TYPE_ROTATION_VECTOR	0.032739982	0.013083364	-0.8316012
1560916243994	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.3199997	-13.2	-98.52
1560916243994	TYPE_GYROSCOPE_UNCALIBRATED	-0.034622192	0.05859375	-0.0047912598
1560916243994	TYPE_ACCELEROMETER_UNCALIBRATED	-0.41419983	0.2561798	9.715668
1560916244014	TYPE_ACCELEROMETER	-0.4237671	0.21786499	9.8090515
1560916244014	TYPE_MAGNETIC_FIELD	-25.92	-11.639999	-40.62
1560916244014	TYPE_GYROSCOPE	-0.014968872	0.037231445	-0.0054473877
1560916244014	TYPE_ROTATION_VECTOR	0.034138866	0.013649845	-0.83161324
1560916244014	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.6199989	-13.499999	-98.399994
