#	startTime:1561014550294
#	SiteID:5cd969ba39e2fc0b4afe6faf	SiteName:百联社区商业中心	FloorId:5cd969bb39e2fc0b4afe7075	FloorName:F1
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561014550295	TYPE_WAYPOINT	36.134113	7.9982376
1561014550508	TYPE_ACCELEROMETER	-1.0726013	0.64164734	9.888046
1561014550508	TYPE_MAGNETIC_FIELD	17.4	34.079998	-26.279999
1561014550508	TYPE_GYROSCOPE	-0.1296997	-0.048202515	0.02708435
1561014550508	TYPE_ROTATION_VECTOR	0.025545973	0.059102055	0.1953346
1561014550508	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.86	36.3	-95.52
1561014550508	TYPE_GYROSCOPE_UNCALIBRATED	-0.14169312	-0.038879395	0.029830933
1561014550508	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0726013	0.64164734	9.888046
1561014550528	TYPE_ACCELEROMETER	-1.0486603	0.6799469	9.950302
1561014550528	TYPE_MAGNETIC_FIELD	17.1	34.079998	-26.34
1561014550528	TYPE_GYROSCOPE	-0.104660034	-0.05886841	0.035614014
1561014550528	TYPE_ROTATION_VECTOR	0.022594756	0.05823679	0.17152989
1561014550528	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.559998	36.3	-95.58
1561014550528	TYPE_GYROSCOPE_UNCALIBRATED	-0.14169312	-0.038879395	0.029830933
1561014550528	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0486603	0.6799469	9.950302
1561014550548	TYPE_ACCELEROMETER	-0.9169769	0.6775665	9.847351
1561014550548	TYPE_MAGNETIC_FIELD	17.1	34.079998	-26.34
1561014550548	TYPE_GYROSCOPE	-0.088150024	-0.06312561	0.04624939
1561014550548	TYPE_ROTATION_VECTOR	0.022594756	0.05823679	0.17152989
1561014550548	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.559998	36.3	-95.58
1561014550548	TYPE_GYROSCOPE_UNCALIBRATED	-0.10014343	-0.05380249	0.04899597
1561014550548	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9169769	0.6775665	9.847351
1561014550568	TYPE_ACCELEROMETER	-0.89064026	0.6943207	9.775528
1561014550568	TYPE_MAGNETIC_FIELD	16.859999	33.899998	-26.699999
1561014550568	TYPE_GYROSCOPE	-0.07962036	-0.042877197	0.042526245
1561014550568	TYPE_ROTATION_VECTOR	0.02276695	0.05151548	0.18079181
1561014550568	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.32	36.12	-95.939995
1561014550568	TYPE_GYROSCOPE_UNCALIBRATED	-0.10014343	-0.05380249	0.04899597
1561014550568	TYPE_ACCELEROMETER_UNCALIBRATED	-0.89064026	0.6943207	9.775528
1561014550588	TYPE_ACCELEROMETER	-0.9169769	0.6823425	9.825806
1561014550588	TYPE_MAGNETIC_FIELD	16.859999	33.899998	-26.64
1561014550588	TYPE_GYROSCOPE	-0.092941284	-0.052474976	0.032943726
1561014550588	TYPE_ROTATION_VECTOR	0.021983143	0.050733555	0.18124181
1561014550588	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.32	36.12	-95.88
1561014550588	TYPE_GYROSCOPE_UNCALIBRATED	-0.10493469	-0.043151855	0.035690308
1561014550588	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9169769	0.6823425	9.825806
1561014550607	TYPE_ACCELEROMETER	-0.9457092	0.6871338	9.82341
1561014550607	TYPE_MAGNETIC_FIELD	16.859999	33.66	-26.279999
1561014550607	TYPE_GYROSCOPE	-0.083358765	-0.08016968	0.024414062
1561014550607	TYPE_ROTATION_VECTOR	0.021315409	0.050048016	0.18170877
1561014550607	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.32	35.88	-95.52
1561014550607	TYPE_GYROSCOPE_UNCALIBRATED	-0.09535217	-0.07084656	0.027160645
1561014550607	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9457092	0.6871338	9.82341
1561014550627	TYPE_ACCELEROMETER	-1.0103607	0.65122986	9.720459
1561014550627	TYPE_MAGNETIC_FIELD	16.859999	33.66	-26.279999
1561014550627	TYPE_GYROSCOPE	-0.074295044	-0.07110596	0.02229309
1561014550627	TYPE_ROTATION_VECTOR	0.021315409	0.050048016	0.18170877
1561014550627	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.32	35.88	-95.52
1561014550627	TYPE_GYROSCOPE_UNCALIBRATED	-0.09535217	-0.07084656	0.027160645
1561014550627	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0103607	0.65122986	9.720459
1561014550647	TYPE_ACCELEROMETER	-1.074997	0.6081238	9.746796
1561014550647	TYPE_MAGNETIC_FIELD	16.859999	33.84	-26.34
1561014550647	TYPE_GYROSCOPE	-0.08068848	-0.05140686	0.016433716
1561014550647	TYPE_ROTATION_VECTOR	0.019826647	0.04864819	0.18241277
1561014550647	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.32	36.06	-95.58
1561014550647	TYPE_GYROSCOPE_UNCALIBRATED	-0.092681885	-0.04208374	0.019180298
1561014550647	TYPE_ACCELEROMETER_UNCALIBRATED	-1.074997	0.6081238	9.746796
1561014550667	TYPE_ACCELEROMETER	-1.2066803	0.55545044	9.761154
1561014550667	TYPE_MAGNETIC_FIELD	17.1	33.6	-26.16
1561014550667	TYPE_GYROSCOPE	-0.07696533	-0.050338745	0.0052490234
1561014550667	TYPE_ROTATION_VECTOR	0.019236367	0.04772271	0.18266043
1561014550667	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.559998	35.82	-95.399994
1561014550667	TYPE_GYROSCOPE_UNCALIBRATED	-0.08895874	-0.041015625	0.0079956055
1561014550667	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2066803	0.55545044	9.761154
1561014550687	TYPE_ACCELEROMETER	-1.3503265	0.62249756	9.64624
1561014550687	TYPE_MAGNETIC_FIELD	17.34	33.6	-26.4
1561014550687	TYPE_GYROSCOPE	-0.08708191	-0.04234314	0.007385254
