#	startTime:1561014850940
#	SiteID:5cd969ba39e2fc0b4afe6faf	SiteName:百联社区商业中心	FloorId:5cd969bb39e2fc0b4afe7075	FloorName:F1
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561014850944	TYPE_WAYPOINT	53.944515	82.381165
1561014851122	TYPE_ACCELEROMETER	-0.8954315	0.0095825195	9.392456
1561014851122	TYPE_MAGNETIC_FIELD	-26.279999	12.24	-33.48
1561014851122	TYPE_GYROSCOPE	-0.050857544	-0.028503418	-0.11407471
1561014851122	TYPE_ROTATION_VECTOR	0.032757577	0.04008762	-0.5581025
1561014851122	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.9000015	11.28	-105.78
1561014851122	TYPE_GYROSCOPE_UNCALIBRATED	-0.01864624	-0.0010681152	-0.083618164
1561014851122	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7972717	0.06225586	9.555252
1561014851142	TYPE_ACCELEROMETER	-1.0797882	-0.03591919	9.555252
1561014851142	TYPE_MAGNETIC_FIELD	-25.98	12.12	-33.239998
1561014851142	TYPE_GYROSCOPE	-0.13395691	-0.09454346	-0.14974976
1561014851142	TYPE_ROTATION_VECTOR	0.026245356	0.038783845	-0.559468
1561014851142	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.2000008	11.16	-105.53999
1561014851142	TYPE_GYROSCOPE_UNCALIBRATED	-0.06285095	-0.019180298	-0.111328125
1561014851142	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8954315	0.0095825195	9.392456
1561014851162	TYPE_ACCELEROMETER	-1.1707611	-0.05986023	9.679764
1561014851162	TYPE_MAGNETIC_FIELD	-25.859999	12.12	-33.0
1561014851162	TYPE_GYROSCOPE	-0.153656	-0.1366272	-0.15827942
1561014851162	TYPE_ROTATION_VECTOR	0.03025882	0.04744964	-0.5545204
1561014851162	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.3200016	11.16	-105.299995
1561014851162	TYPE_GYROSCOPE_UNCALIBRATED	-0.14595032	-0.08522034	-0.14700317
1561014851162	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0797882	-0.03591919	9.555252
1561014851182	TYPE_ACCELEROMETER	-1.06781	-0.01914978	9.490616
1561014851182	TYPE_MAGNETIC_FIELD	-25.5	11.94	-32.399998
1561014851182	TYPE_GYROSCOPE	-0.095062256	-0.12384033	-0.1375122
1561014851182	TYPE_ROTATION_VECTOR	0.030701915	0.049684886	-0.57228917
1561014851182	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.6800003	10.98	-104.7
1561014851182	TYPE_GYROSCOPE_UNCALIBRATED	-0.107055664	-0.11451721	-0.13476562
1561014851182	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1707611	-0.05986023	9.679764
1561014851201	TYPE_ACCELEROMETER	-0.8954315	0.09815979	9.138672
1561014851201	TYPE_MAGNETIC_FIELD	-25.32	12.24	-32.04
1561014851201	TYPE_GYROSCOPE	-0.04660034	-0.08868408	-0.11300659
1561014851201	TYPE_ROTATION_VECTOR	0.028832791	0.04936414	-0.57347476
1561014851201	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.8600006	11.28	-104.34
1561014851201	TYPE_GYROSCOPE_UNCALIBRATED	-0.05859375	-0.07936096	-0.11026001
1561014851201	TYPE_ACCELEROMETER_UNCALIBRATED	-1.06781	-0.01914978	9.490616
1561014851221	TYPE_ACCELEROMETER	-0.746994	0.28012085	8.916
1561014851221	TYPE_MAGNETIC_FIELD	-25.32	12.24	-32.04
1561014851221	TYPE_GYROSCOPE	-0.059921265	-0.08123779	-0.10821533
1561014851221	TYPE_ROTATION_VECTOR	0.028832791	0.04936414	-0.57347476
1561014851221	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.8600006	11.28	-104.34
1561014851221	TYPE_GYROSCOPE_UNCALIBRATED	-0.05859375	-0.07936096	-0.11026001
1561014851221	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8954315	0.09815979	9.138672
1561014851241	TYPE_ACCELEROMETER	-0.5746155	0.292099	9.052475
1561014851241	TYPE_MAGNETIC_FIELD	-25.32	12.24	-32.04
1561014851241	TYPE_GYROSCOPE	-0.12542725	-0.099349976	-0.09703064
1561014851241	TYPE_ROTATION_VECTOR	0.028832791	0.04936414	-0.57347476
1561014851241	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.8600006	11.28	-104.34
1561014851241	TYPE_GYROSCOPE_UNCALIBRATED	-0.13742065	-0.090026855	-0.09428406
1561014851241	TYPE_ACCELEROMETER_UNCALIBRATED	-0.746994	0.28012085	8.916
1561014851261	TYPE_ACCELEROMETER	-0.6081238	0.09576416	9.09079
1561014851261	TYPE_MAGNETIC_FIELD	-25.56	12.24	-31.92
1561014851261	TYPE_GYROSCOPE	-0.16697693	-0.075912476	-0.079452515
1561014851261	TYPE_ROTATION_VECTOR	0.026222732	0.0484314	-0.57577807
1561014851261	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.6200008	11.28	-104.21999
1561014851261	TYPE_GYROSCOPE_UNCALIBRATED	-0.17897034	-0.066589355	-0.07670593
1561014851261	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5746155	0.292099	9.052475
1561014851281	TYPE_ACCELEROMETER	-0.9792328	-0.08859253	9.105148
1561014851281	TYPE_MAGNETIC_FIELD	-25.92	12.66	-31.74
1561014851281	TYPE_GYROSCOPE	-0.22343445	-0.00932312	-0.067733765
1561014851281	TYPE_ROTATION_VECTOR	0.024599109	0.04836791	-0.5765275
1561014851281	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.2600002	11.7	-104.03999
1561014851281	TYPE_GYROSCOPE_UNCALIBRATED	-0.17897034	-0.066589355	-0.07670593
1561014851281	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6081238	0.09576416	9.09079
1561014851301	TYPE_ACCELEROMETER	-0.964859	-0.10534668	9.710876
1561014851301	TYPE_MAGNETIC_FIELD	-25.92	12.66	-31.74
1561014851301	TYPE_GYROSCOPE	-0.33155823	-0.021575928	-0.043762207
1561014851301	TYPE_ROTATION_VECTOR	0.024599109	0.04836791	-0.5765275
1561014851301	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.2600002	11.7	-104.03999
1561014851301	TYPE_GYROSCOPE_UNCALIBRATED	-0.34355164	-0.012252808	-0.041015625
1561014851301	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9792328	-0.08859253	9.105148
1561014851320	TYPE_ACCELEROMETER	-0.65122986	0.02154541	10.053253
1561014851320	TYPE_MAGNETIC_FIELD	-26.16	12.78	-32.04
1561014851320	TYPE_GYROSCOPE	-0.33848572	-0.06312561	-0.029388428
1561014851320	TYPE_ROTATION_VECTOR	0.022790402	0.048722334	-0.5771039
1561014851320	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.0200005	11.82	-104.34
1561014851320	TYPE_GYROSCOPE_UNCALIBRATED	-0.35047913	-0.05380249	-0.026641846
1561014851320	TYPE_ACCELEROMETER_UNCALIBRATED	-0.964859	-0.10534668	9.710876
1561014851340	TYPE_ACCELEROMETER	-0.46447754	0.27293396	9.674973
1561014851340	TYPE_MAGNETIC_FIELD	-26.279999	12.96	-31.619999
1561014851340	TYPE_GYROSCOPE	-0.2617798	-0.042877197	-0.019256592
1561014851340	TYPE_ROTATION_VECTOR	0.018101819	0.051654834	-0.577734
1561014851340	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.9000015	12.0	-103.92
1561014851340	TYPE_GYROSCOPE_UNCALIBRATED	-0.2737732	-0.033554077	-0.01651001
1561014851340	TYPE_ACCELEROMETER_UNCALIBRATED	-0.65122986	0.02154541	10.053253
1561014851360	TYPE_ACCELEROMETER	-0.42138672	0.39982605	9.545685
1561014851360	TYPE_MAGNETIC_FIELD	-26.279999	12.78	-31.5
1561014851360	TYPE_GYROSCOPE	-0.2713623	0.0663147	0.011108398
1561014851360	TYPE_ROTATION_VECTOR	0.015004879	0.053085025	-0.5778057
1561014851360	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.9000015	11.82	-103.799995
1561014851360	TYPE_GYROSCOPE_UNCALIBRATED	-0.2833557	0.07563782	0.0138549805
1561014851360	TYPE_ACCELEROMETER_UNCALIBRATED	-0.46447754	0.27293396	9.674973
1561014851380	TYPE_ACCELEROMETER	-0.52433777	0.30885315	9.86171
1561014851380	TYPE_MAGNETIC_FIELD	-26.279999	12.78	-31.5
1561014851380	TYPE_GYROSCOPE	-0.37257385	0.14567566	0.035064697
1561014851380	TYPE_ROTATION_VECTOR	0.015004879	0.053085025	-0.5778057
1561014851380	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.9000015	11.82	-103.799995
1561014851380	TYPE_GYROSCOPE_UNCALIBRATED	-0.2833557	0.07563782	0.0138549805
1561014851380	TYPE_ACCELEROMETER_UNCALIBRATED	-0.42138672	0.39982605	9.545685
1561014851400	TYPE_ACCELEROMETER	-0.6584015	0.18914795	10.39563
1561014851400	TYPE_MAGNETIC_FIELD	-26.4	12.78	-31.679998
1561014851400	TYPE_GYROSCOPE	-0.47962952	0.1451416	0.02229309
1561014851400	TYPE_ROTATION_VECTOR	0.012640592	0.054236043	-0.5778282
1561014851400	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.7800007	11.82	-103.979996
1561014851400	TYPE_GYROSCOPE_UNCALIBRATED	-0.38456726	0.15499878	0.03781128
1561014851400	TYPE_ACCELEROMETER_UNCALIBRATED	-0.52433777	0.30885315	9.86171
1561014851419	TYPE_ACCELEROMETER	-0.723053	0.2753296	10.893616
1561014851419	TYPE_MAGNETIC_FIELD	-26.519999	12.84	-31.14
1561014851419	TYPE_GYROSCOPE	-0.50839233	0.09880066	0.0020599365
1561014851419	TYPE_ROTATION_VECTOR	0.0108412225	0.05630911	-0.577585
1561014851419	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.66000175	11.88	-103.439995
1561014851419	TYPE_GYROSCOPE_UNCALIBRATED	-0.52038574	0.10812378	0.0048065186
1561014851419	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6584015	0.18914795	10.39563
1561014851439	TYPE_ACCELEROMETER	-0.5746155	0.50038147	10.577576
1561014851439	TYPE_MAGNETIC_FIELD	-26.46	12.719999	-30.9
1561014851439	TYPE_GYROSCOPE	-0.3965454	0.032226562	-0.0022125244
1561014851439	TYPE_ROTATION_VECTOR	0.005686291	0.06348904	-0.57659507
1561014851439	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.7200012	11.759999	-103.2
1561014851439	TYPE_GYROSCOPE_UNCALIBRATED	-0.40853882	0.041549683	5.340576E-4
1561014851439	TYPE_ACCELEROMETER_UNCALIBRATED	-0.723053	0.2753296	10.893616
1561014851459	TYPE_ACCELEROMETER	-0.3136444	0.6536102	9.828201
1561014851459	TYPE_MAGNETIC_FIELD	-26.4	12.78	-30.3
1561014851459	TYPE_GYROSCOPE	-0.26870728	0.0023956299	0.0126953125
1561014851459	TYPE_ROTATION_VECTOR	0.0021637224	0.06717744	-0.5762456
1561014851459	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.7800007	11.82	-102.59999
1561014851459	TYPE_GYROSCOPE_UNCALIBRATED	-0.28070068	0.01171875	0.0154418945
1561014851459	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5746155	0.50038147	10.577576
1561014851479	TYPE_ACCELEROMETER	-0.26576233	0.66319275	9.430756
1561014851479	TYPE_MAGNETIC_FIELD	-26.4	12.78	-30.3
1561014851479	TYPE_GYROSCOPE	-0.2239685	0.024765015	0.03401184
1561014851479	TYPE_ROTATION_VECTOR	0.0021637224	0.06717744	-0.5762456
1561014851479	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.7800007	11.82	-102.59999
1561014851479	TYPE_GYROSCOPE_UNCALIBRATED	-0.23596191	0.034088135	0.036758423
1561014851479	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3136444	0.6536102	9.828201
1561014851499	TYPE_ACCELEROMETER	-0.21786499	0.47166443	9.306259
1561014851499	TYPE_MAGNETIC_FIELD	-26.16	13.139999	-30.599998
1561014851499	TYPE_GYROSCOPE	-0.23461914	0.053527832	0.07608032
1561014851499	TYPE_ROTATION_VECTOR	-0.0029806301	0.07124135	-0.5757067
1561014851499	TYPE_MAGNETIC_FIELD_UNCALIBRATED	1.0200005	12.179999	-102.899994
1561014851499	TYPE_GYROSCOPE_UNCALIBRATED	-0.23596191	0.034088135	0.036758423
1561014851499	TYPE_ACCELEROMETER_UNCALIBRATED	-0.26576233	0.66319275	9.430756
1561014851518	TYPE_ACCELEROMETER	-0.09576416	0.17237854	9.354141
1561014851518	TYPE_MAGNETIC_FIELD	-26.46	13.62	-30.48
1561014851518	TYPE_GYROSCOPE	-0.2559204	0.040222168	0.09951782
1561014851518	TYPE_ROTATION_VECTOR	-0.0046178806	0.07270975	-0.575276
1561014851518	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.7200012	12.66	-102.78
1561014851518	TYPE_GYROSCOPE_UNCALIBRATED	-0.26791382	0.049545288	0.102264404
1561014851518	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21786499	0.47166443	9.306259
1561014851538	TYPE_ACCELEROMETER	-0.01675415	-0.08140564	9.569626
1561014851538	TYPE_MAGNETIC_FIELD	-26.519999	13.62	-30.179998
1561014851538	TYPE_GYROSCOPE	-0.2500763	0.0034637451	0.08514404
1561014851538	TYPE_ROTATION_VECTOR	-0.006145789	0.07447013	-0.5744984
1561014851538	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.66000175	12.66	-102.479996
1561014851538	TYPE_GYROSCOPE_UNCALIBRATED	-0.2620697	0.012786865	0.087890625
1561014851538	TYPE_ACCELEROMETER_UNCALIBRATED	-0.09576416	0.17237854	9.354141
1561014851558	TYPE_ACCELEROMETER	-0.0143585205	-0.1771698	9.457092
1561014851558	TYPE_MAGNETIC_FIELD	-26.519999	13.62	-30.179998
1561014851558	TYPE_GYROSCOPE	-0.16590881	-0.03489685	0.040405273
1561014851558	TYPE_ROTATION_VECTOR	-0.006145789	0.07447013	-0.5744984
1561014851558	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.66000175	12.66	-102.479996
1561014851558	TYPE_GYROSCOPE_UNCALIBRATED	-0.17790222	-0.02557373	0.043151855
1561014851558	TYPE_ACCELEROMETER_UNCALIBRATED	-0.01675415	-0.08140564	9.569626
1561014851578	TYPE_ACCELEROMETER	-0.2561798	-0.01914978	8.930374
1561014851578	TYPE_MAGNETIC_FIELD	-26.22	13.98	-30.24
1561014851578	TYPE_GYROSCOPE	-0.08654785	-0.02583313	-0.0064849854
1561014851578	TYPE_ROTATION_VECTOR	-0.007902918	0.0762468	-0.5735104
1561014851578	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.960001	13.0199995	-102.53999
1561014851578	TYPE_GYROSCOPE_UNCALIBRATED	-0.17790222	-0.02557373	0.043151855
1561014851578	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0143585205	-0.1771698	9.457092
1561014851608	TYPE_WIFI	e1d25f179e204fd3cd02c64126798bd9f1ea5f9a	008a92b41a8e934d12181b709227e3016df5c735	-80	5220	1561014812438
