#	startTime:1561015626462
#	SiteID:5cd969ba39e2fc0b4afe6faf	SiteName:百联社区商业中心	FloorId:5cd969bb39e2fc0b4afe7075	FloorName:F1
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561015626462	TYPE_WAYPOINT	39.199314	71.09687
1561015626650	TYPE_ACCELEROMETER	-0.6081238	0.70628357	9.588776
1561015626650	TYPE_MAGNETIC_FIELD	-25.199999	-24.0	-31.199999
1561015626650	TYPE_GYROSCOPE	-0.074295044	-0.046081543	-0.06826782
1561015626650	TYPE_ROTATION_VECTOR	0.032923482	-0.024933733	-0.9041384
1561015626650	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.0600014	-20.7	-101.52
1561015626650	TYPE_GYROSCOPE_UNCALIBRATED	0.0063934326	0.04208374	-0.047943115
1561015626650	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6081238	0.70628357	9.588776
1561015626670	TYPE_ACCELEROMETER	-0.55784607	0.76135254	9.895233
1561015626670	TYPE_MAGNETIC_FIELD	-25.08	-23.88	-31.199999
1561015626670	TYPE_GYROSCOPE	-0.08227539	-0.05140686	-0.06880188
1561015626670	TYPE_ROTATION_VECTOR	0.043593507	-0.01706651	-0.90032727
1561015626670	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.1800003	-20.58	-101.52
1561015626670	TYPE_GYROSCOPE_UNCALIBRATED	-0.08628845	-0.036758423	-0.06552124
1561015626670	TYPE_ACCELEROMETER_UNCALIBRATED	-0.55784607	0.76135254	9.895233
1561015626690	TYPE_ACCELEROMETER	-0.7398071	0.97683716	9.849747
1561015626690	TYPE_MAGNETIC_FIELD	-25.14	-23.88	-31.199999
1561015626690	TYPE_GYROSCOPE	-0.021575928	0.03062439	-0.02885437
1561015626690	TYPE_ROTATION_VECTOR	0.041307252	-0.022121146	-0.89958006
1561015626690	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.1200008	-20.58	-101.52
1561015626690	TYPE_GYROSCOPE_UNCALIBRATED	-0.0942688	-0.04208374	-0.0660553
1561015626690	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7398071	0.97683716	9.849747
1561015626710	TYPE_ACCELEROMETER	-0.79966736	1.0103607	9.610321
1561015626710	TYPE_MAGNETIC_FIELD	-25.199999	-23.64	-30.9
1561015626710	TYPE_GYROSCOPE	-0.032226562	0.047668457	0.02708435
1561015626710	TYPE_ROTATION_VECTOR	0.05455544	-0.023836719	-0.88418895
1561015626710	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.0600014	-20.34	-101.22
1561015626710	TYPE_GYROSCOPE_UNCALIBRATED	-0.033569336	0.03994751	-0.026107788
1561015626710	TYPE_ACCELEROMETER_UNCALIBRATED	-0.79966736	1.0103607	9.610321
1561015626730	TYPE_ACCELEROMETER	-0.6296692	0.86909485	9.686935
1561015626730	TYPE_MAGNETIC_FIELD	-25.199999	-23.64	-30.9
1561015626730	TYPE_GYROSCOPE	-0.10731506	-0.016784668	0.03614807
1561015626730	TYPE_ROTATION_VECTOR	0.05455544	-0.023836719	-0.88418895
1561015626730	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.0600014	-20.34	-101.22
