#	startTime:1561015698359
#	SiteID:5cd969ba39e2fc0b4afe6faf	SiteName:百联社区商业中心	FloorId:5cd969bb39e2fc0b4afe7075	FloorName:F1
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561015698360	TYPE_WAYPOINT	44.777145	27.14992
1561015698548	TYPE_ACCELEROMETER	-0.5315094	0.5530548	9.746796
1561015698548	TYPE_MAGNETIC_FIELD	-29.76	14.639999	-40.62
1561015698548	TYPE_GYROSCOPE	-0.15579224	0.020507812	-0.038970947
1561015698548	TYPE_ROTATION_VECTOR	0.042791817	0.011051338	-0.5045846
1561015698548	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-1.0799999	16.199999	-107.03999
1561015698548	TYPE_GYROSCOPE_UNCALIBRATED	-0.16778564	0.029830933	-0.036224365
1561015698548	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5961609	0.6081238	9.612717
1561015698568	TYPE_ACCELEROMETER	-0.53630066	0.5913696	9.835388
1561015698568	TYPE_MAGNETIC_FIELD	-29.76	14.639999	-40.62
1561015698568	TYPE_GYROSCOPE	-0.1648407	-0.009857178	-0.05973816
1561015698568	TYPE_ROTATION_VECTOR	0.042791817	0.011051338	-0.5045846
1561015698568	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-1.0799999	16.199999	-107.03999
1561015698568	TYPE_GYROSCOPE_UNCALIBRATED	-0.1768341	-5.340576E-4	-0.056991577
1561015698568	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5315094	0.5530548	9.746796
1561015698588	TYPE_ACCELEROMETER	-0.52671814	0.588974	9.655823
1561015698588	TYPE_MAGNETIC_FIELD	-29.88	14.5199995	-40.379997
1561015698588	TYPE_GYROSCOPE	-0.14247131	0.0055999756	-0.062942505
1561015698588	TYPE_ROTATION_VECTOR	0.0405527	0.007985816	-0.5280617
1561015698588	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-1.1999989	16.08	-106.799995
1561015698588	TYPE_GYROSCOPE_UNCALIBRATED	-0.15446472	0.014923096	-0.060195923
1561015698588	TYPE_ACCELEROMETER_UNCALIBRATED	-0.53630066	0.5913696	9.835388
1561015698608	TYPE_ACCELEROMETER	-0.52433777	0.588974	9.641449
1561015698608	TYPE_MAGNETIC_FIELD	-30.119999	14.46	-40.079998
1561015698608	TYPE_GYROSCOPE	-0.15525818	0.037017822	-0.06452942
1561015698608	TYPE_ROTATION_VECTOR	0.03988868	0.008185871	-0.5305719
1561015698608	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-1.4399986	16.02	-106.5
1561015698608	TYPE_GYROSCOPE_UNCALIBRATED	-0.16725159	0.046340942	-0.061782837
1561015698608	TYPE_ACCELEROMETER_UNCALIBRATED	-0.52671814	0.588974	9.655823
1561015698628	TYPE_ACCELEROMETER	-0.533905	0.5315094	9.856934
1561015698628	TYPE_MAGNETIC_FIELD	-30.3	14.639999	-40.079998
1561015698628	TYPE_GYROSCOPE	-0.19360352	0.037017822	-0.06719971
1561015698628	TYPE_ROTATION_VECTOR	0.038716674	0.009005253	-0.53108525
