#	startTime:1561017549941
#	SiteID:5cd969ba39e2fc0b4afe6faf	SiteName:百联社区商业中心	FloorId:5cd969bf39e2fc0b4afe7419	FloorName:F3
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561017549941	TYPE_WAYPOINT	79.680984	46.085175
1561017550143	TYPE_ACCELEROMETER	-0.04788208	0.7852936	9.050079
1561017550143	TYPE_MAGNETIC_FIELD	-15.42	-36.66	-27.359999
1561017550143	TYPE_GYROSCOPE	-0.28735352	0.015716553	0.035598755
1561017550143	TYPE_ROTATION_VECTOR	0.012213414	-0.03947703	-0.9727934
1561017550143	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.299999	-35.7	-96.18
1561017550143	TYPE_GYROSCOPE_UNCALIBRATED	-0.1640625	0.060195923	0.03729248
1561017550143	TYPE_ACCELEROMETER_UNCALIBRATED	-0.04788208	0.7852936	9.050079
1561017550163	TYPE_ACCELEROMETER	-0.0143585205	0.6967163	9.423584
1561017550163	TYPE_MAGNETIC_FIELD	-15.12	-36.96	-27.779999
1561017550163	TYPE_GYROSCOPE	-0.36138916	-0.01625061	0.012176514
1561017550163	TYPE_ROTATION_VECTOR	0.007812898	-0.03399752	-0.97994065
1561017550163	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.599999	-36.0	-96.6
1561017550163	TYPE_GYROSCOPE_UNCALIBRATED	-0.29934692	0.025039673	0.038345337
1561017550163	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0143585205	0.6967163	9.423584
1561017550183	TYPE_ACCELEROMETER	-0.07182312	0.7565613	9.662994
1561017550183	TYPE_MAGNETIC_FIELD	-15.0	-36.899998	-28.08
1561017550183	TYPE_GYROSCOPE	-0.3581848	0.021575928	0.009506226
1561017550183	TYPE_ROTATION_VECTOR	0.009866073	-0.035051946	-0.9792673
1561017550183	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.719999	-35.94	-96.9
1561017550183	TYPE_GYROSCOPE_UNCALIBRATED	-0.37338257	-0.0069274902	0.014923096
1561017550183	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07182312	0.7565613	9.662994
1561017550203	TYPE_ACCELEROMETER	0.0095825195	0.7733307	9.514557
1561017550203	TYPE_MAGNETIC_FIELD	-15.0	-36.899998	-28.08
1561017550203	TYPE_GYROSCOPE	-0.3374176	0.09614563	0.010574341
1561017550203	TYPE_ROTATION_VECTOR	0.009866073	-0.035051946	-0.9792673
1561017550203	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.719999	-35.94	-96.9
1561017550203	TYPE_GYROSCOPE_UNCALIBRATED	-0.37017822	0.030899048	0.012252808
1561017550203	TYPE_ACCELEROMETER_UNCALIBRATED	0.0095825195	0.7733307	9.514557
1561017550223	TYPE_ACCELEROMETER	0.14364624	0.79966736	9.378082
1561017550223	TYPE_MAGNETIC_FIELD	-14.94	-36.899998	-28.38
1561017550223	TYPE_GYROSCOPE	-0.40133667	0.17018127	-0.028320312
1561017550223	TYPE_ROTATION_VECTOR	0.009366301	-0.031550713	-0.9793636
1561017550223	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.78	-35.94	-97.2
1561017550223	TYPE_GYROSCOPE_UNCALIBRATED	-0.349411	0.10546875	0.013320923
1561017550223	TYPE_ACCELEROMETER_UNCALIBRATED	0.14364624	0.79966736	9.378082
1561017550242	TYPE_ACCELEROMETER	0.32321167	0.9361267	9.892838
1561017550242	TYPE_MAGNETIC_FIELD	-14.759999	-36.899998	-28.38
1561017550242	TYPE_GYROSCOPE	-0.48602295	0.16539001	-0.09968567
1561017550242	TYPE_ROTATION_VECTOR	0.009624151	-0.028099233	-0.9794333
1561017550242	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.96	-35.94	-97.2
1561017550242	TYPE_GYROSCOPE_UNCALIBRATED	-0.41333008	0.1795044	-0.02557373
1561017550242	TYPE_ACCELEROMETER_UNCALIBRATED	0.32321167	0.9361267	9.892838
1561017550262	TYPE_ACCELEROMETER	0.42855835	0.97683716	10.448303
1561017550262	TYPE_MAGNETIC_FIELD	-14.82	-36.84	-28.98
1561017550262	TYPE_GYROSCOPE	-0.4663086	0.12649536	-0.18383789
1561017550262	TYPE_ROTATION_VECTOR	0.011151452	-0.01885041	-0.97985435
1561017550262	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.9	-35.88	-97.8
1561017550262	TYPE_GYROSCOPE_UNCALIBRATED	-0.49801636	0.17471313	-0.09693909
1561017550262	TYPE_ACCELEROMETER_UNCALIBRATED	0.42855835	0.97683716	10.448303
1561017550282	TYPE_ACCELEROMETER	0.3615265	1.0055695	10.386047
1561017550282	TYPE_MAGNETIC_FIELD	-14.7	-36.78	-29.46
1561017550282	TYPE_GYROSCOPE	-0.37097168	0.11425781	-0.25254822
1561017550282	TYPE_ROTATION_VECTOR	0.011495647	-0.014067587	-0.9802739
1561017550282	TYPE_MAGNETIC_FIELD_UNCALIBRATED	10.0199995	-35.82	-98.28
1561017550282	TYPE_GYROSCOPE_UNCALIBRATED	-0.478302	0.13581848	-0.18109131
1561017550282	TYPE_ACCELEROMETER_UNCALIBRATED	0.3615265	1.0055695	10.386047
1561017550302	TYPE_ACCELEROMETER	0.30166626	1.0486603	10.07959
1561017550302	TYPE_MAGNETIC_FIELD	-14.7	-36.78	-29.46
1561017550302	TYPE_GYROSCOPE	-0.27349854	0.07324219	-0.2871704
1561017550302	TYPE_ROTATION_VECTOR	0.011495647	-0.014067587	-0.9802739
1561017550302	TYPE_MAGNETIC_FIELD_UNCALIBRATED	10.0199995	-35.82	-98.28
1561017550302	TYPE_GYROSCOPE_UNCALIBRATED	-0.3829651	0.12358093	-0.24980164
1561017550302	TYPE_ACCELEROMETER_UNCALIBRATED	0.30166626	1.0486603	10.07959
1561017550322	TYPE_ACCELEROMETER	0.0861969	0.96006775	9.509766
1561017550322	TYPE_MAGNETIC_FIELD	-14.759999	-36.6	-29.76
1561017550322	TYPE_GYROSCOPE	-0.2117157	0.047668457	-0.31167603
1561017550322	TYPE_ROTATION_VECTOR	0.011914464	-0.010220809	-0.98079246
1561017550322	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.96	-35.64	-98.58
1561017550322	TYPE_GYROSCOPE_UNCALIBRATED	-0.28549194	0.08256531	-0.28442383
1561017550322	TYPE_ACCELEROMETER_UNCALIBRATED	0.0861969	0.96006775	9.509766
1561017550341	TYPE_ACCELEROMETER	-0.22744751	0.7852936	9.038116
1561017550341	TYPE_MAGNETIC_FIELD	-14.94	-36.36	-30.0
1561017550341	TYPE_GYROSCOPE	-0.2271576	0.024230957	-0.30368042
1561017550341	TYPE_ROTATION_VECTOR	0.012128778	-0.007392174	-0.9813548
1561017550341	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.78	-35.4	-98.82
1561017550341	TYPE_GYROSCOPE_UNCALIBRATED	-0.2237091	0.056991577	-0.30892944
1561017550341	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22744751	0.7852936	9.038116
1561017550361	TYPE_ACCELEROMETER	-0.22744751	0.6464386	8.894455
1561017550361	TYPE_MAGNETIC_FIELD	-15.0	-36.239998	-30.96
1561017550361	TYPE_GYROSCOPE	-0.28042603	-0.02104187	-0.278656
1561017550361	TYPE_ROTATION_VECTOR	0.012042457	-0.0029272058	-0.98251504
1561017550361	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.719999	-35.28	-99.78
1561017550361	TYPE_GYROSCOPE_UNCALIBRATED	-0.239151	0.033554077	-0.30093384
1561017550361	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22744751	0.6464386	8.894455
1561017550381	TYPE_ACCELEROMETER	-0.16281128	0.5410919	8.980652
1561017550381	TYPE_MAGNETIC_FIELD	-15.12	-35.94	-31.32
1561017550381	TYPE_GYROSCOPE	-0.3166504	-0.013061523	-0.2664032
1561017550381	TYPE_ROTATION_VECTOR	0.011334846	-2.1485066E-4	-0.98302954
1561017550381	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.599999	-34.98	-100.14
1561017550381	TYPE_GYROSCOPE_UNCALIBRATED	-0.29241943	-0.01171875	-0.27590942
1561017550381	TYPE_ACCELEROMETER_UNCALIBRATED	-0.16281128	0.5410919	8.980652
1561017550401	TYPE_ACCELEROMETER	-0.1197052	0.4812317	9.136276
1561017550401	TYPE_MAGNETIC_FIELD	-15.12	-35.94	-31.32
1561017550401	TYPE_GYROSCOPE	-0.30493164	-0.019454956	-0.262146
1561017550401	TYPE_ROTATION_VECTOR	0.011334846	-2.1485066E-4	-0.98302954
1561017550401	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.599999	-34.98	-100.14
1561017550401	TYPE_GYROSCOPE_UNCALIBRATED	-0.3286438	-0.0037384033	-0.26365662
1561017550401	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1197052	0.4812317	9.136276
1561017550421	TYPE_ACCELEROMETER	-0.03831482	0.4620819	9.162613
