#	startTime:1561017569038
#	SiteID:5cd969ba39e2fc0b4afe6faf	SiteName:百联社区商业中心	FloorId:5cd969bf39e2fc0b4afe7419	FloorName:F3
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561017569040	TYPE_WAYPOINT	78.10461	42.8859
1561017569235	TYPE_ACCELEROMETER	-0.43095398	0.28970337	9.96228
1561017569235	TYPE_MAGNETIC_FIELD	-11.16	-48.18	-32.16
1561017569235	TYPE_GYROSCOPE	-0.18774414	-0.046081543	-0.19450378
1561017569235	TYPE_ROTATION_VECTOR	0.025543489	-0.008809885	-0.98930156
1561017569235	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.559999	-47.22	-100.979996
1561017569235	TYPE_GYROSCOPE_UNCALIBRATED	-0.15820312	0.0016021729	-0.19068909
1561017569235	TYPE_ACCELEROMETER_UNCALIBRATED	-0.43095398	0.28970337	9.96228
1561017569255	TYPE_ACCELEROMETER	-0.29927063	0.31843567	9.94072
1561017569255	TYPE_MAGNETIC_FIELD	-11.34	-48.239998	-32.399998
1561017569255	TYPE_GYROSCOPE	-0.14086914	-0.043411255	-0.17318726
1561017569255	TYPE_ROTATION_VECTOR	0.02307542	-0.014033866	-0.99146545
1561017569255	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.379999	-47.28	-101.22
1561017569255	TYPE_GYROSCOPE_UNCALIBRATED	-0.15286255	-0.034088135	-0.17044067
1561017569255	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29927063	0.31843567	9.94072
1561017569275	TYPE_ACCELEROMETER	-0.24659729	0.33039856	9.574417
