#	startTime:1561017592618
#	SiteID:5cd969ba39e2fc0b4afe6faf	SiteName:百联社区商业中心	FloorId:5cd969bf39e2fc0b4afe7419	FloorName:F3
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561017592618	TYPE_WAYPOINT	73.857185	35.64435
1561017592810	TYPE_ACCELEROMETER	-0.7086792	0.292099	9.442734
1561017592810	TYPE_MAGNETIC_FIELD	-12.059999	-30.3	-24.0
1561017592810	TYPE_GYROSCOPE	-0.0705719	0.07963562	-0.01499939
1561017592810	TYPE_ROTATION_VECTOR	0.04077304	-0.016968397	-0.97309077
1561017592810	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.66	-29.34	-92.82
1561017592810	TYPE_GYROSCOPE_UNCALIBRATED	-0.1448822	0.083618164	-0.0032043457
1561017592810	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7086792	0.292099	9.442734
1561017592830	TYPE_ACCELEROMETER	-0.43814087	0.37348938	8.966278
1561017592830	TYPE_MAGNETIC_FIELD	-12.0	-30.3	-23.76
1561017592830	TYPE_GYROSCOPE	-0.11903381	0.026367188	-0.022460938
1561017592830	TYPE_ROTATION_VECTOR	0.039633762	-0.011658312	-0.97702444
1561017592830	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.719999	-29.34	-92.58
1561017592830	TYPE_GYROSCOPE_UNCALIBRATED	-0.08256531	0.08895874	-0.012252808
1561017592830	TYPE_ACCELEROMETER_UNCALIBRATED	-0.43814087	0.37348938	8.966278
1561017592850	TYPE_ACCELEROMETER	-0.07661438	0.45010376	9.093185
1561017592850	TYPE_MAGNETIC_FIELD	-12.0	-30.3	-23.699999
1561017592850	TYPE_GYROSCOPE	-0.1925354	-0.09135437	-0.08370972
1561017592850	TYPE_ROTATION_VECTOR	0.027601527	-0.014585313	-0.9773065
1561017592850	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.719999	-29.34	-92.52
1561017592850	TYPE_GYROSCOPE_UNCALIBRATED	-0.13102722	0.035690308	-0.019714355
1561017592850	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07661438	0.45010376	9.093185
1561017592870	TYPE_ACCELEROMETER	0.2753296	0.7254486	9.543289
1561017592870	TYPE_MAGNETIC_FIELD	-11.82	-30.179998	-23.82
1561017592870	TYPE_GYROSCOPE	-0.19839478	-0.10839844	-0.124191284
1561017592870	TYPE_ROTATION_VECTOR	0.006551767	-0.0203271	-0.9854705
1561017592870	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.9	-29.22	-92.64
1561017592870	TYPE_GYROSCOPE_UNCALIBRATED	-0.20452881	-0.08203125	-0.080963135
1561017592870	TYPE_ACCELEROMETER_UNCALIBRATED	0.2753296	0.7254486	9.543289
1561017592890	TYPE_ACCELEROMETER	0.50756836	0.91937256	9.777924
1561017592890	TYPE_MAGNETIC_FIELD	-11.82	-30.179998	-23.82
1561017592890	TYPE_GYROSCOPE	-0.12861633	-0.07910156	-0.13111877
1561017592890	TYPE_ROTATION_VECTOR	0.006551767	-0.0203271	-0.9854705
1561017592890	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.9	-29.22	-92.64
1561017592890	TYPE_GYROSCOPE_UNCALIBRATED	-0.21038818	-0.09907532	-0.1214447
1561017592890	TYPE_ACCELEROMETER_UNCALIBRATED	0.50756836	0.91937256	9.777924
1561017592909	TYPE_ACCELEROMETER	0.5315094	0.9337311	9.952698
1561017592909	TYPE_MAGNETIC_FIELD	-11.94	-30.179998	-23.82
1561017592909	TYPE_GYROSCOPE	-0.07696533	-0.085494995	-0.11619568
1561017592909	TYPE_ROTATION_VECTOR	0.0053612706	-0.018598095	-0.9856521
1561017592909	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.78	-29.22	-92.64
1561017592909	TYPE_GYROSCOPE_UNCALIBRATED	-0.14060974	-0.06977844	-0.12837219
1561017592909	TYPE_ACCELEROMETER_UNCALIBRATED	0.5315094	0.9337311	9.952698
1561017592929	TYPE_ACCELEROMETER	0.6584015	0.94810486	9.72525
1561017592929	TYPE_MAGNETIC_FIELD	-12.0	-29.939999	-23.82
1561017592929	TYPE_GYROSCOPE	-0.06150818	-0.055130005	-0.11619568
1561017592929	TYPE_ROTATION_VECTOR	0.003999889	-0.016838588	-0.9858963
1561017592929	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.719999	-28.98	-92.64
1561017592929	TYPE_GYROSCOPE_UNCALIBRATED	-0.08895874	-0.076171875	-0.1134491
1561017592929	TYPE_ACCELEROMETER_UNCALIBRATED	0.6584015	0.94810486	9.72525
1561017592949	TYPE_ACCELEROMETER	0.7565613	0.96965027	9.528915
1561017592949	TYPE_MAGNETIC_FIELD	-11.94	-29.64	-23.88
1561017592949	TYPE_GYROSCOPE	-0.19360352	-0.03489685	-0.1337738
1561017592949	TYPE_ROTATION_VECTOR	0.0020946418	-0.015086824	-0.98633814
1561017592949	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.78	-28.68	-92.7
1561017592949	TYPE_GYROSCOPE_UNCALIBRATED	-0.07350159	-0.045806885	-0.1134491
1561017592949	TYPE_ACCELEROMETER_UNCALIBRATED	0.7565613	0.96965027	9.528915
1561017592969	TYPE_ACCELEROMETER	0.72065735	0.86190796	10.031708
1561017592969	TYPE_MAGNETIC_FIELD	-11.94	-29.64	-23.88
1561017592969	TYPE_GYROSCOPE	-0.39387512	-0.029037476	-0.18917847
1561017592969	TYPE_ROTATION_VECTOR	0.0020946418	-0.015086824	-0.98633814
1561017592969	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.78	-28.68	-92.7
1561017592969	TYPE_GYROSCOPE_UNCALIBRATED	-0.20559692	-0.02557373	-0.13102722
1561017592969	TYPE_ACCELEROMETER_UNCALIBRATED	0.72065735	0.86190796	10.031708
1561017592989	TYPE_ACCELEROMETER	0.40701294	0.7805023	10.900803
1561017592989	TYPE_MAGNETIC_FIELD	-12.0	-29.939999	-24.06
1561017592989	TYPE_GYROSCOPE	-0.47962952	0.03967285	-0.27386475
1561017592989	TYPE_ROTATION_VECTOR	0.0014717813	-0.01457645	-0.9865357
1561017592989	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.719999	-28.98	-92.88
1561017592989	TYPE_GYROSCOPE_UNCALIBRATED	-0.40586853	-0.019714355	-0.18643188
1561017592989	TYPE_ACCELEROMETER_UNCALIBRATED	0.40701294	0.7805023	10.900803
1561017593008	TYPE_ACCELEROMETER	-0.2633667	0.70628357	11.449066
1561017593008	TYPE_MAGNETIC_FIELD	-11.94	-29.699999	-24.119999
1561017593008	TYPE_GYROSCOPE	-0.4354248	0.08068848	-0.35481262
1561017593008	TYPE_ROTATION_VECTOR	8.3945855E-4	-0.01274951	-0.9867769
1561017593008	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.78	-28.74	-92.94
