#	startTime:1561017821485
#	SiteID:5cd969ba39e2fc0b4afe6faf	SiteName:百联社区商业中心	FloorId:5cd969bf39e2fc0b4afe7419	FloorName:F3
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561017821486	TYPE_WAYPOINT	78.10461	42.8859
1561017821676	TYPE_ACCELEROMETER	-0.885849	0.1197052	9.433151
1561017821676	TYPE_MAGNETIC_FIELD	23.64	-25.08	-25.14
1561017821676	TYPE_GYROSCOPE	-0.12649536	0.011993408	0.04093933
1561017821676	TYPE_ROTATION_VECTOR	-0.040628973	0.017366234	0.9420691
1561017821676	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.579998	-23.82	-98.04
1561017821676	TYPE_GYROSCOPE_UNCALIBRATED	-0.032485962	0.08735657	0.080963135
1561017821676	TYPE_ACCELEROMETER_UNCALIBRATED	-0.885849	0.1197052	9.433151
1561017821696	TYPE_ACCELEROMETER	-1.0582428	0.19392395	9.742004
1561017821696	TYPE_MAGNETIC_FIELD	23.64	-25.14	-25.32
1561017821696	TYPE_GYROSCOPE	-0.15312195	-0.0055999756	0.038269043
1561017821696	TYPE_ROTATION_VECTOR	-0.041925408	0.020884765	0.93693787
1561017821696	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.579998	-23.88	-98.22
1561017821696	TYPE_GYROSCOPE_UNCALIBRATED	-0.13848877	0.021316528	0.043685913
1561017821696	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0582428	0.19392395	9.742004
1561017821716	TYPE_ACCELEROMETER	-1.1611938	0.22026062	9.86171
1561017821716	TYPE_MAGNETIC_FIELD	23.64	-25.14	-25.32
1561017821716	TYPE_GYROSCOPE	-0.10784912	0.04660034	0.08407593
1561017821716	TYPE_ROTATION_VECTOR	-0.041925408	0.020884765	0.93693787
1561017821716	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.579998	-23.88	-98.22
1561017821716	TYPE_GYROSCOPE_UNCALIBRATED	-0.11984253	0.055923462	0.08682251
1561017821716	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1611938	0.22026062	9.86171
1561017821736	TYPE_ACCELEROMETER	-1.1564026	0.22744751	9.739609
1561017821736	TYPE_MAGNETIC_FIELD	23.64	-25.199999	-25.619999
1561017821736	TYPE_GYROSCOPE	-0.07215881	0.102005005	0.12562561
1561017821736	TYPE_ROTATION_VECTOR	-0.050295096	0.029725237	0.9300316
1561017821736	TYPE_MAGNETIC_FIELD_UNCALIBRATED	50.579998	-23.939999	-98.520004
1561017821736	TYPE_GYROSCOPE_UNCALIBRATED	-0.11984253	0.055923462	0.08682251
1561017821736	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1564026	0.22744751	9.739609
1561017821756	TYPE_ACCELEROMETER	-1.1468201	0.22265625	9.6510315
1561017821756	TYPE_MAGNETIC_FIELD	23.88	-25.26	-25.619999
