#	startTime:1561017920141
#	SiteID:5cd969ba39e2fc0b4afe6faf	SiteName:百联社区商业中心	FloorId:5cd969bf39e2fc0b4afe7419	FloorName:F3
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561017920141	TYPE_WAYPOINT	70.92274	34.0046
1561017920335	TYPE_ACCELEROMETER	-0.21786499	0.58418274	9.42836
1561017920335	TYPE_MAGNETIC_FIELD	36.899998	-4.62	-35.579998
1561017920335	TYPE_GYROSCOPE	-0.036483765	-0.02583313	-0.29144287
1561017920335	TYPE_ROTATION_VECTOR	0.014031471	0.027897311	0.7298855
1561017920335	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.22	-1.1399999	-103.44
1561017920335	TYPE_GYROSCOPE_UNCALIBRATED	-0.048477173	-0.01651001	-0.2886963
1561017920335	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21786499	0.58418274	9.42836
1561017920355	TYPE_ACCELEROMETER	-0.3902588	0.60572815	9.485825
1561017920355	TYPE_MAGNETIC_FIELD	36.899998	-4.38	-35.88
1561017920355	TYPE_GYROSCOPE	-0.08175659	-0.028503418	-0.29516602
1561017920355	TYPE_ROTATION_VECTOR	0.012881206	0.028413486	0.7145877
1561017920355	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.22	-0.9000001	-103.740005
1561017920355	TYPE_GYROSCOPE_UNCALIBRATED	-0.09375	-0.019180298	-0.29241943
1561017920355	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3902588	0.60572815	9.485825
1561017920375	TYPE_ACCELEROMETER	-0.5530548	0.58657837	9.653427
1561017920375	TYPE_MAGNETIC_FIELD	36.899998	-4.38	-35.88
1561017920375	TYPE_GYROSCOPE	-0.10891724	-0.03010559	-0.27919006
1561017920375	TYPE_ROTATION_VECTOR	0.012881206	0.028413486	0.7145877
1561017920375	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.22	-0.9000001	-103.740005
1561017920375	TYPE_GYROSCOPE_UNCALIBRATED	-0.09375	-0.019180298	-0.29241943
1561017920375	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5530548	0.58657837	9.653427
1561017920395	TYPE_ACCELEROMETER	-0.6105194	0.47166443	9.799469
1561017920395	TYPE_MAGNETIC_FIELD	36.6	-4.3199997	-36.96
1561017920395	TYPE_GYROSCOPE	-0.12063599	0.0018615723	-0.26905823
1561017920395	TYPE_ROTATION_VECTOR	3.915815E-7	0.041322682	0.7303175
1561017920395	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.92	-0.8399997	-104.82
1561017920395	TYPE_GYROSCOPE_UNCALIBRATED	-0.120910645	-0.02078247	-0.27644348
1561017920395	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6105194	0.47166443	9.799469
1561017920415	TYPE_ACCELEROMETER	-0.79248047	0.39505005	10.065231
1561017920415	TYPE_MAGNETIC_FIELD	36.48	-4.08	-37.14
1561017920415	TYPE_GYROSCOPE	-0.12649536	-0.013046265	-0.2706604
