#	startTime:1561018173592
#	SiteID:5cd969ba39e2fc0b4afe6faf	SiteName:百联社区商业中心	FloorId:5cd969c139e2fc0b4afe7612	FloorName:F4
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561018173593	TYPE_WAYPOINT	17.975658	47.640106
1561018173795	TYPE_ACCELEROMETER	-0.42855835	0.4980011	9.967056
1561018173795	TYPE_MAGNETIC_FIELD	25.14	-10.92	-32.34
1561018173795	TYPE_GYROSCOPE	-0.1302185	0.0045318604	-0.12472534
1561018173795	TYPE_ROTATION_VECTOR	-0.0039051608	0.030948954	0.8250061
1561018173795	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.8	-10.02	-103.92
1561018173795	TYPE_GYROSCOPE_UNCALIBRATED	-0.11558533	0.024505615	-0.11878967
1561018173795	TYPE_ACCELEROMETER_UNCALIBRATED	-0.42855835	0.4980011	9.967056
1561018173815	TYPE_ACCELEROMETER	-0.45968628	0.60095215	9.82341
1561018173815	TYPE_MAGNETIC_FIELD	25.14	-10.92	-32.34
1561018173815	TYPE_GYROSCOPE	-0.121170044	-0.0087890625	-0.10821533
1561018173815	TYPE_ROTATION_VECTOR	-0.0039051608	0.030948954	0.8250061
1561018173815	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.8	-10.02	-103.92
1561018173815	TYPE_GYROSCOPE_UNCALIBRATED	-0.15286255	0.015975952	-0.12197876
1561018173815	TYPE_ACCELEROMETER_UNCALIBRATED	-0.45968628	0.60095215	9.82341
1561018173835	TYPE_ACCELEROMETER	-0.36392212	0.60572815	9.775528
1561018173835	TYPE_MAGNETIC_FIELD	25.26	-10.62	-32.46
1561018173835	TYPE_GYROSCOPE	-0.137146	-0.026367188	-0.09489441
1561018173835	TYPE_ROTATION_VECTOR	-0.003906612	0.038026866	0.808149
1561018173835	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.92	-9.72	-104.04
1561018173835	TYPE_GYROSCOPE_UNCALIBRATED	-0.14167786	-0.01171875	-0.09642029
1561018173835	TYPE_ACCELEROMETER_UNCALIBRATED	-0.36392212	0.60572815	9.775528
1561018173855	TYPE_ACCELEROMETER	-0.32081604	0.5530548	9.909607
1561018173855	TYPE_MAGNETIC_FIELD	25.439999	-10.5	-32.76
1561018173855	TYPE_GYROSCOPE	-0.13395691	-0.0061187744	-0.09169006
1561018173855	TYPE_ROTATION_VECTOR	-3.9066554E-6	0.03513543	0.81038797
1561018173855	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.1	-9.6	-104.34
1561018173855	TYPE_GYROSCOPE_UNCALIBRATED	-0.15074158	-0.0079956055	-0.08947754
1561018173855	TYPE_ACCELEROMETER_UNCALIBRATED	-0.32081604	0.5530548	9.909607
1561018173875	TYPE_ACCELEROMETER	-0.4189911	0.5698242	9.950302
1561018173875	TYPE_MAGNETIC_FIELD	25.439999	-10.5	-32.76
1561018173875	TYPE_GYROSCOPE	-0.12542725	-0.010391235	-0.08796692
1561018173875	TYPE_ROTATION_VECTOR	-3.9066554E-6	0.03513543	0.81038797
1561018173875	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.1	-9.6	-104.34
1561018173875	TYPE_GYROSCOPE_UNCALIBRATED	-0.140625	0.004272461	-0.08894348
1561018173875	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4189911	0.5698242	9.950302
1561018173894	TYPE_ACCELEROMETER	-0.4620819	0.50756836	9.914383
1561018173894	TYPE_MAGNETIC_FIELD	25.439999	-10.139999	-33.12
1561018173894	TYPE_GYROSCOPE	-0.11584473	-0.0087890625	-0.06719971
1561018173894	TYPE_ROTATION_VECTOR	-0.0048309425	0.032868683	0.812375
1561018173894	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.1	-9.24	-104.7
1561018173894	TYPE_GYROSCOPE_UNCALIBRATED	-0.13423157	-0.0047912598	-0.076171875
1561018173894	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4620819	0.50756836	9.914383
1561018173914	TYPE_ACCELEROMETER	-0.44293213	0.42855835	9.933548
1561018173914	TYPE_MAGNETIC_FIELD	25.439999	-10.139999	-33.059998
1561018173914	TYPE_GYROSCOPE	-0.10891724	0.0029296875	-0.049621582
1561018173914	TYPE_ROTATION_VECTOR	-0.0055808886	0.031753108	0.8118906
1561018173914	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.1	-9.24	-104.64
1561018173914	TYPE_GYROSCOPE_UNCALIBRATED	-0.1214447	0.010131836	-0.054336548
1561018173914	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4620819	0.50756836	9.914383
1561018173934	TYPE_ACCELEROMETER	-0.37828064	0.33518982	10.184937
1561018173934	TYPE_MAGNETIC_FIELD	25.74	-10.0199995	-33.6
1561018173934	TYPE_GYROSCOPE	-0.09719849	-0.0071868896	-0.041641235
1561018173934	TYPE_ROTATION_VECTOR	-0.006867515	0.029695794	0.8110687
1561018173934	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.4	-9.12	-105.18
1561018173934	TYPE_GYROSCOPE_UNCALIBRATED	-0.11984253	0.0069274902	-0.042617798
1561018173934	TYPE_ACCELEROMETER_UNCALIBRATED	-0.37828064	0.33518982	10.184937
1561018173954	TYPE_ACCELEROMETER	-0.31843567	0.25378418	10.390839
1561018173954	TYPE_MAGNETIC_FIELD	25.74	-10.0199995	-33.6
1561018173954	TYPE_GYROSCOPE	-0.036483765	0.016784668	-0.033111572
1561018173954	TYPE_ROTATION_VECTOR	-0.006867515	0.029695794	0.8110687
1561018173954	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.4	-9.12	-105.18
1561018173954	TYPE_GYROSCOPE_UNCALIBRATED	-0.08522034	0.010131836	-0.03303528
1561018173954	TYPE_ACCELEROMETER_UNCALIBRATED	-0.31843567	0.25378418	10.390839
1561018173974	TYPE_ACCELEROMETER	-0.31604004	0.23942566	10.278305
