#	startTime:1561018152950
#	SiteID:5cd969ba39e2fc0b4afe6faf	SiteName:百联社区商业中心	FloorId:5cd969c139e2fc0b4afe7612	FloorName:F4
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561018152950	TYPE_WAYPOINT	17.123598	44.558426
1561018153144	TYPE_ACCELEROMETER	0.09815979	-0.11013794	10.328583
1561018153144	TYPE_MAGNETIC_FIELD	15.66	26.099998	-28.14
1561018153144	TYPE_GYROSCOPE	-0.09347534	0.041275024	0.0388031
1561018153144	TYPE_ROTATION_VECTOR	-5.540658E-6	0.007819488	0.26786926
1561018153144	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.32	26.999998	-99.72
1561018153144	TYPE_GYROSCOPE_UNCALIBRATED	-0.118255615	0.0021362305	0.025039673
1561018153144	TYPE_ACCELEROMETER_UNCALIBRATED	0.09815979	-0.11013794	10.328583
1561018153164	TYPE_ACCELEROMETER	-0.07421875	-0.05986023	10.278305
1561018153164	TYPE_MAGNETIC_FIELD	15.839999	26.22	-28.019999
1561018153164	TYPE_GYROSCOPE	2.746582E-4	0.076431274	0.040405273
1561018153164	TYPE_ROTATION_VECTOR	-5.5409637E-9	-0.0054798834	0.27754745
1561018153164	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.5	27.119999	-99.6
1561018153164	TYPE_GYROSCOPE_UNCALIBRATED	-0.06552124	0.08416748	0.046340942
1561018153164	TYPE_ACCELEROMETER_UNCALIBRATED	0.09815979	-0.11013794	10.328583
1561018153184	TYPE_ACCELEROMETER	-0.36631775	-0.03591919	9.897629
1561018153184	TYPE_MAGNETIC_FIELD	15.839999	26.22	-27.96
1561018153184	TYPE_GYROSCOPE	0.06098938	0.033294678	0.04573059
1561018153184	TYPE_ROTATION_VECTOR	4.651124E-5	3.5723913E-4	0.2705267
1561018153184	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.5	27.119999	-99.54
1561018153184	TYPE_GYROSCOPE_UNCALIBRATED	0.03302002	0.06391907	0.041015625
1561018153184	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07421875	-0.05986023	10.278305
1561018153204	TYPE_ACCELEROMETER	-0.34954834	0.0047912598	10.081985
1561018153204	TYPE_MAGNETIC_FIELD	15.9	26.22	-27.9
1561018153204	TYPE_GYROSCOPE	0.045013428	0.0231781	0.08300781
1561018153204	TYPE_ROTATION_VECTOR	5.368666E-4	8.447147E-4	0.27095452
1561018153204	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.559998	27.119999	-99.48
1561018153204	TYPE_GYROSCOPE_UNCALIBRATED	0.044204712	0.034622192	0.06498718
1561018153204	TYPE_ACCELEROMETER_UNCALIBRATED	-0.36631775	-0.03591919	9.897629
1561018153224	TYPE_ACCELEROMETER	-0.02154541	0.0023956299	10.541672
1561018153224	TYPE_MAGNETIC_FIELD	16.02	26.22	-28.26
1561018153224	TYPE_GYROSCOPE	0.054611206	0.012512207	0.13148499
1561018153224	TYPE_ROTATION_VECTOR	9.041296E-4	0.0011853795	0.2717417
1561018153224	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.68	27.119999	-99.840004
1561018153224	TYPE_GYROSCOPE_UNCALIBRATED	0.026626587	0.028762817	0.10972595
1561018153224	TYPE_ACCELEROMETER_UNCALIBRATED	-0.34954834	0.0047912598	10.081985
1561018153243	TYPE_ACCELEROMETER	0.2561798	0.0	10.369293
1561018153243	TYPE_MAGNETIC_FIELD	15.96	26.22	-28.56
1561018153243	TYPE_GYROSCOPE	0.16326904	8.087158E-4	0.15438843
1561018153243	TYPE_ROTATION_VECTOR	0.0013914155	0.0014508262	0.2729921
1561018153243	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.62	27.119999	-100.14
1561018153243	TYPE_GYROSCOPE_UNCALIBRATED	0.08735657	0.01171875	0.15127563
1561018153243	TYPE_ACCELEROMETER_UNCALIBRATED	-0.02154541	0.0023956299	10.541672
1561018153263	TYPE_ACCELEROMETER	-0.02154541	0.14125061	9.801865
1561018153263	TYPE_MAGNETIC_FIELD	15.9	26.22	-28.32
1561018153263	TYPE_GYROSCOPE	0.2825775	0.029571533	0.15757751
1561018153263	TYPE_ROTATION_VECTOR	0.0029377863	0.0018957909	0.2744551
1561018153263	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.559998	27.119999	-99.9
1561018153263	TYPE_GYROSCOPE_UNCALIBRATED	0.21891785	0.021850586	0.15713501
1561018153263	TYPE_ACCELEROMETER_UNCALIBRATED	-0.02154541	0.14125061	9.801865
1561018153283	TYPE_ACCELEROMETER	-0.6871338	0.8930359	8.95192
1561018153283	TYPE_MAGNETIC_FIELD	15.839999	26.4	-28.5
1561018153283	TYPE_GYROSCOPE	0.31666565	0.083358765	0.20498657
1561018153283	TYPE_ROTATION_VECTOR	0.005539645	0.0029353963	0.27594557
1561018153283	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.5	27.3	-100.08
1561018153283	TYPE_GYROSCOPE_UNCALIBRATED	0.29774475	0.06285095	0.17843628
1561018153283	TYPE_ACCELEROMETER_UNCALIBRATED	-0.02154541	0.14125061	9.801865
1561018153303	TYPE_ACCELEROMETER	-0.52433777	0.8930359	8.054092
1561018153303	TYPE_MAGNETIC_FIELD	15.839999	26.22	-28.26
1561018153303	TYPE_GYROSCOPE	0.3875122	0.5430145	0.3013916
1561018153303	TYPE_ROTATION_VECTOR	0.008323942	0.0045760553	0.2778826
1561018153303	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.5	27.119999	-99.840004
1561018153303	TYPE_GYROSCOPE_UNCALIBRATED	0.36698914	0.19654846	0.21092224
1561018153303	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6871338	0.8930359	8.95192
1561018153323	TYPE_ACCELEROMETER	1.1611938	-0.18675232	9.8138275
1561018153323	TYPE_MAGNETIC_FIELD	15.9	25.92	-28.26
1561018153323	TYPE_GYROSCOPE	0.115859985	0.56752014	0.5187073
1561018153323	TYPE_ROTATION_VECTOR	0.010534284	0.0107540265	0.28077066
1561018153323	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.559998	26.82	-99.840004
1561018153323	TYPE_GYROSCOPE_UNCALIBRATED	0.21572876	0.7227783	0.50653076
1561018153323	TYPE_ACCELEROMETER_UNCALIBRATED	-0.52433777	0.8930359	8.054092
1561018153342	TYPE_ACCELEROMETER	0.7254486	-0.1771698	10.333374
1561018153342	TYPE_MAGNETIC_FIELD	16.14	25.8	-28.32
1561018153342	TYPE_GYROSCOPE	0.07911682	0.38856506	0.23535156
1561018153342	TYPE_ROTATION_VECTOR	0.010121506	0.016411893	0.28571624
1561018153342	TYPE_MAGNETIC_FIELD_UNCALIBRATED	43.8	26.699999	-99.9
1561018153342	TYPE_GYROSCOPE_UNCALIBRATED	0.10014343	0.50387573	0.34780884
1561018153342	TYPE_ACCELEROMETER_UNCALIBRATED	1.1611938	-0.18675232	9.8138275
1561018153362	TYPE_ACCELEROMETER	0.30166626	-0.42138672	10.292679
1561018153362	TYPE_MAGNETIC_FIELD	16.44	25.8	-28.199999
1561018153362	TYPE_GYROSCOPE	-0.052993774	-0.0034637451	0.11816406
1561018153362	TYPE_ROTATION_VECTOR	0.009811841	0.020293571	0.28797734
1561018153362	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.1	26.699999	-99.78
1561018153362	TYPE_GYROSCOPE_UNCALIBRATED	-0.0079956055	0.20880127	0.19335938
1561018153362	TYPE_ACCELEROMETER_UNCALIBRATED	0.7254486	-0.1771698	10.333374
1561018153382	TYPE_ACCELEROMETER	-0.4812317	-0.0143585205	10.4028015
1561018153382	TYPE_MAGNETIC_FIELD	16.74	25.619999	-27.84
1561018153382	TYPE_GYROSCOPE	-0.08761597	-0.122787476	-0.007537842
1561018153382	TYPE_ROTATION_VECTOR	0.009345591	0.02011542	0.28910938
1561018153382	TYPE_MAGNETIC_FIELD_UNCALIBRATED	44.4	26.519999	-99.42
1561018153382	TYPE_GYROSCOPE_UNCALIBRATED	-0.09214783	-0.11772156	0.037826538
1561018153382	TYPE_ACCELEROMETER_UNCALIBRATED	0.30166626	-0.42138672	10.292679
1561018153402	TYPE_ACCELEROMETER	-0.55545044	0.4046173	10.579971
1561018153402	TYPE_MAGNETIC_FIELD	16.859999	25.619999	-27.66
1561018153402	TYPE_GYROSCOPE	-0.033813477	0.027435303	0.06970215
1561018153402	TYPE_ROTATION_VECTOR	0.008865789	0.018703124	0.2890482
