#	startTime:1561018270210
#	SiteID:5cd969ba39e2fc0b4afe6faf	SiteName:百联社区商业中心	FloorId:5cd969c139e2fc0b4afe7612	FloorName:F4
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561018270210	TYPE_WAYPOINT	11.814566	40.247498
1561018270404	TYPE_ACCELEROMETER	-0.98880005	0.30645752	9.6510315
1561018270404	TYPE_MAGNETIC_FIELD	16.68	31.08	-31.019999
1561018270404	TYPE_GYROSCOPE	-0.18295288	-0.04234314	-0.07092285
1561018270404	TYPE_ROTATION_VECTOR	5.8248296E-4	0.04775729	0.19530836
1561018270404	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.62	35.16	-100.31999
1561018270404	TYPE_GYROSCOPE_UNCALIBRATED	-0.19494629	-0.03302002	-0.06817627
1561018270404	TYPE_ACCELEROMETER_UNCALIBRATED	-0.881073	0.3136444	9.768341
1561018270424	TYPE_ACCELEROMETER	-0.95529175	0.21069336	9.648636
1561018270424	TYPE_MAGNETIC_FIELD	16.68	31.38	-31.019999
1561018270424	TYPE_GYROSCOPE	-0.19892883	-0.045013428	-0.060272217
1561018270424	TYPE_ROTATION_VECTOR	5.824869E-7	0.052393474	0.19266592
1561018270424	TYPE_MAGNETIC_FIELD_UNCALIBRATED	46.62	35.46	-100.31999
1561018270424	TYPE_GYROSCOPE_UNCALIBRATED	-0.21092224	-0.035690308	-0.057525635
1561018270424	TYPE_ACCELEROMETER_UNCALIBRATED	-0.98880005	0.30645752	9.6510315
1561018270444	TYPE_ACCELEROMETER	-0.82121277	0.1484375	9.742004
1561018270444	TYPE_MAGNETIC_FIELD	16.08	32.219997	-30.779999
1561018270444	TYPE_GYROSCOPE	-0.20639038	-0.02796936	-0.050689697
