#	startTime:1561018207756
#	SiteID:5cd969ba39e2fc0b4afe6faf	SiteName:百联社区商业中心	FloorId:5cd969c139e2fc0b4afe7612	FloorName:F4
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561018207756	TYPE_WAYPOINT	18.931063	45.631367
1561018207944	TYPE_ACCELEROMETER	-0.5506592	0.07421875	10.192123
1561018207944	TYPE_MAGNETIC_FIELD	27.42	-15.42	-28.199999
1561018207944	TYPE_GYROSCOPE	-0.08547974	-0.03062439	-0.06452942
1561018207944	TYPE_ROTATION_VECTOR	-0.019490017	0.010395396	0.87385243
1561018207944	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.08	-14.52	-99.78
1561018207944	TYPE_GYROSCOPE_UNCALIBRATED	-0.10066223	0.0	-0.047943115
1561018207944	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5506592	0.07421875	10.192123
1561018207964	TYPE_ACCELEROMETER	-0.6536102	0.15802002	10.187332
1561018207964	TYPE_MAGNETIC_FIELD	27.24	-15.48	-28.26
1561018207964	TYPE_GYROSCOPE	-0.037017822	-0.023712158	-0.046966553
1561018207964	TYPE_ROTATION_VECTOR	-0.021726876	0.016047033	0.87565255
1561018207964	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.9	-14.58	-99.840004
1561018207964	TYPE_GYROSCOPE_UNCALIBRATED	-0.097473145	-0.02130127	-0.061782837
1561018207964	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6536102	0.15802002	10.187332
1561018207984	TYPE_ACCELEROMETER	-0.5698242	0.21308899	9.914383
1561018207984	TYPE_MAGNETIC_FIELD	27.24	-15.48	-28.26
1561018207984	TYPE_GYROSCOPE	0.02104187	0.021575928	-0.01020813
1561018207984	TYPE_ROTATION_VECTOR	-0.021726876	0.016047033	0.87565255
1561018207984	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.9	-14.58	-99.840004
1561018207984	TYPE_GYROSCOPE_UNCALIBRATED	-0.04901123	-0.014389038	-0.04421997
1561018207984	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6536102	0.15802002	10.187332
1561018208004	TYPE_ACCELEROMETER	-0.43814087	0.21069336	9.598358
1561018208004	TYPE_MAGNETIC_FIELD	27.119999	-15.42	-28.439999
1561018208004	TYPE_GYROSCOPE	2.746582E-4	0.023712158	-7.6293945E-5
1561018208004	TYPE_ROTATION_VECTOR	-0.019532228	0.024354171	0.8545353
1561018208004	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.78	-14.52	-100.020004
1561018208004	TYPE_GYROSCOPE_UNCALIBRATED	-0.01171875	0.03303528	0.002670288
1561018208004	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5698242	0.21308899	9.914383
1561018208024	TYPE_ACCELEROMETER	-0.42616272	0.16520691	9.648636
1561018208024	TYPE_MAGNETIC_FIELD	26.939999	-15.179999	-28.32
1561018208024	TYPE_GYROSCOPE	-0.078552246	-0.022109985	-0.008605957
1561018208024	TYPE_ROTATION_VECTOR	-0.019514905	0.02431318	0.8543904
1561018208024	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.6	-14.28	-99.9
1561018208024	TYPE_GYROSCOPE_UNCALIBRATED	-0.01171875	0.03303528	0.002670288
1561018208024	TYPE_ACCELEROMETER_UNCALIBRATED	-0.42616272	0.16520691	9.648636
1561018208043	TYPE_ACCELEROMETER	-0.4333496	0.13647461	9.964661
1561018208043	TYPE_MAGNETIC_FIELD	27.06	-15.12	-28.26
