#	startTime:1561016425082
#	SiteID:5cd969ba39e2fc0b4afe6faf	SiteName:百联社区商业中心	FloorId:5cd969bd39e2fc0b4afe7277	FloorName:F2
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561016425083	TYPE_WAYPOINT	11.906502	62.91684
1561016425274	TYPE_ACCELEROMETER	-0.76374817	0.14604187	9.708481
1561016425274	TYPE_MAGNETIC_FIELD	2.6399999	18.66	-30.779999
1561016425274	TYPE_GYROSCOPE	-0.18508911	0.026367188	-0.14176941
1561016425274	TYPE_ROTATION_VECTOR	-9.250027E-9	0.035174802	-4.3738823E-4
1561016425274	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.099998	23.52	-99.0
1561016425274	TYPE_GYROSCOPE_UNCALIBRATED	-0.13795471	0.06338501	-0.11186218
1561016425274	TYPE_ACCELEROMETER_UNCALIBRATED	-0.76374817	0.14604187	9.708481
1561016425294	TYPE_ACCELEROMETER	-0.86190796	0.19631958	9.634262
1561016425294	TYPE_MAGNETIC_FIELD	2.82	18.66	-30.779999
1561016425294	TYPE_GYROSCOPE	-0.19360352	0.01890564	-0.15188599
1561016425294	TYPE_ROTATION_VECTOR	-9.255297E-12	0.039412294	0.040096793
1561016425294	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.279999	23.52	-99.0
1561016425294	TYPE_GYROSCOPE_UNCALIBRATED	-0.19708252	0.035690308	-0.13902283
1561016425294	TYPE_ACCELEROMETER_UNCALIBRATED	-0.86190796	0.19631958	9.634262
1561016425314	TYPE_ACCELEROMETER	-0.723053	0.22505188	9.531311
1561016425314	TYPE_MAGNETIC_FIELD	2.82	19.02	-30.66
1561016425314	TYPE_GYROSCOPE	-0.20959473	0.03276062	-0.12365723
1561016425314	TYPE_ROTATION_VECTOR	-9.874607E-4	0.044920947	0.03550452
1561016425314	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.279999	23.880001	-98.880005
1561016425314	TYPE_GYROSCOPE_UNCALIBRATED	-0.20559692	0.02822876	-0.1491394
1561016425314	TYPE_ACCELEROMETER_UNCALIBRATED	-0.723053	0.22505188	9.531311
1561016425334	TYPE_ACCELEROMETER	-0.44770813	0.09576416	9.619904
1561016425334	TYPE_MAGNETIC_FIELD	2.82	19.32	-30.72
1561016425334	TYPE_GYROSCOPE	-0.2516632	0.041275024	-0.08370972
1561016425334	TYPE_ROTATION_VECTOR	-0.0031183318	0.045174	0.034373455
1561016425334	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.279999	24.18	-98.94
1561016425334	TYPE_GYROSCOPE_UNCALIBRATED	-0.22158813	0.04208374	-0.120910645
1561016425334	TYPE_ACCELEROMETER_UNCALIBRATED	-0.44770813	0.09576416	9.619904
1561016425354	TYPE_ACCELEROMETER	-0.38546753	-0.05267334	9.885666
1561016425354	TYPE_MAGNETIC_FIELD	2.7	19.439999	-30.599998
1561016425354	TYPE_GYROSCOPE	-0.2740326	0.06578064	-0.08691406
1561016425354	TYPE_ROTATION_VECTOR	-0.0056567956	0.045493588	0.033654846
1561016425354	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.16	24.3	-98.82
1561016425354	TYPE_GYROSCOPE_UNCALIBRATED	-0.286026	0.07510376	-0.08416748
1561016425354	TYPE_ACCELEROMETER_UNCALIBRATED	-0.38546753	-0.05267334	9.885666
1561016425373	TYPE_ACCELEROMETER	-0.5626373	-0.02633667	9.967056
1561016425373	TYPE_MAGNETIC_FIELD	2.6399999	19.74	-30.599998
1561016425373	TYPE_GYROSCOPE	-0.24633789	0.054595947	-0.12046814
1561016425373	TYPE_ROTATION_VECTOR	-0.008418536	0.04604459	0.032917567
1561016425373	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.099998	24.599998	-98.82
1561016425373	TYPE_GYROSCOPE_UNCALIBRATED	-0.2583313	0.06391907	-0.11772156
1561016425373	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5626373	-0.02633667	9.967056
1561016425393	TYPE_ACCELEROMETER	-0.6655884	0.12928772	9.785095
1561016425393	TYPE_MAGNETIC_FIELD	2.3999999	19.92	-30.48
1561016425393	TYPE_GYROSCOPE	-0.18241882	-0.0018615723	-0.13909912
1561016425393	TYPE_ROTATION_VECTOR	-0.010920795	0.046492767	0.031838797
1561016425393	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.859999	24.779999	-98.7
1561016425393	TYPE_GYROSCOPE_UNCALIBRATED	-0.2583313	0.06391907	-0.11772156
1561016425393	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6655884	0.12928772	9.785095
1561016425413	TYPE_ACCELEROMETER	-0.47166443	0.3256073	9.394852
1561016425413	TYPE_MAGNETIC_FIELD	2.1	20.22	-30.179998
1561016425413	TYPE_GYROSCOPE	-0.11743164	-0.033294678	-0.13165283
1561016425413	TYPE_ROTATION_VECTOR	-0.012784991	0.046403944	0.030552216
1561016425413	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.56	25.079998	-98.4
1561016425413	TYPE_GYROSCOPE_UNCALIBRATED	-0.19441223	0.007461548	-0.13635254
1561016425413	TYPE_ACCELEROMETER_UNCALIBRATED	-0.47166443	0.3256073	9.394852
1561016425433	TYPE_ACCELEROMETER	-0.11013794	0.55545044	9.119507
1561016425433	TYPE_MAGNETIC_FIELD	2.1599998	20.4	-30.48
1561016425433	TYPE_GYROSCOPE	-0.0982666	-0.041809082	-0.117263794
1561016425433	TYPE_ROTATION_VECTOR	-0.013995233	0.046024207	0.029312085
1561016425433	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.619999	25.259998	-98.7
1561016425433	TYPE_GYROSCOPE_UNCALIBRATED	-0.11026001	-0.032485962	-0.11451721
1561016425433	TYPE_ACCELEROMETER_UNCALIBRATED	-0.11013794	0.55545044	9.119507
1561016425453	TYPE_ACCELEROMETER	0.1771698	0.59376526	9.071625
1561016425453	TYPE_MAGNETIC_FIELD	1.86	20.82	-30.359999
1561016425453	TYPE_GYROSCOPE	-0.1302185	-0.022644043	-0.09701538
1561016425453	TYPE_ROTATION_VECTOR	-0.015005058	0.045566987	0.028205853
1561016425453	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.32	25.68	-98.58
1561016425453	TYPE_GYROSCOPE_UNCALIBRATED	-0.11026001	-0.032485962	-0.11451721
1561016425453	TYPE_ACCELEROMETER_UNCALIBRATED	0.1771698	0.59376526	9.071625
1561016425472	TYPE_ACCELEROMETER	0.25378418	0.4740448	9.03093
1561016425472	TYPE_MAGNETIC_FIELD	1.8	20.939999	-30.179998
1561016425472	TYPE_GYROSCOPE	-0.17762756	0.031158447	-0.08743286
