#	startTime:1561016462238
#	SiteID:5cd969ba39e2fc0b4afe6faf	SiteName:百联社区商业中心	FloorId:5cd969bd39e2fc0b4afe7277	FloorName:F2
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561016462238	TYPE_WAYPOINT	11.906502	62.91684
1561016462432	TYPE_ACCELEROMETER	-0.94810486	0.26576233	9.260773
1561016462432	TYPE_MAGNETIC_FIELD	1.1999999	26.039999	-29.699999
1561016462432	TYPE_GYROSCOPE	-0.10838318	0.026367188	0.029754639
1561016462432	TYPE_ROTATION_VECTOR	0.012390654	0.05028307	-0.016972788
1561016462432	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.36	26.46	-101.99999
1561016462432	TYPE_GYROSCOPE_UNCALIBRATED	-0.12037659	0.035690308	0.03250122
1561016462432	TYPE_ACCELEROMETER_UNCALIBRATED	-0.94810486	0.26576233	9.260773
1561016462452	TYPE_ACCELEROMETER	-0.8930359	0.21786499	9.564835
1561016462452	TYPE_MAGNETIC_FIELD	1.02	26.099998	-29.699999
1561016462452	TYPE_GYROSCOPE	-0.15739441	0.0236969	0.031341553
1561016462452	TYPE_ROTATION_VECTOR	0.011333821	0.045443635	-0.05264087
1561016462452	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.18	26.519999	-101.99999
1561016462452	TYPE_GYROSCOPE_UNCALIBRATED	-0.16938782	0.03302002	0.034088135
1561016462452	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8930359	0.21786499	9.564835
1561016462472	TYPE_ACCELEROMETER	-0.826004	0.21308899	9.713272
1561016462472	TYPE_MAGNETIC_FIELD	1.02	26.099998	-29.699999
1561016462472	TYPE_GYROSCOPE	-0.14619446	0.03755188	0.010574341
1561016462472	TYPE_ROTATION_VECTOR	0.011333821	0.045443635	-0.05264087
1561016462472	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.18	26.519999	-101.99999
1561016462472	TYPE_GYROSCOPE_UNCALIBRATED	-0.15818787	0.046875	0.013320923
1561016462472	TYPE_ACCELEROMETER_UNCALIBRATED	-0.826004	0.21308899	9.713272
1561016462492	TYPE_ACCELEROMETER	-0.8882446	0.22505188	9.641449
1561016462492	TYPE_MAGNETIC_FIELD	1.26	26.039999	-29.699999
1561016462492	TYPE_GYROSCOPE	-0.13394165	0.05140686	-0.0016784668
1561016462492	TYPE_ROTATION_VECTOR	0.010631886	0.045637224	-0.0056572706
1561016462492	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.42	26.46	-101.99999
1561016462492	TYPE_GYROSCOPE_UNCALIBRATED	-0.15818787	0.046875	0.013320923
1561016462492	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8882446	0.22505188	9.641449
1561016462512	TYPE_ACCELEROMETER	-0.8643036	0.23703003	9.588776
1561016462512	TYPE_MAGNETIC_FIELD	1.5	26.46	-29.64
1561016462512	TYPE_GYROSCOPE	-0.12968445	0.057266235	-0.0075531006
1561016462512	TYPE_ROTATION_VECTOR	0.0074387505	0.046446353	3.747016E-4
1561016462512	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.66	26.88	-101.939995
1561016462512	TYPE_GYROSCOPE_UNCALIBRATED	-0.14593506	0.06072998	0.0010681152
1561016462512	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8643036	0.23703003	9.588776
1561016462531	TYPE_ACCELEROMETER	-0.87867737	0.22026062	9.497803
1561016462531	TYPE_MAGNETIC_FIELD	1.5	26.64	-29.64
1561016462531	TYPE_GYROSCOPE	-0.15312195	0.06578064	-0.026184082
1561016462531	TYPE_ROTATION_VECTOR	0.0061310166	0.046968598	4.0200487E-4
1561016462531	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.66	27.06	-101.939995
1561016462531	TYPE_GYROSCOPE_UNCALIBRATED	-0.16511536	0.07510376	-0.0234375
1561016462531	TYPE_ACCELEROMETER_UNCALIBRATED	-0.87867737	0.22026062	9.497803
1561016462551	TYPE_ACCELEROMETER	-0.98402405	0.24899292	9.569626
1561016462551	TYPE_MAGNETIC_FIELD	1.4399999	26.4	-29.58
1561016462551	TYPE_GYROSCOPE	-0.18881226	0.041275024	-0.034179688
1561016462551	TYPE_ROTATION_VECTOR	0.0047829472	0.047608387	3.110291E-4
1561016462551	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.6	26.82	-101.88
1561016462551	TYPE_GYROSCOPE_UNCALIBRATED	-0.16511536	0.07510376	-0.0234375
1561016462551	TYPE_ACCELEROMETER_UNCALIBRATED	-0.98402405	0.24899292	9.569626
1561016462571	TYPE_ACCELEROMETER	-1.0223236	0.19392395	9.691727
1561016462571	TYPE_MAGNETIC_FIELD	1.4399999	26.4	-29.58
1561016462571	TYPE_GYROSCOPE	-0.20532227	0.03755188	-0.022994995
1561016462571	TYPE_ROTATION_VECTOR	0.0047829472	0.047608387	3.110291E-4
1561016462571	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.6	26.82	-101.88
1561016462571	TYPE_GYROSCOPE_UNCALIBRATED	-0.20080566	0.050598145	-0.031433105
1561016462571	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0223236	0.19392395	9.691727
1561016462591	TYPE_ACCELEROMETER	-0.96725464	0.09576416	9.856934
1561016462591	TYPE_MAGNETIC_FIELD	1.26	26.46	-29.699999
1561016462591	TYPE_GYROSCOPE	-0.18722534	0.054595947	-0.008605957
1561016462591	TYPE_ROTATION_VECTOR	0.00306539	0.048159763	7.447538E-5
1561016462591	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.42	26.88	-101.99999
1561016462591	TYPE_GYROSCOPE_UNCALIBRATED	-0.21731567	0.046875	-0.020248413
1561016462591	TYPE_ACCELEROMETER_UNCALIBRATED	-0.96725464	0.09576416	9.856934
1561016462611	TYPE_ACCELEROMETER	-0.8882446	0.06942749	9.880875
1561016462611	TYPE_MAGNETIC_FIELD	1.56	26.4	-29.279999
1561016462611	TYPE_GYROSCOPE	-0.15525818	0.06417847	-0.009140015
1561016462611	TYPE_ROTATION_VECTOR	-9.1708015E-4	0.048949827	-1.7769408E-4
1561016462611	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.72	26.82	-101.579994
1561016462611	TYPE_GYROSCOPE_UNCALIBRATED	-0.19921875	0.06391907	-0.005859375
1561016462611	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8882446	0.06942749	9.880875
1561016462630	TYPE_ACCELEROMETER	-0.7685394	0.06225586	9.739609
1561016462630	TYPE_MAGNETIC_FIELD	1.4399999	26.88	-29.22
1561016462630	TYPE_GYROSCOPE	-0.1493988	0.042877197	-0.018737793
1561016462630	TYPE_ROTATION_VECTOR	-0.0026003108	0.049562994	-1.6548124E-4
1561016462630	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.6	27.3	-101.52
1561016462630	TYPE_GYROSCOPE_UNCALIBRATED	-0.16139221	0.052200317	-0.015991211
1561016462630	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7685394	0.06225586	9.739609
1561016462650	TYPE_ACCELEROMETER	-0.66319275	0.03352356	9.722855
1561016462650	TYPE_MAGNETIC_FIELD	1.56	27.0	-29.22
1561016462650	TYPE_GYROSCOPE	-0.15525818	0.037017822	-0.033111572
1561016462650	TYPE_ROTATION_VECTOR	-0.0040759766	0.05011222	-2.3094179E-4
1561016462650	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.72	27.42	-101.52
1561016462650	TYPE_GYROSCOPE_UNCALIBRATED	-0.16139221	0.052200317	-0.015991211
1561016462650	TYPE_ACCELEROMETER_UNCALIBRATED	-0.66319275	0.03352356	9.722855
1561016462670	TYPE_ACCELEROMETER	-0.56503296	-0.04069519	9.758759
1561016462670	TYPE_MAGNETIC_FIELD	1.56	27.0	-29.22
1561016462670	TYPE_GYROSCOPE	-0.14086914	0.034362793	-0.053359985
1561016462670	TYPE_ROTATION_VECTOR	-0.0040759766	0.05011222	-2.3094179E-4
1561016462670	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.72	27.42	-101.52
1561016462670	TYPE_GYROSCOPE_UNCALIBRATED	-0.15286255	0.043685913	-0.050613403
1561016462670	TYPE_ACCELEROMETER_UNCALIBRATED	-0.56503296	-0.04069519	9.758759
1561016462690	TYPE_ACCELEROMETER	-0.49320984	0.0143585205	9.797073
1561016462690	TYPE_MAGNETIC_FIELD	1.5	27.0	-28.92
1561016462690	TYPE_GYROSCOPE	-0.11477661	0.041275024	-0.09649658
1561016462690	TYPE_ROTATION_VECTOR	-0.005593104	0.050485887	-4.0307423E-4
1561016462690	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.66	27.42	-101.21999
1561016462690	TYPE_GYROSCOPE_UNCALIBRATED	-0.15286255	0.043685913	-0.050613403
1561016462690	TYPE_ACCELEROMETER_UNCALIBRATED	-0.49320984	0.0143585205	9.797073
1561016462710	TYPE_ACCELEROMETER	-0.5985565	0.3327942	9.945511
1561016462710	TYPE_MAGNETIC_FIELD	1.5	27.0	-28.74
1561016462710	TYPE_GYROSCOPE	-0.08389282	0.015716553	-0.11993408
1561016462710	TYPE_ROTATION_VECTOR	-0.008403124	0.05120384	-0.0013909733
1561016462710	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.66	27.42	-101.03999
1561016462710	TYPE_GYROSCOPE_UNCALIBRATED	-0.12677002	0.050598145	-0.09375
1561016462710	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5985565	0.3327942	9.945511
1561016462729	TYPE_ACCELEROMETER	-0.42616272	0.7948761	10.314224
1561016462729	TYPE_MAGNETIC_FIELD	1.86	27.18	-28.68
