#	startTime:1561016612863
#	SiteID:5cd969ba39e2fc0b4afe6faf	SiteName:百联社区商业中心	FloorId:5cd969bd39e2fc0b4afe7277	FloorName:F2
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561016612864	TYPE_WAYPOINT	18.19946	69.585594
1561016613053	TYPE_ACCELEROMETER	-0.292099	0.07901001	9.579208
1561016613053	TYPE_MAGNETIC_FIELD	7.62	19.08	-46.14
1561016613053	TYPE_GYROSCOPE	-0.0087890625	0.006652832	-0.0783844
1561016613053	TYPE_ROTATION_VECTOR	2.7422578E-8	7.365329E-8	0.17066616
1561016613053	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.0	23.22	-117.18
1561016613053	TYPE_GYROSCOPE_UNCALIBRATED	-0.02078247	0.015975952	-0.07563782
1561016613053	TYPE_ACCELEROMETER_UNCALIBRATED	-0.292099	0.07901001	9.579208
1561016613073	TYPE_ACCELEROMETER	-0.21548462	0.26576233	9.634262
1561016613073	TYPE_MAGNETIC_FIELD	7.5	19.14	-46.2
1561016613073	TYPE_GYROSCOPE	0.05567932	0.03062439	-0.04322815
1561016613073	TYPE_ROTATION_VECTOR	0.003902376	0.015060732	0.14900973
1561016613073	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.879997	23.279999	-117.240005
1561016613073	TYPE_GYROSCOPE_UNCALIBRATED	0.043685913	0.03994751	-0.040481567
1561016613073	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21548462	0.26576233	9.634262
1561016613093	TYPE_ACCELEROMETER	0.01675415	0.46687317	9.449921
1561016613093	TYPE_MAGNETIC_FIELD	7.5	19.14	-46.2
1561016613093	TYPE_GYROSCOPE	0.11053467	0.041275024	-0.00541687
1561016613093	TYPE_ROTATION_VECTOR	0.003902376	0.015060732	0.14900973
1561016613093	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.879997	23.279999	-117.240005
1561016613093	TYPE_GYROSCOPE_UNCALIBRATED	0.043685913	0.03994751	-0.040481567
1561016613093	TYPE_ACCELEROMETER_UNCALIBRATED	0.01675415	0.46687317	9.449921
1561016613113	TYPE_ACCELEROMETER	0.09576416	0.55784607	9.1458435
1561016613113	TYPE_MAGNETIC_FIELD	7.3799996	19.02	-46.739998
1561016613113	TYPE_GYROSCOPE	0.08390808	0.06098938	0.02494812
1561016613113	TYPE_ROTATION_VECTOR	0.022095509	3.917668E-7	0.15357144
1561016613113	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.76	23.16	-117.78
1561016613113	TYPE_GYROSCOPE_UNCALIBRATED	0.07191467	0.0703125	0.027694702
1561016613113	TYPE_ACCELEROMETER_UNCALIBRATED	0.09576416	0.55784607	9.1458435
1561016613133	TYPE_ACCELEROMETER	0.03831482	0.47883606	9.404419
1561016613133	TYPE_MAGNETIC_FIELD	7.08	19.08	-46.8
1561016613133	TYPE_GYROSCOPE	-0.033294678	0.050872803	0.042526245
1561016613133	TYPE_ROTATION_VECTOR	0.022909721	5.218167E-4	0.15334955
1561016613133	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.46	23.22	-117.84
1561016613133	TYPE_GYROSCOPE_UNCALIBRATED	-0.045288086	0.060195923	0.045272827
1561016613133	TYPE_ACCELEROMETER_UNCALIBRATED	0.03831482	0.47883606	9.404419
1561016613152	TYPE_ACCELEROMETER	0.20111084	0.47644043	10.081985
1561016613152	TYPE_MAGNETIC_FIELD	7.08	19.08	-47.039997
1561016613152	TYPE_GYROSCOPE	-0.104660034	-0.026901245	0.053710938
1561016613152	TYPE_ROTATION_VECTOR	0.023919003	0.001162339	0.15347208
1561016613152	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.46	23.22	-118.08
1561016613152	TYPE_GYROSCOPE_UNCALIBRATED	-0.045288086	0.060195923	0.045272827
1561016613152	TYPE_ACCELEROMETER_UNCALIBRATED	0.20111084	0.47644043	10.081985
1561016613172	TYPE_ACCELEROMETER	0.4118042	0.61531067	10.089172
1561016613172	TYPE_MAGNETIC_FIELD	7.3799996	18.96	-47.16
1561016613172	TYPE_GYROSCOPE	-0.090270996	8.087158E-4	0.0664978
1561016613172	TYPE_ROTATION_VECTOR	0.023284702	0.0018274407	0.15430461
1561016613172	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.76	23.099998	-118.2
1561016613172	TYPE_GYROSCOPE_UNCALIBRATED	-0.102264404	0.010131836	0.069244385
1561016613172	TYPE_ACCELEROMETER_UNCALIBRATED	0.4118042	0.61531067	10.089172
1561016613192	TYPE_ACCELEROMETER	0.36392212	0.6967163	9.457092
1561016613192	TYPE_MAGNETIC_FIELD	7.3799996	18.96	-47.16
1561016613192	TYPE_GYROSCOPE	-0.14833069	0.11584473	0.09100342
1561016613192	TYPE_ROTATION_VECTOR	0.023284702	0.0018274407	0.15430461
1561016613192	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.76	23.099998	-118.2
1561016613192	TYPE_GYROSCOPE_UNCALIBRATED	-0.1603241	0.12516785	0.09375
1561016613192	TYPE_ACCELEROMETER_UNCALIBRATED	0.36392212	0.6967163	9.457092
1561016613212	TYPE_ACCELEROMETER	0.19392395	0.5626373	9.42836
1561016613212	TYPE_MAGNETIC_FIELD	7.3199997	18.779999	-46.98
1561016613212	TYPE_GYROSCOPE	-0.3177185	0.16911316	0.08248901
1561016613212	TYPE_ROTATION_VECTOR	0.02236681	0.0013445633	0.15486911
1561016613212	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.699997	22.919998	-118.020004
1561016613212	TYPE_GYROSCOPE_UNCALIBRATED	-0.3297119	0.17843628	0.085235596
1561016613212	TYPE_ACCELEROMETER_UNCALIBRATED	0.19392395	0.5626373	9.42836
1561016613232	TYPE_ACCELEROMETER	0.0023956299	0.44532776	9.926361
1561016613232	TYPE_MAGNETIC_FIELD	7.3199997	18.779999	-46.98
1561016613232	TYPE_GYROSCOPE	-0.4189148	0.15579224	0.03187561
1561016613232	TYPE_ROTATION_VECTOR	0.02236681	0.0013445633	0.15486911
1561016613232	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.699997	22.919998	-118.020004
1561016613232	TYPE_GYROSCOPE_UNCALIBRATED	-0.3297119	0.17843628	0.085235596
1561016613232	TYPE_ACCELEROMETER_UNCALIBRATED	0.0023956299	0.44532776	9.926361
1561016613251	TYPE_ACCELEROMETER	-0.14364624	0.52433777	10.232819
1561016613251	TYPE_MAGNETIC_FIELD	7.3199997	18.779999	-46.98
1561016613251	TYPE_GYROSCOPE	-0.37364197	0.15153503	-0.021392822
1561016613251	TYPE_ROTATION_VECTOR	0.02236681	0.0013445633	0.15486911
1561016613251	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.699997	22.919998	-118.020004
1561016613251	TYPE_GYROSCOPE_UNCALIBRATED	-0.38563538	0.16085815	-0.01864624
1561016613251	TYPE_ACCELEROMETER_UNCALIBRATED	-0.14364624	0.52433777	10.232819
1561016613271	TYPE_ACCELEROMETER	-0.09815979	0.79966736	9.7444
1561016613271	TYPE_MAGNETIC_FIELD	7.68	18.48	-46.44
1561016613271	TYPE_GYROSCOPE	-0.26071167	0.19148254	-0.05015564
1561016613271	TYPE_ROTATION_VECTOR	0.01694592	0.0034146982	0.1569833
1561016613271	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.059998	22.619999	-117.479996
1561016613271	TYPE_GYROSCOPE_UNCALIBRATED	-0.27270508	0.20080566	-0.047409058
1561016613271	TYPE_ACCELEROMETER_UNCALIBRATED	-0.09815979	0.79966736	9.7444
1561016613291	TYPE_ACCELEROMETER	-0.02154541	1.0127411	9.018951
1561016613291	TYPE_MAGNETIC_FIELD	7.7999997	18.72	-46.2
1561016613291	TYPE_GYROSCOPE	-0.22875977	0.23942566	-0.06719971
1561016613291	TYPE_ROTATION_VECTOR	0.012611263	0.004282914	0.15733746
1561016613291	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.18	22.859999	-117.240005
1561016613291	TYPE_GYROSCOPE_UNCALIBRATED	-0.27270508	0.20080566	-0.047409058
1561016613291	TYPE_ACCELEROMETER_UNCALIBRATED	-0.02154541	1.0127411	9.018951
1561016613311	TYPE_ACCELEROMETER	-0.01914978	1.1085205	8.781937
1561016613311	TYPE_MAGNETIC_FIELD	7.7999997	18.72	-46.2
1561016613311	TYPE_GYROSCOPE	-0.26870728	0.23036194	-0.08796692
1561016613311	TYPE_ROTATION_VECTOR	0.012611263	0.004282914	0.15733746
1561016613311	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.18	22.859999	-117.240005
1561016613311	TYPE_GYROSCOPE_UNCALIBRATED	-0.24075317	0.24874878	-0.064453125
1561016613311	TYPE_ACCELEROMETER_UNCALIBRATED	-0.01914978	1.1085205	8.781937
1561016613331	TYPE_ACCELEROMETER	-0.07421875	1.0941467	8.880096
1561016613331	TYPE_MAGNETIC_FIELD	8.22	19.38	-45.539997
1561016613331	TYPE_GYROSCOPE	-0.312912	0.19787598	-0.07997131
1561016613331	TYPE_ROTATION_VECTOR	0.0058781696	0.0066434876	0.15670641
1561016613331	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.6	23.519999	-116.58
1561016613331	TYPE_GYROSCOPE_UNCALIBRATED	-0.28070068	0.23968506	-0.08522034
1561016613331	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07421875	1.0941467	8.880096
1561016613350	TYPE_ACCELEROMETER	-0.07182312	0.93852234	8.959106
1561016613350	TYPE_MAGNETIC_FIELD	8.4	19.56	-45.36
1561016613350	TYPE_GYROSCOPE	-0.31451416	0.21278381	-0.046951294
1561016613350	TYPE_ROTATION_VECTOR	0.0032740464	0.008626204	0.15608032
1561016613350	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.78	23.699999	-116.4
1561016613350	TYPE_GYROSCOPE_UNCALIBRATED	-0.3249054	0.2071991	-0.07722473
1561016613350	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07182312	0.93852234	8.959106
1561016613370	TYPE_ACCELEROMETER	-0.05986023	0.6967163	8.880096
1561016613370	TYPE_MAGNETIC_FIELD	8.58	20.58	-45.239998
1561016613370	TYPE_GYROSCOPE	-0.32250977	0.25593567	-0.0075531006
1561016613370	TYPE_ROTATION_VECTOR	-0.0030762327	0.011922412	0.15450113
1561016613370	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.96	24.72	-116.28
1561016613370	TYPE_GYROSCOPE_UNCALIBRATED	-0.32650757	0.22210693	-0.044204712
1561016613370	TYPE_ACCELEROMETER_UNCALIBRATED	-0.05986023	0.6967163	8.880096
1561016613390	TYPE_ACCELEROMETER	-0.07182312	0.43095398	9.083603
1561016613390	TYPE_MAGNETIC_FIELD	8.58	20.58	-45.239998
1561016613390	TYPE_GYROSCOPE	-0.36724854	0.24954224	0.0036468506
1561016613390	TYPE_ROTATION_VECTOR	-0.0030762327	0.011922412	0.15450113
1561016613390	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.96	24.72	-116.28
1561016613390	TYPE_GYROSCOPE_UNCALIBRATED	-0.33450317	0.2652588	-0.0048065186
1561016613390	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07182312	0.43095398	9.083603
1561016613410	TYPE_ACCELEROMETER	-0.05506897	0.21069336	9.655823
1561016613410	TYPE_MAGNETIC_FIELD	8.58	21.06	-45.0
1561016613410	TYPE_GYROSCOPE	-0.3874817	0.20480347	-0.013931274
1561016613410	TYPE_ROTATION_VECTOR	-0.0064734984	0.013514343	0.15406978
1561016613410	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.96	25.199999	-116.04
1561016613410	TYPE_GYROSCOPE_UNCALIBRATED	-0.37924194	0.25886536	0.0063934326
