#	startTime:1561016902252
#	SiteID:5cd969ba39e2fc0b4afe6faf	SiteName:百联社区商业中心	FloorId:5cd969bd39e2fc0b4afe7277	FloorName:F2
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561016902252	TYPE_WAYPOINT	48.673164	57.067257
1561016902449	TYPE_ACCELEROMETER	-0.6248932	-0.37828064	10.441116
1561016902449	TYPE_MAGNETIC_FIELD	-14.7	16.74	-23.46
1561016902449	TYPE_GYROSCOPE	-0.18721008	0.060455322	-0.14816284
1561016902449	TYPE_ROTATION_VECTOR	-0.007812986	0.033998698	-0.39546528
1561016902449	TYPE_MAGNETIC_FIELD_UNCALIBRATED	10.38	19.8	-95.52
1561016902449	TYPE_GYROSCOPE_UNCALIBRATED	-0.19920349	0.06977844	-0.14541626
1561016902449	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6248932	-0.37828064	10.441116
1561016902469	TYPE_ACCELEROMETER	-0.5817871	-0.25857544	10.175354
1561016902469	TYPE_MAGNETIC_FIELD	-14.82	16.74	-23.76
1561016902469	TYPE_GYROSCOPE	-0.13928223	0.07536316	-0.12791443
1561016902469	TYPE_ROTATION_VECTOR	0.005480105	0.030705364	-0.39201364
1561016902469	TYPE_MAGNETIC_FIELD_UNCALIBRATED	10.26	19.8	-95.82
1561016902469	TYPE_GYROSCOPE_UNCALIBRATED	-0.19920349	0.06977844	-0.14541626
1561016902469	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5817871	-0.25857544	10.175354
1561016902489	TYPE_ACCELEROMETER	-0.5626373	-0.20350647	9.988617
1561016902489	TYPE_MAGNETIC_FIELD	-14.759999	16.74	-23.939999
1561016902489	TYPE_GYROSCOPE	-0.14086914	0.06417847	-0.10021973
1561016902489	TYPE_ROTATION_VECTOR	0.009518291	0.02972775	-0.36616635
1561016902489	TYPE_MAGNETIC_FIELD_UNCALIBRATED	10.320001	19.8	-96.0
1561016902489	TYPE_GYROSCOPE_UNCALIBRATED	-0.15127563	0.08468628	-0.12516785
1561016902489	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5626373	-0.20350647	9.988617
1561016902509	TYPE_ACCELEROMETER	-0.43095398	-0.19154358	10.002975
1561016902509	TYPE_MAGNETIC_FIELD	-14.759999	16.74	-23.939999
1561016902509	TYPE_GYROSCOPE	-0.16271973	0.010925293	-0.08105469
1561016902509	TYPE_ROTATION_VECTOR	0.009518291	0.02972775	-0.36616635
1561016902509	TYPE_MAGNETIC_FIELD_UNCALIBRATED	10.320001	19.8	-96.0
1561016902509	TYPE_GYROSCOPE_UNCALIBRATED	-0.15286255	0.07350159	-0.097473145
1561016902509	TYPE_ACCELEROMETER_UNCALIBRATED	-0.43095398	-0.19154358	10.002975
1561016902529	TYPE_ACCELEROMETER	-0.33039856	-0.1771698	9.9479065
1561016902529	TYPE_MAGNETIC_FIELD	-14.88	16.92	-24.359999
1561016902529	TYPE_GYROSCOPE	-0.1451416	-0.013595581	-0.06452942
1561016902529	TYPE_ROTATION_VECTOR	0.008532926	0.030931745	-0.36447665
1561016902529	TYPE_MAGNETIC_FIELD_UNCALIBRATED	10.2	19.98	-96.42
1561016902529	TYPE_GYROSCOPE_UNCALIBRATED	-0.17471313	0.020248413	-0.078308105
1561016902529	TYPE_ACCELEROMETER_UNCALIBRATED	-0.33039856	-0.1771698	9.9479065
1561016902548	TYPE_ACCELEROMETER	-0.24659729	-0.15083313	9.732437
1561016902548	TYPE_MAGNETIC_FIELD	-15.179999	17.1	-24.539999
1561016902548	TYPE_GYROSCOPE	-0.11903381	-2.593994E-4	-0.03364563
1561016902548	TYPE_ROTATION_VECTOR	0.005719952	0.032348577	-0.3658713
1561016902548	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.900001	20.16	-96.6
1561016902548	TYPE_GYROSCOPE_UNCALIBRATED	-0.13102722	0.009063721	-0.030899048
1561016902548	TYPE_ACCELEROMETER_UNCALIBRATED	-0.24659729	-0.15083313	9.732437
1561016902568	TYPE_ACCELEROMETER	-0.13887024	-0.18196106	9.509766
1561016902568	TYPE_MAGNETIC_FIELD	-15.299999	17.22	-24.539999
1561016902568	TYPE_GYROSCOPE	-0.1179657	0.011444092	-0.01234436
1561016902568	TYPE_ROTATION_VECTOR	0.004481618	0.0327496	-0.36629555
1561016902568	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.780001	20.279999	-96.6
1561016902568	TYPE_GYROSCOPE_UNCALIBRATED	-0.13102722	0.009063721	-0.030899048
1561016902568	TYPE_ACCELEROMETER_UNCALIBRATED	-0.13887024	-0.18196106	9.509766
1561016902588	TYPE_ACCELEROMETER	0.0071868896	-0.24899292	9.519348
1561016902588	TYPE_MAGNETIC_FIELD	-15.299999	17.22	-24.24
1561016902588	TYPE_GYROSCOPE	-0.13661194	-0.0029296875	-0.022460938
1561016902588	TYPE_ROTATION_VECTOR	0.0034481569	0.033230484	-0.3664366
1561016902588	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.780001	20.279999	-96.299995
1561016902588	TYPE_GYROSCOPE_UNCALIBRATED	-0.14860535	0.0063934326	-0.019714355
1561016902588	TYPE_ACCELEROMETER_UNCALIBRATED	0.09576416	-0.22744751	9.674973
1561016902608	TYPE_ACCELEROMETER	0.09576416	-0.22744751	9.674973
1561016902608	TYPE_MAGNETIC_FIELD	-15.299999	17.22	-24.24
1561016902608	TYPE_GYROSCOPE	-0.12863159	-0.017318726	-0.049621582
1561016902608	TYPE_ROTATION_VECTOR	0.0034481569	0.033230484	-0.3664366
1561016902608	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.780001	20.279999	-96.299995
1561016902608	TYPE_GYROSCOPE_UNCALIBRATED	-0.14860535	0.0063934326	-0.019714355
1561016902608	TYPE_ACCELEROMETER_UNCALIBRATED	0.09576416	-0.22744751	9.674973
1561016902628	TYPE_ACCELEROMETER	0.09576416	-0.13647461	9.64624
1561016902628	TYPE_MAGNETIC_FIELD	-15.059999	17.16	-24.18
1561016902628	TYPE_GYROSCOPE	-0.08494568	-0.008255005	-0.06666565
1561016902628	TYPE_ROTATION_VECTOR	0.0022944806	0.033748712	-0.36652163
1561016902628	TYPE_MAGNETIC_FIELD_UNCALIBRATED	10.02	20.22	-96.24
1561016902628	TYPE_GYROSCOPE_UNCALIBRATED	-0.140625	-0.0079956055	-0.046875
1561016902628	TYPE_ACCELEROMETER_UNCALIBRATED	0.09576416	-0.13647461	9.64624
1561016902647	TYPE_ACCELEROMETER	0.04309082	-0.10295105	9.574417
1561016902647	TYPE_MAGNETIC_FIELD	-15.36	17.34	-24.24
1561016902647	TYPE_GYROSCOPE	-0.08547974	0.033294678	-0.0741272
1561016902647	TYPE_ROTATION_VECTOR	-1.0816617E-4	0.034363303	-0.36731827
1561016902647	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.72	20.4	-96.299995
1561016902647	TYPE_GYROSCOPE_UNCALIBRATED	-0.09693909	0.0010681152	-0.06391907
1561016902647	TYPE_ACCELEROMETER_UNCALIBRATED	0.04309082	-0.10295105	9.574417
1561016902667	TYPE_ACCELEROMETER	0.03352356	-0.06225586	9.952698
1561016902667	TYPE_MAGNETIC_FIELD	-15.36	17.16	-24.06
1561016902667	TYPE_GYROSCOPE	-0.10784912	0.026367188	-0.08531189
1561016902667	TYPE_ROTATION_VECTOR	-7.699227E-4	0.034789737	-0.36794287
1561016902667	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.72	20.22	-96.119995
1561016902667	TYPE_GYROSCOPE_UNCALIBRATED	-0.097473145	0.042617798	-0.071380615
1561016902667	TYPE_ACCELEROMETER_UNCALIBRATED	0.03352356	-0.06225586	9.952698
1561016902687	TYPE_ACCELEROMETER	0.0287323	0.03352356	10.386047
1561016902687	TYPE_MAGNETIC_FIELD	-15.66	17.34	-23.82
1561016902687	TYPE_GYROSCOPE	-0.07696533	0.021575928	-0.098098755
1561016902687	TYPE_ROTATION_VECTOR	-0.001597404	0.035452876	-0.36862224
1561016902687	TYPE_MAGNETIC_FIELD_UNCALIBRATED	9.42	20.4	-95.88
1561016902687	TYPE_GYROSCOPE_UNCALIBRATED	-0.08895874	0.030899048	-0.09535217
1561016902687	TYPE_ACCELEROMETER_UNCALIBRATED	0.0287323	0.03352356	10.386047
