#	startTime:1561018407087
#	SiteID:5cd969ba39e2fc0b4afe6faf	SiteName:百联社区商业中心	FloorId:5cd969c339e2fc0b4afe7773	FloorName:F5
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561018407088	TYPE_WAYPOINT	42.136177	34.391174
1561018407289	TYPE_ACCELEROMETER	-0.11730957	0.5506592	9.689331
1561018407289	TYPE_MAGNETIC_FIELD	-33.96	4.98	-36.239998
1561018407289	TYPE_GYROSCOPE	-0.31504822	0.03967285	-0.061340332
1561018407289	TYPE_ROTATION_VECTOR	0.025632342	-0.0086400425	-0.6460354
1561018407289	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.4799995	9.299999	-106.02
1561018407289	TYPE_GYROSCOPE_UNCALIBRATED	-0.32704163	0.04899597	-0.05859375
1561018407289	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22026062	0.4524994	9.837769
1561018407309	TYPE_ACCELEROMETER	0.04788208	0.6201019	9.308655
1561018407309	TYPE_MAGNETIC_FIELD	-34.02	4.8599997	-36.239998
1561018407309	TYPE_GYROSCOPE	-0.27775574	0.07484436	-0.046966553
1561018407309	TYPE_ROTATION_VECTOR	0.024080371	-0.012265355	-0.63746846
1561018407309	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.540001	9.179999	-106.02
1561018407309	TYPE_GYROSCOPE_UNCALIBRATED	-0.28974915	0.08416748	-0.04421997
1561018407309	TYPE_ACCELEROMETER_UNCALIBRATED	-0.11730957	0.5506592	9.689331
1561018407329	TYPE_ACCELEROMETER	0.07182312	0.62249756	9.42836
1561018407329	TYPE_MAGNETIC_FIELD	-34.079998	4.7999997	-36.42
1561018407329	TYPE_GYROSCOPE	-0.31558228	0.10147095	-0.05015564
1561018407329	TYPE_ROTATION_VECTOR	0.022730408	-0.021399714	-0.6245299
1561018407329	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.5999985	9.119999	-106.2
1561018407329	TYPE_GYROSCOPE_UNCALIBRATED	-0.32757568	0.11079407	-0.047409058
1561018407329	TYPE_ACCELEROMETER_UNCALIBRATED	0.04788208	0.6201019	9.308655
1561018407349	TYPE_ACCELEROMETER	0.13887024	0.52433777	9.622299
1561018407349	TYPE_MAGNETIC_FIELD	-34.2	4.74	-36.42
1561018407349	TYPE_GYROSCOPE	-0.34220886	0.066848755	-0.048553467
1561018407349	TYPE_ROTATION_VECTOR	0.021364616	-0.022765754	-0.62392956
1561018407349	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.720001	9.059999	-106.2
1561018407349	TYPE_GYROSCOPE_UNCALIBRATED	-0.35420227	0.076171875	-0.045806885
1561018407349	TYPE_ACCELEROMETER_UNCALIBRATED	0.07182312	0.62249756	9.42836
1561018407369	TYPE_ACCELEROMETER	0.19154358	0.3902588	9.411606
1561018407369	TYPE_MAGNETIC_FIELD	-34.2	4.74	-36.42
1561018407369	TYPE_GYROSCOPE	-0.31451416	0.07803345	-0.040039062
1561018407369	TYPE_ROTATION_VECTOR	0.021364616	-0.022765754	-0.62392956
1561018407369	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.720001	9.059999	-106.2
1561018407369	TYPE_GYROSCOPE_UNCALIBRATED	-0.32650757	0.08735657	-0.03729248
1561018407369	TYPE_ACCELEROMETER_UNCALIBRATED	0.13887024	0.52433777	9.622299
1561018407388	TYPE_ACCELEROMETER	0.17477417	0.28970337	9.294296
1561018407388	TYPE_MAGNETIC_FIELD	-34.079998	4.8599997	-36.54
1561018407388	TYPE_GYROSCOPE	-0.3219757	0.097213745	-0.038970947
1561018407388	TYPE_ROTATION_VECTOR	0.019319821	-0.020039504	-0.62437916
1561018407388	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.5999985	9.179999	-106.32
1561018407388	TYPE_GYROSCOPE_UNCALIBRATED	-0.33396912	0.106536865	-0.036224365
1561018407388	TYPE_ACCELEROMETER_UNCALIBRATED	0.19154358	0.3902588	9.411606
1561018407408	TYPE_ACCELEROMETER	0.2059021	0.20111084	9.615112
1561018407408	TYPE_MAGNETIC_FIELD	-33.78	4.98	-36.6
1561018407408	TYPE_GYROSCOPE	-0.3693695	0.07749939	-0.048553467
1561018407408	TYPE_ROTATION_VECTOR	0.017165685	-0.017493367	-0.6247721
1561018407408	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.299999	9.299999	-106.38
1561018407408	TYPE_GYROSCOPE_UNCALIBRATED	-0.38136292	0.08682251	-0.045806885
1561018407408	TYPE_ACCELEROMETER_UNCALIBRATED	0.17477417	0.28970337	9.294296
1561018407428	TYPE_ACCELEROMETER	0.15083313	0.16041565	10.146622
1561018407428	TYPE_MAGNETIC_FIELD	-33.96	5.64	-36.84
1561018407428	TYPE_GYROSCOPE	-0.3608551	0.047668457	-0.07359314
1561018407428	TYPE_ROTATION_VECTOR	0.013272632	-0.012046666	-0.6254593
1561018407428	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.4799995	9.959999	-106.619995
1561018407428	TYPE_GYROSCOPE_UNCALIBRATED	-0.3728485	0.056991577	-0.07084656
1561018407428	TYPE_ACCELEROMETER_UNCALIBRATED	0.2059021	0.20111084	9.615112
1561018407448	TYPE_ACCELEROMETER	-0.0095825195	0.26815796	9.710876
1561018407448	TYPE_MAGNETIC_FIELD	-33.899998	5.8799996	-36.899998
1561018407448	TYPE_GYROSCOPE	-0.25112915	0.033294678	-0.0975647
1561018407448	TYPE_ROTATION_VECTOR	0.010747761	-0.009175279	-0.6259343
1561018407448	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.419998	10.199999	-106.67999
1561018407448	TYPE_GYROSCOPE_UNCALIBRATED	-0.26312256	0.042617798	-0.094818115
1561018407448	TYPE_ACCELEROMETER_UNCALIBRATED	0.15083313	0.16041565	10.146622
1561018407468	TYPE_ACCELEROMETER	0.0287323	0.2561798	9.397247
1561018407468	TYPE_MAGNETIC_FIELD	-33.899998	5.8799996	-36.899998
1561018407468	TYPE_GYROSCOPE	-0.2159729	0.07324219	-0.07199097
1561018407468	TYPE_ROTATION_VECTOR	0.010747761	-0.009175279	-0.6259343
1561018407468	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.419998	10.199999	-106.67999
1561018407468	TYPE_GYROSCOPE_UNCALIBRATED	-0.22796631	0.08256531	-0.069244385
1561018407468	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0095825195	0.26815796	9.710876
1561018407487	TYPE_ACCELEROMETER	0.23223877	0.26576233	9.617508
1561018407487	TYPE_MAGNETIC_FIELD	-33.899998	6.2999997	-36.719997
1561018407487	TYPE_GYROSCOPE	-0.24208069	0.08282471	-0.056549072
1561018407487	TYPE_ROTATION_VECTOR	0.008555728	-0.0070294826	-0.6266605
1561018407487	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.419998	10.619999	-106.5
1561018407487	TYPE_GYROSCOPE_UNCALIBRATED	-0.2540741	0.09214783	-0.05380249
1561018407487	TYPE_ACCELEROMETER_UNCALIBRATED	0.0287323	0.2561798	9.397247
1561018407507	TYPE_ACCELEROMETER	0.35673523	0.33039856	9.840164
1561018407507	TYPE_MAGNETIC_FIELD	-33.6	6.54	-36.84
1561018407507	TYPE_GYROSCOPE	-0.261261	0.06364441	-0.07624817
1561018407507	TYPE_ROTATION_VECTOR	0.007230147	-0.0052355	-0.62735087
1561018407507	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.119999	10.86	-106.619995
1561018407507	TYPE_GYROSCOPE_UNCALIBRATED	-0.2732544	0.07296753	-0.07350159
1561018407507	TYPE_ACCELEROMETER_UNCALIBRATED	0.23223877	0.26576233	9.617508
1561018407527	TYPE_ACCELEROMETER	0.3471527	0.3902588	9.988617
1561018407527	TYPE_MAGNETIC_FIELD	-33.3	6.96	-36.84
1561018407527	TYPE_GYROSCOPE	-0.25112915	0.041809082	-0.09915161
1561018407527	TYPE_ROTATION_VECTOR	0.004498329	-0.0010425766	-0.6282958
1561018407527	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.8199997	11.28	-106.619995
1561018407527	TYPE_GYROSCOPE_UNCALIBRATED	-0.26312256	0.051132202	-0.09640503
1561018407527	TYPE_ACCELEROMETER_UNCALIBRATED	0.35673523	0.33039856	9.840164
1561018407547	TYPE_ACCELEROMETER	0.25378418	0.3040619	10.541672
1561018407547	TYPE_MAGNETIC_FIELD	-33.66	7.2599998	-36.719997
1561018407547	TYPE_GYROSCOPE	-0.22875977	0.07270813	-0.09703064
1561018407547	TYPE_ROTATION_VECTOR	0.0028252674	9.6436834E-4	-0.62898666
1561018407547	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.1800003	11.58	-106.5
1561018407547	TYPE_GYROSCOPE_UNCALIBRATED	-0.24075317	0.08203125	-0.09428406
1561018407547	TYPE_ACCELEROMETER_UNCALIBRATED	0.3471527	0.3902588	9.988617
1561018407567	TYPE_ACCELEROMETER	0.17477417	0.22505188	11.077972
1561018407567	TYPE_MAGNETIC_FIELD	-33.66	7.2599998	-36.719997
1561018407567	TYPE_GYROSCOPE	-0.16537476	0.13235474	-0.09063721
1561018407567	TYPE_ROTATION_VECTOR	0.0028252674	9.6436834E-4	-0.62898666
1561018407567	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.1800003	11.58	-106.5
1561018407567	TYPE_GYROSCOPE_UNCALIBRATED	-0.17736816	0.14167786	-0.087890625
1561018407567	TYPE_ACCELEROMETER_UNCALIBRATED	0.25378418	0.3040619	10.541672
1561018407586	TYPE_ACCELEROMETER	0.0095825195	0.21069336	11.530472
