#	startTime:1561018483226
#	SiteID:5cd969ba39e2fc0b4afe6faf	SiteName:百联社区商业中心	FloorId:5cd969c339e2fc0b4afe7773	FloorName:F5
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561018483226	TYPE_WAYPOINT	50.271996	42.9696
1561018483405	TYPE_ACCELEROMETER	-0.79008484	-0.06942749	9.856934
1561018483405	TYPE_MAGNETIC_FIELD	25.38	26.34	-45.239998
1561018483405	TYPE_GYROSCOPE	-0.21278381	0.029037476	-0.027252197
1561018483405	TYPE_ROTATION_VECTOR	-0.014210042	0.047251195	0.31053758
1561018483405	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.199997	27.12	-110.88
1561018483405	TYPE_GYROSCOPE_UNCALIBRATED	-0.22477722	0.038360596	-0.024505615
1561018483405	TYPE_ACCELEROMETER_UNCALIBRATED	-0.79008484	-0.06942749	9.856934
1561018483425	TYPE_ACCELEROMETER	-0.81163025	-0.17237854	10.228027
1561018483425	TYPE_MAGNETIC_FIELD	25.08	26.519999	-45.48
1561018483425	TYPE_GYROSCOPE	-0.18881226	0.033294678	-0.018203735
1561018483425	TYPE_ROTATION_VECTOR	-0.017923413	0.037226424	0.3001606
1561018483425	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.9	27.3	-111.119995
1561018483425	TYPE_GYROSCOPE_UNCALIBRATED	-0.20080566	0.042617798	-0.015457153
1561018483425	TYPE_ACCELEROMETER_UNCALIBRATED	-0.79008484	-0.06942749	9.856934
1561018483445	TYPE_ACCELEROMETER	-0.7972717	-0.1197052	10.137054
1561018483445	TYPE_MAGNETIC_FIELD	24.9	26.4	-45.48
1561018483445	TYPE_GYROSCOPE	-0.11051941	0.051940918	-0.013412476
1561018483445	TYPE_ROTATION_VECTOR	-0.017276675	0.03409333	0.329719
1561018483445	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.72	27.18	-111.119995
1561018483445	TYPE_GYROSCOPE_UNCALIBRATED	-0.12251282	0.061264038	-0.010665894
1561018483445	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7972717	-0.1197052	10.137054
1561018483465	TYPE_ACCELEROMETER	-0.67277527	0.06703186	9.7300415
1561018483465	TYPE_MAGNETIC_FIELD	24.66	26.519999	-45.239998
1561018483465	TYPE_GYROSCOPE	-0.0471344	0.05406189	-0.011276245
1561018483465	TYPE_ROTATION_VECTOR	-0.016751714	0.034685105	0.3236243
1561018483465	TYPE_MAGNETIC_FIELD_UNCALIBRATED	51.48	27.3	-110.88
1561018483465	TYPE_GYROSCOPE_UNCALIBRATED	-0.059127808	0.06338501	-0.008529663
1561018483465	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7972717	-0.1197052	10.137054
1561018483484	TYPE_ACCELEROMETER	-0.48602295	0.22744751	9.349365
