#	startTime:1561018583921
#	SiteID:5cd969ba39e2fc0b4afe6faf	SiteName:百联社区商业中心	FloorId:5cd969c339e2fc0b4afe7773	FloorName:F5
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561018583923	TYPE_WAYPOINT	27.953178	73.15619
1561018584120	TYPE_ACCELEROMETER	0.05986023	0.43814087	9.339783
1561018584120	TYPE_MAGNETIC_FIELD	-26.699999	18.06	-34.739998
1561018584120	TYPE_GYROSCOPE	-0.21383667	-0.15899658	-0.06666565
1561018584120	TYPE_ROTATION_VECTOR	0.024291301	-0.011834214	-0.4474834
1561018584120	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.11999893	19.56	-104.03999
1561018584120	TYPE_GYROSCOPE_UNCALIBRATED	-0.22583008	-0.14967346	-0.06391907
1561018584120	TYPE_ACCELEROMETER_UNCALIBRATED	0.0047912598	0.52433777	9.236832
1561018584140	TYPE_ACCELEROMETER	0.19631958	0.36871338	9.686935
1561018584140	TYPE_MAGNETIC_FIELD	-26.699999	18.06	-34.739998
1561018584140	TYPE_GYROSCOPE	-0.24208069	-0.06738281	-0.02885437
1561018584140	TYPE_ROTATION_VECTOR	0.024291301	-0.011834214	-0.4474834
1561018584140	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.11999893	19.56	-104.03999
1561018584140	TYPE_GYROSCOPE_UNCALIBRATED	-0.2540741	-0.058059692	-0.026107788
1561018584140	TYPE_ACCELEROMETER_UNCALIBRATED	0.05986023	0.43814087	9.339783
1561018584160	TYPE_ACCELEROMETER	0.37109375	0.40940857	9.878479
1561018584160	TYPE_MAGNETIC_FIELD	-26.699999	18.119999	-34.739998
1561018584160	TYPE_GYROSCOPE	-0.19520569	0.013046265	-0.02458191
1561018584160	TYPE_ROTATION_VECTOR	0.014489183	-0.016627425	-0.43899179
1561018584160	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.11999893	19.619999	-104.03999
1561018584160	TYPE_GYROSCOPE_UNCALIBRATED	-0.2540741	-0.058059692	-0.026107788
1561018584160	TYPE_ACCELEROMETER_UNCALIBRATED	0.19631958	0.36871338	9.686935
1561018584180	TYPE_ACCELEROMETER	0.38067627	0.5386963	9.56723
1561018584180	TYPE_MAGNETIC_FIELD	-26.699999	17.52	-34.62
1561018584180	TYPE_GYROSCOPE	-0.13075256	0.031158447	-0.06347656
1561018584180	TYPE_ROTATION_VECTOR	0.014489183	-0.016627425	-0.43899179
1561018584180	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.11999893	19.619999	-104.03999
1561018584180	TYPE_GYROSCOPE_UNCALIBRATED	-0.2071991	0.022369385	-0.021835327
1561018584180	TYPE_ACCELEROMETER_UNCALIBRATED	0.37109375	0.40940857	9.878479
1561018584200	TYPE_ACCELEROMETER	0.0861969	0.77093506	9.17218
1561018584200	TYPE_MAGNETIC_FIELD	-26.76	17.279999	-34.44
1561018584200	TYPE_GYROSCOPE	-0.13235474	0.049804688	-0.10449219
1561018584200	TYPE_ROTATION_VECTOR	0.007094064	-0.024570845	-0.46402997
1561018584200	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.11999893	19.02	-103.92
1561018584200	TYPE_GYROSCOPE_UNCALIBRATED	-0.14274597	0.040481567	-0.06072998
1561018584200	TYPE_ACCELEROMETER_UNCALIBRATED	0.38067627	0.5386963	9.56723
1561018584219	TYPE_ACCELEROMETER	-0.05267334	0.86909485	9.2200775
1561018584219	TYPE_MAGNETIC_FIELD	-26.76	17.279999	-34.44
1561018584219	TYPE_GYROSCOPE	-0.22769165	0.081222534	-0.08584595
1561018584219	TYPE_ROTATION_VECTOR	0.007094064	-0.024570845	-0.46402997
1561018584219	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.1800003	18.779999	-103.73999
1561018584219	TYPE_GYROSCOPE_UNCALIBRATED	-0.23968506	0.090545654	-0.083099365
1561018584219	TYPE_ACCELEROMETER_UNCALIBRATED	0.0861969	0.77093506	9.17218
1561018584239	TYPE_ACCELEROMETER	0.0287323	0.8355713	9.562439
1561018584239	TYPE_MAGNETIC_FIELD	-26.76	17.279999	-34.44
1561018584239	TYPE_GYROSCOPE	-0.3374176	0.10360718	-0.046951294
1561018584239	TYPE_ROTATION_VECTOR	0.007094064	-0.024570845	-0.46402997
1561018584239	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.1800003	18.779999	-103.73999
1561018584239	TYPE_GYROSCOPE_UNCALIBRATED	-0.23968506	0.090545654	-0.083099365
1561018584239	TYPE_ACCELEROMETER_UNCALIBRATED	-0.05267334	0.86909485	9.2200775
1561018584259	TYPE_ACCELEROMETER	-0.06942749	0.79248047	10.034103
1561018584259	TYPE_MAGNETIC_FIELD	-26.88	17.1	-34.38
1561018584259	TYPE_GYROSCOPE	-0.4034729	0.13395691	-0.037902832
1561018584259	TYPE_ROTATION_VECTOR	0.0061053736	-0.023693424	-0.46461076
1561018584259	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.29999924	18.6	-103.67999
1561018584259	TYPE_GYROSCOPE_UNCALIBRATED	-0.349411	0.1129303	-0.044204712
1561018584259	TYPE_ACCELEROMETER_UNCALIBRATED	0.0287323	0.8355713	9.562439
1561018584279	TYPE_ACCELEROMETER	-0.09336853	0.8355713	10.350128
1561018584279	TYPE_MAGNETIC_FIELD	-27.119999	16.98	-34.079998
1561018584279	TYPE_GYROSCOPE	-0.39920044	0.13182068	-0.039505005
1561018584279	TYPE_ROTATION_VECTOR	0.0036063902	-0.020885393	-0.4663489
1561018584279	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.539999	18.48	-103.37999
1561018584279	TYPE_GYROSCOPE_UNCALIBRATED	-0.4154663	0.14328003	-0.03515625
1561018584279	TYPE_ACCELEROMETER_UNCALIBRATED	-0.06942749	0.79248047	10.034103
1561018584299	TYPE_ACCELEROMETER	-0.0287323	0.93852234	10.283096
1561018584299	TYPE_MAGNETIC_FIELD	-27.119999	17.1	-34.32
1561018584299	TYPE_GYROSCOPE	-0.32995605	0.08708191	-0.058685303
1561018584299	TYPE_ROTATION_VECTOR	0.0011521797	-0.018429615	-0.46682364
1561018584299	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.539999	18.6	-103.619995
1561018584299	TYPE_GYROSCOPE_UNCALIBRATED	-0.41119385	0.1411438	-0.036758423
1561018584299	TYPE_ACCELEROMETER_UNCALIBRATED	-0.09336853	0.8355713	10.350128
1561018584318	TYPE_ACCELEROMETER	-0.05506897	1.1468201	9.595963
1561018584318	TYPE_MAGNETIC_FIELD	-27.06	16.98	-34.14
1561018584318	TYPE_GYROSCOPE	-0.21438599	0.03276062	-0.0868988
1561018584318	TYPE_ROTATION_VECTOR	-0.0017432601	-0.015402665	-0.46722263
1561018584318	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.47999954	18.48	-103.439995
1561018584318	TYPE_GYROSCOPE_UNCALIBRATED	-0.2263794	0.04208374	-0.08415222
1561018584318	TYPE_ACCELEROMETER_UNCALIBRATED	-0.05506897	1.1468201	9.595963
1561018584338	TYPE_ACCELEROMETER	-0.15562439	1.2832947	8.894455
1561018584338	TYPE_MAGNETIC_FIELD	-27.06	16.98	-34.14
1561018584338	TYPE_GYROSCOPE	-0.15419006	0.02583313	-0.089035034
1561018584338	TYPE_ROTATION_VECTOR	-0.0017432601	-0.015402665	-0.46722263
1561018584338	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.47999954	18.48	-103.439995
1561018584338	TYPE_GYROSCOPE_UNCALIBRATED	-0.2263794	0.04208374	-0.08415222
1561018584338	TYPE_ACCELEROMETER_UNCALIBRATED	-0.05506897	1.1468201	9.595963
1561018584358	TYPE_ACCELEROMETER	-0.23703003	1.1635895	8.738831
1561018584358	TYPE_MAGNETIC_FIELD	-27.06	17.699999	-34.02
1561018584358	TYPE_GYROSCOPE	-0.18135071	0.034347534	-0.05229187
1561018584358	TYPE_ROTATION_VECTOR	-0.0080583	-0.009367347	-0.46855476
1561018584358	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.47999954	19.199999	-103.31999
1561018584358	TYPE_GYROSCOPE_UNCALIBRATED	-0.16618347	0.03515625	-0.08628845
1561018584358	TYPE_ACCELEROMETER_UNCALIBRATED	-0.15562439	1.2832947	8.894455
1561018584378	TYPE_ACCELEROMETER	-0.14604187	0.96725464	8.990234
1561018584378	TYPE_MAGNETIC_FIELD	-26.82	18.42	-33.719997
1561018584378	TYPE_GYROSCOPE	-0.23727417	0.033294678	0.0015106201
1561018584378	TYPE_ROTATION_VECTOR	-0.0106845945	-0.0073645734	-0.4700473
1561018584378	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.23999977	19.92	-103.01999
1561018584378	TYPE_GYROSCOPE_UNCALIBRATED	-0.24926758	0.042617798	0.004257202
1561018584378	TYPE_ACCELEROMETER_UNCALIBRATED	-0.23703003	1.1635895	8.738831
1561018584398	TYPE_ACCELEROMETER	0.0574646	0.79008484	9.217682
1561018584398	TYPE_MAGNETIC_FIELD	-26.82	18.42	-33.719997
1561018584398	TYPE_GYROSCOPE	-0.24952698	0.026901245	0.040405273
1561018584398	TYPE_ROTATION_VECTOR	-0.0106845945	-0.0073645734	-0.4700473
1561018584398	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.23999977	19.92	-103.01999
1561018584398	TYPE_GYROSCOPE_UNCALIBRATED	-0.2615204	0.036224365	0.043151855
1561018584398	TYPE_ACCELEROMETER_UNCALIBRATED	-0.14604187	0.96725464	8.990234
1561018584417	TYPE_ACCELEROMETER	0.2346344	0.6655884	9.445129
1561018584417	TYPE_MAGNETIC_FIELD	-26.699999	18.72	-33.54
1561018584417	TYPE_GYROSCOPE	-0.24952698	0.031158447	0.053710938
1561018584417	TYPE_ROTATION_VECTOR	-0.012360566	-0.0060876925	-0.47028708
1561018584417	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.11999893	20.22	-102.84
1561018584417	TYPE_GYROSCOPE_UNCALIBRATED	-0.2615204	0.040481567	0.05645752
1561018584417	TYPE_ACCELEROMETER_UNCALIBRATED	0.2346344	0.6655884	9.445129
1561018584437	TYPE_ACCELEROMETER	0.37828064	0.67277527	9.761154
1561018584437	TYPE_MAGNETIC_FIELD	-26.4	19.199999	-33.42
1561018584437	TYPE_GYROSCOPE	-0.24580383	0.038619995	0.044662476
1561018584437	TYPE_ROTATION_VECTOR	-0.014386718	-0.0046627256	-0.4700979
1561018584437	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.1800003	20.699999	-102.71999
1561018584437	TYPE_GYROSCOPE_UNCALIBRATED	-0.25779724	0.047943115	0.047409058
1561018584437	TYPE_ACCELEROMETER_UNCALIBRATED	0.2346344	0.6655884	9.445129
1561018584457	TYPE_ACCELEROMETER	0.5410919	0.7565613	10.046066
1561018584457	TYPE_MAGNETIC_FIELD	-26.4	19.199999	-33.3
1561018584457	TYPE_GYROSCOPE	-0.22822571	0.011978149	0.018035889
1561018584457	TYPE_ROTATION_VECTOR	-0.016451603	-0.003279783	-0.46967208
1561018584457	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.1800003	20.699999	-102.59999
1561018584457	TYPE_GYROSCOPE_UNCALIBRATED	-0.24021912	0.02130127	0.02078247
1561018584457	TYPE_ACCELEROMETER_UNCALIBRATED	0.37828064	0.67277527	9.761154
1561018584477	TYPE_ACCELEROMETER	0.5985565	0.885849	10.292679
1561018584477	TYPE_MAGNETIC_FIELD	-26.699999	19.32	-33.6
1561018584477	TYPE_GYROSCOPE	-0.1962738	0.015716553	-0.020324707
1561018584477	TYPE_ROTATION_VECTOR	-0.020398548	-4.2260435E-4	-0.46894914
1561018584477	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-0.11999893	20.82	-102.899994
1561018584477	TYPE_GYROSCOPE_UNCALIBRATED	-0.20826721	0.025039673	-0.017578125
