#	startTime:1561018779961
#	SiteID:5cd969ba39e2fc0b4afe6faf	SiteName:百联社区商业中心	FloorId:5cd969c339e2fc0b4afe7773	FloorName:F5
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561018779963	TYPE_WAYPOINT	10.423017	43.85702
1561018780161	TYPE_ACCELEROMETER	-0.0047912598	0.2346344	9.528915
1561018780161	TYPE_MAGNETIC_FIELD	-24.24	11.7	-34.079998
1561018780161	TYPE_GYROSCOPE	-0.2554016	-0.04447937	-0.1103363
1561018780161	TYPE_ROTATION_VECTOR	1.0237134E-5	1.1781545E-5	-0.5211084
1561018780161	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.7799988	15.059999	-103.44
1561018780161	TYPE_GYROSCOPE_UNCALIBRATED	-0.26739502	-0.03515625	-0.10758972
1561018780161	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0047912598	0.2346344	9.528915
1561018780181	TYPE_ACCELEROMETER	-0.04309082	0.22984314	9.212891
1561018780181	TYPE_MAGNETIC_FIELD	-24.24	11.82	-33.78
1561018780181	TYPE_GYROSCOPE	-0.24154663	-0.023712158	-0.12365723
1561018780181	TYPE_ROTATION_VECTOR	0.013915851	-0.0069068214	-0.49949515
1561018780181	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.7799988	15.179999	-103.14
1561018780181	TYPE_GYROSCOPE_UNCALIBRATED	-0.25354004	-0.014389038	-0.120910645
1561018780181	TYPE_ACCELEROMETER_UNCALIBRATED	-0.04309082	0.22984314	9.212891
1561018780201	TYPE_ACCELEROMETER	-0.1197052	0.19154358	9.26796
1561018780201	TYPE_MAGNETIC_FIELD	-24.24	11.82	-33.78
1561018780201	TYPE_GYROSCOPE	-0.25326538	0.011978149	-0.12631226
1561018780201	TYPE_ROTATION_VECTOR	0.013915851	-0.0069068214	-0.49949515
1561018780201	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.7799988	15.179999	-103.14
1561018780201	TYPE_GYROSCOPE_UNCALIBRATED	-0.2652588	0.02130127	-0.123565674
1561018780201	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1197052	0.19154358	9.26796
1561018780221	TYPE_ACCELEROMETER	-0.11730957	0.16281128	9.373306
1561018780221	TYPE_MAGNETIC_FIELD	-24.3	11.759999	-33.78
1561018780221	TYPE_GYROSCOPE	-0.25219727	0.005065918	-0.124191284
1561018780221	TYPE_ROTATION_VECTOR	0.0067217117	-6.9081525E-6	-0.52798235
1561018780221	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.7199993	15.119999	-103.14
1561018780221	TYPE_GYROSCOPE_UNCALIBRATED	-0.26419067	0.014389038	-0.1214447
1561018780221	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1197052	0.19154358	9.26796
1561018780241	TYPE_ACCELEROMETER	-0.16281128	0.14125061	9.208099
1561018780241	TYPE_MAGNETIC_FIELD	-24.359999	11.7	-33.66
1561018780241	TYPE_GYROSCOPE	-0.20585632	0.006134033	-0.11833191
1561018780241	TYPE_ROTATION_VECTOR	0.0018444712	0.0014139675	-0.5256211
1561018780241	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.6599998	15.059999	-103.020004
1561018780241	TYPE_GYROSCOPE_UNCALIBRATED	-0.26419067	0.014389038	-0.1214447
1561018780241	TYPE_ACCELEROMETER_UNCALIBRATED	-0.11730957	0.16281128	9.373306
1561018780260	TYPE_ACCELEROMETER	-0.18196106	0.18196106	8.877701
1561018780260	TYPE_MAGNETIC_FIELD	-24.539999	12.0	-33.66
1561018780260	TYPE_GYROSCOPE	-0.15046692	0.015716553	-0.10395813
1561018780260	TYPE_ROTATION_VECTOR	-2.501666E-4	0.0027687813	-0.5266581
1561018780260	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.4799995	15.36	-103.020004
1561018780260	TYPE_GYROSCOPE_UNCALIBRATED	-0.16246033	0.025039673	-0.10121155
1561018780260	TYPE_ACCELEROMETER_UNCALIBRATED	-0.16281128	0.14125061	9.208099
1561018780280	TYPE_ACCELEROMETER	-0.23703003	0.14604187	8.609543
1561018780280	TYPE_MAGNETIC_FIELD	-24.3	12.24	-33.48
1561018780280	TYPE_GYROSCOPE	-0.14353943	0.020507812	-0.07785034
1561018780280	TYPE_ROTATION_VECTOR	-0.001953163	0.0038920243	-0.5276449
1561018780280	TYPE_MAGNETIC_FIELD_UNCALIBRATED	3.7199993	15.599999	-102.84
