#	startTime:1561018724581
#	SiteID:5cd969ba39e2fc0b4afe6faf	SiteName:百联社区商业中心	FloorId:5cd969c339e2fc0b4afe7773	FloorName:F5
#	Brand:vivo	Model:vivo X20	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2061700	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:78.4532
#	type:4	name:BMI160 Gyroscope	version:2061700	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561018724583	TYPE_WAYPOINT	18.948061	45.92311
1561018724788	TYPE_ACCELEROMETER	-0.5410919	0.44532776	9.696518
1561018724788	TYPE_MAGNETIC_FIELD	24.24	-23.519999	-30.72
1561018724788	TYPE_GYROSCOPE	-0.066833496	-0.05833435	-0.07624817
1561018724788	TYPE_ROTATION_VECTOR	-0.015625497	0.027039515	0.9213148
1561018724788	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.26	-18.239998	-104.58
1561018724788	TYPE_GYROSCOPE_UNCALIBRATED	-0.08256531	-0.06285095	-0.07244873
1561018724788	TYPE_ACCELEROMETER_UNCALIBRATED	-0.50756836	0.40701294	9.732437
1561018724808	TYPE_ACCELEROMETER	-0.4620819	0.44293213	9.5720215
1561018724808	TYPE_MAGNETIC_FIELD	24.24	-23.519999	-30.72
1561018724808	TYPE_GYROSCOPE	-0.055648804	-0.04234314	-0.0592041
1561018724808	TYPE_ROTATION_VECTOR	-0.015625497	0.027039515	0.9213148
1561018724808	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.26	-18.239998	-104.58
1561018724808	TYPE_GYROSCOPE_UNCALIBRATED	-0.06764221	-0.03302002	-0.05645752
1561018724808	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5410919	0.44532776	9.696518
1561018724828	TYPE_ACCELEROMETER	-0.4118042	0.39505005	9.56723
1561018724828	TYPE_MAGNETIC_FIELD	24.359999	-23.699999	-30.66
1561018724828	TYPE_GYROSCOPE	-0.0705719	-0.031692505	-0.06187439
1561018724828	TYPE_ROTATION_VECTOR	-0.012332934	0.028686125	0.9197682
1561018724828	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.379997	-18.419998	-104.520004
1561018724828	TYPE_GYROSCOPE_UNCALIBRATED	-0.08256531	-0.022369385	-0.059127808
1561018724828	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4118042	0.39505005	9.56723
1561018724848	TYPE_ACCELEROMETER	-0.5530548	0.3902588	9.615112
1561018724848	TYPE_MAGNETIC_FIELD	24.6	-23.82	-30.539999
1561018724848	TYPE_GYROSCOPE	-0.09187317	-0.015182495	-0.08317566
1561018724848	TYPE_ROTATION_VECTOR	-0.012173015	0.028015995	0.9221247
1561018724848	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.62	-18.54	-104.4
1561018724848	TYPE_GYROSCOPE_UNCALIBRATED	-0.10386658	-0.005859375	-0.08042908
1561018724848	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4118042	0.39505005	9.56723
1561018724868	TYPE_ACCELEROMETER	-0.5961609	0.38067627	9.722855
1561018724868	TYPE_MAGNETIC_FIELD	24.539999	-23.4	-30.48
1561018724868	TYPE_GYROSCOPE	-0.118499756	-0.019989014	-0.06985474
1561018724868	TYPE_ROTATION_VECTOR	-0.012168908	0.027243527	0.9219118
1561018724868	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.559998	-18.119999	-104.34
1561018724868	TYPE_GYROSCOPE_UNCALIBRATED	-0.13049316	-0.010665894	-0.067108154
1561018724868	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5961609	0.38067627	9.722855
1561018724887	TYPE_ACCELEROMETER	-0.50756836	0.36871338	9.80426
1561018724887	TYPE_MAGNETIC_FIELD	24.359999	-23.46	-30.48
1561018724887	TYPE_GYROSCOPE	-0.13128662	-0.017852783	-0.056015015
1561018724887	TYPE_ROTATION_VECTOR	-0.0124023445	0.026340546	0.92162085
1561018724887	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.379997	-18.18	-104.34
1561018724887	TYPE_GYROSCOPE_UNCALIBRATED	-0.14328003	-0.008529663	-0.053268433
1561018724887	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5961609	0.38067627	9.722855
1561018724907	TYPE_ACCELEROMETER	-0.5506592	0.4046173	9.761154
1561018724907	TYPE_MAGNETIC_FIELD	24.359999	-23.46	-30.48
1561018724907	TYPE_GYROSCOPE	-0.12916565	-0.015182495	-0.06613159
1561018724907	TYPE_ROTATION_VECTOR	-0.0124023445	0.026340546	0.92162085
1561018724907	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.379997	-18.18	-104.34
1561018724907	TYPE_GYROSCOPE_UNCALIBRATED	-0.14115906	-0.005859375	-0.06338501
1561018724907	TYPE_ACCELEROMETER_UNCALIBRATED	-0.50756836	0.36871338	9.80426
1561018724927	TYPE_ACCELEROMETER	-0.50038147	0.39982605	9.746796
1561018724927	TYPE_MAGNETIC_FIELD	24.359999	-22.98	-30.359999
1561018724927	TYPE_GYROSCOPE	-0.14247131	-0.038619995	-0.06666565
1561018724927	TYPE_ROTATION_VECTOR	-0.012692274	0.025175191	0.92138493
1561018724927	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.379997	-17.7	-104.22
1561018724927	TYPE_GYROSCOPE_UNCALIBRATED	-0.15446472	-0.029296875	-0.06391907
1561018724927	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5506592	0.4046173	9.761154
1561018724947	TYPE_ACCELEROMETER	-0.44532776	0.4189911	9.787491
1561018724947	TYPE_MAGNETIC_FIELD	24.539999	-22.859999	-30.359999
1561018724947	TYPE_GYROSCOPE	-0.15205383	-0.031692505	-0.08477783
1561018724947	TYPE_ROTATION_VECTOR	-0.013419689	0.022659905	0.92098194
1561018724947	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.559998	-17.579998	-104.22
1561018724947	TYPE_GYROSCOPE_UNCALIBRATED	-0.16404724	-0.022369385	-0.08203125
1561018724947	TYPE_ACCELEROMETER_UNCALIBRATED	-0.50038147	0.39982605	9.746796
1561018724967	TYPE_ACCELEROMETER	-0.5386963	0.48362732	9.92157
1561018724967	TYPE_MAGNETIC_FIELD	24.6	-22.8	-30.42
1561018724967	TYPE_GYROSCOPE	-0.15100098	-0.024230957	-0.11087036
1561018724967	TYPE_ROTATION_VECTOR	-0.013631201	0.021208704	0.92076176
1561018724967	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.62	-17.52	-104.28
1561018724967	TYPE_GYROSCOPE_UNCALIBRATED	-0.16404724	-0.022369385	-0.08203125
1561018724967	TYPE_ACCELEROMETER_UNCALIBRATED	-0.44532776	0.4189911	9.787491
1561018724986	TYPE_ACCELEROMETER	-0.60572815	0.5171509	9.854538
1561018724986	TYPE_MAGNETIC_FIELD	24.48	-22.5	-30.359999
1561018724986	TYPE_GYROSCOPE	-0.1259613	-0.027435303	-0.12791443
1561018724986	TYPE_ROTATION_VECTOR	-0.013944061	0.019693095	0.9204714
1561018724986	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.5	-17.220001	-104.22
1561018724986	TYPE_GYROSCOPE_UNCALIBRATED	-0.13795471	-0.018112183	-0.12516785
1561018724986	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5386963	0.48362732	9.92157
1561018725006	TYPE_ACCELEROMETER	-0.64164734	0.48602295	9.761154
1561018725006	TYPE_MAGNETIC_FIELD	24.48	-22.5	-30.359999
1561018725006	TYPE_GYROSCOPE	-0.11051941	-0.011459351	-0.13005066
1561018725006	TYPE_ROTATION_VECTOR	-0.013944061	0.019693095	0.9204714
1561018725006	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.5	-17.220001	-104.22
1561018725006	TYPE_GYROSCOPE_UNCALIBRATED	-0.12251282	-0.0021362305	-0.12730408
1561018725006	TYPE_ACCELEROMETER_UNCALIBRATED	-0.60572815	0.5171509	9.854538
1561018725026	TYPE_ACCELEROMETER	-0.5793915	0.46687317	9.8090515
1561018725026	TYPE_MAGNETIC_FIELD	24.539999	-22.26	-30.539999
1561018725026	TYPE_GYROSCOPE	-0.1179657	-0.0071868896	-0.119400024
1561018725026	TYPE_ROTATION_VECTOR	-0.014327035	0.018211855	0.920076
1561018725026	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.559998	-16.98	-104.4
1561018725026	TYPE_GYROSCOPE_UNCALIBRATED	-0.1299591	0.0021362305	-0.11665344
1561018725026	TYPE_ACCELEROMETER_UNCALIBRATED	-0.64164734	0.48602295	9.761154
1561018725046	TYPE_ACCELEROMETER	-0.39505005	0.42138672	9.835388
1561018725046	TYPE_MAGNETIC_FIELD	24.6	-21.9	-30.84
1561018725046	TYPE_GYROSCOPE	-0.13500977	-0.040222168	-0.11619568
1561018725046	TYPE_ROTATION_VECTOR	-0.014932794	0.015874757	0.9191225
1561018725046	TYPE_MAGNETIC_FIELD_UNCALIBRATED	52.62	-16.619999	-104.7
1561018725046	TYPE_GYROSCOPE_UNCALIBRATED	-0.14700317	-0.030899048	-0.1134491
1561018725046	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5793915	0.46687317	9.8090515
1561018725066	TYPE_ACCELEROMETER	-0.26576233	0.36392212	9.80426
