#	startTime:1561076181277
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8698	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561076181277	TYPE_WAYPOINT	230.01086	87.3545
1561076181487	TYPE_ACCELEROMETER	-0.8123627	1.2143555	8.388046
1561076181487	TYPE_MAGNETIC_FIELD	9.66	33.719997	-28.619999
1561076181487	TYPE_GYROSCOPE	1.6302948	0.072631836	0.42590332
1561076181487	TYPE_ROTATION_VECTOR	0.07265551	0.054913353	0.08625091
1561076181487	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.020004	9.119997	-87.78
1561076181487	TYPE_GYROSCOPE_UNCALIBRATED	5.6076355	0.006729126	1.3304596
1561076181487	TYPE_ACCELEROMETER_UNCALIBRATED	-0.80519104	1.2825623	8.170303
1561076181506	TYPE_ACCELEROMETER	-0.66041565	1.0408783	8.222931
1561076181506	TYPE_MAGNETIC_FIELD	9.9	33.78	-28.859999
1561076181506	TYPE_GYROSCOPE	-0.3292389	0.100128174	0.024261475
1561076181506	TYPE_ROTATION_VECTOR	0.062356487	0.05421901	0.113198705
1561076181506	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.26	9.179998	-88.02
1561076181506	TYPE_GYROSCOPE_UNCALIBRATED	-0.34820557	0.10171509	-0.010406494
1561076181506	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7908325	1.1581268	8.372482
1561076181525	TYPE_ACCELEROMETER	-0.39242554	0.82073975	8.206192
1561076181525	TYPE_MAGNETIC_FIELD	10.0199995	33.899998	-28.859999
1561076181525	TYPE_GYROSCOPE	-0.31304932	0.10623169	0.06518555
1561076181525	TYPE_ROTATION_VECTOR	0.05077717	0.036420736	0.124818504
1561076181525	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.38	9.299997	-88.02
1561076181525	TYPE_GYROSCOPE_UNCALIBRATED	-0.31124878	0.104766846	0.05192566
1561076181525	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5036926	0.90089417	8.154739
1561076181544	TYPE_ACCELEROMETER	-0.30747986	0.8386841	8.530426
1561076181544	TYPE_MAGNETIC_FIELD	10.0199995	34.02	-28.98
1561076181544	TYPE_GYROSCOPE	-0.32710266	0.13067627	0.055404663
1561076181544	TYPE_ROTATION_VECTOR	0.04532773	0.025037138	0.11633433
1561076181544	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.38	9.42	-88.14
1561076181544	TYPE_GYROSCOPE_UNCALIBRATED	-0.32040405	0.110580444	0.061691284
1561076181544	TYPE_ACCELEROMETER_UNCALIBRATED	-0.32781982	0.81596375	8.329422
1561076181564	TYPE_ACCELEROMETER	-0.11366272	0.8422699	8.8450775
1561076181564	TYPE_MAGNETIC_FIELD	10.32	34.26	-28.859999
1561076181564	TYPE_GYROSCOPE	-0.31549072	0.14776611	0.04685974
1561076181564	TYPE_ROTATION_VECTOR	0.04391695	0.019599393	0.1193842
1561076181564	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.68	9.659998	-88.02
1561076181564	TYPE_GYROSCOPE_UNCALIBRATED	-0.30819702	0.12187195	0.03817749
1561076181564	TYPE_ACCELEROMETER_UNCALIBRATED	-0.24168396	0.8374939	8.736206
1561076181583	TYPE_ACCELEROMETER	0.020339966	0.8518524	9.177673
1561076181583	TYPE_MAGNETIC_FIELD	10.32	34.26	-28.859999
1561076181583	TYPE_GYROSCOPE	-0.31671143	0.09341431	0.022125244
1561076181583	TYPE_ROTATION_VECTOR	0.04391695	0.019599393	0.1193842
1561076181583	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.68	9.659998	-88.02
1561076181583	TYPE_GYROSCOPE_UNCALIBRATED	-0.30819702	0.12187195	0.03817749
1561076181583	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0047912598	0.8614197	8.93959
1561076181602	TYPE_ACCELEROMETER	-0.053833008	0.8614197	10.029526
1561076181602	TYPE_MAGNETIC_FIELD	10.62	34.68	-28.98
1561076181602	TYPE_GYROSCOPE	-0.3759613	0.012466431	-0.039276123
1561076181602	TYPE_ROTATION_VECTOR	0.040745493	0.020621167	0.119955674
1561076181602	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.98	10.08	-88.14
1561076181602	TYPE_GYROSCOPE_UNCALIBRATED	-0.3393402	0.057128906	-0.0042877197
1561076181602	TYPE_ACCELEROMETER_UNCALIBRATED	0.0	0.8410797	9.5724945
1561076181621	TYPE_ACCELEROMETER	-0.2907257	0.8901367	10.997421
1561076181621	TYPE_MAGNETIC_FIELD	10.62	34.68	-28.98
1561076181621	TYPE_GYROSCOPE	-0.4129181	-0.06816101	-0.111953735
1561076181621	TYPE_ROTATION_VECTOR	0.040745493	0.020621167	0.119955674
1561076181621	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.98	10.08	-88.14
1561076181621	TYPE_GYROSCOPE_UNCALIBRATED	-0.4040985	-0.032058716	-0.07972717
1561076181621	TYPE_ACCELEROMETER_UNCALIBRATED	-0.15434265	0.879364	10.5009
1561076181641	TYPE_ACCELEROMETER	-0.32901	0.83509827	11.580078
1561076181641	TYPE_MAGNETIC_FIELD	10.86	34.86	-28.439999
1561076181641	TYPE_GYROSCOPE	-0.35031128	-0.13627625	-0.13517761
1561076181641	TYPE_ROTATION_VECTOR	0.035925448	0.021105854	0.12022044
1561076181641	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.22	10.26	-87.6
1561076181641	TYPE_GYROSCOPE_UNCALIBRATED	-0.39157104	-0.09895325	-0.13226318
1561076181641	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3517456	0.8494568	11.391037
1561076181660	TYPE_ACCELEROMETER	-0.52282715	0.70947266	12.211777
1561076181660	TYPE_MAGNETIC_FIELD	11.219999	35.16	-28.019999
1561076181660	TYPE_GYROSCOPE	-0.2562256	-0.18057251	-0.12295532
1561076181660	TYPE_ROTATION_VECTOR	0.02699422	0.018112147	0.117722765
1561076181660	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.58	10.559999	-87.18
1561076181660	TYPE_GYROSCOPE_UNCALIBRATED	-0.29719543	-0.17042542	-0.13287354
1561076181660	TYPE_ACCELEROMETER_UNCALIBRATED	-0.40797424	0.83151245	11.81218
1561076181679	TYPE_ACCELEROMETER	-0.42233276	0.5383911	13.117462
1561076181679	TYPE_MAGNETIC_FIELD	11.04	35.46	-27.359999
1561076181679	TYPE_GYROSCOPE	-0.20065308	-0.13352966	-0.0826416
1561076181679	TYPE_ROTATION_VECTOR	0.024724873	0.016129583	0.11654471
1561076181679	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.4	10.859999	-86.52
1561076181679	TYPE_GYROSCOPE_UNCALIBRATED	-0.22450256	-0.16523743	-0.10232544
1561076181679	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5312042	0.6352997	12.648468
1561076181698	TYPE_ACCELEROMETER	-0.3972168	0.3864441	14.306686
1561076181698	TYPE_MAGNETIC_FIELD	10.86	35.28	-27.119999
1561076181698	TYPE_GYROSCOPE	-0.14260864	-0.09199524	-0.098220825
1561076181698	TYPE_ROTATION_VECTOR	0.022953704	0.014654441	0.11575703
1561076181698	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.22	10.679998	-86.28
1561076181698	TYPE_GYROSCOPE_UNCALIBRATED	-0.1725769	-0.09895325	-0.08125305
1561076181698	TYPE_ACCELEROMETER_UNCALIBRATED	-0.36610413	0.39242554	13.704895
1561076181718	TYPE_ACCELEROMETER	-0.72502136	0.36849976	14.764908
1561076181718	TYPE_MAGNETIC_FIELD	11.04	35.46	-26.82
1561076181718	TYPE_GYROSCOPE	-0.05067444	-0.19186401	-0.15991211
