#	startTime:1561076269134
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8698	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561076269134	TYPE_WAYPOINT	226.81389	95.8015
1561076269246	TYPE_ACCELEROMETER	-0.08015442	0.97987366	8.238495
1561076269246	TYPE_MAGNETIC_FIELD	36.18	-22.08	-29.34
1561076269246	TYPE_GYROSCOPE	0.10417175	0.080581665	0.40086365
1561076269246	TYPE_ROTATION_VECTOR	0.015614211	0.06439077	0.8542577
1561076269246	TYPE_MAGNETIC_FIELD_UNCALIBRATED	91.68	-46.92	-88.020004
1561076269246	TYPE_GYROSCOPE_UNCALIBRATED	0.105667114	0.0806427	0.40011597
1561076269246	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4008026	1.0253296	8.348572
1561076269265	TYPE_ACCELEROMETER	0.12083435	0.85543823	7.8592224
1561076269265	TYPE_MAGNETIC_FIELD	36.3	-22.14	-29.4
1561076269265	TYPE_GYROSCOPE	-0.03755188	0.10411072	0.21852112
1561076269265	TYPE_ROTATION_VECTOR	0.026699394	0.05196795	0.8525378
1561076269265	TYPE_MAGNETIC_FIELD_UNCALIBRATED	91.8	-46.98	-88.08
1561076269265	TYPE_GYROSCOPE_UNCALIBRATED	0.105667114	0.0806427	0.40011597
1561076269265	TYPE_ACCELEROMETER_UNCALIBRATED	-0.23330688	1.0361023	8.214569
1561076269284	TYPE_ACCELEROMETER	-0.08734131	0.68315125	7.9824677
1561076269284	TYPE_MAGNETIC_FIELD	36.42	-22.08	-29.46
1561076269284	TYPE_GYROSCOPE	-0.2828064	0.09951782	0.0022735596
1561076269284	TYPE_ROTATION_VECTOR	0.034192514	0.04191847	0.8450599
1561076269284	TYPE_MAGNETIC_FIELD_UNCALIBRATED	91.92	-46.92	-88.14
1561076269284	TYPE_GYROSCOPE_UNCALIBRATED	-0.03605652	0.10417175	0.21777344
