#	startTime:1561076369411
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8698	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561076369411	TYPE_WAYPOINT	161.05898	90.84319
1561076369625	TYPE_ACCELEROMETER	-0.4749756	0.5348053	6.6963196
1561076369625	TYPE_MAGNETIC_FIELD	-12.719999	-22.74	-33.899998
1561076369625	TYPE_GYROSCOPE	-0.23332214	-0.13841248	0.0025787354
1561076369625	TYPE_ROTATION_VECTOR	0.038640343	-0.026458794	-0.9562192
1561076369625	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.78	-47.58	-92.58
1561076369625	TYPE_GYROSCOPE_UNCALIBRATED	-0.20892334	-0.16401672	0.041534424
1561076369625	TYPE_ACCELEROMETER_UNCALIBRATED	-0.53359985	0.5419769	6.722641
1561076369644	TYPE_ACCELEROMETER	-0.60539246	0.55992126	6.771698
1561076369644	TYPE_MAGNETIC_FIELD	-12.84	-22.74	-34.2
1561076369644	TYPE_GYROSCOPE	-0.24676514	-0.06175232	-0.030410767
1561076369644	TYPE_ROTATION_VECTOR	0.050471976	-0.024899019	-0.9385261
1561076369644	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.66	-47.58	-92.880005
1561076369644	TYPE_GYROSCOPE_UNCALIBRATED	-0.23182678	-0.13835144	0.0018310547
1561076369644	TYPE_ACCELEROMETER_UNCALIBRATED	-0.70588684	0.6305084	6.8207397
1561076369663	TYPE_ACCELEROMETER	-0.69392395	0.6843567	6.7788696
1561076369663	TYPE_MAGNETIC_FIELD	-13.0199995	-22.68	-34.559998
1561076369663	TYPE_GYROSCOPE	-0.29258728	-0.026626587	-0.035598755
1561076369663	TYPE_ROTATION_VECTOR	0.06398122	-0.023171661	-0.9271277
1561076369663	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.48	-47.52	-93.24
1561076369663	TYPE_GYROSCOPE_UNCALIBRATED	-0.24526978	-0.061691284	-0.031158447
1561076369663	TYPE_ACCELEROMETER_UNCALIBRATED	-0.57188416	0.70111084	6.631714
1561076369683	TYPE_ACCELEROMETER	-0.47138977	0.7417755	6.5551453
1561076369683	TYPE_MAGNETIC_FIELD	-13.0199995	-22.5	-34.559998
1561076369683	TYPE_GYROSCOPE	-0.39764404	0.003921509	-0.0566864
1561076369683	TYPE_ROTATION_VECTOR	0.057300307	-0.030830454	-0.9277944
1561076369683	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.48	-47.34	-93.24
1561076369683	TYPE_GYROSCOPE_UNCALIBRATED	-0.39614868	0.003982544	-0.057434082
1561076369683	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3816681	0.8338928	6.7693024
1561076369702	TYPE_ACCELEROMETER	-0.32902527	0.99780273	7.194031
1561076369702	TYPE_MAGNETIC_FIELD	-12.78	-22.199999	-34.739998
1561076369702	TYPE_GYROSCOPE	-0.5341797	0.03048706	-0.12997437
1561076369702	TYPE_ROTATION_VECTOR	0.055949267	-0.027274521	-0.9281015
1561076369702	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.72	-47.04	-93.42
1561076369702	TYPE_GYROSCOPE_UNCALIBRATED	-0.39614868	0.003982544	-0.057434082
1561076369702	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3206482	1.1377869	7.582855
1561076369721	TYPE_ACCELEROMETER	-0.31825256	1.2454681	7.9417877
1561076369721	TYPE_MAGNETIC_FIELD	-12.84	-21.96	-34.86
1561076369721	TYPE_GYROSCOPE	-0.5974121	0.007583618	-0.19534302
1561076369721	TYPE_ROTATION_VECTOR	0.05437922	-0.022363732	-0.92866623
1561076369721	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.66	-46.8	-93.54
1561076369721	TYPE_GYROSCOPE_UNCALIBRATED	-0.5326843	0.030548096	-0.13072205
1561076369721	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3206482	1.1377869	7.582855
1561076369740	TYPE_ACCELEROMETER	-0.36849976	1.4464722	8.493332
1561076369740	TYPE_MAGNETIC_FIELD	-12.84	-21.96	-34.86
1561076369740	TYPE_GYROSCOPE	-0.65605164	-0.0034179688	-0.21427917
1561076369740	TYPE_ROTATION_VECTOR	0.05437922	-0.022363732	-0.92866623
1561076369740	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.66	-46.8	-93.54
1561076369740	TYPE_GYROSCOPE_UNCALIBRATED	-0.59591675	0.0076446533	-0.1960907
1561076369740	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3254242	1.3818665	8.269608
1561076369760	TYPE_ACCELEROMETER	-0.4665985	1.2251282	9.579666
1561076369760	TYPE_MAGNETIC_FIELD	-13.32	-21.359999	-35.16
1561076369760	TYPE_GYROSCOPE	-0.8283081	-0.030593872	-0.1745758
1561076369760	TYPE_ROTATION_VECTOR	0.05010034	-0.010971918	-0.93029624
1561076369760	TYPE_MAGNETIC_FIELD_UNCALIBRATED	42.18	-46.199997	-93.84
1561076369760	TYPE_GYROSCOPE_UNCALIBRATED	-0.6545563	-0.0033569336	-0.21502686
1561076369760	TYPE_ACCELEROMETER_UNCALIBRATED	-0.43070984	1.3914337	8.835495
1561076369779	TYPE_ACCELEROMETER	-0.34217834	0.6352997	12.278778
