#	startTime:1561076471697
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8698	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561076471698	TYPE_WAYPOINT	176.24992	69.60497
1561076471814	TYPE_ACCELEROMETER	-0.4008026	0.08854675	11.32164
1561076471814	TYPE_MAGNETIC_FIELD	-27.599998	8.28	-31.08
1561076471814	TYPE_GYROSCOPE	-0.16827393	-0.26882935	-0.22528076
1561076471814	TYPE_ROTATION_VECTOR	5.35274E-6	0.0054878173	-0.60153425
1561076471814	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.099998	-19.380001	-91.2
1561076471814	TYPE_GYROSCOPE_UNCALIBRATED	-0.16677856	-0.2687683	-0.22602844
1561076471814	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1986084	0.010772705	11.163712
1561076471833	TYPE_ACCELEROMETER	-0.673584	0.29312134	11.515472
1561076471833	TYPE_MAGNETIC_FIELD	-27.48	8.46	-30.779999
1561076471833	TYPE_GYROSCOPE	-0.008377075	-0.047088623	-0.10800171
1561076471833	TYPE_ROTATION_VECTOR	0.021745041	0.016000843	-0.5743006
1561076471833	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.219997	-19.2	-90.899994
1561076471833	TYPE_GYROSCOPE_UNCALIBRATED	-0.006881714	-0.047027588	-0.10874939
1561076471833	TYPE_ACCELEROMETER_UNCALIBRATED	-0.57188416	0.20100403	11.467606
1561076471852	TYPE_ACCELEROMETER	-0.70469666	0.36968994	11.52504
1561076471852	TYPE_MAGNETIC_FIELD	-27.3	8.34	-30.9
1561076471852	TYPE_GYROSCOPE	0.124938965	-0.0134887695	-0.05882263
1561076471852	TYPE_ROTATION_VECTOR	0.030645134	0.016631588	-0.5894617
1561076471852	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.399998	-19.32	-91.02
1561076471852	TYPE_GYROSCOPE_UNCALIBRATED	0.12643433	-0.013427734	-0.059570312
1561076471852	TYPE_ACCELEROMETER_UNCALIBRATED	-0.727417	0.3481598	11.498718
1561076471871	TYPE_ACCELEROMETER	-0.35533142	0.37687683	11.4544525
1561076471871	TYPE_MAGNETIC_FIELD	-27.42	8.16	-30.96
1561076471871	TYPE_GYROSCOPE	0.20222473	-0.09291077	-0.053619385
1561076471871	TYPE_ROTATION_VECTOR	0.028660337	0.012394731	-0.60938835
1561076471871	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.279997	-19.5	-91.08
1561076471871	TYPE_GYROSCOPE_UNCALIBRATED	0.2037201	-0.09284973	-0.054367065
1561076471871	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5742798	0.38046265	11.547775
1561076471891	TYPE_ACCELEROMETER	-0.044265747	0.3744812	10.660034
1561076471891	TYPE_MAGNETIC_FIELD	-27.539999	7.98	-31.08
1561076471891	TYPE_GYROSCOPE	0.2831726	-0.19277954	-0.083862305
1561076471891	TYPE_ROTATION_VECTOR	0.01606519	1.2395519E-5	-0.601925
1561076471891	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.159998	-19.68	-91.2
1561076471891	TYPE_GYROSCOPE_UNCALIBRATED	0.28466797	-0.1927185	-0.084609985
1561076471891	TYPE_ACCELEROMETER_UNCALIBRATED	-0.15074158	0.3708954	11.145767
1561076471910	TYPE_ACCELEROMETER	-0.039489746	0.35533142	10.034302
1561076471910	TYPE_MAGNETIC_FIELD	-27.72	7.8599997	-31.199999
1561076471910	TYPE_GYROSCOPE	0.3524933	-0.2117157	-0.12083435
1561076471910	TYPE_ROTATION_VECTOR	0.013509174	-0.010383597	-0.5991445
1561076471910	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.979998	-19.8	-91.32
1561076471910	TYPE_GYROSCOPE_UNCALIBRATED	0.35398865	-0.21165466	-0.12158203
1561076471910	TYPE_ACCELEROMETER_UNCALIBRATED	-0.020339966	0.3756714	10.264023
1561076471929	TYPE_ACCELEROMETER	-0.4402771	0.5730896	9.468399
1561076471929	TYPE_MAGNETIC_FIELD	-27.9	7.62	-31.26
1561076471929	TYPE_GYROSCOPE	0.40197754	-0.13841248	-0.11807251
1561076471929	TYPE_ROTATION_VECTOR	0.015009836	-0.014037088	-0.6000576
1561076471929	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.799997	-20.04	-91.38
1561076471929	TYPE_GYROSCOPE_UNCALIBRATED	0.4034729	-0.13835144	-0.11882019
1561076471929	TYPE_ACCELEROMETER_UNCALIBRATED	-0.30628967	0.48335266	9.78067
1561076471948	TYPE_ACCELEROMETER	-0.23808289	0.5419769	8.660828
1561076471948	TYPE_MAGNETIC_FIELD	-27.9	7.56	-31.26
1561076471948	TYPE_GYROSCOPE	0.4392395	-0.101760864	-0.05607605
1561076471948	TYPE_ROTATION_VECTOR	0.017300222	-0.017387293	-0.60092145
1561076471948	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.799997	-20.1	-91.38
1561076471948	TYPE_GYROSCOPE_UNCALIBRATED	0.44073486	-0.10169983	-0.05682373
1561076471948	TYPE_ACCELEROMETER_UNCALIBRATED	-0.27757263	0.5096741	9.121445
1561076471968	TYPE_ACCELEROMETER	-0.44267273	0.6341095	8.015961
1561076471968	TYPE_MAGNETIC_FIELD	-27.9	7.3199997	-31.019999
1561076471968	TYPE_GYROSCOPE	0.4184723	-0.099624634	-0.032546997
1561076471968	TYPE_ROTATION_VECTOR	0.02007845	-0.020679245	-0.6012904
1561076471968	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.799997	-20.34	-91.14
1561076471968	TYPE_GYROSCOPE_UNCALIBRATED	0.41996765	-0.0995636	-0.033294678
1561076471968	TYPE_ACCELEROMETER_UNCALIBRATED	-0.33021545	0.60180664	8.248062
1561076471987	TYPE_ACCELEROMETER	-0.4355011	0.62213135	7.6606293
1561076471987	TYPE_MAGNETIC_FIELD	-28.199999	6.96	-31.32
1561076471987	TYPE_GYROSCOPE	0.34822083	-0.08557129	0.015411377
1561076471987	TYPE_ROTATION_VECTOR	0.02270882	-0.023840921	-0.6014712
1561076471987	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.499998	-20.7	-91.44
1561076471987	TYPE_GYROSCOPE_UNCALIBRATED	0.3497162	-0.085510254	0.014663696
1561076471987	TYPE_ACCELEROMETER_UNCALIBRATED	-0.46540833	0.64009094	7.8460693
1561076472006	TYPE_ACCELEROMETER	-0.2859497	0.49650574	7.083954
1561076472006	TYPE_MAGNETIC_FIELD	-28.5	6.48	-31.019999
1561076472006	TYPE_GYROSCOPE	0.28559875	-0.07550049	0.06793213
1561076472006	TYPE_ROTATION_VECTOR	0.024887087	-0.026520455	-0.60129035
1561076472006	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.199997	-21.18	-91.14
1561076472006	TYPE_GYROSCOPE_UNCALIBRATED	0.28709412	-0.07543945	0.06718445
1561076472006	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3625183	0.5670929	7.384262
1561076472025	TYPE_ACCELEROMETER	-0.2632141	0.35533142	6.562317
1561076472025	TYPE_MAGNETIC_FIELD	-28.5	6.42	-30.96
1561076472025	TYPE_GYROSCOPE	0.18695068	-0.08679199	0.08808899
1561076472025	TYPE_ROTATION_VECTOR	0.026618298	-0.02875711	-0.6007168
1561076472025	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.199997	-21.24	-91.08
1561076472025	TYPE_GYROSCOPE_UNCALIBRATED	0.18844604	-0.08673096	0.08734131
