#	startTime:1561076573255
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8698	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561076573255	TYPE_WAYPOINT	185.3981	73.86843
1561076573374	TYPE_ACCELEROMETER	-0.4055786	0.5766754	11.766708
1561076573374	TYPE_MAGNETIC_FIELD	-21.779999	16.8	-34.2
1561076573374	TYPE_GYROSCOPE	-0.099853516	0.07752991	1.2207031E-4
1561076573374	TYPE_ROTATION_VECTOR	0.030471096	0.0067233904	-0.41070616
1561076573374	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.88	-7.1399994	-89.04
1561076573374	TYPE_GYROSCOPE_UNCALIBRATED	0.012817383	-0.034194946	-0.039093018
1561076573374	TYPE_ACCELEROMETER_UNCALIBRATED	-0.41993713	0.5048828	11.883957
1561076573393	TYPE_ACCELEROMETER	-0.6281128	0.39601135	12.38765
1561076573393	TYPE_MAGNETIC_FIELD	-21.779999	17.1	-34.2
1561076573393	TYPE_GYROSCOPE	-0.44163513	0.396698	0.10610962
1561076573393	TYPE_ROTATION_VECTOR	0.0261887	0.0067139613	-0.41285804
1561076573393	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.88	-6.8399982	-89.04
1561076573393	TYPE_GYROSCOPE_UNCALIBRATED	-0.098358154	0.07759094	-6.2561035E-4
1561076573393	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9643097	0.30747986	13.185654
1561076573412	TYPE_ACCELEROMETER	-1.2107697	0.21655273	14.011169
1561076573412	TYPE_MAGNETIC_FIELD	-21.66	17.46	-34.14
1561076573412	TYPE_GYROSCOPE	-0.44070435	0.24093628	0.09329224
1561076573412	TYPE_ROTATION_VECTOR	0.025911186	0.028093515	-0.42095026
1561076573412	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.0	-6.4799995	-88.979996
1561076573412	TYPE_GYROSCOPE_UNCALIBRATED	-0.44013977	0.39675903	0.10536194
1561076573412	TYPE_ACCELEROMETER_UNCALIBRATED	-1.298111	0.08494568	14.699112
1561076573431	TYPE_ACCELEROMETER	-1.3902283	-0.06820679	15.162125
1561076573431	TYPE_MAGNETIC_FIELD	-21.6	17.94	-34.079998
1561076573431	TYPE_GYROSCOPE	-0.27059937	0.14715576	0.11009216
1561076573431	TYPE_ROTATION_VECTOR	0.021404404	0.038608924	-0.42463154
1561076573431	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.059998	-5.999998	-88.92
1561076573431	TYPE_GYROSCOPE_UNCALIBRATED	-0.43920898	0.24099731	0.092544556
1561076573431	TYPE_ACCELEROMETER_UNCALIBRATED	-1.537384	-0.2524414	15.51506
1561076573451	TYPE_ACCELEROMETER	-1.6343079	-0.43310547	15.899109
1561076573451	TYPE_MAGNETIC_FIELD	-21.6	18.3	-34.079998
1561076573451	TYPE_GYROSCOPE	-0.00730896	0.1804657	0.14247131
1561076573451	TYPE_ROTATION_VECTOR	0.014540368	0.04718541	-0.4458865
1561076573451	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.059998	-5.6399994	-88.92
1561076573451	TYPE_GYROSCOPE_UNCALIBRATED	-0.269104	0.1472168	0.10934448
1561076573451	TYPE_ACCELEROMETER_UNCALIBRATED	-1.537384	-0.2524414	15.51506
1561076573470	TYPE_ACCELEROMETER	-1.5828552	-0.3900299	16.383652
1561076573470	TYPE_MAGNETIC_FIELD	-21.359999	18.72	-34.14
1561076573470	TYPE_GYROSCOPE	0.28681946	0.15968323	0.19499207
1561076573470	TYPE_ROTATION_VECTOR	1.0967545E-4	0.05270244	-0.45297673
1561076573470	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.300003	-5.2199993	-88.979996
1561076573470	TYPE_GYROSCOPE_UNCALIBRATED	-0.0058135986	0.18052673	0.14172363
1561076573470	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3974152	-0.3014984	15.8524475
1561076573489	TYPE_ACCELEROMETER	-1.2669983	-0.23330688	14.974289
1561076573489	TYPE_MAGNETIC_FIELD	-21.3	19.14	-33.96
1561076573489	TYPE_GYROSCOPE	0.5940857	0.098602295	0.23806763
1561076573489	TYPE_ROTATION_VECTOR	0.002052379	0.05370898	-0.4516322
1561076573489	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.36	-4.799999	-88.8
1561076573489	TYPE_GYROSCOPE_UNCALIBRATED	0.28831482	0.15974426	0.19424438
1561076573489	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3974152	-0.3014984	15.8524475
1561076573508	TYPE_ACCELEROMETER	-1.2598267	-0.39840698	14.124832
1561076573508	TYPE_MAGNETIC_FIELD	-21.3	19.26	-33.84
1561076573508	TYPE_GYROSCOPE	0.68052673	0.039642334	0.256073
1561076573508	TYPE_ROTATION_VECTOR	0.0066129016	0.05281312	-0.4499703
1561076573508	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.36	-4.6799984	-88.68
1561076573508	TYPE_GYROSCOPE_UNCALIBRATED	0.59558105	0.09866333	0.23731995
1561076573508	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2514496	-0.23449707	14.330612
1561076573528	TYPE_ACCELEROMETER	-1.051651	-0.8518524	14.005188
1561076573528	TYPE_MAGNETIC_FIELD	-21.24	19.199999	-33.36
1561076573528	TYPE_GYROSCOPE	0.75627136	-0.026626587	0.28051758
1561076573528	TYPE_ROTATION_VECTOR	0.0066129016	0.05281312	-0.4499703
1561076573528	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.42	-4.74	-88.2
1561076573528	TYPE_GYROSCOPE_UNCALIBRATED	0.6820221	0.03970337	0.25532532
1561076573528	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1856537	-0.6460571	14.141586
1561076573547	TYPE_ACCELEROMETER	-0.7513428	-1.0456696	12.898514
1561076573547	TYPE_MAGNETIC_FIELD	-21.24	19.199999	-33.36
1561076573547	TYPE_GYROSCOPE	0.90167236	-0.16468811	0.2884674
1561076573547	TYPE_ROTATION_VECTOR	0.012658144	0.05056835	-0.44818723
1561076573547	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.42	-4.74	-88.2
1561076573547	TYPE_GYROSCOPE_UNCALIBRATED	0.7577667	-0.026565552	0.2797699
1561076573547	TYPE_ACCELEROMETER_UNCALIBRATED	-0.65563965	-1.0600281	12.288345
1561076573566	TYPE_ACCELEROMETER	-0.5575409	-1.0923309	11.787048
1561076573566	TYPE_MAGNETIC_FIELD	-21.24	19.199999	-33.36
1561076573566	TYPE_GYROSCOPE	1.0323944	-0.27952576	0.27716064
1561076573566	TYPE_ROTATION_VECTOR	0.012658144	0.05056835	-0.44818723
1561076573566	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.42	-4.74	-88.2
1561076573566	TYPE_GYROSCOPE_UNCALIBRATED	0.9031677	-0.16462708	0.28771973
1561076573566	TYPE_ACCELEROMETER_UNCALIBRATED	-0.47737122	-1.1066895	11.2379
1561076573585	TYPE_ACCELEROMETER	-0.44985962	-1.0899353	10.530823
1561076573585	TYPE_MAGNETIC_FIELD	-21.06	18.96	-33.6
1561076573585	TYPE_GYROSCOPE	1.1759491	-0.30029297	0.25090027
1561076573585	TYPE_ROTATION_VECTOR	0.022213297	0.045666028	-0.44517317
1561076573585	TYPE_MAGNETIC_FIELD_UNCALIBRATED	33.6	-4.9799995	-88.44
1561076573585	TYPE_GYROSCOPE_UNCALIBRATED	1.0338898	-0.27946472	0.27641296
1561076573585	TYPE_ACCELEROMETER_UNCALIBRATED	-0.41635132	-1.0612183	9.69931
1561076573605	TYPE_ACCELEROMETER	-0.41993713	-1.0361023	8.91806
1561076573605	TYPE_MAGNETIC_FIELD	-20.76	18.42	-33.78
