#	startTime:1561076606941
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8698	FloorName:B1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561076606941	TYPE_WAYPOINT	183.91861	70.07936
1561076607057	TYPE_ACCELEROMETER	-0.55633545	0.6029968	11.09433
1561076607057	TYPE_MAGNETIC_FIELD	-28.14	11.759999	-39.96
1561076607057	TYPE_GYROSCOPE	0.06355286	0.023925781	-0.022460938
1561076607057	TYPE_ROTATION_VECTOR	0.035174087	5.613973E-6	-0.5458127
1561076607057	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.52	-12.179999	-94.8
1561076607057	TYPE_GYROSCOPE_UNCALIBRATED	0.01953125	0.037261963	-0.0030517578
1561076607057	TYPE_ACCELEROMETER_UNCALIBRATED	-0.55633545	0.6029968	11.09433
1561076607076	TYPE_ACCELEROMETER	-0.38764954	0.53718567	11.158936
1561076607076	TYPE_MAGNETIC_FIELD	-28.199999	11.7	-39.78
1561076607076	TYPE_GYROSCOPE	0.23214722	-0.007385254	-0.08874512
1561076607076	TYPE_ROTATION_VECTOR	0.034267444	0.0065866173	-0.5451661
1561076607076	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.460001	-12.239999	-94.619995
1561076607076	TYPE_GYROSCOPE_UNCALIBRATED	0.06504822	0.023986816	-0.023208618
1561076607076	TYPE_ACCELEROMETER_UNCALIBRATED	-0.38764954	0.53718567	11.158936
1561076607095	TYPE_ACCELEROMETER	-0.33859253	0.5132599	10.37648
1561076607095	TYPE_MAGNETIC_FIELD	-28.5	11.639999	-39.48
1561076607095	TYPE_GYROSCOPE	0.3201294	-0.011978149	-0.11593628
1561076607095	TYPE_ROTATION_VECTOR	0.02732116	6.586865E-6	-0.55291396
1561076607095	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.16	-12.299999	-94.32
1561076607095	TYPE_GYROSCOPE_UNCALIBRATED	0.23364258	-0.0073242188	-0.0894928
1561076607095	TYPE_ACCELEROMETER_UNCALIBRATED	-0.38764954	0.53718567	11.158936
1561076607114	TYPE_ACCELEROMETER	-0.3469696	0.51924133	9.912277
1561076607114	TYPE_MAGNETIC_FIELD	-28.5	11.7	-39.18
1561076607114	TYPE_GYROSCOPE	0.30516052	-0.10084534	-0.12571716
1561076607114	TYPE_ROTATION_VECTOR	0.031194262	5.439363E-4	-0.52931017
1561076607114	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.16	-12.239999	-94.020004
1561076607114	TYPE_GYROSCOPE_UNCALIBRATED	0.32162476	-0.011917114	-0.11668396
1561076607114	TYPE_ACCELEROMETER_UNCALIBRATED	-0.33859253	0.5132599	10.37648
1561076607134	TYPE_ACCELEROMETER	-0.25006104	0.4235382	9.707687
1561076607134	TYPE_MAGNETIC_FIELD	-28.5	11.34	-39.18
1561076607134	TYPE_GYROSCOPE	0.30851746	-0.12008667	-0.11959839
1561076607134	TYPE_ROTATION_VECTOR	0.027047042	5.4417376E-7	-0.56508774
1561076607134	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.16	-12.599998	-94.020004
1561076607134	TYPE_GYROSCOPE_UNCALIBRATED	0.30665588	-0.1007843	-0.12646484
1561076607134	TYPE_ACCELEROMETER_UNCALIBRATED	-0.25006104	0.4235382	9.707687
1561076607153	TYPE_ACCELEROMETER	-0.31227112	0.5001068	9.229126
1561076607153	TYPE_MAGNETIC_FIELD	-28.68	10.92	-39.059998
1561076607153	TYPE_GYROSCOPE	0.34638977	-0.0874176	-0.1156311
1561076607153	TYPE_ROTATION_VECTOR	0.027662585	-0.005181778	-0.5707384
1561076607153	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.98	-13.019999	-93.899994
1561076607153	TYPE_GYROSCOPE_UNCALIBRATED	0.31001282	-0.120025635	-0.12034607
1561076607153	TYPE_ACCELEROMETER_UNCALIBRATED	-0.31227112	0.5001068	9.229126
1561076607172	TYPE_ACCELEROMETER	-0.46780396	0.6604309	8.562714
1561076607172	TYPE_MAGNETIC_FIELD	-28.68	10.559999	-39.0
1561076607172	TYPE_GYROSCOPE	0.3625641	0.013702393	-0.08416748
1561076607172	TYPE_ROTATION_VECTOR	0.029905418	-0.0077306493	-0.5716529
1561076607172	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.98	-13.379999	-93.84
1561076607172	TYPE_GYROSCOPE_UNCALIBRATED	0.34788513	-0.08735657	-0.116378784
1561076607172	TYPE_ACCELEROMETER_UNCALIBRATED	-0.46780396	0.6604309	8.562714
1561076607191	TYPE_ACCELEROMETER	-0.41516113	0.58026123	8.28157
1561076607191	TYPE_MAGNETIC_FIELD	-28.439999	10.5	-38.879997
1561076607191	TYPE_GYROSCOPE	0.28775024	0.04576111	-0.0496521
1561076607191	TYPE_ROTATION_VECTOR	0.03283508	-0.009591249	-0.5722816
1561076607191	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.220001	-13.439999	-93.72
1561076607191	TYPE_GYROSCOPE_UNCALIBRATED	0.36405945	0.013763428	-0.08491516
1561076607191	TYPE_ACCELEROMETER_UNCALIBRATED	-0.46780396	0.6604309	8.562714
1561076607211	TYPE_ACCELEROMETER	-0.42352295	0.52282715	8.462219
1561076607211	TYPE_MAGNETIC_FIELD	-28.38	10.32	-38.76
1561076607211	TYPE_GYROSCOPE	0.18908691	-0.01411438	-0.04812622
1561076607211	TYPE_ROTATION_VECTOR	0.03535829	-0.010798616	-0.5726298
1561076607211	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.28	-13.619999	-93.6
1561076607211	TYPE_GYROSCOPE_UNCALIBRATED	0.2892456	0.045822144	-0.05039978
1561076607211	TYPE_ACCELEROMETER_UNCALIBRATED	-0.41516113	0.58026123	8.28157
1561076607230	TYPE_ACCELEROMETER	-0.5156555	0.52282715	8.309082
1561076607230	TYPE_MAGNETIC_FIELD	-28.38	10.0199995	-38.76
1561076607230	TYPE_GYROSCOPE	0.13960266	-0.017471313	-0.043548584
1561076607230	TYPE_ROTATION_VECTOR	0.03677209	-0.011928125	-0.5729908
1561076607230	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.28	-13.919999	-93.6
1561076607230	TYPE_GYROSCOPE_UNCALIBRATED	0.19058228	-0.014053345	-0.0488739
1561076607230	TYPE_ACCELEROMETER_UNCALIBRATED	-0.42352295	0.52282715	8.462219
1561076607249	TYPE_ACCELEROMETER	-0.4618225	0.53001404	8.249268
1561076607249	TYPE_MAGNETIC_FIELD	-28.38	10.0199995	-38.76
1561076607249	TYPE_GYROSCOPE	0.06263733	-0.022354126	-0.031936646
1561076607249	TYPE_ROTATION_VECTOR	0.03677209	-0.011928125	-0.5729908
1561076607249	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.28	-13.919999	-93.6
1561076607249	TYPE_GYROSCOPE_UNCALIBRATED	0.14109802	-0.017410278	-0.044296265
1561076607249	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4618225	0.53001404	8.249268
1561076607268	TYPE_ACCELEROMETER	-0.53240967	0.45344543	8.435898
1561076607268	TYPE_MAGNETIC_FIELD	-28.38	10.0199995	-38.76
1561076607268	TYPE_GYROSCOPE	-0.035095215	-0.087402344	-0.039260864
1561076607268	TYPE_ROTATION_VECTOR	0.03677209	-0.011928125	-0.5729908
1561076607268	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.28	-13.919999	-93.6
1561076607268	TYPE_GYROSCOPE_UNCALIBRATED	0.06413269	-0.02229309	-0.032684326
1561076607268	TYPE_ACCELEROMETER_UNCALIBRATED	-0.53240967	0.45344543	8.435898
1561076607288	TYPE_ACCELEROMETER	-0.7465668	0.40319824	8.493332
1561076607288	TYPE_MAGNETIC_FIELD	-28.08	9.66	-39.059998
1561076607288	TYPE_GYROSCOPE	-0.077560425	-0.03883362	-0.025222778
1561076607288	TYPE_ROTATION_VECTOR	0.03809762	-0.013077362	-0.5734441
1561076607288	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.58	-14.279999	-93.899994
1561076607288	TYPE_GYROSCOPE_UNCALIBRATED	-0.033599854	-0.08734131	-0.040008545
1561076607288	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7465668	0.40319824	8.493332
1561076607307	TYPE_ACCELEROMETER	-0.69869995	0.3098755	8.89772
1561076607307	TYPE_MAGNETIC_FIELD	-28.199999	9.599999	-39.36
1561076607307	TYPE_GYROSCOPE	-0.12246704	0.017669678	0.0037994385
1561076607307	TYPE_ROTATION_VECTOR	0.03701308	-0.013843668	-0.5740643
1561076607307	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.460001	-14.339999	-94.2
1561076607307	TYPE_GYROSCOPE_UNCALIBRATED	-0.07606506	-0.038772583	-0.025970459
1561076607307	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7465668	0.40319824	8.493332
1561076607326	TYPE_ACCELEROMETER	-0.67836	0.2871399	9.10231
1561076607326	TYPE_MAGNETIC_FIELD	-28.199999	9.719999	-39.54
1561076607326	TYPE_GYROSCOPE	-0.12245178	0.07020569	0.0077667236
1561076607326	TYPE_ROTATION_VECTOR	0.0361674	-0.013339506	-0.5741431
1561076607326	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.460001	-14.219999	-94.380005
1561076607326	TYPE_GYROSCOPE_UNCALIBRATED	-0.12097168	0.017730713	0.0030517578
1561076607326	TYPE_ACCELEROMETER_UNCALIBRATED	-0.67836	0.2871399	9.10231
1561076607345	TYPE_ACCELEROMETER	-0.6663971	0.3672943	9.239883
1561076607345	TYPE_MAGNETIC_FIELD	-28.5	9.719999	-39.239998
1561076607345	TYPE_GYROSCOPE	-0.12490845	0.10714722	0.015396118
1561076607345	TYPE_ROTATION_VECTOR	0.035398576	-0.012289418	-0.5740856
1561076607345	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.16	-14.219999	-94.08
1561076607345	TYPE_GYROSCOPE_UNCALIBRATED	-0.12095642	0.07026672	0.007019043
1561076607345	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6663971	0.3672943	9.239883
1561076607365	TYPE_ACCELEROMETER	-0.5288086	0.46540833	8.910873
1561076607365	TYPE_MAGNETIC_FIELD	-28.5	9.66	-39.36
1561076607365	TYPE_GYROSCOPE	-0.13038635	0.11387634	0.021499634
1561076607365	TYPE_ROTATION_VECTOR	0.034912907	-0.010910206	-0.5739946
1561076607365	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.16	-14.279999	-94.2
1561076607365	TYPE_GYROSCOPE_UNCALIBRATED	-0.123413086	0.10720825	0.0146484375
1561076607365	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5288086	0.46540833	8.910873
1561076607384	TYPE_ACCELEROMETER	-0.29312134	0.61376953	8.767303
1561076607384	TYPE_MAGNETIC_FIELD	-28.5	9.66	-39.18
1561076607384	TYPE_GYROSCOPE	-0.23240662	0.031723022	0.0077667236
1561076607384	TYPE_ROTATION_VECTOR	0.03464571	-0.009342579	-0.57380104
1561076607384	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.16	-14.279999	-94.020004
1561076607384	TYPE_GYROSCOPE_UNCALIBRATED	-0.12889099	0.11393738	0.020751953
1561076607384	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29312134	0.61376953	8.767303
1561076607403	TYPE_ACCELEROMETER	-0.013168335	0.6388855	8.725433
1561076607403	TYPE_MAGNETIC_FIELD	-28.56	9.66	-39.3
1561076607403	TYPE_GYROSCOPE	-0.35214233	-0.07702637	-0.033172607
1561076607403	TYPE_ROTATION_VECTOR	0.03374324	-0.0077332193	-0.5736594
1561076607403	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.1	-14.279999	-94.14
1561076607403	TYPE_GYROSCOPE_UNCALIBRATED	-0.23091125	0.031784058	0.007019043
1561076607403	TYPE_ACCELEROMETER_UNCALIBRATED	-0.013168335	0.6388855	8.725433
1561076607422	TYPE_ACCELEROMETER	0.06581116	0.6544342	8.715851
1561076607422	TYPE_MAGNETIC_FIELD	-28.859999	9.719999	-39.239998
1561076607422	TYPE_GYROSCOPE	-0.4272766	-0.09901428	-0.06921387
1561076607422	TYPE_ROTATION_VECTOR	0.031280316	-0.0063380976	-0.5737553
1561076607422	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.800001	-14.219999	-94.08
1561076607422	TYPE_GYROSCOPE_UNCALIBRATED	-0.35064697	-0.07696533	-0.033920288
1561076607422	TYPE_ACCELEROMETER_UNCALIBRATED	0.06581116	0.6544342	8.715851
1561076607442	TYPE_ACCELEROMETER	0.26441956	0.6544342	8.599808
1561076607442	TYPE_MAGNETIC_FIELD	-28.98	9.66	-39.059998
1561076607442	TYPE_GYROSCOPE	-0.46606445	-0.07977295	-0.091796875
1561076607442	TYPE_ROTATION_VECTOR	0.027640704	-0.0049114	-0.5742292
1561076607442	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.68	-14.279999	-93.899994
1561076607442	TYPE_GYROSCOPE_UNCALIBRATED	-0.42578125	-0.09895325	-0.06996155
1561076607442	TYPE_ACCELEROMETER_UNCALIBRATED	0.06581116	0.6544342	8.715851
1561076607461	TYPE_ACCELEROMETER	0.5168457	0.7310028	8.472992
1561076607461	TYPE_MAGNETIC_FIELD	-29.099998	9.84	-39.059998
1561076607461	TYPE_GYROSCOPE	-0.46791077	-0.044036865	-0.12541199
1561076607461	TYPE_ROTATION_VECTOR	0.023630979	-0.0031436032	-0.5748977
1561076607461	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.560001	-14.099998	-93.899994
1561076607461	TYPE_GYROSCOPE_UNCALIBRATED	-0.4645691	-0.079711914	-0.092544556
1561076607461	TYPE_ACCELEROMETER_UNCALIBRATED	0.26441956	0.6544342	8.599808
1561076607480	TYPE_ACCELEROMETER	0.6963196	0.97268677	7.972885
1561076607480	TYPE_MAGNETIC_FIELD	-29.34	10.139999	-38.94
1561076607480	TYPE_GYROSCOPE	-0.39001465	0.058898926	-0.17121887
1561076607480	TYPE_ROTATION_VECTOR	0.019559016	-0.001021486	-0.57575184
1561076607480	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.32	-13.799999	-93.78
1561076607480	TYPE_GYROSCOPE_UNCALIBRATED	-0.4664154	-0.04397583	-0.12615967
