#	startTime:1561079954876
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869f	FloorName:F4
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561079954877	TYPE_WAYPOINT	146.29794	53.89539
1561079955013	TYPE_ACCELEROMETER	0.48335266	0.8446655	9.664612
1561079955013	TYPE_MAGNETIC_FIELD	24.119999	-8.34	-29.939999
1561079955013	TYPE_GYROSCOPE	-0.048843384	-0.06877136	0.030212402
1561079955013	TYPE_ROTATION_VECTOR	0.043727685	0.022910642	0.7895728
1561079955013	TYPE_MAGNETIC_FIELD_UNCALIBRATED	84.479996	-30.6	-90.24
1561079955013	TYPE_GYROSCOPE_UNCALIBRATED	0.042755127	-0.069625854	0.017089844
1561079955013	TYPE_ACCELEROMETER_UNCALIBRATED	0.496521	0.8685913	9.613174
1561079955032	TYPE_ACCELEROMETER	0.43669128	0.9152527	9.59642
1561079955032	TYPE_MAGNETIC_FIELD	24.06	-8.5199995	-29.82
1561079955032	TYPE_GYROSCOPE	-0.32588196	-0.071517944	0.06304932
1561079955032	TYPE_ROTATION_VECTOR	0.04748367	0.02063307	0.79447395
1561079955032	TYPE_MAGNETIC_FIELD_UNCALIBRATED	84.42	-30.779999	-90.119995
1561079955032	TYPE_GYROSCOPE_UNCALIBRATED	-0.22755432	-0.06687927	0.05419922
1561079955032	TYPE_ACCELEROMETER_UNCALIBRATED	0.39961243	0.9176483	9.645477
1561079955051	TYPE_ACCELEROMETER	0.44506836	0.8901367	9.717255
1561079955051	TYPE_MAGNETIC_FIELD	23.82	-8.34	-29.88
1561079955051	TYPE_GYROSCOPE	-0.3536682	-0.10664368	0.058151245
1561079955051	TYPE_ROTATION_VECTOR	0.04593133	0.023924043	0.7686696
1561079955051	TYPE_MAGNETIC_FIELD_UNCALIBRATED	84.17999	-30.6	-90.18
1561079955051	TYPE_GYROSCOPE_UNCALIBRATED	-0.3393402	-0.08642578	0.05831909
1561079955051	TYPE_ACCELEROMETER_UNCALIBRATED	0.49771118	0.8685913	9.76152
1561079955070	TYPE_ACCELEROMETER	0.50250244	0.8398895	9.757935
1561079955070	TYPE_MAGNETIC_FIELD	23.76	-8.46	-29.88
1561079955070	TYPE_GYROSCOPE	-0.3536682	-0.13320923	0.050216675
1561079955070	TYPE_ROTATION_VECTOR	0.04611008	0.017667681	0.78561527
1561079955070	TYPE_MAGNETIC_FIELD_UNCALIBRATED	84.119995	-30.720001	-90.18
1561079955070	TYPE_GYROSCOPE_UNCALIBRATED	-0.34301758	-0.12857056	0.047332764
1561079955070	TYPE_ACCELEROMETER_UNCALIBRATED	0.48335266	0.82073975	9.689743
1561079955090	TYPE_ACCELEROMETER	0.46421814	0.7956085	9.603592
1561079955090	TYPE_MAGNETIC_FIELD	23.64	-8.58	-29.64
1561079955090	TYPE_GYROSCOPE	-0.33503723	-0.11550903	0.050216675
1561079955090	TYPE_ROTATION_VECTOR	0.045076486	0.020189125	0.79838943
1561079955090	TYPE_MAGNETIC_FIELD_UNCALIBRATED	84.0	-30.84	-89.94
1561079955090	TYPE_GYROSCOPE_UNCALIBRATED	-0.34301758	-0.12857056	0.047332764
1561079955090	TYPE_ACCELEROMETER_UNCALIBRATED	0.4785614	0.74775696	9.540192
1561079955109	TYPE_ACCELEROMETER	0.5431671	0.6999054	9.4696045
