#	startTime:1561080032897
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869f	FloorName:F4
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561080032897	TYPE_WAYPOINT	135.42105	49.31083
1561080033031	TYPE_ACCELEROMETER	-0.12802124	1.1126709	12.653244
1561080033031	TYPE_MAGNETIC_FIELD	-15.66	-18.84	-29.22
1561080033031	TYPE_GYROSCOPE	0.028427124	-0.3366394	-0.61257935
1561080033031	TYPE_ROTATION_VECTOR	0.016504154	-0.040972605	-0.92367184
1561080033031	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.68	-47.52	-85.38
1561080033031	TYPE_GYROSCOPE_UNCALIBRATED	0.029922485	-0.33657837	-0.613327
1561080033031	TYPE_ACCELEROMETER_UNCALIBRATED	0.022735596	1.0576324	12.266815
1561080033050	TYPE_ACCELEROMETER	-0.90089417	1.1784668	13.180878
1561080033050	TYPE_MAGNETIC_FIELD	-15.78	-18.84	-29.34
1561080033050	TYPE_GYROSCOPE	-0.26478577	-0.041610718	-0.1741333
1561080033050	TYPE_ROTATION_VECTOR	0.036323197	-0.03338337	-0.9112808
1561080033050	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.56	-47.52	-85.5
1561080033050	TYPE_GYROSCOPE_UNCALIBRATED	-0.06781006	-0.23823547	-0.46717834
1561080033050	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5120697	1.2107697	12.967911
1561080033069	TYPE_ACCELEROMETER	-1.4069824	0.59820557	13.963318
1561080033069	TYPE_MAGNETIC_FIELD	-15.719999	-18.66	-29.46
1561080033069	TYPE_GYROSCOPE	-0.27822876	0.12670898	-0.0059814453
1561080033069	TYPE_ROTATION_VECTOR	0.036323197	-0.03338337	-0.9112808
1561080033069	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.620003	-47.34	-85.619995
1561080033069	TYPE_GYROSCOPE_UNCALIBRATED	-0.32896423	0.078811646	-0.024139404
1561080033069	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1976013	0.9631195	13.487152
1561080033088	TYPE_ACCELEROMETER	-1.6630249	-0.30029297	15.198013
1561080033088	TYPE_MAGNETIC_FIELD	-15.719999	-18.42	-29.58
1561080033088	TYPE_GYROSCOPE	-0.20124817	0.21191406	0.055099487
1561080033088	TYPE_ROTATION_VECTOR	0.050513886	0.011554343	-0.91190505
1561080033088	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.620003	-47.1	-85.74
1561080033088	TYPE_GYROSCOPE_UNCALIBRATED	-0.23794556	0.17227173	0.022903442
1561080033088	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5553436	0.1603241	14.530411
1561080033108	TYPE_ACCELEROMETER	-1.774292	-1.3112793	16.333405
1561080033108	TYPE_MAGNETIC_FIELD	-15.719999	-18.24	-29.82
1561080033108	TYPE_GYROSCOPE	-0.087631226	0.24154663	0.102142334
1561080033108	TYPE_ROTATION_VECTOR	0.040800765	0.044628017	-0.92028075
1561080033108	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.620003	-46.92	-85.979996
1561080033108	TYPE_GYROSCOPE_UNCALIBRATED	0.01159668	0.18907166	0.116363525
1561080033108	TYPE_ACCELEROMETER_UNCALIBRATED	-1.7479706	-0.80519104	15.854843
1561080033127	TYPE_ACCELEROMETER	-1.5182495	-1.9250336	16.594238
1561080033127	TYPE_MAGNETIC_FIELD	-15.96	-18.24	-30.06
1561080033127	TYPE_GYROSCOPE	0.13868713	0.09156799	0.122909546
1561080033127	TYPE_ROTATION_VECTOR	0.028563911	0.06660898	-0.92828846
1561080033127	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.38	-46.92	-86.22
1561080033127	TYPE_GYROSCOPE_UNCALIBRATED	0.30023193	-0.027175903	0.114227295
1561080033127	TYPE_ACCELEROMETER_UNCALIBRATED	-1.6713867	-1.7108765	16.603806
1561080033146	TYPE_ACCELEROMETER	-1.3914337	-1.9716797	15.449265
1561080033146	TYPE_MAGNETIC_FIELD	-16.14	-18.24	-30.24
1561080033146	TYPE_GYROSCOPE	0.48353577	-0.13322449	0.100616455
1561080033146	TYPE_ROTATION_VECTOR	0.02993816	0.065693505	-0.9279263
1561080033146	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.2	-46.92	-86.4
1561080033146	TYPE_GYROSCOPE_UNCALIBRATED	0.66767883	-0.1914978	0.094680786
1561080033146	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4309082	-1.976471	16.176682
1561080033165	TYPE_ACCELEROMETER	-1.2957153	-2.042282	13.625931
1561080033165	TYPE_MAGNETIC_FIELD	-16.14	-18.24	-30.24
1561080033165	TYPE_GYROSCOPE	0.82377625	-0.19645691	0.10336304
1561080033165	TYPE_ROTATION_VECTOR	0.02993816	0.065693505	-0.9279263
1561080033165	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.2	-46.92	-86.4
1561080033165	TYPE_GYROSCOPE_UNCALIBRATED	0.66767883	-0.1914978	0.094680786
1561080033165	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3351898	-1.9932251	14.580673
1561080033185	TYPE_ACCELEROMETER	-1.5230408	-2.1068878	11.742783
1561080033185	TYPE_MAGNETIC_FIELD	-16.14	-18.24	-30.24
1561080033185	TYPE_GYROSCOPE	1.0330048	-0.10206604	0.13909912
1561080033185	TYPE_ROTATION_VECTOR	0.02993816	0.065693505	-0.9279263
1561080033185	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.2	-46.92	-86.4
1561080033185	TYPE_GYROSCOPE_UNCALIBRATED	0.9492798	-0.16156006	0.11880493
1561080033185	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3722839	-2.087738	12.673584
1561080033204	TYPE_ACCELEROMETER	-1.5876312	-2.2301178	9.894333
1561080033204	TYPE_MAGNETIC_FIELD	-16.26	-17.94	-30.24
1561080033204	TYPE_GYROSCOPE	1.1142578	0.005142212	0.18736267
1561080033204	TYPE_ROTATION_VECTOR	0.030947804	0.057226826	-0.92797595
1561080033204	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.08	-46.620003	-86.4
1561080033204	TYPE_GYROSCOPE_UNCALIBRATED	1.0870361	-0.040924072	0.16096497
1561080033204	TYPE_ACCELEROMETER_UNCALIBRATED	-1.680954	-2.116455	10.780869
1561080033223	TYPE_ACCELEROMETER	-1.5098724	-2.1870422	8.2408905
1561080033223	TYPE_MAGNETIC_FIELD	-16.08	-17.64	-29.88
1561080033223	TYPE_GYROSCOPE	1.0968475	0.004837036	0.20721436
1561080033223	TYPE_ROTATION_VECTOR	0.038559314	0.0333536	-0.9278097
1561080033223	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.260002	-46.32	-86.04
1561080033223	TYPE_GYROSCOPE_UNCALIBRATED	1.1197205	0.02658081	0.20921326
1561080033223	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3878326	-2.293518	9.101105
1561080033242	TYPE_ACCELEROMETER	-1.8807526	-1.6833649	6.801605
1561080033242	TYPE_MAGNETIC_FIELD	-16.26	-17.82	-29.58
1561080033242	TYPE_GYROSCOPE	0.9648895	-0.120391846	0.140625
1561080033242	TYPE_ROTATION_VECTOR	0.042545192	0.023559682	-0.9273731
1561080033242	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.08	-46.5	-85.74
1561080033242	TYPE_GYROSCOPE_UNCALIBRATED	1.0497742	-0.053131104	0.17225647
1561080033242	TYPE_ACCELEROMETER_UNCALIBRATED	-1.7419739	-1.9872437	7.433304
1561080033262	TYPE_ACCELEROMETER	-1.8687897	-0.8829651	6.023941
1561080033262	TYPE_MAGNETIC_FIELD	-16.26	-17.94	-29.22
1561080033262	TYPE_GYROSCOPE	0.73643494	-0.24531555	0.13787842
1561080033262	TYPE_ROTATION_VECTOR	0.04494	0.014512339	-0.927099
