#	startTime:1561080049958
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869f	FloorName:F4
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561080049958	TYPE_WAYPOINT	138.22047	43.082542
1561080050096	TYPE_ACCELEROMETER	-1.3292236	-0.6520386	14.50769
1561080050096	TYPE_MAGNETIC_FIELD	18.539999	27.779999	-27.48
1561080050096	TYPE_GYROSCOPE	-0.081222534	-0.2778473	0.0028839111
1561080050096	TYPE_ROTATION_VECTOR	0.0	0.0	0.0
1561080050096	TYPE_MAGNETIC_FIELD_UNCALIBRATED	0.0	0.0	0.0
1561080050096	TYPE_GYROSCOPE_UNCALIBRATED	-0.19425964	-0.29380798	-0.026885986
1561080050096	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4763794	-0.7549286	14.843887
1561080050115	TYPE_ACCELEROMETER	-1.1677094	-0.275177	13.381866
1561080050115	TYPE_MAGNETIC_FIELD	17.039999	28.68	-25.439999
1561080050115	TYPE_GYROSCOPE	0.3408966	-0.22790527	0.088394165
1561080050115	TYPE_ROTATION_VECTOR	-0.03155428	0.037938192	0.26036358
1561080050115	TYPE_MAGNETIC_FIELD_UNCALIBRATED	73.38	0.0	-81.6
1561080050115	TYPE_GYROSCOPE_UNCALIBRATED	-0.07972717	-0.27778625	0.0021362305
1561080050115	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2119751	-0.48693848	13.981262
1561080050134	TYPE_ACCELEROMETER	-1.179657	0.11126709	11.58844
1561080050134	TYPE_MAGNETIC_FIELD	17.039999	29.099998	-25.08
1561080050134	TYPE_GYROSCOPE	0.61761475	-0.22027588	0.07344055
1561080050134	TYPE_ROTATION_VECTOR	-0.019061875	0.039813954	0.22563058
1561080050134	TYPE_MAGNETIC_FIELD_UNCALIBRATED	73.38	0.41999817	-81.24
1561080050134	TYPE_GYROSCOPE_UNCALIBRATED	0.34239197	-0.22784424	0.087646484
1561080050134	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2023926	-0.053848267	12.598221
1561080050154	TYPE_ACCELEROMETER	-0.80519104	0.34934998	9.416962
1561080050154	TYPE_MAGNETIC_FIELD	17.039999	29.16	-25.26
1561080050154	TYPE_GYROSCOPE	0.7764435	-0.2657776	0.060913086
1561080050154	TYPE_ROTATION_VECTOR	-1.906371E-5	0.04999579	0.22029735
1561080050154	TYPE_MAGNETIC_FIELD_UNCALIBRATED	73.38	0.47999954	-81.42
1561080050154	TYPE_GYROSCOPE_UNCALIBRATED	0.6191101	-0.22021484	0.07269287
1561080050154	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2023926	-0.053848267	12.598221
1561080050173	TYPE_ACCELEROMETER	-0.4725952	0.5754852	7.6618195
1561080050173	TYPE_MAGNETIC_FIELD	16.98	29.16	-25.32
1561080050173	TYPE_GYROSCOPE	0.7801056	-0.26976013	0.05999756
1561080050173	TYPE_ROTATION_VECTOR	0.011037049	0.045539796	0.21952567
1561080050173	TYPE_MAGNETIC_FIELD_UNCALIBRATED	73.32	0.47999954	-81.479996
1561080050173	TYPE_GYROSCOPE_UNCALIBRATED	0.77793884	-0.26571655	0.060165405
