#	startTime:1561080197411
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a869f	FloorName:F4
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561080197412	TYPE_WAYPOINT	176.00983	74.36481
1561080197531	TYPE_ACCELEROMETER	0.49412537	0.5001068	7.2430725
1561080197531	TYPE_MAGNETIC_FIELD	31.439999	-13.139999	-22.439999
1561080197531	TYPE_GYROSCOPE	-0.05769348	-0.015319824	-0.08355713
1561080197531	TYPE_ROTATION_VECTOR	0.04274841	0.019183028	0.80245316
1561080197531	TYPE_MAGNETIC_FIELD_UNCALIBRATED	83.22	-33.9	-84.479996
1561080197531	TYPE_GYROSCOPE_UNCALIBRATED	-0.05619812	-0.015258789	-0.08430481
1561080197531	TYPE_ACCELEROMETER_UNCALIBRATED	0.49412537	0.5001068	7.2430725
1561080197550	TYPE_ACCELEROMETER	0.48814392	0.53001404	7.4321136
1561080197550	TYPE_MAGNETIC_FIELD	31.38	-13.08	-22.199999
1561080197550	TYPE_GYROSCOPE	-0.37901306	-0.017150879	-0.039276123
1561080197550	TYPE_ROTATION_VECTOR	0.046709497	0.0035350423	0.8144946
1561080197550	TYPE_MAGNETIC_FIELD_UNCALIBRATED	83.159996	-33.84	-84.24
1561080197550	TYPE_GYROSCOPE_UNCALIBRATED	-0.05619812	-0.015258789	-0.08430481
1561080197550	TYPE_ACCELEROMETER_UNCALIBRATED	0.48814392	0.53001404	7.4321136
1561080197569	TYPE_ACCELEROMETER	0.3062744	0.62571716	7.9082794
1561080197569	TYPE_MAGNETIC_FIELD	31.199999	-12.66	-22.08
1561080197569	TYPE_GYROSCOPE	-0.7290497	0.0030059814	0.014785767
1561080197569	TYPE_ROTATION_VECTOR	0.046302497	0.0069111194	0.7940281
1561080197569	TYPE_MAGNETIC_FIELD_UNCALIBRATED	82.979996	-33.42	-84.119995
1561080197569	TYPE_GYROSCOPE_UNCALIBRATED	-0.3775177	-0.017089844	-0.040023804
1561080197569	TYPE_ACCELEROMETER_UNCALIBRATED	0.3062744	0.62571716	7.9082794
1561080197588	TYPE_ACCELEROMETER	0.26560974	0.7034912	9.08197
1561080197588	TYPE_MAGNETIC_FIELD	31.199999	-12.54	-21.84
1561080197588	TYPE_GYROSCOPE	-0.78189087	0.015213013	0.044418335
1561080197588	TYPE_ROTATION_VECTOR	0.037139677	0.018125596	0.8118773
1561080197588	TYPE_MAGNETIC_FIELD_UNCALIBRATED	82.979996	-33.3	-83.88
1561080197588	TYPE_GYROSCOPE_UNCALIBRATED	-0.7275543	0.0030670166	0.014038086
1561080197588	TYPE_ACCELEROMETER_UNCALIBRATED	0.26560974	0.7034912	9.08197
1561080197608	TYPE_ACCELEROMETER	0.08016968	0.68196106	10.591827
1561080197608	TYPE_MAGNETIC_FIELD	31.14	-12.42	-21.48
1561080197608	TYPE_GYROSCOPE	-0.75408936	0.079055786	0.06488037
1561080197608	TYPE_ROTATION_VECTOR	0.033794265	0.023768418	0.8125914
1561080197608	TYPE_MAGNETIC_FIELD_UNCALIBRATED	82.92	-33.18	-83.52
1561080197608	TYPE_GYROSCOPE_UNCALIBRATED	-0.7803955	0.015274048	0.043670654
1561080197608	TYPE_ACCELEROMETER_UNCALIBRATED	0.08016968	0.68196106	10.591827
1561080197627	TYPE_ACCELEROMETER	0.058624268	0.79681396	11.91507
1561080197627	TYPE_MAGNETIC_FIELD	31.14	-11.88	-21.359999
1561080197627	TYPE_GYROSCOPE	-0.6132965	0.25743103	0.09573364
1561080197627	TYPE_ROTATION_VECTOR	0.021634988	0.02250735	0.7896348
1561080197627	TYPE_MAGNETIC_FIELD_UNCALIBRATED	82.92	-32.64	-83.399994
1561080197627	TYPE_GYROSCOPE_UNCALIBRATED	-0.752594	0.07911682	0.06413269
1561080197627	TYPE_ACCELEROMETER_UNCALIBRATED	0.08016968	0.68196106	10.591827
1561080197646	TYPE_ACCELEROMETER	-0.08973694	0.9152527	12.5108795
1561080197646	TYPE_MAGNETIC_FIELD	31.32	-11.5199995	-21.0
1561080197646	TYPE_GYROSCOPE	-0.43919373	0.37747192	0.11558533
1561080197646	TYPE_ROTATION_VECTOR	0.018649137	0.020902662	0.78667986
1561080197646	TYPE_MAGNETIC_FIELD_UNCALIBRATED	83.1	-32.28	-83.03999
1561080197646	TYPE_GYROSCOPE_UNCALIBRATED	-0.61180115	0.25749207	0.09498596
1561080197646	TYPE_ACCELEROMETER_UNCALIBRATED	-0.08973694	0.9152527	12.5108795
1561080197665	TYPE_ACCELEROMETER	0.1375885	0.6915283	13.071991
1561080197665	TYPE_MAGNETIC_FIELD	31.199999	-11.219999	-20.64
