#	startTime:1561078864818
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561078864820	TYPE_WAYPOINT	224.80356	77.24706
1561078864975	TYPE_ACCELEROMETER	-0.7609253	0.013168335	13.403397
1561078864975	TYPE_MAGNETIC_FIELD	34.26	-7.5	-26.34
1561078864975	TYPE_GYROSCOPE	0.08721924	-0.15229797	-0.05531311
1561078864975	TYPE_ROTATION_VECTOR	-0.023038197	0.021032216	0.7811596
1561078864975	TYPE_MAGNETIC_FIELD_UNCALIBRATED	89.399994	-31.74	-84.72
1561078864975	TYPE_GYROSCOPE_UNCALIBRATED	0.03907776	-0.11482239	-0.04399109
1561078864975	TYPE_ACCELEROMETER_UNCALIBRATED	-0.80877686	0.008377075	13.349564
1561078864994	TYPE_ACCELEROMETER	-0.61376953	0.16390991	12.812378
1561078864994	TYPE_MAGNETIC_FIELD	33.96	-7.74	-26.16
1561078864994	TYPE_GYROSCOPE	0.30697632	-0.25784302	-0.0826416
1561078864994	TYPE_ROTATION_VECTOR	-0.02206197	0.015674531	0.8020019
1561078864994	TYPE_MAGNETIC_FIELD_UNCALIBRATED	89.1	-31.98	-84.53999
1561078864994	TYPE_GYROSCOPE_UNCALIBRATED	0.0887146	-0.15223694	-0.05606079
1561078864994	TYPE_ACCELEROMETER_UNCALIBRATED	-0.80877686	0.008377075	13.349564
1561078865013	TYPE_ACCELEROMETER	-0.3481598	0.33738708	11.26062
1561078865013	TYPE_MAGNETIC_FIELD	33.78	-7.8599997	-26.34
1561078865013	TYPE_GYROSCOPE	0.5766907	-0.23797607	-0.041412354
1561078865013	TYPE_ROTATION_VECTOR	-0.01658882	0.02132097	0.79298675
1561078865013	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.92	-32.1	-84.72
1561078865013	TYPE_GYROSCOPE_UNCALIBRATED	0.30847168	-0.25778198	-0.08338928
1561078865013	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6999054	0.07777405	13.237091
1561078865032	TYPE_ACCELEROMETER	-0.20458984	0.3972168	9.754349
1561078865032	TYPE_MAGNETIC_FIELD	33.54	-7.8599997	-26.039999
1561078865032	TYPE_GYROSCOPE	0.72024536	-0.22973633	-0.0154418945
1561078865032	TYPE_ROTATION_VECTOR	-0.006446068	0.021069907	0.7789544
1561078865032	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.68	-32.1	-84.42
1561078865032	TYPE_GYROSCOPE_UNCALIBRATED	0.57818604	-0.23791504	-0.042160034
1561078865032	TYPE_ACCELEROMETER_UNCALIBRATED	-0.24885559	0.38883972	10.447067
1561078865052	TYPE_ACCELEROMETER	-0.14237976	0.45463562	8.581863
1561078865052	TYPE_MAGNETIC_FIELD	33.42	-8.04	-26.039999
1561078865052	TYPE_GYROSCOPE	0.7141266	-0.22454834	-0.006286621
1561078865052	TYPE_ROTATION_VECTOR	0.0038960036	0.021728449	0.7830576
1561078865052	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.56	-32.28	-84.42
1561078865052	TYPE_GYROSCOPE_UNCALIBRATED	0.7217407	-0.2296753	-0.016189575
1561078865052	TYPE_ACCELEROMETER_UNCALIBRATED	-0.24885559	0.38883972	10.447067
1561078865071	TYPE_ACCELEROMETER	-0.119644165	0.48814392	7.5684967
1561078865071	TYPE_MAGNETIC_FIELD	33.239998	-8.4	-25.859999
1561078865071	TYPE_GYROSCOPE	0.635025	-0.26150513	-0.0010986328
1561078865071	TYPE_ROTATION_VECTOR	0.012479447	0.027301867	0.78060615
1561078865071	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.38	-32.64	-84.24
1561078865071	TYPE_GYROSCOPE_UNCALIBRATED	0.71562195	-0.2244873	-0.0070343018
1561078865071	TYPE_ACCELEROMETER_UNCALIBRATED	-0.17347717	0.42233276	9.1405945
1561078865090	TYPE_ACCELEROMETER	0.029922485	0.4845581	6.629318
1561078865090	TYPE_MAGNETIC_FIELD	33.18	-8.7	-25.8
1561078865090	TYPE_GYROSCOPE	0.52537537	-0.29510498	0.02609253
1561078865090	TYPE_ROTATION_VECTOR	0.01831481	0.03096679	0.7803613
1561078865090	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.32	-32.94	-84.17999
1561078865090	TYPE_GYROSCOPE_UNCALIBRATED	0.6365204	-0.2614441	-0.0018463135
1561078865090	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0993042	0.47138977	8.060226
1561078865109	TYPE_ACCELEROMETER	-0.06581116	0.5132599	5.7475586
1561078865109	TYPE_MAGNETIC_FIELD	33.18	-8.7	-25.8
1561078865109	TYPE_GYROSCOPE	0.3973999	-0.22576904	0.02822876
1561078865109	TYPE_ROTATION_VECTOR	0.01831481	0.03096679	0.7803613
1561078865109	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.32	-32.94	-84.17999
1561078865109	TYPE_GYROSCOPE_UNCALIBRATED	0.5268707	-0.29504395	0.025344849
1561078865109	TYPE_ACCELEROMETER_UNCALIBRATED	-0.017944336	0.48095703	6.1579285
1561078865129	TYPE_ACCELEROMETER	-0.057434082	0.42951965	5.0895386
