#	startTime:1561078898377
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561078898378	TYPE_WAYPOINT	213.56099	69.34522
1561078898522	TYPE_ACCELEROMETER	-0.67477417	0.14237976	12.644882
1561078898522	TYPE_MAGNETIC_FIELD	-30.0	18.42	-18.3
1561078898522	TYPE_GYROSCOPE	-0.012496948	-0.087402344	0.038604736
1561078898522	TYPE_ROTATION_VECTOR	0.015523388	0.015717188	-0.5003953
1561078898522	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.82	-4.3199997	-72.0
1561078898522	TYPE_GYROSCOPE_UNCALIBRATED	-0.011001587	-0.08734131	0.037857056
1561078898522	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7920227	0.117248535	12.915268
1561078898541	TYPE_ACCELEROMETER	-0.83151245	0.112472534	13.027725
1561078898541	TYPE_MAGNETIC_FIELD	-29.939999	18.359999	-18.42
1561078898541	TYPE_GYROSCOPE	0.009033203	-0.026016235	-0.031936646
1561078898541	TYPE_ROTATION_VECTOR	0.01917966	0.024589704	-0.49460617
1561078898541	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.880001	-4.380001	-72.119995
1561078898541	TYPE_GYROSCOPE_UNCALIBRATED	-0.003829956	-0.06687927	0.014343262
1561078898541	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7621155	0.1483612	12.81955
1561078898560	TYPE_ACCELEROMETER	-0.6376953	0.23570251	12.263214
1561078898560	TYPE_MAGNETIC_FIELD	-29.939999	18.6	-18.539999
1561078898560	TYPE_GYROSCOPE	0.18145752	-0.05166626	-0.049346924
1561078898560	TYPE_ROTATION_VECTOR	0.020665793	0.023403643	-0.47436205
1561078898560	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.880001	-4.1399994	-72.24
1561078898560	TYPE_GYROSCOPE_UNCALIBRATED	0.07145691	-0.018310547	-0.053146362
1561078898560	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7621155	0.1483612	12.81955
1561078898579	TYPE_ACCELEROMETER	-0.5276184	0.43191528	11.064423
1561078898579	TYPE_MAGNETIC_FIELD	-30.06	18.66	-18.539999
1561078898579	TYPE_GYROSCOPE	0.3524933	-0.13169861	-0.068603516
1561078898579	TYPE_ROTATION_VECTOR	0.02343684	0.013499901	-0.48529187
1561078898579	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.76	-4.08	-72.24
1561078898579	TYPE_GYROSCOPE_UNCALIBRATED	0.28588867	-0.09527588	-0.05621338
1561078898579	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5623169	0.3481598	11.574081
1561078898599	TYPE_ACCELEROMETER	-0.5515442	0.5001068	10.45903
1561078898599	TYPE_MAGNETIC_FIELD	-30.06	18.539999	-18.6
1561078898599	TYPE_GYROSCOPE	0.3854828	-0.1845398	-0.09120178
1561078898599	TYPE_ROTATION_VECTOR	0.029719094	0.009525867	-0.49449164
1561078898599	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.76	-4.200001	-72.299995
1561078898599	TYPE_GYROSCOPE_UNCALIBRATED	0.38209534	-0.15760803	-0.08216858
1561078898599	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5264282	0.54914856	10.000809
1561078898618	TYPE_ACCELEROMETER	-0.47138977	0.5922241	9.549759
1561078898618	TYPE_MAGNETIC_FIELD	-30.24	18.42	-18.72
1561078898618	TYPE_GYROSCOPE	0.3854828	-0.23400879	-0.093948364
1561078898618	TYPE_ROTATION_VECTOR	0.036822848	0.010236034	-0.4948459
1561078898618	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.58	-4.3199997	-72.42
1561078898618	TYPE_GYROSCOPE_UNCALIBRATED	0.38850403	-0.20890808	-0.0965271
1561078898618	TYPE_ACCELEROMETER_UNCALIBRATED	-0.49172974	0.59103394	9.242279
1561078898637	TYPE_ACCELEROMETER	-0.55514526	0.56111145	8.963516
1561078898637	TYPE_MAGNETIC_FIELD	-30.24	18.359999	-18.779999
1561078898637	TYPE_GYROSCOPE	0.33416748	-0.29785156	-0.08111572
1561078898637	TYPE_ROTATION_VECTOR	0.038890798	0.006578082	-0.495851
1561078898637	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.58	-4.380001	-72.479996
1561078898637	TYPE_GYROSCOPE_UNCALIBRATED	0.36956787	-0.26296997	-0.08918762
1561078898637	TYPE_ACCELEROMETER_UNCALIBRATED	-0.59342957	0.5120697	8.647659
1561078898656	TYPE_ACCELEROMETER	-0.58265686	0.4618225	8.274384
1561078898656	TYPE_MAGNETIC_FIELD	-30.24	18.359999	-18.84
1561078898656	TYPE_GYROSCOPE	0.24925232	-0.39956665	-0.047210693
1561078898656	TYPE_ROTATION_VECTOR	0.04024981	0.0025543976	-0.4966522
1561078898656	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.58	-4.380001	-72.53999
1561078898656	TYPE_GYROSCOPE_UNCALIBRATED	0.2944336	-0.3445282	-0.06904602
1561078898656	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5156555	0.43310547	7.878372
1561078898676	TYPE_ACCELEROMETER	-0.39123535	0.37327576	7.6402893
1561078898676	TYPE_MAGNETIC_FIELD	-30.3	18.3	-18.84
1561078898676	TYPE_GYROSCOPE	0.15213013	-0.4774475	0.0181427
1561078898676	TYPE_ROTATION_VECTOR	0.04042364	-0.0019210089	-0.49720067
1561078898676	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.52	-4.4400005	-72.53999
1561078898676	TYPE_GYROSCOPE_UNCALIBRATED	0.2037201	-0.45082092	-0.018951416
1561078898676	TYPE_ACCELEROMETER_UNCALIBRATED	-0.17468262	0.26919556	7.659424
1561078898695	TYPE_ACCELEROMETER	0.0035858154	0.14117432	7.755142
1561078898695	TYPE_MAGNETIC_FIELD	-30.66	18.24	-18.779999
1561078898695	TYPE_GYROSCOPE	0.06324768	-0.41667175	0.11619568
1561078898695	TYPE_ROTATION_VECTOR	0.039419178	-0.0066079255	-0.49722996
1561078898695	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.16	-4.5	-72.479996
1561078898695	TYPE_GYROSCOPE_UNCALIBRATED	0.10322571	-0.46516418	0.06413269
1561078898695	TYPE_ACCELEROMETER_UNCALIBRATED	0.07298279	0.029922485	7.7192535
1561078898714	TYPE_ACCELEROMETER	0.18664551	0.010772705	7.4727936
1561078898714	TYPE_MAGNETIC_FIELD	-30.66	17.94	-18.6
1561078898714	TYPE_GYROSCOPE	0.09133911	-0.268219	0.14826965
1561078898714	TYPE_ROTATION_VECTOR	0.037945595	-0.010436044	-0.49641544
1561078898714	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.16	-4.799999	-72.299995
1561078898714	TYPE_GYROSCOPE_UNCALIBRATED	0.06047058	-0.3445282	0.1414032
1561078898714	TYPE_ACCELEROMETER_UNCALIBRATED	0.32183838	0.057434082	7.0157623
1561078898733	TYPE_ACCELEROMETER	0.3708954	0.112457275	6.32782
1561078898733	TYPE_MAGNETIC_FIELD	-30.72	17.699999	-18.539999
1561078898733	TYPE_GYROSCOPE	0.19396973	-0.12954712	0.15834045
1561078898733	TYPE_ROTATION_VECTOR	0.037407953	-0.013152842	-0.4952724
1561078898733	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.1	-5.040001	-72.24
1561078898733	TYPE_GYROSCOPE_UNCALIBRATED	0.14353943	-0.19943237	0.15789795
1561078898733	TYPE_ACCELEROMETER_UNCALIBRATED	0.29432678	0.1758728	5.5286255
1561078898753	TYPE_ACCELEROMETER	0.16630554	0.26441956	4.87059
1561078898753	TYPE_MAGNETIC_FIELD	-30.96	17.76	-18.42
1561078898753	TYPE_GYROSCOPE	0.22024536	0.017364502	0.11894226
1561078898753	TYPE_ROTATION_VECTOR	0.038375575	-0.015206517	-0.49397865
1561078898753	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.86	-4.9799995	-72.119995
1561078898753	TYPE_GYROSCOPE_UNCALIBRATED	0.23028564	-0.056488037	0.13957214
1561078898753	TYPE_ACCELEROMETER_UNCALIBRATED	0.29432678	0.1758728	5.5286255
1561078898772	TYPE_ACCELEROMETER	-0.12921143	0.24885559	4.146759
1561078898772	TYPE_MAGNETIC_FIELD	-31.14	17.64	-18.3
1561078898772	TYPE_GYROSCOPE	0.03086853	0.17007446	0.096343994
1561078898772	TYPE_ROTATION_VECTOR	0.040265564	-0.016153282	-0.492949
1561078898772	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.86	-4.9799995	-72.119995
1561078898772	TYPE_GYROSCOPE_UNCALIBRATED	0.15393066	0.09529114	0.103530884
