#	startTime:1561079004906
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561079004908	TYPE_WAYPOINT	237.65752	87.66681
1561079005057	TYPE_ACCELEROMETER	-0.70947266	0.032302856	11.600418
1561079005057	TYPE_MAGNETIC_FIELD	36.48	-10.62	-34.2
1561079005057	TYPE_GYROSCOPE	0.015594482	0.016433716	-0.014526367
1561079005057	TYPE_ROTATION_VECTOR	-0.01917774	0.010890771	0.8015898
1561079005057	TYPE_MAGNETIC_FIELD_UNCALIBRATED	92.28	-32.94	-92.28
1561079005057	TYPE_GYROSCOPE_UNCALIBRATED	0.017089844	0.016494751	-0.015274048
1561079005057	TYPE_ACCELEROMETER_UNCALIBRATED	-0.72143555	-0.022735596	12.001205
1561079005076	TYPE_ACCELEROMETER	-0.38046265	0.20100403	10.241287
1561079005076	TYPE_MAGNETIC_FIELD	36.42	-10.32	-34.14
1561079005076	TYPE_GYROSCOPE	0.28315735	-0.0049438477	-0.042633057
1561079005076	TYPE_ROTATION_VECTOR	-0.02349547	0.020549204	0.78701234
1561079005076	TYPE_MAGNETIC_FIELD_UNCALIBRATED	92.22	-32.64	-92.22
1561079005076	TYPE_GYROSCOPE_UNCALIBRATED	0.2846527	-0.0048828125	-0.043380737
1561079005076	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5348053	0.105285645	10.99144
1561079005095	TYPE_ACCELEROMETER	-0.37208557	0.45703125	9.06282
1561079005095	TYPE_MAGNETIC_FIELD	36.42	-10.38	-34.02
1561079005095	TYPE_GYROSCOPE	0.56996155	-0.035476685	-0.082336426
1561079005095	TYPE_ROTATION_VECTOR	-0.0102504175	0.019570176	0.8001724
1561079005095	TYPE_MAGNETIC_FIELD_UNCALIBRATED	92.22	-32.7	-92.1
1561079005095	TYPE_GYROSCOPE_UNCALIBRATED	0.2846527	-0.0048828125	-0.043380737
1561079005095	TYPE_ACCELEROMETER_UNCALIBRATED	-0.33261108	0.3481598	9.556946
1561079005114	TYPE_ACCELEROMETER	-0.5348053	0.41874695	8.641693
1561079005114	TYPE_MAGNETIC_FIELD	36.36	-10.559999	-34.02
1561079005114	TYPE_GYROSCOPE	0.4551239	-0.12893677	-0.09913635
1561079005114	TYPE_ROTATION_VECTOR	-1.02511685E-5	0.0314224	0.7994863
1561079005114	TYPE_MAGNETIC_FIELD_UNCALIBRATED	92.16	-32.879997	-92.1
1561079005114	TYPE_GYROSCOPE_UNCALIBRATED	0.5714569	-0.03541565	-0.08308411
1561079005114	TYPE_ACCELEROMETER_UNCALIBRATED	-0.49412537	0.45344543	8.790039
1561079005134	TYPE_ACCELEROMETER	-0.3026886	0.35653687	8.287537
1561079005134	TYPE_MAGNETIC_FIELD	36.3	-10.62	-33.719997
1561079005134	TYPE_GYROSCOPE	0.3460846	-0.22058105	-0.06889343
1561079005134	TYPE_ROTATION_VECTOR	-0.009512456	0.037044596	0.79814583
1561079005134	TYPE_MAGNETIC_FIELD_UNCALIBRATED	92.1	-32.94	-91.799995
1561079005134	TYPE_GYROSCOPE_UNCALIBRATED	0.34757996	-0.22052002	-0.06964111
1561079005134	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4510498	0.39363098	8.480164
1561079005153	TYPE_ACCELEROMETER	-0.06700134	0.2596283	7.971695
1561079005153	TYPE_MAGNETIC_FIELD	36.12	-10.8	-33.66
1561079005153	TYPE_GYROSCOPE	0.31095886	-0.20072937	-0.021255493
1561079005153	TYPE_ROTATION_VECTOR	-9.512922E-6	0.027323617	0.80282545
1561079005153	TYPE_MAGNETIC_FIELD_UNCALIBRATED	91.92	-33.12	-91.74
1561079005153	TYPE_GYROSCOPE_UNCALIBRATED	0.31245422	-0.20066833	-0.022003174
1561079005153	TYPE_ACCELEROMETER_UNCALIBRATED	-0.14715576	0.29074097	8.109283
1561079005172	TYPE_ACCELEROMETER	-0.02154541	0.23928833	7.572098
1561079005172	TYPE_MAGNETIC_FIELD	36.0	-10.86	-33.66
1561079005172	TYPE_GYROSCOPE	0.3167572	-0.067855835	0.009902954
1561079005172	TYPE_ROTATION_VECTOR	0.007238222	0.0151604265	0.80397105
1561079005172	TYPE_MAGNETIC_FIELD_UNCALIBRATED	91.8	-33.18	-91.74
1561079005172	TYPE_GYROSCOPE_UNCALIBRATED	0.31245422	-0.20066833	-0.022003174
1561079005172	TYPE_ACCELEROMETER_UNCALIBRATED	-0.14715576	0.29074097	8.109283
1561079005191	TYPE_ACCELEROMETER	0.059829712	0.34098816	6.497711
1561079005191	TYPE_MAGNETIC_FIELD	35.82	-10.92	-33.719997
1561079005191	TYPE_GYROSCOPE	0.32928467	0.039352417	0.023345947
1561079005191	TYPE_ROTATION_VECTOR	0.0100738695	0.01674701	0.8038806
1561079005191	TYPE_MAGNETIC_FIELD_UNCALIBRATED	91.8	-33.18	-91.74
1561079005191	TYPE_GYROSCOPE_UNCALIBRATED	0.33078003	0.039413452	0.022598267
1561079005191	TYPE_ACCELEROMETER_UNCALIBRATED	0.041870117	0.27278137	7.081558
1561079005211	TYPE_ACCELEROMETER	0.07058716	0.34336853	5.942581
1561079005211	TYPE_MAGNETIC_FIELD	35.82	-10.92	-33.719997
1561079005211	TYPE_GYROSCOPE	0.2089386	0.108688354	0.007461548
1561079005211	TYPE_ROTATION_VECTOR	0.0100738695	0.01674701	0.8038806
1561079005211	TYPE_MAGNETIC_FIELD_UNCALIBRATED	91.619995	-33.239998	-91.799995
1561079005211	TYPE_GYROSCOPE_UNCALIBRATED	0.21043396	0.10874939	0.006713867
1561079005211	TYPE_ACCELEROMETER_UNCALIBRATED	0.058624268	0.36012268	6.08255
1561079005230	TYPE_ACCELEROMETER	-0.02154541	0.23210144	6.1160583
1561079005230	TYPE_MAGNETIC_FIELD	35.82	-10.92	-33.719997
1561079005230	TYPE_GYROSCOPE	-0.037231445	0.11936951	-0.016662598
1561079005230	TYPE_ROTATION_VECTOR	0.0100738695	0.01674701	0.8038806
1561079005230	TYPE_MAGNETIC_FIELD_UNCALIBRATED	91.619995	-33.239998	-91.799995
1561079005230	TYPE_GYROSCOPE_UNCALIBRATED	0.21043396	0.10874939	0.006713867
1561079005230	TYPE_ACCELEROMETER_UNCALIBRATED	0.058624268	0.36012268	6.08255
1561079005249	TYPE_ACCELEROMETER	-0.13041687	0.053848267	6.332611
1561079005249	TYPE_MAGNETIC_FIELD	35.52	-11.4	-33.719997
1561079005249	TYPE_GYROSCOPE	-0.25195312	0.1340332	-0.031021118
1561079005249	TYPE_ROTATION_VECTOR	0.0126668485	0.0233168	0.8039744
1561079005249	TYPE_MAGNETIC_FIELD_UNCALIBRATED	91.32	-33.72	-91.799995
1561079005249	TYPE_GYROSCOPE_UNCALIBRATED	-0.035736084	0.11943054	-0.017410278
1561079005249	TYPE_ACCELEROMETER_UNCALIBRATED	-0.08016968	0.14477539	6.242874
1561079005268	TYPE_ACCELEROMETER	-0.22492981	-0.20339966	6.467804
1561079005268	TYPE_MAGNETIC_FIELD	35.46	-11.46	-33.84
1561079005268	TYPE_GYROSCOPE	-0.3970337	0.22200012	-0.02217102
1561079005268	TYPE_ROTATION_VECTOR	0.010872504	0.022820337	0.8038653
1561079005268	TYPE_MAGNETIC_FIELD_UNCALIBRATED	91.259995	-33.78	-91.92
1561079005268	TYPE_GYROSCOPE_UNCALIBRATED	-0.39553833	0.22206116	-0.022918701
1561079005268	TYPE_ACCELEROMETER_UNCALIBRATED	-0.18904114	-0.0717926	6.386444
1561079005288	TYPE_ACCELEROMETER	-0.3014984	-0.42114258	6.624527
1561079005288	TYPE_MAGNETIC_FIELD	35.46	-11.4	-33.84
1561079005288	TYPE_GYROSCOPE	-0.527771	0.3017273	-0.019424438
1561079005288	TYPE_ROTATION_VECTOR	0.0076907235	0.02125657	0.8037906
1561079005288	TYPE_MAGNETIC_FIELD_UNCALIBRATED	91.259995	-33.72	-91.92
1561079005288	TYPE_GYROSCOPE_UNCALIBRATED	-0.52627563	0.30178833	-0.02017212
