#	startTime:1561082413063
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561082413068	TYPE_WAYPOINT	173.89876	144.3994
1561082413229	TYPE_ACCELEROMETER	-0.22013855	0.46420288	12.768112
1561082413229	TYPE_MAGNETIC_FIELD	24.779999	0.42	-27.539999
1561082413229	TYPE_GYROSCOPE	9.460449E-4	0.0017700195	-0.037734985
1561082413229	TYPE_ROTATION_VECTOR	0.0078050788	0.020633014	0.6806259
1561082413229	TYPE_MAGNETIC_FIELD_UNCALIBRATED	84.78	-35.88	-84.18
1561082413229	TYPE_GYROSCOPE_UNCALIBRATED	0.0024414062	0.0018310547	-0.038482666
1561082413229	TYPE_ACCELEROMETER_UNCALIBRATED	-0.20100403	0.5120697	12.671204
1561082413248	TYPE_ACCELEROMETER	-0.13160706	0.5359955	12.430725
1561082413248	TYPE_MAGNETIC_FIELD	24.96	0.29999998	-27.539999
1561082413248	TYPE_GYROSCOPE	0.01927185	-0.059005737	-0.102493286
1561082413248	TYPE_ROTATION_VECTOR	0.009599271	0.019863876	0.7029268
1561082413248	TYPE_MAGNETIC_FIELD_UNCALIBRATED	84.96	-36.0	-84.18
1561082413248	TYPE_GYROSCOPE_UNCALIBRATED	0.020767212	-0.058944702	-0.10324097
1561082413248	TYPE_ACCELEROMETER_UNCALIBRATED	-0.20100403	0.5120697	12.671204
1561082413267	TYPE_ACCELEROMETER	0.050247192	0.5252228	11.255844
1561082413267	TYPE_MAGNETIC_FIELD	25.26	0.29999998	-27.539999
1561082413267	TYPE_GYROSCOPE	0.15640259	-0.14848328	-0.15563965
1561082413267	TYPE_ROTATION_VECTOR	0.012200306	0.018391907	0.6888955
1561082413267	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.26	-36.0	-84.18
1561082413267	TYPE_GYROSCOPE_UNCALIBRATED	0.15789795	-0.14842224	-0.15638733
1561082413267	TYPE_ACCELEROMETER_UNCALIBRATED	-0.027526855	0.53001404	11.922241
1561082413286	TYPE_ACCELEROMETER	0.007171631	0.49650574	10.00798
1561082413286	TYPE_MAGNETIC_FIELD	25.26	0.35999998	-27.599998
1561082413286	TYPE_GYROSCOPE	0.3045349	-0.12680054	-0.13243103
1561082413286	TYPE_ROTATION_VECTOR	0.017361509	0.013603496	0.676398
1561082413286	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.26	-35.94	-84.24
1561082413286	TYPE_GYROSCOPE_UNCALIBRATED	0.30603027	-0.1267395	-0.13317871
1561082413286	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07658386	0.51446533	9.623932
1561082413306	TYPE_ACCELEROMETER	-0.13160706	0.5228424	9.278183
1561082413306	TYPE_MAGNETIC_FIELD	25.38	0.17999999	-27.66
1561082413306	TYPE_GYROSCOPE	0.31492615	-0.13261414	-0.10462952
1561082413306	TYPE_ROTATION_VECTOR	0.015670534	0.0155700715	0.69779813
1561082413306	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.38	-36.12	-84.3
1561082413306	TYPE_GYROSCOPE_UNCALIBRATED	0.3164215	-0.1325531	-0.1053772
1561082413306	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07658386	0.51446533	9.623932
1561082413325	TYPE_ACCELEROMETER	-0.1268158	0.550354	8.805588
1561082413325	TYPE_MAGNETIC_FIELD	25.68	0.06	-27.779999
1561082413325	TYPE_GYROSCOPE	0.24223328	-0.16194153	-0.060958862
1561082413325	TYPE_ROTATION_VECTOR	0.014808192	0.023587896	0.69721454
1561082413325	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.68	-36.239998	-84.42
1561082413325	TYPE_GYROSCOPE_UNCALIBRATED	0.24372864	-0.1618805	-0.061706543
1561082413325	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1603241	0.54078674	8.955154
1561082413344	TYPE_ACCELEROMETER	0.14356995	0.4905243	8.341385
1561082413344	TYPE_MAGNETIC_FIELD	25.859999	0.06	-27.9
1561082413344	TYPE_GYROSCOPE	0.16433716	-0.20866394	-0.013916016
1561082413344	TYPE_ROTATION_VECTOR	0.01732752	0.02326748	0.69704735
1561082413344	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.86	-36.239998	-84.54
1561082413344	TYPE_GYROSCOPE_UNCALIBRATED	0.16583252	-0.2086029	-0.014663696
1561082413344	TYPE_ACCELEROMETER_UNCALIBRATED	0.14356995	0.5539398	7.8867493
1561082413363	TYPE_ACCELEROMETER	0.0717926	0.6281128	7.479965
1561082413363	TYPE_MAGNETIC_FIELD	25.8	0.06	-27.9
1561082413363	TYPE_GYROSCOPE	0.1658783	-0.20195007	0.020584106
1561082413363	TYPE_ROTATION_VECTOR	0.019814488	0.022984413	0.697115
1561082413363	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.8	-36.239998	-84.54
1561082413363	TYPE_GYROSCOPE_UNCALIBRATED	0.16737366	-0.20188904	0.019836426
1561082413363	TYPE_ACCELEROMETER_UNCALIBRATED	0.08135986	0.653244	7.1653137
1561082413383	TYPE_ACCELEROMETER	0.16630554	0.64367676	6.948761
1561082413383	TYPE_MAGNETIC_FIELD	25.8	0.06	-27.9
1561082413383	TYPE_GYROSCOPE	0.16740417	-0.13597107	0.029449463
1561082413383	TYPE_ROTATION_VECTOR	0.021877155	0.023161229	0.69725215
1561082413383	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.8	-36.239998	-84.54
1561082413383	TYPE_GYROSCOPE_UNCALIBRATED	0.16889954	-0.13591003	0.028701782
1561082413383	TYPE_ACCELEROMETER_UNCALIBRATED	0.08135986	0.653244	7.1653137
1561082413402	TYPE_ACCELEROMETER	0.2476654	0.6233368	6.845871
1561082413402	TYPE_MAGNETIC_FIELD	25.92	0.06	-28.08
1561082413402	TYPE_GYROSCOPE	0.0693512	-0.11305237	0.05357361
1561082413402	TYPE_ROTATION_VECTOR	0.021877155	0.023161229	0.69725215
1561082413402	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.92	-36.239998	-84.72
1561082413402	TYPE_GYROSCOPE_UNCALIBRATED	0.07084656	-0.11299133	0.052825928
1561082413402	TYPE_ACCELEROMETER_UNCALIBRATED	0.22972107	0.624527	6.7944183
1561082413421	TYPE_ACCELEROMETER	0.22492981	0.6412811	6.7860413
1561082413421	TYPE_MAGNETIC_FIELD	25.92	0.06	-28.08
1561082413421	TYPE_GYROSCOPE	-0.058929443	-0.1210022	0.059066772
1561082413421	TYPE_ROTATION_VECTOR	0.021877155	0.023161229	0.69725215
1561082413421	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.92	-36.239998	-84.72
1561082413421	TYPE_GYROSCOPE_UNCALIBRATED	-0.057434082	-0.12094116	0.05831909
1561082413421	TYPE_ACCELEROMETER_UNCALIBRATED	0.22851562	0.6616211	6.805191
1561082413440	TYPE_ACCELEROMETER	0.24168396	0.7082825	6.652054
1561082413440	TYPE_MAGNETIC_FIELD	25.5	0.12	-27.9
1561082413440	TYPE_GYROSCOPE	-0.13406372	-0.095962524	0.06793213
1561082413440	TYPE_ROTATION_VECTOR	0.023490021	0.020835903	0.6981834
1561082413440	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.5	-36.18	-84.54
1561082413440	TYPE_GYROSCOPE_UNCALIBRATED	-0.13256836	-0.09590149	0.06718445
1561082413440	TYPE_ACCELEROMETER_UNCALIBRATED	0.28234863	0.7238312	6.294327
1561082413460	TYPE_ACCELEROMETER	0.38285828	0.72502136	5.9820557
1561082413460	TYPE_MAGNETIC_FIELD	25.5	-0.12	-27.96
1561082413460	TYPE_GYROSCOPE	-0.13192749	-0.024490356	0.09970093
1561082413460	TYPE_ROTATION_VECTOR	0.02296054	0.019389	0.6987554
1561082413460	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.5	-36.42	-84.6
1561082413460	TYPE_GYROSCOPE_UNCALIBRATED	-0.13043213	-0.024429321	0.09895325
1561082413460	TYPE_ACCELEROMETER_UNCALIBRATED	0.53240967	0.67118835	5.8205414
1561082413479	TYPE_ACCELEROMETER	0.61854553	0.62094116	5.580063
1561082413479	TYPE_MAGNETIC_FIELD	25.32	-0.12	-27.9
1561082413479	TYPE_GYROSCOPE	-0.13253784	0.04637146	0.13757324
1561082413479	TYPE_ROTATION_VECTOR	0.022044683	0.018687628	0.6996003
1561082413479	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.32	-36.42	-84.54
1561082413479	TYPE_GYROSCOPE_UNCALIBRATED	-0.13104248	0.046432495	0.13682556
1561082413479	TYPE_ACCELEROMETER_UNCALIBRATED	0.62812805	0.72024536	5.4305115
1561082413498	TYPE_ACCELEROMETER	0.65922546	0.83509827	5.5956116
1561082413498	TYPE_MAGNETIC_FIELD	25.019999	-0.17999999	-27.84
1561082413498	TYPE_GYROSCOPE	-0.24035645	0.014602661	0.15284729
1561082413498	TYPE_ROTATION_VECTOR	0.020559162	0.017798932	0.70064694
1561082413498	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.02	-36.48	-84.479996
1561082413498	TYPE_GYROSCOPE_UNCALIBRATED	-0.23886108	0.014663696	0.15209961
1561082413498	TYPE_ACCELEROMETER_UNCALIBRATED	0.81715393	0.9451599	5.801407
1561082413517	TYPE_ACCELEROMETER	0.97268677	0.9667053	5.794235
1561082413517	TYPE_MAGNETIC_FIELD	25.019999	-0.12	-27.66
1561082413517	TYPE_GYROSCOPE	-0.38787842	-0.0021972656	0.16659546
1561082413517	TYPE_ROTATION_VECTOR	0.01854694	0.015555496	0.7017562
1561082413517	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.02	-36.42	-84.3
1561082413517	TYPE_GYROSCOPE_UNCALIBRATED	-0.38638306	-0.0021362305	0.16584778
1561082413517	TYPE_ACCELEROMETER_UNCALIBRATED	0.8901367	0.8949127	5.900711
1561082413537	TYPE_ACCELEROMETER	0.16151428	0.79800415	6.4953156
1561082413537	TYPE_MAGNETIC_FIELD	24.779999	-0.17999999	-27.66
1561082413537	TYPE_GYROSCOPE	-0.5433502	-0.0021972656	0.18888855
1561082413537	TYPE_ROTATION_VECTOR	0.015339357	0.012613218	0.7030692
1561082413537	TYPE_MAGNETIC_FIELD_UNCALIBRATED	84.78	-36.48	-84.3
1561082413537	TYPE_GYROSCOPE_UNCALIBRATED	-0.54185486	-0.0021362305	0.18814087
1561082413537	TYPE_ACCELEROMETER_UNCALIBRATED	-0.91645813	0.82432556	7.8388977
1561082413556	TYPE_ACCELEROMETER	-1.5625153	0.74775696	10.242477
1561082413556	TYPE_MAGNETIC_FIELD	24.779999	-0.48	-27.539999
1561082413556	TYPE_GYROSCOPE	-0.8628235	-0.073654175	0.16873169
1561082413556	TYPE_ROTATION_VECTOR	0.0110658975	0.0076249843	0.7043396
1561082413556	TYPE_MAGNETIC_FIELD_UNCALIBRATED	84.78	-36.78	-84.18
1561082413556	TYPE_GYROSCOPE_UNCALIBRATED	-0.8613281	-0.07359314	0.16798401
1561082413556	TYPE_ACCELEROMETER_UNCALIBRATED	-0.91645813	0.82432556	7.8388977
1561082413575	TYPE_ACCELEROMETER	-1.3220367	-0.08255005	15.736404
1561082413575	TYPE_MAGNETIC_FIELD	25.019999	-0.53999996	-27.779999
1561082413575	TYPE_GYROSCOPE	-1.2030792	0.094314575	0.31381226
1561082413575	TYPE_ROTATION_VECTOR	0.0041061863	3.382336E-4	0.705787
1561082413575	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.02	-36.84	-84.42
1561082413575	TYPE_GYROSCOPE_UNCALIBRATED	-1.2015839	0.09437561	0.31306458
1561082413575	TYPE_ACCELEROMETER_UNCALIBRATED	-0.92723083	-0.44506836	17.11467
1561082413594	TYPE_ACCELEROMETER	-0.9439697	-0.7393799	17.947372
1561082413594	TYPE_MAGNETIC_FIELD	25.019999	-0.53999996	-27.9
1561082413594	TYPE_GYROSCOPE	-1.14505	0.2723999	0.548996
1561082413594	TYPE_ROTATION_VECTOR	-0.005723875	-0.0065845475	0.7087377
1561082413594	TYPE_MAGNETIC_FIELD_UNCALIBRATED	85.02	-36.84	-84.54
1561082413594	TYPE_GYROSCOPE_UNCALIBRATED	-1.1435547	0.27246094	0.5482483
1561082413594	TYPE_ACCELEROMETER_UNCALIBRATED	-0.92723083	-0.44506836	17.11467
1561082413613	TYPE_ACCELEROMETER	-1.1162567	-1.2179565	19.610382
1561082413613	TYPE_MAGNETIC_FIELD	25.26	-0.42	-27.9
