#	startTime:1561082492440
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561082492441	TYPE_WAYPOINT	175.17213	118.639435
1561082492571	TYPE_ACCELEROMETER	-0.3481598	1.2035828	8.817551
1561082492571	TYPE_MAGNETIC_FIELD	-2.34	35.1	-38.16
1561082492571	TYPE_GYROSCOPE	-0.08306885	0.019042969	-0.18206787
1561082492571	TYPE_ROTATION_VECTOR	0.072089285	0.012877501	-0.036751945
1561082492571	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.66	-1.2000008	-94.8
1561082492571	TYPE_GYROSCOPE_UNCALIBRATED	0.020141602	0.022003174	-0.2303009
1561082492571	TYPE_ACCELEROMETER_UNCALIBRATED	-0.32063293	1.2359009	8.606995
1561082492590	TYPE_ACCELEROMETER	-0.2763672	1.1210327	9.462418
1561082492590	TYPE_MAGNETIC_FIELD	-2.28	35.219997	-38.399998
1561082492590	TYPE_GYROSCOPE	-0.4016266	0.014297485	-0.024307251
1561082492590	TYPE_ROTATION_VECTOR	0.067879	0.016537763	-0.03834816
1561082492590	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.72	-1.0800018	-95.03999
1561082492590	TYPE_GYROSCOPE_UNCALIBRATED	-0.08157349	0.019104004	-0.18281555
1561082492590	TYPE_ACCELEROMETER_UNCALIBRATED	-0.31106567	1.1521454	9.128616
1561082492609	TYPE_ACCELEROMETER	-0.28953552	1.1437683	9.772293
1561082492609	TYPE_MAGNETIC_FIELD	-2.34	35.16	-38.64
1561082492609	TYPE_GYROSCOPE	-0.42115784	0.027435303	0.018157959
1561082492609	TYPE_ROTATION_VECTOR	0.059423763	0.011240805	-0.050329994
1561082492609	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.66	-1.1399994	-95.28
1561082492609	TYPE_GYROSCOPE_UNCALIBRATED	-0.40013123	0.0143585205	-0.025054932
1561082492609	TYPE_ACCELEROMETER_UNCALIBRATED	-0.26560974	1.1246338	9.65744
1561082492628	TYPE_ACCELEROMETER	-0.18305969	1.2263184	9.930222
1561082492628	TYPE_MAGNETIC_FIELD	-2.22	35.28	-38.879997
1561082492628	TYPE_GYROSCOPE	-0.43338013	0.021026611	0.032196045
1561082492628	TYPE_ROTATION_VECTOR	0.05702491	0.012878132	-0.030340599
1561082492628	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.78	-1.0200005	-95.52
1561082492628	TYPE_GYROSCOPE_UNCALIBRATED	-0.41966248	0.027496338	0.017410278
1561082492628	TYPE_ACCELEROMETER_UNCALIBRATED	-0.26441956	1.1868439	9.887146
1561082492648	TYPE_ACCELEROMETER	0.028717041	1.2634125	10.3046875
1561082492648	TYPE_MAGNETIC_FIELD	-2.22	35.52	-38.76
1561082492648	TYPE_GYROSCOPE	-0.48347473	-0.05166626	0.03189087
1561082492648	TYPE_ROTATION_VECTOR	0.062057868	0.0068290504	-0.03462856
1561082492648	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.78	-0.7799988	-95.399994
1561082492648	TYPE_GYROSCOPE_UNCALIBRATED	-0.43188477	0.021087646	0.031448364
1561082492648	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0765686	1.2478638	10.021149
1561082492667	TYPE_ACCELEROMETER	0.19741821	1.1330109	11.23909
1561082492667	TYPE_MAGNETIC_FIELD	-2.28	35.7	-38.64
1561082492667	TYPE_GYROSCOPE	-0.56533813	-0.16407776	0.017227173
1561082492667	TYPE_ROTATION_VECTOR	0.060258444	-0.0053239884	-0.034603093
1561082492667	TYPE_MAGNETIC_FIELD_UNCALIBRATED	57.72	-0.5999985	-95.28
1561082492667	TYPE_GYROSCOPE_UNCALIBRATED	-0.48197937	-0.051605225	0.031143188
1561082492667	TYPE_ACCELEROMETER_UNCALIBRATED	0.114868164	1.2227325	10.719849
1561082492686	TYPE_ACCELEROMETER	-0.15194702	1.1389923	12.802795
1561082492686	TYPE_MAGNETIC_FIELD	-1.9799999	35.7	-38.64
1561082492686	TYPE_GYROSCOPE	-0.55311584	-0.13414001	0.020584106
1561082492686	TYPE_ROTATION_VECTOR	0.04827608	-0.010169103	-0.029702147
1561082492686	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.02	-0.5999985	-95.28
1561082492686	TYPE_GYROSCOPE_UNCALIBRATED	-0.5638428	-0.16401672	0.016479492
1561082492686	TYPE_ACCELEROMETER_UNCALIBRATED	0.09213257	1.1186523	11.99762
1561082492705	TYPE_ACCELEROMETER	-0.4247284	1.2478638	13.676178
1561082492705	TYPE_MAGNETIC_FIELD	-1.9799999	36.0	-38.46
1561082492705	TYPE_GYROSCOPE	-0.33869934	0.02407837	0.07556152
1561082492705	TYPE_ROTATION_VECTOR	0.04272485	-0.011605394	-0.029682675
1561082492705	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.02	-0.29999924	-95.1
1561082492705	TYPE_GYROSCOPE_UNCALIBRATED	-0.5516205	-0.13407898	0.019836426
1561082492705	TYPE_ACCELEROMETER_UNCALIBRATED	-0.30389404	1.170105	13.338791
1561082492725	TYPE_ACCELEROMETER	-0.50727844	1.2993011	13.734802
1561082492725	TYPE_MAGNETIC_FIELD	-1.92	36.36	-38.16
1561082492725	TYPE_GYROSCOPE	-0.033584595	0.16854858	0.16262817
1561082492725	TYPE_ROTATION_VECTOR	0.038167566	-0.012100593	-0.029377986
1561082492725	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.08	0.060001373	-94.8
1561082492725	TYPE_GYROSCOPE_UNCALIBRATED	-0.33720398	0.024139404	0.07481384
1561082492725	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4845581	1.2921295	13.826935
1561082492744	TYPE_ACCELEROMETER	-0.550354	1.0408783	13.482361
1561082492744	TYPE_MAGNETIC_FIELD	-1.92	36.48	-37.86
1561082492744	TYPE_GYROSCOPE	0.14694214	0.21313477	0.22676086
1561082492744	TYPE_ROTATION_VECTOR	0.036416546	-0.011113622	-0.02822963
1561082492744	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.08	0.1800003	-94.5
1561082492744	TYPE_GYROSCOPE_UNCALIBRATED	-0.032089233	0.16860962	0.1618805
1561082492744	TYPE_ACCELEROMETER_UNCALIBRATED	-0.55633545	1.2311096	13.556549
1561082492763	TYPE_ACCELEROMETER	-0.40438843	0.53359985	13.624741
1561082492763	TYPE_MAGNETIC_FIELD	-1.68	36.899998	-37.44
1561082492763	TYPE_GYROSCOPE	0.14511108	0.10623169	0.25637817
1561082492763	TYPE_ROTATION_VECTOR	0.03722993	-0.009208272	-0.026246078
1561082492763	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.32	0.5999985	-94.08
1561082492763	TYPE_GYROSCOPE_UNCALIBRATED	0.1484375	0.2131958	0.22601318
1561082492763	TYPE_ACCELEROMETER_UNCALIBRATED	-0.46780396	0.7992096	13.552948
1561082492782	TYPE_ACCELEROMETER	-0.6269226	0.04547119	13.825729
1561082492782	TYPE_MAGNETIC_FIELD	-1.68	37.079998	-37.079998
1561082492782	TYPE_GYROSCOPE	0.13197327	-0.043426514	0.23776245
1561082492782	TYPE_ROTATION_VECTOR	0.038776517	-0.007669814	-0.023819346
1561082492782	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.32	0.7799988	-93.72
1561082492782	TYPE_GYROSCOPE_UNCALIBRATED	0.14660645	0.106292725	0.2556305
1561082492782	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4893341	0.26919556	13.689346
1561082492802	TYPE_ACCELEROMETER	-0.78604126	-0.3637085	13.853256
1561082492802	TYPE_MAGNETIC_FIELD	-1.62	37.2	-37.26
1561082492802	TYPE_GYROSCOPE	0.21321106	-0.111831665	0.20843506
1561082492802	TYPE_ROTATION_VECTOR	0.040024485	-0.0074974205	-0.021381168
1561082492802	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.38	0.9000015	-93.899994
1561082492802	TYPE_GYROSCOPE_UNCALIBRATED	0.13346863	-0.04336548	0.23701477
1561082492802	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6891327	-0.19741821	13.877182
1561082492821	TYPE_ACCELEROMETER	-1.1557312	-0.41036987	13.308884
1561082492821	TYPE_MAGNETIC_FIELD	-1.38	37.26	-37.38
1561082492821	TYPE_GYROSCOPE	0.4050293	-0.0974884	0.17759705
1561082492821	TYPE_ROTATION_VECTOR	0.041469276	-0.008524603	-0.01928545
1561082492821	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.62	0.9599991	-94.020004
1561082492821	TYPE_GYROSCOPE_UNCALIBRATED	0.21470642	-0.11177063	0.20768738
1561082492821	TYPE_ACCELEROMETER_UNCALIBRATED	-0.953537	-0.39601135	13.720444
1561082492840	TYPE_ACCELEROMETER	-1.532608	-0.40319824	11.79303
1561082492840	TYPE_MAGNETIC_FIELD	-1.38	37.38	-37.5
1561082492840	TYPE_GYROSCOPE	0.6154785	-0.08709717	0.18461609
1561082492840	TYPE_ROTATION_VECTOR	0.044281542	-0.009665765	-0.017461738
1561082492840	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.62	0.9599991	-94.020004
1561082492840	TYPE_GYROSCOPE_UNCALIBRATED	0.40652466	-0.09742737	0.17684937
1561082492840	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4572296	-0.3900299	12.583862
1561082492859	TYPE_ACCELEROMETER	-0.624527	-0.9511566	11.078766
1561082492859	TYPE_MAGNETIC_FIELD	-1.38	37.32	-37.8
1561082492859	TYPE_GYROSCOPE	0.6698456	-0.09472656	0.27166748
1561082492859	TYPE_ROTATION_VECTOR	0.049232405	-0.010690512	-0.015790442
1561082492859	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.62	1.0200005	-94.44
1561082492859	TYPE_GYROSCOPE_UNCALIBRATED	0.6169739	-0.08703613	0.18386841
1561082492859	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1389923	-0.6412811	11.335999
1561082492879	TYPE_ACCELEROMETER	-0.39242554	-1.2693939	10.313065
1561082492879	TYPE_MAGNETIC_FIELD	-1.38	37.32	-37.8
1561082492879	TYPE_GYROSCOPE	0.64663696	-0.10391235	0.29335022
1561082492879	TYPE_ROTATION_VECTOR	0.049232405	-0.010690512	-0.015790442
1561082492879	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.62	1.0200005	-94.44
1561082492879	TYPE_GYROSCOPE_UNCALIBRATED	0.67134094	-0.09466553	0.2709198
1561082492879	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3744812	-1.1425781	10.72583
1561082492898	TYPE_ACCELEROMETER	-0.5348053	-1.434494	10.124039
1561082492898	TYPE_MAGNETIC_FIELD	-1.38	37.32	-37.8
1561082492898	TYPE_GYROSCOPE	0.5779114	-0.23890686	0.2542572
1561082492898	TYPE_ROTATION_VECTOR	0.049232405	-0.010690512	-0.015790442
1561082492898	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.62	1.0200005	-94.44
1561082492898	TYPE_GYROSCOPE_UNCALIBRATED	0.6481323	-0.10385132	0.29260254
1561082492898	TYPE_ACCELEROMETER_UNCALIBRATED	-0.47737122	-1.3507538	10.120453
1561082492917	TYPE_ACCELEROMETER	-0.9379883	-1.3770752	9.644272
1561082492917	TYPE_MAGNETIC_FIELD	-1.3199999	36.96	-38.1
1561082492917	TYPE_GYROSCOPE	0.5498047	-0.40444946	0.19895935
1561082492917	TYPE_ROTATION_VECTOR	0.058689877	-0.01234144	-0.012231468
1561082492917	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.68	0.65999985	-94.74
1561082492917	TYPE_GYROSCOPE_UNCALIBRATED	0.57940674	-0.23884583	0.25350952
1561082492917	TYPE_ACCELEROMETER_UNCALIBRATED	-0.65205383	-1.475174	10.0247345
1561082492936	TYPE_ACCELEROMETER	-1.1593323	-1.2167511	7.972885
1561082492936	TYPE_MAGNETIC_FIELD	-1.0799999	36.12	-38.579998
1561082492936	TYPE_GYROSCOPE	0.65060425	-0.3791046	0.16629028
1561082492936	TYPE_ROTATION_VECTOR	0.07281457	-0.017936034	-0.006108209
1561082492936	TYPE_MAGNETIC_FIELD_UNCALIBRATED	58.92	-0.1800003	-95.22
1561082492936	TYPE_GYROSCOPE_UNCALIBRATED	0.55130005	-0.40438843	0.19821167
1561082492936	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1964111	-1.228714	8.902496
1561082492955	TYPE_ACCELEROMETER	-1.0277252	-0.96910095	6.111267
1561082492955	TYPE_MAGNETIC_FIELD	-0.9	35.88	-38.879997
1561082492955	TYPE_GYROSCOPE	0.69732666	-0.16741943	0.1806488
1561082492955	TYPE_ROTATION_VECTOR	0.07838745	-0.022158194	-0.004668153
1561082492955	TYPE_MAGNETIC_FIELD_UNCALIBRATED	59.1	-0.41999817	-95.52
1561082492955	TYPE_GYROSCOPE_UNCALIBRATED	0.6520996	-0.37904358	0.1655426
1561082492955	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0348969	-1.1712952	6.9750824
1561082492975	TYPE_ACCELEROMETER	-0.86260986	-0.5766754	5.23909
1561082492975	TYPE_MAGNETIC_FIELD	-0.78	35.52	-38.94
1561082492975	TYPE_GYROSCOPE	0.5357666	-0.049835205	0.16230774
1561082492975	TYPE_ROTATION_VECTOR	0.085006595	-0.02498885	-0.0030159946
1561082492975	TYPE_MAGNETIC_FIELD_UNCALIBRATED	59.22	-0.7799988	-95.58
1561082492975	TYPE_GYROSCOPE_UNCALIBRATED	0.698822	-0.1673584	0.17990112
1561082492975	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9499512	-0.7776642	5.5824585
1561082492994	TYPE_ACCELEROMETER	-0.6616211	-0.23928833	4.91127
1561082492994	TYPE_MAGNETIC_FIELD	-0.71999997	35.28	-39.239998
1561082492994	TYPE_GYROSCOPE	0.27156067	-0.089538574	0.12719727
1561082492994	TYPE_ROTATION_VECTOR	0.09107358	-0.025940962	-0.0013040772
1561082492994	TYPE_MAGNETIC_FIELD_UNCALIBRATED	59.28	-1.0200005	-95.88
1561082492994	TYPE_GYROSCOPE_UNCALIBRATED	0.53726196	-0.04977417	0.16156006
1561082492994	TYPE_ACCELEROMETER_UNCALIBRATED	-0.776474	-0.3852539	4.923233
1561082493013	TYPE_ACCELEROMETER	-0.72143555	0.046661377	5.848068
1561082493013	TYPE_MAGNETIC_FIELD	-0.9	34.92	-39.239998
1561082493013	TYPE_GYROSCOPE	0.04095459	-0.050750732	0.089920044
1561082493013	TYPE_ROTATION_VECTOR	0.09490718	-0.026740232	1.5112058E-4
