#	startTime:1561082766805
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561082766808	TYPE_WAYPOINT	53.153168	74.878204
1561082766950	TYPE_ACCELEROMETER	-0.8614197	0.37329102	12.537201
1561082766950	TYPE_MAGNETIC_FIELD	1.74	-41.7	-25.26
1561082766950	TYPE_GYROSCOPE	0.5617218	-0.17201233	-0.036224365
1561082766950	TYPE_ROTATION_VECTOR	-0.02818731	-0.0	0.98151815
1561082766950	TYPE_MAGNETIC_FIELD_UNCALIBRATED	53.46	-64.979996	-79.92
1561082766950	TYPE_GYROSCOPE_UNCALIBRATED	0.32008362	-0.283432	-0.33903503
1561082766950	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8099823	0.3206482	12.498917
1561082766969	TYPE_ACCELEROMETER	-0.59342957	0.23928833	12.177078
1561082766969	TYPE_MAGNETIC_FIELD	4.44	-41.399998	-27.72
1561082766969	TYPE_GYROSCOPE	0.7016144	-0.19828796	-0.037750244
1561082766969	TYPE_ROTATION_VECTOR	-0.033789814	0.017924877	0.9991881
1561082766969	TYPE_MAGNETIC_FIELD_UNCALIBRATED	56.159996	-64.67999	-82.38
1561082766969	TYPE_GYROSCOPE_UNCALIBRATED	0.56321716	-0.1719513	-0.036972046
1561082766969	TYPE_ACCELEROMETER_UNCALIBRATED	-0.42712402	0.21176147	11.467606
1561082766988	TYPE_ACCELEROMETER	-0.3062744	0.2368927	10.695923
1561082766988	TYPE_MAGNETIC_FIELD	4.5	-41.34	-27.779999
1561082766988	TYPE_GYROSCOPE	0.6945801	-0.26791382	-0.0655365
1561082766988	TYPE_ROTATION_VECTOR	-0.023471246	0.013435605	0.9986113
1561082766988	TYPE_MAGNETIC_FIELD_UNCALIBRATED	56.219997	-64.619995	-82.44
1561082766988	TYPE_GYROSCOPE_UNCALIBRATED	0.70310974	-0.19822693	-0.038497925
1561082766988	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21894836	0.32302856	10.00679
1561082767007	TYPE_ACCELEROMETER	-0.08734131	0.35772705	9.401398
1561082767007	TYPE_MAGNETIC_FIELD	4.2	-40.92	-27.42
1561082767007	TYPE_GYROSCOPE	0.5962372	-0.37542725	-0.093948364
1561082767007	TYPE_ROTATION_VECTOR	-0.0134895	0.007813045	0.9990196
1561082767007	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.92	-64.2	-82.08
1561082767007	TYPE_GYROSCOPE_UNCALIBRATED	0.69607544	-0.26785278	-0.06628418
1561082767007	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21894836	0.32302856	10.00679
1561082767027	TYPE_ACCELEROMETER	0.33738708	0.3589325	8.48735
1561082767027	TYPE_MAGNETIC_FIELD	4.14	-40.86	-27.24
1561082767027	TYPE_GYROSCOPE	0.53453064	-0.3525238	-0.14311218
1561082767027	TYPE_ROTATION_VECTOR	-0.0035292006	0.015123165	0.99873036
1561082767027	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.859997	-64.14	-81.9
1561082767027	TYPE_GYROSCOPE_UNCALIBRATED	0.536026	-0.35246277	-0.14385986
1561082767027	TYPE_ACCELEROMETER_UNCALIBRATED	0.5048981	0.34098816	8.020737
1561082767046	TYPE_ACCELEROMETER	0.48695374	0.36610413	7.507477
1561082767046	TYPE_MAGNETIC_FIELD	3.84	-40.559998	-27.06
1561082767046	TYPE_GYROSCOPE	0.52323914	-0.1793518	-0.18435669
1561082767046	TYPE_ROTATION_VECTOR	0.02024068	0.017881252	0.9975993
1561082767046	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.559998	-63.839996	-81.72
1561082767046	TYPE_GYROSCOPE_UNCALIBRATED	0.536026	-0.35246277	-0.14385986
1561082767046	TYPE_ACCELEROMETER_UNCALIBRATED	0.5048981	0.34098816	8.020737
1561082767065	TYPE_ACCELEROMETER	0.08375549	0.4510498	6.271591
1561082767065	TYPE_MAGNETIC_FIELD	3.78	-40.559998	-26.76
1561082767065	TYPE_GYROSCOPE	0.41297913	-0.07885742	-0.15106201
1561082767065	TYPE_ROTATION_VECTOR	0.02390927	0.022768918	0.99733263
1561082767065	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.499996	-63.839996	-81.42
1561082767065	TYPE_GYROSCOPE_UNCALIBRATED	0.4144745	-0.07879639	-0.15180969
1561082767065	TYPE_ACCELEROMETER_UNCALIBRATED	0.059829712	0.51446533	5.7056885
1561082767084	TYPE_ACCELEROMETER	0.14118958	0.55513	5.391037
1561082767084	TYPE_MAGNETIC_FIELD	3.54	-40.62	-26.519999
1561082767084	TYPE_GYROSCOPE	0.17411804	-0.08985901	-0.1043396
1561082767084	TYPE_ROTATION_VECTOR	0.025927402	0.027721668	0.99704546
1561082767084	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.26	-63.899998	-81.18
1561082767084	TYPE_GYROSCOPE_UNCALIBRATED	0.4144745	-0.07879639	-0.15180969
1561082767084	TYPE_ACCELEROMETER_UNCALIBRATED	0.20698547	0.5970154	5.345566
1561082767104	TYPE_ACCELEROMETER	0.2871399	0.61854553	5.48674
1561082767104	TYPE_MAGNETIC_FIELD	3.6599998	-40.86	-25.98
1561082767104	TYPE_GYROSCOPE	-0.013717651	-0.15002441	-0.08538818
1561082767104	TYPE_ROTATION_VECTOR	0.026907064	0.03165334	0.9968103
1561082767104	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.379997	-64.14	-80.64
1561082767104	TYPE_GYROSCOPE_UNCALIBRATED	0.1756134	-0.08979797	-0.10508728
1561082767104	TYPE_ACCELEROMETER_UNCALIBRATED	0.41755676	0.60658264	5.5621185
1561082767123	TYPE_ACCELEROMETER	0.51446533	0.62094116	5.304886
1561082767123	TYPE_MAGNETIC_FIELD	3.54	-40.86	-25.619999
1561082767123	TYPE_GYROSCOPE	-0.069000244	-0.026626587	-0.08782959
1561082767123	TYPE_ROTATION_VECTOR	0.027843881	0.033294514	0.99666375
1561082767123	TYPE_MAGNETIC_FIELD_UNCALIBRATED	55.26	-64.14	-80.28
1561082767123	TYPE_GYROSCOPE_UNCALIBRATED	-0.06750488	-0.026565552	-0.08857727
1561082767123	TYPE_ACCELEROMETER_UNCALIBRATED	0.49771118	0.6915283	4.7892456
1561082767142	TYPE_ACCELEROMETER	0.44506836	0.7453613	4.2963257
1561082767142	TYPE_MAGNETIC_FIELD	3.54	-40.62	-25.439999
