#	startTime:1561082792893
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561082792894	TYPE_WAYPOINT	52.486904	55.10289
1561082793000	TYPE_ACCELEROMETER	-0.7346039	-0.028717041	12.543182
1561082793000	TYPE_MAGNETIC_FIELD	-24.72	-23.939999	-53.76
1561082793000	TYPE_GYROSCOPE	-0.20736694	0.06652832	0.04777527
1561082793000	TYPE_ROTATION_VECTOR	0.031451225	7.368253E-6	-0.8993552
1561082793000	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.999998	-47.219997	-108.42
1561082793000	TYPE_GYROSCOPE_UNCALIBRATED	-0.20587158	0.066589355	0.047027588
1561082793000	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7346039	-0.028717041	12.543182
1561082793019	TYPE_ACCELEROMETER	-0.5647125	-0.047851562	10.267609
1561082793019	TYPE_MAGNETIC_FIELD	-24.84	-23.76	-53.46
1561082793019	TYPE_GYROSCOPE	0.6929016	-0.21842957	0.04273987
1561082793019	TYPE_ROTATION_VECTOR	0.02497117	0.010305171	-0.90282726
1561082793019	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.879997	-47.04	-108.119995
1561082793019	TYPE_GYROSCOPE_UNCALIBRATED	0.694397	-0.21836853	0.041992188
1561082793019	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5647125	-0.047851562	10.267609
1561082793038	TYPE_ACCELEROMETER	-0.7465668	0.16989136	7.8640137
1561082793038	TYPE_MAGNETIC_FIELD	-24.84	-23.76	-53.039997
1561082793038	TYPE_GYROSCOPE	0.9169464	-0.3525238	0.05480957
1561082793038	TYPE_ROTATION_VECTOR	0.023714522	0.0129916575	-0.9108828
1561082793038	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.879997	-47.04	-107.7
1561082793038	TYPE_GYROSCOPE_UNCALIBRATED	0.9184418	-0.35246277	0.05406189
1561082793038	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7465668	0.16989136	7.8640137
1561082793057	TYPE_ACCELEROMETER	-0.3361969	0.3481598	6.2105713
1561082793057	TYPE_MAGNETIC_FIELD	-24.96	-24.0	-52.68
1561082793057	TYPE_GYROSCOPE	0.6600647	-0.48905945	0.07373047
1561082793057	TYPE_ROTATION_VECTOR	0.04621433	0.0075885565	-0.90180445
1561082793057	TYPE_MAGNETIC_FIELD_UNCALIBRATED	26.759998	-47.28	-107.34
1561082793057	TYPE_GYROSCOPE_UNCALIBRATED	0.66156006	-0.4889984	0.07298279
1561082793057	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3361969	0.3481598	6.2105713
1561082793077	TYPE_ACCELEROMETER	-0.029907227	0.41036987	5.62912
1561082793077	TYPE_MAGNETIC_FIELD	-25.019999	-24.3	-52.14
1561082793077	TYPE_GYROSCOPE	0.3955536	-0.51501465	0.06365967
