#	startTime:1561082872914
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561082872915	TYPE_WAYPOINT	43.457542	27.674467
1561082873043	TYPE_ACCELEROMETER	0.33380127	0.72024536	6.55394
1561082873043	TYPE_MAGNETIC_FIELD	-22.32	9.84	-37.26
1561082873043	TYPE_GYROSCOPE	0.03729248	0.014755249	0.058776855
1561082873043	TYPE_ROTATION_VECTOR	0.020409929	-0.03592513	-0.5117052
1561082873043	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.399998	-13.439999	-91.92
1561082873043	TYPE_GYROSCOPE_UNCALIBRATED	0.073898315	0.054367065	0.015258789
1561082873043	TYPE_ACCELEROMETER_UNCALIBRATED	0.33380127	0.72024536	6.55394
1561082873062	TYPE_ACCELEROMETER	0.21655273	0.879364	6.5814667
1561082873062	TYPE_MAGNETIC_FIELD	-22.14	9.78	-37.079998
1561082873062	TYPE_GYROSCOPE	-0.07022095	-0.11154175	0.1711731
1561082873062	TYPE_ROTATION_VECTOR	0.035177786	-0.046618927	-0.4610115
1561082873062	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.579998	-13.499999	-91.74
1561082873062	TYPE_GYROSCOPE_UNCALIBRATED	0.03878784	0.014816284	0.058029175
1561082873062	TYPE_ACCELEROMETER_UNCALIBRATED	0.21655273	0.879364	6.5814667
1561082873081	TYPE_ACCELEROMETER	-0.07537842	0.9906311	6.541977
1561082873081	TYPE_MAGNETIC_FIELD	-21.96	9.54	-36.96
1561082873081	TYPE_GYROSCOPE	-0.05618286	-0.10635376	0.118637085
1561082873081	TYPE_ROTATION_VECTOR	0.051007137	-0.045038704	-0.47412488
1561082873081	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.759998	-13.739999	-91.619995
1561082873081	TYPE_GYROSCOPE_UNCALIBRATED	-0.068725586	-0.11148071	0.17042542
1561082873081	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07537842	0.9906311	6.541977
1561082873100	TYPE_ACCELEROMETER	-0.31466675	1.0456696	6.6185455
1561082873100	TYPE_MAGNETIC_FIELD	-22.02	9.48	-36.96
1561082873100	TYPE_GYROSCOPE	-0.036621094	-0.08282471	0.09724426
1561082873100	TYPE_ROTATION_VECTOR	0.06803495	-0.03128368	-0.47940123
1561082873100	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.699997	-13.799999	-91.619995
1561082873100	TYPE_GYROSCOPE_UNCALIBRATED	-0.0546875	-0.106292725	0.117889404
1561082873100	TYPE_ACCELEROMETER_UNCALIBRATED	-0.31466675	1.0456696	6.6185455
1561082873120	TYPE_ACCELEROMETER	-0.20458984	1.0671997	6.5144653
1561082873120	TYPE_MAGNETIC_FIELD	-22.14	9.48	-36.84
1561082873120	TYPE_GYROSCOPE	-0.034179688	-0.060836792	0.1146698
1561082873120	TYPE_ROTATION_VECTOR	0.07932252	-0.017074073	-0.481579
1561082873120	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.579998	-13.799999	-91.5
1561082873120	TYPE_GYROSCOPE_UNCALIBRATED	-0.035125732	-0.08276367	0.09649658
1561082873120	TYPE_ACCELEROMETER_UNCALIBRATED	-0.20458984	1.0671997	6.5144653
1561082873139	TYPE_ACCELEROMETER	-0.21774292	1.1066895	6.4701996
1561082873139	TYPE_MAGNETIC_FIELD	-21.96	9.54	-36.78
1561082873139	TYPE_GYROSCOPE	-0.06594849	-0.036087036	0.116500854
1561082873139	TYPE_ROTATION_VECTOR	0.07929646	-0.023254143	-0.4518082
