#	startTime:1561083008768
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561083008769	TYPE_WAYPOINT	79.59223	20.534275
1561083008899	TYPE_ACCELEROMETER	-0.91285706	1.9537354	10.711472
1561083008899	TYPE_MAGNETIC_FIELD	2.46	31.439999	-40.68
1561083008899	TYPE_GYROSCOPE	0.23077393	-0.07702637	0.004562378
1561083008899	TYPE_ROTATION_VECTOR	0.068818755	0.02503162	3.8674838E-4
1561083008899	TYPE_MAGNETIC_FIELD_UNCALIBRATED	56.28	5.5199986	-95.58
1561083008899	TYPE_GYROSCOPE_UNCALIBRATED	0.20524597	-0.031143188	0.037246704
1561083008899	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0444641	2.0973053	10.10968
1561083008918	TYPE_ACCELEROMETER	-1.0157623	2.116455	9.498306
1561083008918	TYPE_MAGNETIC_FIELD	2.58	31.32	-40.68
1561083008918	TYPE_GYROSCOPE	0.31401062	-0.1982727	-0.09515381
1561083008918	TYPE_ROTATION_VECTOR	0.10130163	0.04919804	-0.0071976786
1561083008918	TYPE_MAGNETIC_FIELD_UNCALIBRATED	56.4	5.3999996	-95.58
1561083008918	TYPE_GYROSCOPE_UNCALIBRATED	0.23226929	-0.07696533	0.0038146973
1561083008918	TYPE_ACCELEROMETER_UNCALIBRATED	-0.96910095	2.1128693	8.9730835
1561083008937	TYPE_ACCELEROMETER	-0.9870453	2.1320038	8.646469
1561083008937	TYPE_MAGNETIC_FIELD	2.6399999	31.14	-40.739998
1561083008937	TYPE_GYROSCOPE	0.28805542	-0.12956238	-0.09883118
1561083008937	TYPE_ROTATION_VECTOR	0.114977166	0.051349536	-0.00863636
1561083008937	TYPE_MAGNETIC_FIELD_UNCALIBRATED	56.46	5.2199993	-95.64
1561083008937	TYPE_GYROSCOPE_UNCALIBRATED	0.31550598	-0.19821167	-0.09590149
1561083008937	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0325012	2.157135	8.338989
1561083008956	TYPE_ACCELEROMETER	-0.99542236	2.1343994	7.959732
1561083008956	TYPE_MAGNETIC_FIELD	2.46	31.14	-40.92
1561083008956	TYPE_GYROSCOPE	0.22573853	-0.06266785	-0.07348633
1561083008956	TYPE_ROTATION_VECTOR	0.12750098	0.054954343	-0.034798916
1561083008956	TYPE_MAGNETIC_FIELD_UNCALIBRATED	56.28	5.2199993	-95.81999
1561083008956	TYPE_GYROSCOPE_UNCALIBRATED	0.28955078	-0.12950134	-0.09957886
1561083008956	TYPE_ACCELEROMETER_UNCALIBRATED	-0.86979675	2.059021	7.6127625
1561083008976	TYPE_ACCELEROMETER	-0.7405853	1.9453583	7.318451
1561083008976	TYPE_MAGNETIC_FIELD	2.34	31.08	-40.739998
1561083008976	TYPE_GYROSCOPE	0.122802734	-0.011047363	-0.04385376
1561083008976	TYPE_ROTATION_VECTOR	0.13209324	0.05057445	-0.03045999
1561083008976	TYPE_MAGNETIC_FIELD_UNCALIBRATED	56.16	5.16	-95.64
1561083008976	TYPE_GYROSCOPE_UNCALIBRATED	0.22723389	-0.06260681	-0.07423401
1561083008976	TYPE_ACCELEROMETER_UNCALIBRATED	-0.86979675	2.059021	7.6127625
1561083008995	TYPE_ACCELEROMETER	-0.7034912	1.7575378	6.793228
1561083008995	TYPE_MAGNETIC_FIELD	2.28	30.9	-40.8
1561083008995	TYPE_GYROSCOPE	0.0027770996	0.02835083	-0.03590393
1561083008995	TYPE_ROTATION_VECTOR	0.12734333	0.044250295	-0.024255699
1561083008995	TYPE_MAGNETIC_FIELD_UNCALIBRATED	56.1	4.9799995	-95.7
1561083008995	TYPE_GYROSCOPE_UNCALIBRATED	0.004272461	0.028411865	-0.03665161
1561083008995	TYPE_ACCELEROMETER_UNCALIBRATED	-0.68315125	1.8317108	7.0241394
1561083009014	TYPE_ACCELEROMETER	-0.68315125	1.5876465	6.521637
1561083009014	TYPE_MAGNETIC_FIELD	2.28	30.9	-40.8
1561083009014	TYPE_GYROSCOPE	-0.08244324	0.045455933	-0.022781372
1561083009014	TYPE_ROTATION_VECTOR	0.12734333	0.044250295	-0.024255699
