#	startTime:1561083046307
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561083046307	TYPE_WAYPOINT	66.83354	35.11255
1561083046435	TYPE_ACCELEROMETER	0.14715576	0.03590393	10.167099
1561083046435	TYPE_MAGNETIC_FIELD	-14.099999	-23.88	-47.579998
1561083046435	TYPE_GYROSCOPE	0.6499939	-0.18209839	-0.1709137
1561083046435	TYPE_ROTATION_VECTOR	0.01753101	0.013482347	-0.962841
1561083046435	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.72	-49.8	-102.479996
1561083046435	TYPE_GYROSCOPE_UNCALIBRATED	-0.25045776	-0.028701782	0.22540283
1561083046435	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0765686	-0.021530151	11.164917
1561083046454	TYPE_ACCELEROMETER	0.4845581	-0.051452637	8.957535
1561083046454	TYPE_MAGNETIC_FIELD	-14.099999	-23.88	-47.579998
1561083046454	TYPE_GYROSCOPE	0.6194458	-0.23431396	-0.21549988
1561083046454	TYPE_ROTATION_VECTOR	0.01753101	0.013482347	-0.962841
1561083046454	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.72	-49.8	-102.479996
1561083046454	TYPE_GYROSCOPE_UNCALIBRATED	0.20585632	-0.09284973	0.034820557
1561083046454	TYPE_ACCELEROMETER_UNCALIBRATED	0.42233276	-0.13520813	8.763718
1561083046473	TYPE_ACCELEROMETER	0.3792572	-0.24885559	8.519653
1561083046473	TYPE_MAGNETIC_FIELD	-14.04	-24.06	-47.399998
1561083046473	TYPE_GYROSCOPE	0.64082336	-0.22454834	-0.19290161
1561083046473	TYPE_ROTATION_VECTOR	-0.02651055	-0.0053329933	-0.9783366
1561083046473	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.78	-49.98	-102.299995
1561083046473	TYPE_GYROSCOPE_UNCALIBRATED	0.6301117	-0.21929932	-0.20037842
1561083046473	TYPE_ACCELEROMETER_UNCALIBRATED	0.40797424	-0.3756714	8.225327
1561083046492	TYPE_ACCELEROMETER	0.41036987	-0.47019958	7.9046936
1561083046492	TYPE_MAGNETIC_FIELD	-13.86	-24.3	-47.34
1561083046492	TYPE_GYROSCOPE	0.6463318	-0.10572815	-0.14709473
1561083046492	TYPE_ROTATION_VECTOR	-0.023744209	0.01293831	-0.9807954
1561083046492	TYPE_MAGNETIC_FIELD_UNCALIBRATED	39.96	-50.22	-102.24
1561083046492	TYPE_GYROSCOPE_UNCALIBRATED	0.628891	-0.23852539	-0.21228027
1561083046492	TYPE_ACCELEROMETER_UNCALIBRATED	0.34098816	-0.5575409	7.5266266
1561083046512	TYPE_ACCELEROMETER	0.27398682	-0.6412811	7.130615
1561083046512	TYPE_MAGNETIC_FIELD	-13.799999	-24.779999	-46.739998
1561083046512	TYPE_GYROSCOPE	0.5531616	-0.046783447	-0.10983276
1561083046512	TYPE_ROTATION_VECTOR	-0.030757528	0.022700595	-0.98128444
1561083046512	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.02	-50.699997	-101.64
1561083046512	TYPE_GYROSCOPE_UNCALIBRATED	0.65270996	-0.17530823	-0.17044067
1561083046512	TYPE_ACCELEROMETER_UNCALIBRATED	0.26200867	-0.69750977	6.776474
1561083046531	TYPE_ACCELEROMETER	0.27876282	-0.75494385	6.4247284
1561083046531	TYPE_MAGNETIC_FIELD	-13.62	-25.26	-46.44
1561083046531	TYPE_GYROSCOPE	0.4340515	0.0045318604	-0.09303284
1561083046531	TYPE_ROTATION_VECTOR	-0.027347809	0.038010474	-0.98073655
1561083046531	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.2	-51.18	-101.34
1561083046531	TYPE_GYROSCOPE_UNCALIBRATED	0.6139221	-0.05833435	-0.12738037
1561083046531	TYPE_ACCELEROMETER_UNCALIBRATED	0.23809814	-0.7872467	5.9820557
1561083046550	TYPE_ACCELEROMETER	0.10290527	-0.77049255	5.4137726
1561083046550	TYPE_MAGNETIC_FIELD	-13.32	-25.56	-45.899998
1561083046550	TYPE_GYROSCOPE	0.27093506	0.033843994	-0.09057617
1561083046550	TYPE_ROTATION_VECTOR	-0.026822213	0.032751717	-0.98110765
1561083046550	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.5	-51.48	-100.799995
1561083046550	TYPE_GYROSCOPE_UNCALIBRATED	0.49205017	-0.032669067	-0.09866333
1561083046550	TYPE_ACCELEROMETER_UNCALIBRATED	-0.058624268	-0.70588684	4.832306
1561083046569	TYPE_ACCELEROMETER	-0.20219421	-0.62931824	4.3752747
1561083046569	TYPE_MAGNETIC_FIELD	-13.0199995	-25.8	-45.6
1561083046569	TYPE_GYROSCOPE	-8.8500977E-4	-0.05227661	-0.07775879
1561083046569	TYPE_ROTATION_VECTOR	-0.026022265	0.028630417	-0.9814058
1561083046569	TYPE_MAGNETIC_FIELD_UNCALIBRATED	40.8	-51.72	-100.5
1561083046569	TYPE_GYROSCOPE_UNCALIBRATED	0.14323425	-0.009765625	-0.08705139
