#	startTime:1561083201480
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561083201481	TYPE_WAYPOINT	58.894367	80.66992
1561083201613	TYPE_ACCELEROMETER	-0.32304382	1.0911255	9.223145
1561083201613	TYPE_MAGNETIC_FIELD	-25.5	14.28	-34.86
1561083201613	TYPE_GYROSCOPE	0.096221924	0.06286621	0.026397705
1561083201613	TYPE_ROTATION_VECTOR	0.06281669	-0.014045738	-0.44941178
1561083201613	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.919998	-13.62	-95.22
1561083201613	TYPE_GYROSCOPE_UNCALIBRATED	0.097717285	0.062927246	0.025650024
1561083201613	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29193115	1.1593323	9.08316
1561083201632	TYPE_ACCELEROMETER	-0.21057129	1.1090698	9.134613
1561083201632	TYPE_MAGNETIC_FIELD	-25.56	14.4	-34.86
1561083201632	TYPE_GYROSCOPE	-0.13101196	-0.05670166	0.04701233
1561083201632	TYPE_ROTATION_VECTOR	0.059466477	-0.010978364	-0.46618497
1561083201632	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.859999	-13.5	-95.22
1561083201632	TYPE_GYROSCOPE_UNCALIBRATED	-0.1295166	-0.056640625	0.04626465
1561083201632	TYPE_ACCELEROMETER_UNCALIBRATED	-0.32781982	1.0959167	9.265015
1561083201651	TYPE_ACCELEROMETER	0.055038452	1.1270294	8.390442
1561083201651	TYPE_MAGNETIC_FIELD	-25.439999	14.46	-35.16
1561083201651	TYPE_GYROSCOPE	-0.2162323	-0.20561218	0.0657959
1561083201651	TYPE_ROTATION_VECTOR	0.057434347	-0.024492314	-0.43977877
1561083201651	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.98	-13.44	-95.52
1561083201651	TYPE_GYROSCOPE_UNCALIBRATED	-0.21473694	-0.20555115	0.06504822
1561083201651	TYPE_ACCELEROMETER_UNCALIBRATED	-0.059829712	1.1174469	8.779266
1561083201670	TYPE_ACCELEROMETER	0.09213257	1.2143555	8.334198
1561083201670	TYPE_MAGNETIC_FIELD	-25.439999	14.46	-35.16
1561083201670	TYPE_GYROSCOPE	-0.25532532	-0.21263123	0.08106995
1561083201670	TYPE_ROTATION_VECTOR	0.057434347	-0.024492314	-0.43977877
1561083201670	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.98	-13.44	-95.52
1561083201670	TYPE_GYROSCOPE_UNCALIBRATED	-0.25382996	-0.21257019	0.080322266
1561083201670	TYPE_ACCELEROMETER_UNCALIBRATED	0.10169983	1.1605225	8.26123
1561083201690	TYPE_ACCELEROMETER	0.26800537	1.228714	8.322235
1561083201690	TYPE_MAGNETIC_FIELD	-25.619999	14.82	-35.34
1561083201690	TYPE_GYROSCOPE	-0.24859619	-0.072753906	0.11619568
1561083201690	TYPE_ROTATION_VECTOR	0.061599936	-0.039592385	-0.43516245
1561083201690	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.8	-13.08	-95.7
1561083201690	TYPE_GYROSCOPE_UNCALIBRATED	-0.24710083	-0.07269287	0.115448
1561083201690	TYPE_ACCELEROMETER_UNCALIBRATED	0.15911865	1.2299194	8.358124
1561083201709	TYPE_ACCELEROMETER	0.5276184	1.1617279	8.689545
1561083201709	TYPE_MAGNETIC_FIELD	-25.74	15.059999	-35.52
1561083201709	TYPE_GYROSCOPE	-0.2250824	0.08760071	0.14428711
1561083201709	TYPE_ROTATION_VECTOR	0.05341197	-0.05100233	-0.42690834
1561083201709	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.679998	-12.84	-95.88
1561083201709	TYPE_GYROSCOPE_UNCALIBRATED	-0.22358704	0.08766174	0.14353943
1561083201709	TYPE_ACCELEROMETER_UNCALIBRATED	0.3972168	1.2143555	8.453842
1561083201728	TYPE_ACCELEROMETER	0.4510498	1.1294098	9.023331
1561083201728	TYPE_MAGNETIC_FIELD	-25.74	15.059999	-35.52
1561083201728	TYPE_GYROSCOPE	-0.24798584	0.11997986	0.118637085
1561083201728	TYPE_ROTATION_VECTOR	0.05341197	-0.05100233	-0.42690834
1561083201728	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.679998	-12.84	-95.88
1561083201728	TYPE_GYROSCOPE_UNCALIBRATED	-0.24649048	0.12004089	0.117889404
1561083201728	TYPE_ACCELEROMETER_UNCALIBRATED	0.5778656	1.1126709	8.843872
1561083201747	TYPE_ACCELEROMETER	0.04067993	1.3639069	9.75914
1561083201747	TYPE_MAGNETIC_FIELD	-25.74	15.059999	-35.52
1561083201747	TYPE_GYROSCOPE	-0.31610107	0.062561035	0.064575195
1561083201747	TYPE_ROTATION_VECTOR	0.05341197	-0.05100233	-0.42690834
1561083201747	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.679998	-12.84	-95.88
1561083201747	TYPE_GYROSCOPE_UNCALIBRATED	-0.3146057	0.06262207	0.063827515
1561083201747	TYPE_ACCELEROMETER_UNCALIBRATED	0.1986084	1.2346954	9.378677
1561083201767	TYPE_ACCELEROMETER	0.08854675	1.4739838	10.076187
1561083201767	TYPE_MAGNETIC_FIELD	-25.74	15.12	-35.76
1561083201767	TYPE_GYROSCOPE	-0.33595276	0.049423218	0.06427002
1561083201767	TYPE_ROTATION_VECTOR	0.050963163	-0.048398603	-0.4251663
1561083201767	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.679998	-12.78	-96.119995
1561083201767	TYPE_GYROSCOPE_UNCALIBRATED	-0.3344574	0.049484253	0.06352234
1561083201767	TYPE_ACCELEROMETER_UNCALIBRATED	0.0335083	1.4524536	9.961334
1561083201786	TYPE_ACCELEROMETER	0.08015442	1.4333038	10.894531
1561083201786	TYPE_MAGNETIC_FIELD	-25.8	15.299999	-35.76
1561083201786	TYPE_GYROSCOPE	-0.34083557	0.04789734	0.06427002
1561083201786	TYPE_ROTATION_VECTOR	0.04480439	-0.0438676	-0.4238652
1561083201786	TYPE_MAGNETIC_FIELD_UNCALIBRATED	31.619999	-12.6	-96.119995
1561083201786	TYPE_GYROSCOPE_UNCALIBRATED	-0.3393402	0.047958374	0.06352234
1561083201786	TYPE_ACCELEROMETER_UNCALIBRATED	0.10887146	1.4452667	10.400406
1561083201805	TYPE_ACCELEROMETER	0.0	1.3986053	11.553757
1561083201805	TYPE_MAGNETIC_FIELD	-25.74	15.48	-35.76
