#	startTime:1561083341893
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561083341893	TYPE_WAYPOINT	76.78414	85.573875
1561083342016	TYPE_ACCELEROMETER	0.24526978	1.1712952	8.823532
1561083342016	TYPE_MAGNETIC_FIELD	-2.6399999	-26.88	-37.32
1561083342016	TYPE_GYROSCOPE	-0.03387451	-0.0493927	-0.07348633
1561083342016	TYPE_ROTATION_VECTOR	-0.009335269	-0.0636895	-0.99608105
1561083342016	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.78	-54.78	-97.67999
1561083342016	TYPE_GYROSCOPE_UNCALIBRATED	0.082458496	-0.0836792	-0.08552551
1561083342016	TYPE_ACCELEROMETER_UNCALIBRATED	0.30747986	1.183258	8.943176
1561083342035	TYPE_ACCELEROMETER	0.021530151	1.1904297	9.018555
1561083342035	TYPE_MAGNETIC_FIELD	-2.76	-27.0	-37.32
1561083342035	TYPE_GYROSCOPE	-0.36772156	0.07722473	-0.037750244
1561083342035	TYPE_ROTATION_VECTOR	-0.010973779	-0.065321855	-0.99654186
1561083342035	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.66	-54.9	-97.67999
1561083342035	TYPE_GYROSCOPE_UNCALIBRATED	-0.03237915	-0.049331665	-0.07423401
1561083342035	TYPE_ACCELEROMETER_UNCALIBRATED	0.102890015	1.179657	8.908478
1561083342054	TYPE_ACCELEROMETER	0.015563965	1.1186523	8.93959
1561083342054	TYPE_MAGNETIC_FIELD	-3.0	-26.699999	-37.38
1561083342054	TYPE_GYROSCOPE	-0.31671143	0.09187317	-0.023086548
1561083342054	TYPE_ROTATION_VECTOR	0.0060317907	-0.064067304	-0.99333507
1561083342054	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.42	-54.6	-97.74
1561083342054	TYPE_GYROSCOPE_UNCALIBRATED	-0.3662262	0.07728577	-0.038497925
1561083342054	TYPE_ACCELEROMETER_UNCALIBRATED	0.013168335	1.1533356	9.024536
1561083342073	TYPE_ACCELEROMETER	-0.044265747	1.1389923	8.719452
1561083342073	TYPE_MAGNETIC_FIELD	-3.06	-26.519999	-37.44
1561083342073	TYPE_GYROSCOPE	-0.27609253	0.034469604	-0.011779785
1561083342073	TYPE_ROTATION_VECTOR	5.4995273E-4	-0.06247649	-0.9956202
1561083342073	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.359997	-54.42	-97.799995
1561083342073	TYPE_GYROSCOPE_UNCALIBRATED	-0.31521606	0.091934204	-0.023834229
1561083342073	TYPE_ACCELEROMETER_UNCALIBRATED	-0.010772705	1.1162567	8.828323
1561083342093	TYPE_ACCELEROMETER	-0.14117432	1.2406769	8.672791
1561083342093	TYPE_MAGNETIC_FIELD	-3.24	-26.22	-37.32
1561083342093	TYPE_GYROSCOPE	-0.27304077	-0.0064697266	0.012969971
1561083342093	TYPE_ROTATION_VECTOR	0.007575867	-0.06392874	-0.9941139
1561083342093	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.179996	-54.12	-97.67999
1561083342093	TYPE_GYROSCOPE_UNCALIBRATED	-0.2715454	-0.0064086914	0.01222229
1561083342093	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0765686	1.1665039	8.689545
1561083342112	TYPE_ACCELEROMETER	-0.1531372	1.4464722	8.475388
1561083342112	TYPE_MAGNETIC_FIELD	-3.4199998	-25.92	-37.44
1561083342112	TYPE_GYROSCOPE	-0.2531891	-0.0015869141	0.053894043
1561083342112	TYPE_ROTATION_VECTOR	0.01491756	-0.068645544	-0.99239874
1561083342112	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.179996	-54.12	-97.67999
1561083342112	TYPE_GYROSCOPE_UNCALIBRATED	-0.2715454	-0.0064086914	0.01222229
1561083342112	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0765686	1.1665039	8.689545
1561083342131	TYPE_ACCELEROMETER	0.0095825195	1.458435	8.367706
1561083342131	TYPE_MAGNETIC_FIELD	-3.4199998	-25.92	-37.44
1561083342131	TYPE_GYROSCOPE	-0.24707031	0.037521362	0.10458374
1561083342131	TYPE_ROTATION_VECTOR	0.01491756	-0.068645544	-0.99239874
1561083342131	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.0	-53.82	-97.799995
1561083342131	TYPE_GYROSCOPE_UNCALIBRATED	-0.25169373	-0.0015258789	0.053146362
1561083342131	TYPE_ACCELEROMETER_UNCALIBRATED	-0.090927124	1.4847565	8.378479
1561083342150	TYPE_ACCELEROMETER	-0.035888672	1.4680023	8.809189
1561083342150	TYPE_MAGNETIC_FIELD	-3.4199998	-25.92	-37.44
1561083342150	TYPE_GYROSCOPE	-0.29289246	0.102264404	0.12535095
1561083342150	TYPE_ROTATION_VECTOR	0.01491756	-0.068645544	-0.99239874
1561083342150	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.0	-53.82	-97.799995
1561083342150	TYPE_GYROSCOPE_UNCALIBRATED	-0.24557495	0.037582397	0.10383606
1561083342150	TYPE_ACCELEROMETER_UNCALIBRATED	0.029922485	1.4608307	8.505295
1561083342170	TYPE_ACCELEROMETER	-0.1375885	1.3854523	9.810577
1561083342170	TYPE_MAGNETIC_FIELD	-3.4199998	-25.68	-37.559998
1561083342170	TYPE_GYROSCOPE	-0.35427856	0.1157074	0.13360596
1561083342170	TYPE_ROTATION_VECTOR	0.014448671	-0.06497817	-0.99258363
1561083342170	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.0	-53.58	-97.92
1561083342170	TYPE_GYROSCOPE_UNCALIBRATED	-0.2913971	0.10232544	0.12460327
1561083342170	TYPE_ACCELEROMETER_UNCALIBRATED	-0.052642822	1.4201508	9.261429
1561083342189	TYPE_ACCELEROMETER	-0.4893341	1.3543396	10.9734955
1561083342189	TYPE_MAGNETIC_FIELD	-3.36	-25.5	-37.92
1561083342189	TYPE_GYROSCOPE	-0.34327698	0.13220215	0.13511658
1561083342189	TYPE_ROTATION_VECTOR	0.015476468	-0.058041	-0.99268305
1561083342189	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.059998	-53.4	-98.28
1561083342189	TYPE_GYROSCOPE_UNCALIBRATED	-0.3527832	0.11576843	0.13285828
1561083342189	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3397827	1.3758698	10.395615
1561083342208	TYPE_ACCELEROMETER	-0.48693848	1.2562408	12.312271
1561083342208	TYPE_MAGNETIC_FIELD	-3.4199998	-25.08	-37.98
1561083342208	TYPE_GYROSCOPE	-0.27424622	0.16641235	0.1565094
1561083342208	TYPE_ROTATION_VECTOR	0.016127812	-0.05452845	-0.9927235
1561083342208	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.0	-52.98	-98.34
1561083342208	TYPE_GYROSCOPE_UNCALIBRATED	-0.34178162	0.13226318	0.1343689
1561083342208	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5096741	1.306488	11.614761
1561083342227	TYPE_ACCELEROMETER	-0.2524414	1.2323151	13.348373
1561083342227	TYPE_MAGNETIC_FIELD	-3.3	-24.779999	-38.16
1561083342227	TYPE_GYROSCOPE	-0.13925171	0.21894836	0.16688538
1561083342227	TYPE_ROTATION_VECTOR	0.017177626	-0.05143294	-0.99271077
1561083342227	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.12	-52.68	-98.52
1561083342227	TYPE_GYROSCOPE_UNCALIBRATED	-0.27275085	0.16647339	0.15576172
1561083342227	TYPE_ACCELEROMETER_UNCALIBRATED	-0.42114258	1.228714	12.933212
1561083342247	TYPE_ACCELEROMETER	-0.06819153	1.5266266	13.123444
1561083342247	TYPE_MAGNETIC_FIELD	-3.3	-24.539999	-38.219997
1561083342247	TYPE_GYROSCOPE	0.095321655	0.2800293	0.14308167
1561083342247	TYPE_ROTATION_VECTOR	0.01863746	-0.049160574	-0.9926152
1561083342247	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.12	-52.44	-98.579994
1561083342247	TYPE_GYROSCOPE_UNCALIBRATED	-0.13775635	0.2190094	0.1661377
1561083342247	TYPE_ACCELEROMETER_UNCALIBRATED	-0.10409546	1.3339996	13.390244
1561083342266	TYPE_ACCELEROMETER	-0.14477539	1.4799652	12.661621
1561083342266	TYPE_MAGNETIC_FIELD	-3.0	-24.48	-38.76
1561083342266	TYPE_GYROSCOPE	0.25933838	0.25224304	0.07128906
1561083342266	TYPE_ROTATION_VECTOR	0.020982783	-0.048639532	-0.992408
1561083342266	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.42	-52.379997	-99.119995
1561083342266	TYPE_GYROSCOPE_UNCALIBRATED	0.26083374	0.25230408	0.07054138
1561083342266	TYPE_ACCELEROMETER_UNCALIBRATED	-0.095718384	1.627121	12.820755
1561083342285	TYPE_ACCELEROMETER	-1.1509552	1.0037994	12.866211
1561083342285	TYPE_MAGNETIC_FIELD	-2.6399999	-24.42	-38.76
1561083342285	TYPE_GYROSCOPE	0.2342987	0.15846252	0.003189087
1561083342285	TYPE_ROTATION_VECTOR	0.023782145	-0.05024781	-0.99213666
1561083342285	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.78	-52.32	-99.119995
1561083342285	TYPE_GYROSCOPE_UNCALIBRATED	0.23579407	0.15852356	0.0024414062
1561083342285	TYPE_ACCELEROMETER_UNCALIBRATED	-0.59461975	1.3387909	12.629318
1561083342304	TYPE_ACCELEROMETER	-1.2622223	-0.16989136	14.289932
1561083342304	TYPE_MAGNETIC_FIELD	-2.7	-24.3	-38.82
1561083342304	TYPE_GYROSCOPE	0.1023407	0.17863464	0.07649231
1561083342304	TYPE_ROTATION_VECTOR	0.025976663	-0.052591506	-0.99192435
1561083342304	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.719997	-52.199997	-99.17999
1561083342304	TYPE_GYROSCOPE_UNCALIBRATED	0.10383606	0.17869568	0.07574463
1561083342304	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2418823	0.36491394	13.501511
