#	startTime:1561083241223
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561083241224	TYPE_WAYPOINT	78.559044	89.722855
1561083241353	TYPE_ACCELEROMETER	-0.64009094	0.86979675	10.1479645
1561083241353	TYPE_MAGNETIC_FIELD	22.98	-25.98	-36.54
1561083241353	TYPE_GYROSCOPE	0.03881836	-0.007980347	-0.0053710938
1561083241353	TYPE_ROTATION_VECTOR	-0.013434759	0.05000676	0.9298632
1561083241353	TYPE_MAGNETIC_FIELD_UNCALIBRATED	80.399994	-53.879997	-96.899994
1561083241353	TYPE_GYROSCOPE_UNCALIBRATED	0.04031372	-0.0079193115	-0.0061187744
1561083241353	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6376953	0.86621094	10.388443
1561083241372	TYPE_ACCELEROMETER	-0.61854553	0.8757782	9.259033
1561083241372	TYPE_MAGNETIC_FIELD	22.98	-25.98	-36.54
1561083241372	TYPE_GYROSCOPE	0.274765	-0.09320068	-0.014526367
1561083241372	TYPE_ROTATION_VECTOR	-0.013434759	0.05000676	0.9298632
1561083241372	TYPE_MAGNETIC_FIELD_UNCALIBRATED	80.399994	-53.879997	-96.899994
1561083241372	TYPE_GYROSCOPE_UNCALIBRATED	0.27626038	-0.09313965	-0.015274048
1561083241372	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6460724	0.88175964	9.7388
1561083241391	TYPE_ACCELEROMETER	-0.46780396	0.8877411	8.505295
1561083241391	TYPE_MAGNETIC_FIELD	22.74	-26.039999	-36.66
1561083241391	TYPE_GYROSCOPE	0.34120178	-0.10481262	-0.007507324
1561083241391	TYPE_ROTATION_VECTOR	-0.012131782	0.057162814	0.9387955
1561083241391	TYPE_MAGNETIC_FIELD_UNCALIBRATED	80.159996	-53.94	-97.02
1561083241391	TYPE_GYROSCOPE_UNCALIBRATED	0.34269714	-0.10475159	-0.008255005
1561083241391	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4091797	0.89730835	8.323441
1561083241410	TYPE_ACCELEROMETER	-0.42951965	0.9176483	8.328232
1561083241410	TYPE_MAGNETIC_FIELD	22.74	-26.039999	-36.66
1561083241410	TYPE_GYROSCOPE	0.26330566	-0.113983154	4.4250488E-4
1561083241410	TYPE_ROTATION_VECTOR	-0.012131782	0.057162814	0.9387955
1561083241410	TYPE_MAGNETIC_FIELD_UNCALIBRATED	80.159996	-53.94	-97.02
1561083241410	TYPE_GYROSCOPE_UNCALIBRATED	0.26480103	-0.11392212	-3.0517578E-4
1561083241410	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4091797	0.89730835	8.323441
1561083241430	TYPE_ACCELEROMETER	-0.50727844	0.86860657	8.490936
1561083241430	TYPE_MAGNETIC_FIELD	22.5	-26.039999	-36.719997
1561083241430	TYPE_GYROSCOPE	0.18450928	-0.13504028	0.00440979
1561083241430	TYPE_ROTATION_VECTOR	-0.007813036	0.059998073	0.93524826
1561083241430	TYPE_MAGNETIC_FIELD_UNCALIBRATED	79.92	-53.94	-97.079994
1561083241430	TYPE_GYROSCOPE_UNCALIBRATED	0.18600464	-0.13497925	0.0036621094
1561083241430	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4737854	0.9224396	8.439484
1561083241449	TYPE_ACCELEROMETER	-0.5467682	0.7680969	8.330612
1561083241449	TYPE_MAGNETIC_FIELD	22.14	-26.039999	-36.54
1561083241449	TYPE_GYROSCOPE	0.15396118	-0.09350586	0.01876831
1561083241449	TYPE_ROTATION_VECTOR	-0.012329469	0.054932225	0.9314691
1561083241449	TYPE_MAGNETIC_FIELD_UNCALIBRATED	79.56	-53.94	-96.899994
1561083241449	TYPE_GYROSCOPE_UNCALIBRATED	0.15545654	-0.093444824	0.01802063
1561083241449	TYPE_ACCELEROMETER_UNCALIBRATED	-0.45224	0.7453613	8.116455
