#	startTime:1561083492369
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561083492370	TYPE_WAYPOINT	77.99024	79.34484
1561083492491	TYPE_ACCELEROMETER	0.04547119	1.6857452	7.909485
1561083492491	TYPE_MAGNETIC_FIELD	13.2	24.779999	-33.239998
1561083492491	TYPE_GYROSCOPE	-0.031295776	0.25682068	0.9063568
1561083492491	TYPE_ROTATION_VECTOR	0.09379006	0.015265242	0.19382684
1561083492491	TYPE_MAGNETIC_FIELD_UNCALIBRATED	70.619995	-3.1200008	-93.59999
1561083492491	TYPE_GYROSCOPE_UNCALIBRATED	0.073898315	0.3616333	1.2064514
1561083492491	TYPE_ACCELEROMETER_UNCALIBRATED	0.114868164	1.6438751	7.980072
1561083492510	TYPE_ACCELEROMETER	-0.06820679	1.6199493	8.184662
1561083492510	TYPE_MAGNETIC_FIELD	13.2	24.779999	-33.239998
1561083492510	TYPE_GYROSCOPE	-0.35214233	-0.06480408	0.0016479492
1561083492510	TYPE_ROTATION_VECTOR	0.09379006	0.015265242	0.19382684
1561083492510	TYPE_MAGNETIC_FIELD_UNCALIBRATED	70.619995	-3.1200008	-93.59999
1561083492510	TYPE_GYROSCOPE_UNCALIBRATED	-0.029800415	0.2568817	0.90560913
1561083492510	TYPE_ACCELEROMETER_UNCALIBRATED	0.093322754	1.689331	7.869995
1561083492529	TYPE_ACCELEROMETER	-0.31704712	1.6211395	8.147568
1561083492529	TYPE_MAGNETIC_FIELD	13.139999	24.779999	-33.239998
1561083492529	TYPE_GYROSCOPE	-0.37748718	-0.108169556	-0.006576538
1561083492529	TYPE_ROTATION_VECTOR	0.09375348	0.022094863	0.18995537
1561083492529	TYPE_MAGNETIC_FIELD_UNCALIBRATED	70.56	-3.1200008	-93.59999
1561083492529	TYPE_GYROSCOPE_UNCALIBRATED	-0.35064697	-0.06474304	9.0026855E-4
1561083492529	TYPE_ACCELEROMETER_UNCALIBRATED	-0.008377075	1.655838	8.03511
1561083492548	TYPE_ACCELEROMETER	-0.33380127	1.6725922	8.511276
1561083492548	TYPE_MAGNETIC_FIELD	12.84	24.66	-33.059998
1561083492548	TYPE_GYROSCOPE	-0.44041443	-0.13993835	0.0034942627
1561083492548	TYPE_ROTATION_VECTOR	0.093395084	0.0357503	0.1724708
1561083492548	TYPE_MAGNETIC_FIELD_UNCALIBRATED	70.259995	-3.2399998	-93.42
1561083492548	TYPE_GYROSCOPE_UNCALIBRATED	-0.37599182	-0.10810852	-0.0073242188
1561083492548	TYPE_ACCELEROMETER_UNCALIBRATED	-0.16989136	1.6115723	8.215759
