#	startTime:1561083565476
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561083565476	TYPE_WAYPOINT	58.630177	53.24909
1561083565648	TYPE_ACCELEROMETER	0.16151428	1.0911255	8.921646
1561083565648	TYPE_MAGNETIC_FIELD	-2.6399999	-35.7	-30.66
1561083565648	TYPE_GYROSCOPE	-0.12765503	-0.05319214	0.047164917
1561083565648	TYPE_ROTATION_VECTOR	-0.009441713	-0.05763315	-0.99776965
1561083565648	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.78	-63.6	-91.02
1561083565648	TYPE_GYROSCOPE_UNCALIBRATED	-0.13195801	-0.047943115	0.047943115
1561083565648	TYPE_ACCELEROMETER_UNCALIBRATED	0.061019897	1.1641083	8.802002
1561083565667	TYPE_ACCELEROMETER	-0.12083435	1.2717896	8.632111
1561083565667	TYPE_MAGNETIC_FIELD	-2.46	-35.399998	-30.42
1561083565667	TYPE_GYROSCOPE	-0.120010376	-0.03793335	0.05847168
1561083565667	TYPE_ROTATION_VECTOR	-0.0035252918	-0.06617025	-0.99750656
1561083565667	TYPE_MAGNETIC_FIELD_UNCALIBRATED	54.96	-63.299995	-90.78
1561083565667	TYPE_GYROSCOPE_UNCALIBRATED	-0.11729431	-0.047943115	0.047943115
1561083565667	TYPE_ACCELEROMETER_UNCALIBRATED	-0.275177	1.3459625	8.481369
1561083565686	TYPE_ACCELEROMETER	-0.36489868	1.3734741	8.461029
1561083565686	TYPE_MAGNETIC_FIELD	-2.52	-35.04	-30.24
1561083565686	TYPE_GYROSCOPE	-0.14537048	-0.0079956055	0.09237671
