#	startTime:1561083655395
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561083655397	TYPE_WAYPOINT	81.109055	71.72502
1561083655526	TYPE_ACCELEROMETER	-0.39601135	0.9009094	8.197815
1561083655526	TYPE_MAGNETIC_FIELD	19.859999	-19.38	-31.98
1561083655526	TYPE_GYROSCOPE	-0.1235199	0.21864319	0.67453
1561083655526	TYPE_ROTATION_VECTOR	0.0054988908	0.058172442	0.9020877
1561083655526	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.28	-47.28	-92.34
1561083655526	TYPE_GYROSCOPE_UNCALIBRATED	-0.065979004	0.26145935	0.92485046
1561083655526	TYPE_ACCELEROMETER_UNCALIBRATED	-0.447464	0.97387695	8.148758
1561083655545	TYPE_ACCELEROMETER	-0.4630127	1.0971069	8.0686035
1561083655545	TYPE_MAGNETIC_FIELD	19.74	-19.32	-32.28
1561083655545	TYPE_GYROSCOPE	-0.28677368	0.110824585	-0.06982422
1561083655545	TYPE_ROTATION_VECTOR	5.499181E-6	0.06438955	0.9078402
1561083655545	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.159996	-47.22	-92.64
1561083655545	TYPE_GYROSCOPE_UNCALIBRATED	-0.2341156	0.13317871	0.17164612
1561083655545	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4343109	1.203598	7.9286194
1561083655564	TYPE_ACCELEROMETER	-0.39482117	1.2550354	7.7814636
1561083655564	TYPE_MAGNETIC_FIELD	19.5	-19.14	-32.579998
1561083655564	TYPE_GYROSCOPE	-0.31089783	0.12760925	-0.041412354
1561083655564	TYPE_ROTATION_VECTOR	0.008719899	0.07915322	0.897995
1561083655564	TYPE_MAGNETIC_FIELD_UNCALIBRATED	76.92	-47.04	-92.939995
1561083655564	TYPE_GYROSCOPE_UNCALIBRATED	-0.28710938	0.13287354	-0.05407715
1561083655564	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3350067	1.2215424	7.704895
1561083655583	TYPE_ACCELEROMETER	-0.3206482	1.1688995	7.868805
1561083655583	TYPE_MAGNETIC_FIELD	19.5	-19.08	-32.88
1561083655583	TYPE_GYROSCOPE	-0.40437317	0.13769531	-0.04385376
1561083655583	TYPE_ROTATION_VECTOR	0.016918514	0.07936362	0.88824934
1561083655583	TYPE_MAGNETIC_FIELD_UNCALIBRATED	76.92	-46.98	-93.24
1561083655583	TYPE_GYROSCOPE_UNCALIBRATED	-0.34820557	0.122787476	-0.03878784
1561083655583	TYPE_ACCELEROMETER_UNCALIBRATED	-0.41157532	1.134201	8.388046
1561083655603	TYPE_ACCELEROMETER	-0.5479584	1.0911255	9.1202545
1561083655603	TYPE_MAGNETIC_FIELD	19.439999	-18.84	-33.239998
1561083655603	TYPE_GYROSCOPE	-0.51493835	0.179245	-0.057281494
1561083655603	TYPE_ROTATION_VECTOR	0.00550472	0.06965247	0.8899426
1561083655603	TYPE_MAGNETIC_FIELD_UNCALIBRATED	76.86	-46.739998	-93.59999
1561083655603	TYPE_GYROSCOPE_UNCALIBRATED	-0.46427917	0.16220093	-0.053451538
1561083655603	TYPE_ACCELEROMETER_UNCALIBRATED	-0.61376953	1.0695953	9.6418915
1561083655622	TYPE_ACCELEROMETER	-0.619751	1.0660095	9.927826
1561083655622	TYPE_MAGNETIC_FIELD	19.439999	-18.72	-33.42
1561083655622	TYPE_GYROSCOPE	-0.5500641	0.157547	-0.06278992
1561083655622	TYPE_ROTATION_VECTOR	-0.001890472	0.060610563	0.90007466
1561083655622	TYPE_MAGNETIC_FIELD_UNCALIBRATED	76.86	-46.62	-93.78
1561083655622	TYPE_GYROSCOPE_UNCALIBRATED	-0.53634644	0.18266296	-0.058944702
1561083655622	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6006012	1.071991	10.359726
1561083655641	TYPE_ACCELEROMETER	-0.60658264	1.0707855	10.99382
1561083655641	TYPE_MAGNETIC_FIELD	19.56	-18.6	-33.719997
1561083655641	TYPE_GYROSCOPE	-0.57632446	0.06896973	-0.075927734
1561083655641	TYPE_ROTATION_VECTOR	-0.0055574765	0.05652098	0.9001281
1561083655641	TYPE_MAGNETIC_FIELD_UNCALIBRATED	76.979996	-46.5	-94.079994
1561083655641	TYPE_GYROSCOPE_UNCALIBRATED	-0.56781006	0.10783386	-0.07055664
1561083655641	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6006012	1.071991	10.359726
1561083655660	TYPE_ACCELEROMETER	-0.79441833	0.9511566	12.771698
1561083655660	TYPE_MAGNETIC_FIELD	19.68	-18.42	-33.66
1561083655660	TYPE_GYROSCOPE	-0.47279358	0.1181488	-0.0826416
1561083655660	TYPE_ROTATION_VECTOR	-0.008575627	0.05184272	0.9001086
1561083655660	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.1	-46.32	-94.02
1561083655660	TYPE_GYROSCOPE_UNCALIBRATED	-0.5476532	0.06994629	-0.08216858
1561083655660	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6855469	1.0241241	11.806183
1561083655680	TYPE_ACCELEROMETER	-1.0540466	1.0396881	13.978882
1561083655680	TYPE_MAGNETIC_FIELD	19.68	-18.42	-33.66
1561083655680	TYPE_GYROSCOPE	-0.18965149	0.29377747	-0.07102966
1561083655680	TYPE_ROTATION_VECTOR	-0.008575627	0.05184272	0.9001086
1561083655680	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.1	-46.32	-94.02
1561083655680	TYPE_GYROSCOPE_UNCALIBRATED	-0.34118652	0.20343018	-0.080337524
1561083655680	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0097809	0.9379883	14.037506
1561083655699	TYPE_ACCELEROMETER	-0.8757782	0.65563965	14.245682
1561083655699	TYPE_MAGNETIC_FIELD	19.68	-18.42	-33.66
1561083655699	TYPE_GYROSCOPE	-0.02746582	0.37409973	-0.056365967
1561083655699	TYPE_ROTATION_VECTOR	-0.008575627	0.05184272	0.9001086
1561083655699	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.1	-46.32	-94.02
1561083655699	TYPE_GYROSCOPE_UNCALIBRATED	-0.07086182	0.35247803	-0.06048584
1561083655699	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8374939	0.2596283	14.679977
1561083655718	TYPE_ACCELEROMETER	-0.9272156	-0.13639832	15.41098
1561083655718	TYPE_MAGNETIC_FIELD	19.68	-18.18	-34.079998
1561083655718	TYPE_GYROSCOPE	-0.10290527	0.28125	-0.093948364
1561083655718	TYPE_ROTATION_VECTOR	-0.01326258	0.04760012	0.8998659
1561083655718	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.1	-46.08	-94.439995
1561083655718	TYPE_GYROSCOPE_UNCALIBRATED	-0.045822144	0.3567505	-0.06933594
1561083655718	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0193481	-0.4630127	16.37648
1561083655737	TYPE_ACCELEROMETER	-1.1736755	-0.69392395	17.15654
1561083655737	TYPE_MAGNETIC_FIELD	19.8	-17.94	-34.079998
1561083655737	TYPE_GYROSCOPE	-0.105651855	0.06378174	-0.14038086
1561083655737	TYPE_ROTATION_VECTOR	-0.016621927	0.048415624	0.8996011
1561083655737	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.22	-45.84	-94.439995
1561083655737	TYPE_GYROSCOPE_UNCALIBRATED	-0.1395874	0.1689148	-0.12034607
1561083655737	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4584198	-0.7465668	17.511887
1561083655757	TYPE_ACCELEROMETER	-1.6474609	-0.6663971	17.32045
1561083655757	TYPE_MAGNETIC_FIELD	20.16	-17.58	-33.96
1561083655757	TYPE_GYROSCOPE	0.21199036	-0.09350586	-0.1486206
1561083655757	TYPE_ROTATION_VECTOR	-0.022035263	0.048948243	0.89881027
1561083655757	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.58	-45.48	-94.31999
1561083655757	TYPE_GYROSCOPE_UNCALIBRATED	0.020462036	-0.020767212	-0.15333557
1561083655757	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5768738	-0.5539398	16.515259
1561083655776	TYPE_ACCELEROMETER	-1.3244324	-0.41516113	15.16571
1561083655776	TYPE_MAGNETIC_FIELD	20.4	-17.52	-33.84
1561083655776	TYPE_GYROSCOPE	0.65823364	-0.18484497	-0.12295532
1561083655776	TYPE_ROTATION_VECTOR	-0.021861937	0.04898483	0.8981711
1561083655776	TYPE_MAGNETIC_FIELD_UNCALIBRATED	77.82	-45.42	-94.2
1561083655776	TYPE_GYROSCOPE_UNCALIBRATED	0.44104004	-0.15118408	-0.13500977
1561083655776	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0480652	-0.2967224	13.497925
1561083655795	TYPE_ACCELEROMETER	-0.85783386	-0.2584381	11.801407
1561083655795	TYPE_MAGNETIC_FIELD	20.76	-17.4	-34.02
1561083655795	TYPE_GYROSCOPE	0.9367981	-0.20866394	-0.12449646
1561083655795	TYPE_ROTATION_VECTOR	-0.018806826	0.052081145	0.8974277
1561083655795	TYPE_MAGNETIC_FIELD_UNCALIBRATED	78.18	-45.3	-94.38
1561083655795	TYPE_GYROSCOPE_UNCALIBRATED	0.83047485	-0.20310974	-0.12095642
1561083655795	TYPE_ACCELEROMETER_UNCALIBRATED	-0.76690674	-0.32183838	10.320251
1561083655814	TYPE_ACCELEROMETER	-0.78964233	-0.5108795	9.279373
1561083655814	TYPE_MAGNETIC_FIELD	20.76	-17.22	-34.02
