#	startTime:1561083963036
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561083963036	TYPE_WAYPOINT	75.11745	118.794754
1561083963172	TYPE_ACCELEROMETER	0.61854553	1.6498566	8.220535
1561083963172	TYPE_MAGNETIC_FIELD	-29.4	14.219999	-30.84
1561083963172	TYPE_GYROSCOPE	-0.28128052	-0.087402344	-0.4012146
1561083963172	TYPE_ROTATION_VECTOR	0.08371519	-0.08003181	-0.43779835
1561083963172	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.019999	-13.68	-91.2
1561083963172	TYPE_GYROSCOPE_UNCALIBRATED	-0.27978516	-0.08734131	-0.40196228
1561083963172	TYPE_ACCELEROMETER_UNCALIBRATED	0.5874481	1.6043854	8.794815
1561083963191	TYPE_ACCELEROMETER	0.5611267	1.5840607	9.177673
1561083963191	TYPE_MAGNETIC_FIELD	-29.4	14.759999	-30.96
1561083963191	TYPE_GYROSCOPE	-1.053421	-0.07029724	-0.22497559
1561083963191	TYPE_ROTATION_VECTOR	0.06722332	-0.067153275	-0.4156161
1561083963191	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.019999	-13.14	-91.31999
1561083963191	TYPE_GYROSCOPE_UNCALIBRATED	-1.0519257	-0.070236206	-0.22572327
1561083963191	TYPE_ACCELEROMETER_UNCALIBRATED	0.5647125	1.5768738	9.424133
1561083963210	TYPE_ACCELEROMETER	0.42712402	1.5230408	9.460022
1561083963210	TYPE_MAGNETIC_FIELD	-29.46	15.36	-30.779999
1561083963210	TYPE_GYROSCOPE	-0.93795776	0.029876709	-0.22528076
1561083963210	TYPE_ROTATION_VECTOR	0.06161562	-0.061323307	-0.42015466
1561083963210	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.96	-12.54	-91.14
1561083963210	TYPE_GYROSCOPE_UNCALIBRATED	-1.0519257	-0.070236206	-0.22572327
1561083963210	TYPE_ACCELEROMETER_UNCALIBRATED	0.17945862	1.4333038	9.378677
1561083963229	TYPE_ACCELEROMETER	-0.0012054443	1.401001	9.565308
1561083963229	TYPE_MAGNETIC_FIELD	-29.46	15.96	-30.779999
1561083963229	TYPE_GYROSCOPE	-0.90345764	0.07661438	-0.21183777
1561083963229	TYPE_ROTATION_VECTOR	0.06449063	-0.0411964	-0.4284276
1561083963229	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.96	-11.94	-91.14
1561083963229	TYPE_GYROSCOPE_UNCALIBRATED	-0.9019623	0.076675415	-0.21258545
1561083963229	TYPE_ACCELEROMETER_UNCALIBRATED	-0.14955139	1.4045868	10.244873
1561083963249	TYPE_ACCELEROMETER	-0.25364685	1.3698883	11.263016
1561083963249	TYPE_MAGNETIC_FIELD	-29.46	16.56	-30.66
1561083963249	TYPE_GYROSCOPE	-0.9984436	0.0069732666	-0.18130493
1561083963249	TYPE_ROTATION_VECTOR	0.063661	-0.024065189	-0.440904
1561083963249	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.96	-11.34	-91.02
1561083963249	TYPE_GYROSCOPE_UNCALIBRATED	-0.99694824	0.0070343018	-0.18205261
1561083963249	TYPE_ACCELEROMETER_UNCALIBRATED	-0.32183838	1.2957153	12.391235
1561083963268	TYPE_ACCELEROMETER	-0.49890137	1.1964111	13.408188
1561083963268	TYPE_MAGNETIC_FIELD	-29.46	17.22	-30.359999
1561083963268	TYPE_GYROSCOPE	-0.9312439	0.013687134	-0.16694641
1561083963268	TYPE_ROTATION_VECTOR	0.05267532	-0.012401988	-0.4480067
1561083963268	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.96	-10.68	-90.71999
1561083963268	TYPE_GYROSCOPE_UNCALIBRATED	-0.99694824	0.0070343018	-0.18205261
1561083963268	TYPE_ACCELEROMETER_UNCALIBRATED	-0.70947266	1.1042938	14.203796
1561083963287	TYPE_ACCELEROMETER	-0.8446655	0.9882355	14.874985
1561083963287	TYPE_MAGNETIC_FIELD	-29.519999	17.88	-30.06
1561083963287	TYPE_GYROSCOPE	-0.67529297	0.15663147	-0.14038086
1561083963287	TYPE_ROTATION_VECTOR	0.040180787	0.0021008102	-0.45999482
1561083963287	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.9	-10.02	-90.42
1561083963287	TYPE_GYROSCOPE_UNCALIBRATED	-0.6737976	0.1566925	-0.14112854
1561083963287	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9894409	0.8003998	15.475586
1561083963306	TYPE_ACCELEROMETER	-1.1031036	0.60180664	15.98526
1561083963306	TYPE_MAGNETIC_FIELD	-29.64	18.6	-29.939999
1561083963306	TYPE_GYROSCOPE	-0.36924744	0.2861328	-0.07287598
1561083963306	TYPE_ROTATION_VECTOR	0.040180787	0.0021008102	-0.45999482
1561083963306	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.9	-10.02	-90.42
1561083963306	TYPE_GYROSCOPE_UNCALIBRATED	-0.6737976	0.1566925	-0.14112854
1561083963306	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9894409	0.8003998	15.475586
1561083963326	TYPE_ACCELEROMETER	-1.2957153	0.27876282	16.978287
1561083963326	TYPE_MAGNETIC_FIELD	-29.64	18.6	-29.939999
1561083963326	TYPE_GYROSCOPE	-0.0879364	0.3731842	0.018463135
1561083963326	TYPE_ROTATION_VECTOR	0.033579696	0.006434303	-0.46129748
1561083963326	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.779999	-9.299999	-90.299995
1561083963326	TYPE_GYROSCOPE_UNCALIBRATED	-0.36775208	0.28619385	-0.07362366
1561083963326	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3280182	0.10887146	17.502304
1561083963345	TYPE_ACCELEROMETER	-1.3088837	0.0382843	17.864822
1561083963345	TYPE_MAGNETIC_FIELD	-29.64	18.6	-29.939999
1561083963345	TYPE_GYROSCOPE	0.2431488	0.46359253	0.11253357
1561083963345	TYPE_ROTATION_VECTOR	0.033579696	0.006434303	-0.46129748
1561083963345	TYPE_MAGNETIC_FIELD_UNCALIBRATED	27.779999	-9.299999	-90.299995
1561083963345	TYPE_GYROSCOPE_UNCALIBRATED	0.24464417	0.46365356	0.11178589
1561083963345	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3459625	0.04547119	17.837296
1561083963364	TYPE_ACCELEROMETER	-1.4512482	0.025131226	17.376678
1561083963364	TYPE_MAGNETIC_FIELD	-29.4	19.02	-29.76
1561083963364	TYPE_GYROSCOPE	0.5855408	0.47581482	0.18429565
1561083963364	TYPE_ROTATION_VECTOR	0.029563349	0.012683789	-0.46229127
1561083963364	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.019999	-8.879999	-90.119995
1561083963364	TYPE_GYROSCOPE_UNCALIBRATED	0.58703613	0.47587585	0.18354797
1561083963364	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5385895	-0.09811401	16.72345
1561083963383	TYPE_ACCELEROMETER	-1.5445709	-0.29193115	16.138397
1561083963383	TYPE_MAGNETIC_FIELD	-29.4	19.199999	-29.46
1561083963383	TYPE_GYROSCOPE	0.73550415	0.3655548	0.23410034
1561083963383	TYPE_ROTATION_VECTOR	0.037854068	0.020000195	-0.46021235
1561083963383	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.019999	-8.700001	-89.81999
1561083963383	TYPE_GYROSCOPE_UNCALIBRATED	0.58703613	0.47587585	0.18354797
1561083963383	TYPE_ACCELEROMETER_UNCALIBRATED	-1.458435	-0.47618103	15.59404
1561083963403	TYPE_ACCELEROMETER	-1.208374	-0.62931824	15.119064
1561083963403	TYPE_MAGNETIC_FIELD	-29.22	19.32	-29.34
1561083963403	TYPE_GYROSCOPE	0.73703	0.17617798	0.25761414
1561083963403	TYPE_ROTATION_VECTOR	0.045643307	0.020557093	-0.45838085
1561083963403	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.199999	-8.58	-89.7
1561083963403	TYPE_GYROSCOPE_UNCALIBRATED	0.7369995	0.36561584	0.23335266
1561083963403	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7992096	-0.7405853	14.743378
1561083963422	TYPE_ACCELEROMETER	-0.3469696	-0.7920227	14.193024
1561083963422	TYPE_MAGNETIC_FIELD	-29.16	19.38	-29.46
1561083963422	TYPE_GYROSCOPE	0.8069763	-0.10542297	0.21728516
1561083963422	TYPE_ROTATION_VECTOR	0.05322631	0.019584324	-0.45626864
1561083963422	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.259998	-8.52	-89.81999
1561083963422	TYPE_GYROSCOPE_UNCALIBRATED	0.7385254	0.17623901	0.25686646
1561083963422	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0059814453	-0.8518524	13.261032
1561083963441	TYPE_ACCELEROMETER	0.119644165	-0.9834442	12.435501
1561083963441	TYPE_MAGNETIC_FIELD	-28.92	19.38	-29.82
1561083963441	TYPE_GYROSCOPE	0.9380188	-0.30548096	0.1076355
1561083963441	TYPE_ROTATION_VECTOR	0.059900414	0.016547782	-0.4542517
1561083963441	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.499998	-8.52	-90.17999
1561083963441	TYPE_GYROSCOPE_UNCALIBRATED	0.8084717	-0.10536194	0.21653748
1561083963441	TYPE_ACCELEROMETER_UNCALIBRATED	0.0382843	-1.0624084	12.015564
1561083963460	TYPE_ACCELEROMETER	-0.20458984	-1.0959167	11.632706
1561083963460	TYPE_MAGNETIC_FIELD	-28.8	19.08	-30.119999
1561083963460	TYPE_GYROSCOPE	1.0009308	-0.37176514	0.005630493
1561083963460	TYPE_ROTATION_VECTOR	0.06641502	0.010696974	-0.45306897
1561083963460	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.619999	-8.82	-90.479996
1561083963460	TYPE_GYROSCOPE_UNCALIBRATED	1.0024261	-0.3717041	0.0048828125
1561083963460	TYPE_ACCELEROMETER_UNCALIBRATED	-0.45225525	-1.1138611	11.106293
1561083963480	TYPE_ACCELEROMETER	-0.5120697	-1.0947113	10.4028015
1561083963480	TYPE_MAGNETIC_FIELD	-28.619999	18.72	-30.179998
1561083963480	TYPE_GYROSCOPE	1.0772858	-0.34396362	0.009292603
1561083963480	TYPE_ROTATION_VECTOR	0.0731393	0.003455914	-0.45296466
1561083963480	TYPE_MAGNETIC_FIELD_UNCALIBRATED	28.8	-9.18	-90.53999
1561083963480	TYPE_GYROSCOPE_UNCALIBRATED	1.0024261	-0.3717041	0.0048828125
1561083963480	TYPE_ACCELEROMETER_UNCALIBRATED	-0.45344543	-1.080368	9.537796
1561083963499	TYPE_ACCELEROMETER	-0.45225525	-1.026535	8.63092
1561083963499	TYPE_MAGNETIC_FIELD	-28.32	18.48	-30.48
1561083963499	TYPE_GYROSCOPE	1.1295166	-0.20133972	0.056640625
1561083963499	TYPE_ROTATION_VECTOR	0.080367126	-0.0041383696	-0.45328093
1561083963499	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.099998	-9.42	-90.84
1561083963499	TYPE_GYROSCOPE_UNCALIBRATED	1.0787811	-0.3439026	0.008544922
1561083963499	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5228424	-0.93440247	7.803009
1561083963518	TYPE_ACCELEROMETER	-0.619751	-0.8123627	7.087555
1561083963518	TYPE_MAGNETIC_FIELD	-28.32	18.18	-30.84
1561083963518	TYPE_GYROSCOPE	1.089508	0.003921509	0.09024048
1561083963518	TYPE_ROTATION_VECTOR	0.08857862	-0.01150333	-0.45313904
1561083963518	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.099998	-9.719999	-91.2
1561083963518	TYPE_GYROSCOPE_UNCALIBRATED	1.0910034	0.003982544	0.0894928
1561083963518	TYPE_ACCELEROMETER_UNCALIBRATED	-0.70111084	-0.65682983	6.427124
1561083963537	TYPE_ACCELEROMETER	-0.76930237	-0.49891663	5.93779
1561083963537	TYPE_MAGNETIC_FIELD	-27.96	17.88	-30.84
1561083963537	TYPE_GYROSCOPE	0.90197754	0.012466431	0.09664917
1561083963537	TYPE_ROTATION_VECTOR	0.0976934	-0.017236864	-0.4524295
1561083963537	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.46	-10.02	-91.2
1561083963537	TYPE_GYROSCOPE_UNCALIBRATED	1.0910034	0.003982544	0.0894928
