#	startTime:1561084034724
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561084034724	TYPE_WAYPOINT	75.11745	118.794754
1561084034850	TYPE_ACCELEROMETER	-0.12683105	-0.6424713	8.703903
1561084034850	TYPE_MAGNETIC_FIELD	10.679999	32.7	-23.46
1561084034850	TYPE_GYROSCOPE	0.07608032	-0.15153503	1.2896729
1561084034850	TYPE_ROTATION_VECTOR	-0.041336708	-3.8889257E-6	0.15655369
1561084034850	TYPE_MAGNETIC_FIELD_UNCALIBRATED	68.1	4.800001	-83.81999
1561084034850	TYPE_GYROSCOPE_UNCALIBRATED	0.07757568	-0.151474	1.2889252
1561084034850	TYPE_ACCELEROMETER_UNCALIBRATED	-0.119644165	-0.722641	8.740982
1561084034869	TYPE_ACCELEROMETER	0.14596558	-0.5120697	8.335403
1561084034869	TYPE_MAGNETIC_FIELD	10.44	32.579998	-23.58
1561084034869	TYPE_GYROSCOPE	0.05455017	-0.1932373	0.15988159
1561084034869	TYPE_ROTATION_VECTOR	-0.033554602	-0.009590999	0.15144588
1561084034869	TYPE_MAGNETIC_FIELD_UNCALIBRATED	67.86	4.6799984	-83.939995
1561084034869	TYPE_GYROSCOPE_UNCALIBRATED	0.07040405	-0.16537476	0.91233826
1561084034869	TYPE_ACCELEROMETER_UNCALIBRATED	0.08973694	-0.6161499	8.663223
1561084034888	TYPE_ACCELEROMETER	0.14356995	-0.18664551	7.475189
1561084034888	TYPE_MAGNETIC_FIELD	10.139999	32.579998	-23.82
1561084034888	TYPE_GYROSCOPE	0.0776062	-0.13169861	-0.17366028
1561084034888	TYPE_ROTATION_VECTOR	-0.014606899	-0.0054974607	0.13411869
1561084034888	TYPE_MAGNETIC_FIELD_UNCALIBRATED	67.56	4.6799984	-84.17999
1561084034888	TYPE_GYROSCOPE_UNCALIBRATED	0.058029175	-0.18203735	-0.20343018
1561084034888	TYPE_ACCELEROMETER_UNCALIBRATED	0.4127655	-0.17945862	6.631714
1561084034907	TYPE_ACCELEROMETER	0.5084839	-0.114852905	5.953354
1561084034907	TYPE_MAGNETIC_FIELD	9.84	32.579998	-24.06
1561084034907	TYPE_GYROSCOPE	0.12007141	-0.08526611	-0.12875366
1561084034907	TYPE_ROTATION_VECTOR	-0.012941524	-0.032383762	0.15239123
1561084034907	TYPE_MAGNETIC_FIELD_UNCALIBRATED	67.259995	4.6799984	-84.42
1561084034907	TYPE_GYROSCOPE_UNCALIBRATED	0.109954834	-0.08886719	-0.14569092
1561084034907	TYPE_ACCELEROMETER_UNCALIBRATED	0.4127655	-0.17945862	6.631714
1561084034927	TYPE_ACCELEROMETER	0.275177	0.1938324	5.5609283
1561084034927	TYPE_MAGNETIC_FIELD	9.599999	32.76	-24.18
1561084034927	TYPE_GYROSCOPE	-0.007003784	-0.18484497	-0.16297913
1561084034927	TYPE_ROTATION_VECTOR	-1.2941928E-5	-0.03558135	0.15438084
1561084034927	TYPE_MAGNETIC_FIELD_UNCALIBRATED	67.02	4.8599987	-84.53999
1561084034927	TYPE_GYROSCOPE_UNCALIBRATED	0.07421875	-0.13040161	-0.14050293
1561084034927	TYPE_ACCELEROMETER_UNCALIBRATED	0.41874695	0.02394104	5.6530457
1561084034946	TYPE_ACCELEROMETER	0.16989136	0.4749756	5.5740814
1561084034946	TYPE_MAGNETIC_FIELD	9.24	32.7	-24.18
1561084034946	TYPE_GYROSCOPE	-0.12550354	-0.22424316	-0.17427063
1561084034946	TYPE_ROTATION_VECTOR	0.032790735	-0.012719703	0.13577284
1561084034946	TYPE_MAGNETIC_FIELD_UNCALIBRATED	66.659996	4.800001	-84.53999
1561084034946	TYPE_GYROSCOPE_UNCALIBRATED	-0.1530304	-0.21807861	-0.16189575
1561084034946	TYPE_ACCELEROMETER_UNCALIBRATED	0.1651001	0.5156555	5.6530457
1561084034965	TYPE_ACCELEROMETER	0.13519287	0.5048828	5.674591
1561084034965	TYPE_MAGNETIC_FIELD	8.94	32.76	-24.18
1561084034965	TYPE_GYROSCOPE	-0.17958069	-0.21720886	-0.14311218
1561084034965	TYPE_ROTATION_VECTOR	0.03194649	-0.014939049	0.13400814
1561084034965	TYPE_MAGNETIC_FIELD_UNCALIBRATED	66.36	4.8599987	-84.53999
1561084034965	TYPE_GYROSCOPE_UNCALIBRATED	-0.1530304	-0.21807861	-0.16189575
1561084034965	TYPE_ACCELEROMETER_UNCALIBRATED	0.1651001	0.5156555	5.6530457
1561084034984	TYPE_ACCELEROMETER	0.19142151	0.38763428	6.057434
1561084034984	TYPE_MAGNETIC_FIELD	8.94	32.76	-24.18
1561084034984	TYPE_GYROSCOPE	-0.22904968	-0.22790527	-0.12265015
1561084034984	TYPE_ROTATION_VECTOR	0.03194649	-0.014939049	0.13400814
1561084034984	TYPE_MAGNETIC_FIELD_UNCALIBRATED	66.36	4.8599987	-84.53999
1561084034984	TYPE_GYROSCOPE_UNCALIBRATED	-0.26237488	-0.22113037	-0.12583923
1561084034984	TYPE_ACCELEROMETER_UNCALIBRATED	0.17347717	0.26200867	6.628128
1561084035004	TYPE_ACCELEROMETER	0.046661377	0.1986084	7.3495636
1561084035004	TYPE_MAGNETIC_FIELD	8.94	32.76	-24.18
1561084035004	TYPE_GYROSCOPE	-0.28585815	-0.20652771	-0.13883972
1561084035004	TYPE_ROTATION_VECTOR	0.03194649	-0.014939049	0.13400814
1561084035004	TYPE_MAGNETIC_FIELD_UNCALIBRATED	66.36	4.8599987	-84.53999
1561084035004	TYPE_GYROSCOPE_UNCALIBRATED	-0.26237488	-0.22113037	-0.12583923
1561084035004	TYPE_ACCELEROMETER_UNCALIBRATED	-0.19023132	0.22253418	7.9657135
1561084035023	TYPE_ACCELEROMETER	-0.3481598	0.31944275	8.181061
1561084035023	TYPE_MAGNETIC_FIELD	8.76	32.82	-24.06
1561084035023	TYPE_GYROSCOPE	-0.2339325	-0.22515869	-0.17182922
1561084035023	TYPE_ROTATION_VECTOR	0.029702988	-0.018373381	0.13191466
1561084035023	TYPE_MAGNETIC_FIELD_UNCALIBRATED	66.18	4.92	-84.42
1561084035023	TYPE_GYROSCOPE_UNCALIBRATED	-0.27856445	-0.2049408	-0.15852356
1561084035023	TYPE_ACCELEROMETER_UNCALIBRATED	-0.39242554	0.47618103	7.9908447
1561084035042	TYPE_ACCELEROMETER	-0.3134613	0.59103394	7.6486664
1561084035042	TYPE_MAGNETIC_FIELD	8.34	33.12	-23.939999
1561084035042	TYPE_GYROSCOPE	-0.05281067	-0.19950867	-0.15014648
1561084035042	TYPE_ROTATION_VECTOR	0.026268844	-0.021872576	0.12986544
1561084035042	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.759995	5.2199993	-84.299995
1561084035042	TYPE_GYROSCOPE_UNCALIBRATED	-0.1478424	-0.23640442	-0.17105103
1561084035042	TYPE_ACCELEROMETER_UNCALIBRATED	-0.14955139	0.64009094	7.490738
1561084035061	TYPE_ACCELEROMETER	-0.015548706	0.6663971	7.6044006
1561084035061	TYPE_MAGNETIC_FIELD	8.04	33.48	-23.76
1561084035061	TYPE_GYROSCOPE	0.051940918	-0.0021972656	-0.07684326
1561084035061	TYPE_ROTATION_VECTOR	0.024119569	-0.026193561	0.1266375
1561084035061	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.46	5.58	-84.119995
1561084035061	TYPE_GYROSCOPE_UNCALIBRATED	0.02381897	-0.10934448	-0.11546326
1561084035061	TYPE_ACCELEROMETER_UNCALIBRATED	-0.14955139	0.64009094	7.490738
1561084035081	TYPE_ACCELEROMETER	0.08494568	0.8267212	8.251648
1561084035081	TYPE_MAGNETIC_FIELD	7.74	33.48	-23.46
1561084035081	TYPE_GYROSCOPE	-0.008834839	0.074157715	-0.018798828
1561084035081	TYPE_ROTATION_VECTOR	0.024632	-0.026145099	0.12591739
1561084035081	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.159996	5.58	-83.81999
1561084035081	TYPE_GYROSCOPE_UNCALIBRATED	0.036636353	0.06933594	-0.046432495
1561084035081	TYPE_ACCELEROMETER_UNCALIBRATED	0.3397827	0.8422699	8.574692
1561084035100	TYPE_ACCELEROMETER	0.5982208	0.8494568	8.873795
1561084035100	TYPE_MAGNETIC_FIELD	7.56	33.48	-23.279999
1561084035100	TYPE_GYROSCOPE	-0.08641052	-0.010147095	0.051742554
1561084035100	TYPE_ROTATION_VECTOR	0.024468217	-0.025448775	0.12575173
1561084035100	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.979996	5.58	-83.64
1561084035100	TYPE_GYROSCOPE_UNCALIBRATED	-0.053756714	0.033294678	0.012527466
1561084035100	TYPE_ACCELEROMETER_UNCALIBRATED	0.3397827	0.8422699	8.574692
1561084035119	TYPE_ACCELEROMETER	0.34336853	0.7142639	9.579666
1561084035119	TYPE_MAGNETIC_FIELD	7.56	33.66	-23.22
1561084035119	TYPE_GYROSCOPE	-0.0967865	0.038742065	0.10458374
1561084035119	TYPE_ROTATION_VECTOR	0.023646288	-0.025657192	0.12621817
1561084035119	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.979996	5.76	-83.579994
1561084035119	TYPE_GYROSCOPE_UNCALIBRATED	-0.09590149	-0.015563965	0.08093262
1561084035119	TYPE_ACCELEROMETER_UNCALIBRATED	0.5730896	0.8159485	9.095123
1561084035138	TYPE_ACCELEROMETER	-0.4402771	0.6460724	11.148163
1561084035138	TYPE_MAGNETIC_FIELD	7.2599998	33.899998	-22.98
1561084035138	TYPE_GYROSCOPE	-0.15849304	0.08821106	0.16751099
1561084035138	TYPE_ROTATION_VECTOR	0.022656845	-0.025435349	0.1271917
1561084035138	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.68	5.999998	-83.34
1561084035138	TYPE_GYROSCOPE_UNCALIBRATED	-0.10934448	0.10354614	0.13163757
1561084035138	TYPE_ACCELEROMETER_UNCALIBRATED	-0.19142151	0.6723938	10.341782
1561084035158	TYPE_ACCELEROMETER	-0.9451752	0.3864441	13.019348
1561084035158	TYPE_MAGNETIC_FIELD	7.2	33.899998	-22.74
1561084035158	TYPE_GYROSCOPE	-0.30021667	0.02468872	0.27441406
1561084035158	TYPE_ROTATION_VECTOR	0.021011364	-0.02482673	0.12875673
1561084035158	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.619995	5.999998	-83.1
1561084035158	TYPE_GYROSCOPE_UNCALIBRATED	-0.23092651	0.05253601	0.21777344
1561084035158	TYPE_ACCELEROMETER_UNCALIBRATED	-0.62094116	0.32183838	12.16153
1561084035177	TYPE_ACCELEROMETER	-0.15434265	0.59461975	15.001801
1561084035177	TYPE_MAGNETIC_FIELD	7.5	33.719997	-22.38
1561084035177	TYPE_GYROSCOPE	-0.36528015	-0.055633545	0.34802246
1561084035177	TYPE_ROTATION_VECTOR	0.01807756	-0.025013253	0.13128515
1561084035177	TYPE_MAGNETIC_FIELD_UNCALIBRATED	64.92	5.819998	-82.74
1561084035177	TYPE_GYROSCOPE_UNCALIBRATED	-0.34942627	-0.051605225	0.31336975
1561084035177	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5742798	1.2478638	14.977875
1561084035196	TYPE_ACCELEROMETER	-0.8099823	1.4321136	14.208588
1561084035196	TYPE_MAGNETIC_FIELD	7.68	33.66	-22.02
1561084035196	TYPE_GYROSCOPE	-0.123062134	-0.02571106	0.3266449
1561084035196	TYPE_ROTATION_VECTOR	0.014604006	-0.026057024	0.13447997
1561084035196	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.1	5.76	-82.38
1561084035196	TYPE_GYROSCOPE_UNCALIBRATED	-0.28222656	-0.027175903	0.34666443
1561084035196	TYPE_ACCELEROMETER_UNCALIBRATED	-0.64486694	0.95474243	13.499115
1561084035215	TYPE_ACCELEROMETER	-0.41516113	0.44625854	13.482361
1561084035215	TYPE_MAGNETIC_FIELD	7.68	33.66	-21.779999
1561084035215	TYPE_GYROSCOPE	0.07394409	0.19969177	0.39842224
1561084035215	TYPE_ROTATION_VECTOR	0.013365722	-0.026508398	0.1375601
1561084035215	TYPE_MAGNETIC_FIELD_UNCALIBRATED	65.1	5.76	-82.14
