#	startTime:1561084008227
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561084008228	TYPE_WAYPOINT	64.71398	115.10082
1561084008400	TYPE_ACCELEROMETER	-0.06581116	0.61735535	10.198212
1561084008400	TYPE_MAGNETIC_FIELD	-27.3	11.5199995	-27.96
1561084008400	TYPE_GYROSCOPE	-0.009597778	0.020706177	-0.01927185
1561084008400	TYPE_ROTATION_VECTOR	0.0273744	-0.015026661	-0.5531011
1561084008400	TYPE_MAGNETIC_FIELD_UNCALIBRATED	30.119999	-16.380001	-88.31999
1561084008400	TYPE_GYROSCOPE_UNCALIBRATED	-0.007171631	-0.04399109	-0.003829956
1561084008400	TYPE_ACCELEROMETER_UNCALIBRATED	-0.06581116	0.6460571	10.009186
1561084008419	TYPE_ACCELEROMETER	-0.17945862	0.58984375	10.365707
1561084008419	TYPE_MAGNETIC_FIELD	-27.42	11.5199995	-27.84
1561084008419	TYPE_GYROSCOPE	0.011627197	0.035064697	-0.035598755
1561084008419	TYPE_ROTATION_VECTOR	0.024937436	-0.010392946	-0.5389572
1561084008419	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.999998	-16.380001	-88.2
1561084008419	TYPE_GYROSCOPE_UNCALIBRATED	-0.002456665	0.04978943	-0.030548096
1561084008419	TYPE_ACCELEROMETER_UNCALIBRATED	-0.100494385	0.5970154	10.33461
1561084008438	TYPE_ACCELEROMETER	-0.19502258	0.5862427	10.494919
1561084008438	TYPE_MAGNETIC_FIELD	-27.66	11.46	-27.72
1561084008438	TYPE_GYROSCOPE	0.04522705	-0.0064697266	-0.03590393
1561084008438	TYPE_ROTATION_VECTOR	0.0267636	-0.003526255	-0.5482061
1561084008438	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.759998	-16.439999	-88.079994
1561084008438	TYPE_GYROSCOPE_UNCALIBRATED	0.03175354	0.014053345	-0.039093018
1561084008438	TYPE_ACCELEROMETER_UNCALIBRATED	-0.20339966	0.5886383	10.392029
1561084008458	TYPE_ACCELEROMETER	-0.3744812	0.6029968	10.62175
1561084008458	TYPE_MAGNETIC_FIELD	-28.019999	11.46	-27.539999
1561084008458	TYPE_GYROSCOPE	0.07821655	-0.03425598	-0.03529358
1561084008458	TYPE_ROTATION_VECTOR	0.027039066	-3.5262678E-6	-0.5492447
1561084008458	TYPE_MAGNETIC_FIELD_UNCALIBRATED	29.4	-16.439999	-87.899994
1561084008458	TYPE_GYROSCOPE_UNCALIBRATED	0.060165405	-0.023513794	-0.034820557
1561084008458	TYPE_ACCELEROMETER_UNCALIBRATED	-0.23091125	0.5814514	10.585846
1561084008477	TYPE_ACCELEROMETER	-0.89253235	0.8446655	9.895523
1561084008477	TYPE_MAGNETIC_FIELD	-28.26	11.46	-27.42
1561084008477	TYPE_GYROSCOPE	0.13104248	-0.06663513	-0.03315735
