#	startTime:1561084585469
#	SiteID:5cdbc652853bc856e89a8694	SiteName:万达广场(金山店)	FloorId:5cdbc652853bc856e89a8696	FloorName:F1
#	Brand:vivo	Model:vivo X20A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:17.453293
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:0.24	maximumRange:4900.0
#	VersionName:v20190612-nightly	VersionCode:263	
1561084585470	TYPE_WAYPOINT	95.16865	98.45173
1561084585606	TYPE_ACCELEROMETER	-0.1710968	0.54437256	7.8185425
1561084585606	TYPE_MAGNETIC_FIELD	32.16	-11.759999	-35.64
1561084585606	TYPE_GYROSCOPE	-0.05769348	-0.27861023	-0.20329285
1561084585606	TYPE_ROTATION_VECTOR	-2.7625209E-5	0.047042567	0.7941657
1561084585606	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.68	-37.5	-98.22
1561084585606	TYPE_GYROSCOPE_UNCALIBRATED	-0.05619812	-0.2785492	-0.20404053
1561084585606	TYPE_ACCELEROMETER_UNCALIBRATED	-0.49891663	0.5850525	7.963318
1561084585625	TYPE_ACCELEROMETER	0.124420166	0.61016846	7.289749
1561084585625	TYPE_MAGNETIC_FIELD	32.399998	-11.639999	-35.46
1561084585625	TYPE_GYROSCOPE	-0.03526306	-0.05458069	0.0289917
1561084585625	TYPE_ROTATION_VECTOR	0.02274454	0.026511239	0.7868572
1561084585625	TYPE_MAGNETIC_FIELD_UNCALIBRATED	88.92	-37.379997	-98.03999
1561084585625	TYPE_GYROSCOPE_UNCALIBRATED	-0.048721313	-0.20387268	-0.12661743
1561084585625	TYPE_ACCELEROMETER_UNCALIBRATED	0.1651001	0.73220825	7.1365967
